,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2640758.3337820848,2633350.9776002937
1,2639201.7282201285,2629997.756906475
2,2633893.7122869315,2627548.362828756
3,2635366.959530999,2627284.117868376
4,2640089.9152018046,2631530.5461820764
5,2639029.5215869443,2631327.9101818
6,2639827.703703155,2633362.950393916
7,2636477.3199539017,2630429.0619219556
8,2637225.169563479,2631852.1510881586
9,2635306.178588614,2630075.6631149566
10,2636943.301777194,2628870.755643806
11,2640452.897772765,2631251.681821904
12,2639237.7941731378,2629755.8869981715
13,2638007.876274814,2630396.559773178
14,2631159.3057752103,2626361.797072224
15,2640966.963809583,2634700.09298842
16,2639419.8866988253,2631210.7435162007
17,2632007.3730784575,2623659.4203995313
18,2629831.2450683555,2622535.87122056
19,2639203.892929783,2631493.1328994064
20,2636145.4550315626,2630977.841217815
21,2641272.4375314754,2633920.4428431513
22,2633309.590587833,2624733.8771946365
23,2636727.8251675945,2629799.6747028893
24,2640795.6827708078,2631739.0394086787
25,2637167.100343693,2631909.191626438
26,2631335.897927189,2626130.071823504
27,2642079.2835677103,2633121.5222247085
28,2632680.0465985304,2624461.6313552363
29,2637710.228424349,2632306.5959318653
30,2634004.998709127,2625871.336146988
31,2634773.360128497,2629836.3186774626
32,2635077.3115719734,2630078.670044978
33,2629774.5353061454,2622707.018480829
34,2637882.564628235,2632478.9321357505
35,2628570.6733531114,2623891.59655495
36,2641464.7158429576,2633643.347499282
37,2637316.3584148195,2628394.113678429
38,2638748.8961155345,2630322.8665727763
39,2633061.984917132,2623567.8016150063
40,2633606.9548638603,2625238.718392404
41,2638133.4448475637,2629932.140101312
42,2635926.750744067,2626568.109843808
43,2638452.2582509858,2630766.295625365
44,2639179.8875838183,2633682.7995872144
45,2634041.2407571645,2626087.444469991
46,2641030.0887247627,2632972.1077241376
47,2637808.4118719297,2632320.2466594744
48,2630393.613359599,2625405.2279069717
49,2631830.8624089207,2623567.639862272
50,2631774.7184953447,2622930.2367748246
51,2640066.340200459,2633653.6478467034
52,2639871.774447945,2630852.486296325
53,2635553.411631039,2629542.5088096024
54,2639355.780878084,2630236.3967786524
55,2640572.2661889065,2632883.9769580774
56,2638971.3200021144,2632361.7099444084
57,2637628.3592415657,2632360.7450347673
58,2635739.1211210825,2626822.1587531385
59,2637946.7159165293,2631450.0922137178
60,2637889.834298024,2631257.1965764603
61,2634400.0200299188,2625279.874217007
62,2633919.583115664,2625580.06262966
63,2631002.445101169,2623831.020962963
64,2639709.853710347,2632239.0596778058
65,2636664.7547667855,2630157.7108471757
66,2640520.442162008,2634339.2289329744
67,2640730.4274826623,2633055.320967443
68,2636055.260443807,2626835.1142378445
69,2635695.852821823,2629312.7457594387
70,2629347.92710984,2622193.074055225
71,2644251.900831556,2635306.697040291
72,2635755.5104040094,2630475.9474328104
73,2635324.0410021828,2629297.450273846
74,2636897.996661824,2628476.634913844
75,2631815.2507217815,2624855.953687384
76,2639209.928686799,2632652.379637555
77,2631669.228378916,2624889.907533628
78,2632464.0034634275,2624515.489544701
79,2637379.4833299997,2626666.128414146
80,2630180.2586063193,2622226.344714136
81,2641501.9756927583,2635248.7870731917
82,2642294.0828436054,2634851.793251774
83,2637924.213759375,2631410.1912245736
84,2633918.533361743,2627090.3807167048
85,2637628.3592415657,2632360.7450347673
86,2636434.697338172,2629702.3787333895
87,2637410.45999806,2632006.21871824
88,2639755.4134657905,2634363.7297377083
89,2639591.8670054013,2631758.549897325
90,2637600.7820333354,2629475.489892806
91,2635210.102698967,2629964.456551145
92,2637645.976099928,2631354.9151992835
93,2637772.50567271,2632464.1001073513
94,2639124.9183316436,2632364.095414955
95,2634566.64237198,2626200.3438649443
96,2637253.4425955974,2627986.2390963268
97,2637438.7495034197,2632084.1333296746
98,2635679.9881051155,2630311.743095721
99,2636712.788470302,2630249.7500098124
