,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2638636.737229,2632285.9334834786
1,2642094.5504609314,2635658.6901597306
2,2639293.69476181,2633670.3535932195
3,2639047.477070176,2629523.550435853
4,2635397.6469297344,2627409.0321864937
5,2640164.272220336,2633524.825388075
6,2638548.4053261923,2633446.6780477185
7,2637741.0441940483,2632419.2341322564
8,2639193.546141164,2632849.3946503773
9,2639214.6384392185,2633216.8283100696
10,2630714.966371723,2626119.547207482
11,2632387.180123739,2625539.1235786
12,2636474.1281130994,2631859.6208617855
13,2639832.8735670224,2632862.9495491795
14,2635454.4404319674,2630923.229337849
15,2640016.5466154125,2634758.441861507
16,2634356.261638427,2625653.030366877
17,2632082.7521506473,2623480.590575304
18,2640540.3049624697,2633238.8083398854
19,2630318.793676487,2626209.0109793833
20,2640647.547638078,2634789.996315828
21,2634897.526327302,2626331.623323744
22,2631959.386767417,2625880.1300113993
23,2640272.6657061824,2635488.365684486
24,2639241.3871642267,2633581.775026839
25,2631328.0769713633,2626109.87911235
26,2641758.780976068,2634328.2167403027
27,2641663.851196721,2635896.0129285334
28,2639808.7626393093,2634516.785321628
29,2639939.985553703,2632028.2197062466
30,2641787.758472865,2632953.19749852
31,2631619.7022601506,2624725.496516806
32,2641489.8160313843,2635288.194197477
33,2642375.0821735077,2635123.6059418432
34,2640626.392261771,2631846.2546388255
35,2641420.408698032,2633660.198302757
36,2641923.1671521654,2636110.5060829287
37,2642038.9473945173,2633555.2606252097
38,2639064.2844829326,2633628.746454452
39,2644685.622555268,2635806.089882276
40,2631296.597937882,2626814.4086770318
41,2636569.075279284,2630054.9044630555
42,2639821.3347640247,2635069.806731797
43,2632333.2584525933,2628958.736838744
44,2637991.4838586403,2631444.015148565
45,2636356.962366077,2631624.3131077685
46,2639244.039864064,2634793.038490048
47,2637350.344767838,2629357.686354008
48,2639731.706998169,2633355.7053319607
49,2636760.158929744,2628859.706388593
50,2636641.7847894374,2632094.6138262963
51,2638186.9645259157,2633635.021818734
52,2636494.8018924226,2629794.6868319632
53,2639024.13453942,2633450.4553678827
54,2631046.225152977,2624426.197873448
55,2637110.880194721,2632607.8636744646
56,2635303.234738327,2626347.785546732
57,2639063.968306034,2632327.2679847525
58,2635547.921384284,2626523.2422070513
59,2632433.1981893433,2627802.731740684
60,2636312.920899584,2626784.964556965
61,2635834.5371825756,2626655.439149498
62,2631415.292367356,2624570.9225240513
63,2641953.4486712804,2636240.4025380528
64,2634994.6341846213,2629142.2579187304
65,2632478.3550214795,2625351.7529388634
66,2636641.7847894374,2632094.6138262963
67,2637092.592164333,2629433.3024865133
68,2637303.998802202,2632171.0759189124
69,2636507.3161652796,2628610.184317734
70,2644734.692613824,2636710.0966653433
71,2638959.217440704,2634322.73777152
72,2641347.5416592765,2632554.233734876
73,2640471.514440038,2634170.7310854355
74,2643115.3564212173,2634897.1629938995
75,2630442.1590597173,2623809.471543288
76,2639519.8713028086,2631815.299472157
77,2645146.6812047944,2637844.9047338627
78,2643801.6719816425,2636944.227597405
79,2636681.9961482985,2630239.426834756
80,2642270.5881004767,2635848.3777412856
81,2634310.163312775,2629589.4681325005
82,2638476.562000476,2633979.4114282536
83,2635362.309995179,2626322.8458327996
84,2643791.340793511,2635233.351538617
85,2634917.5661393004,2628222.731906673
86,2630071.243690284,2625525.708351411
87,2637453.9388716165,2628447.3442829596
88,2637717.650458322,2631992.697487592
89,2643517.222938665,2634557.6694078306
90,2636356.962366077,2631624.3131077685
91,2635170.8391328584,2629985.9011033294
92,2642421.015188856,2636611.2053321023
93,2634775.3756115446,2628887.362613334
94,2639915.3749367213,2634375.5476531517
95,2637194.6229161713,2628232.8511285633
96,2632052.660894081,2624963.690236748
97,2633867.129591953,2629550.04200677
98,2637575.771171824,2632856.4991222518
99,2636509.3638428296,2626645.7598387776
