,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2665717.369638241,2667048.1391817993
1,2668416.3648675545,2673093.896855331
2,2668785.5308146644,2670099.680609781
3,2665888.466994332,2668150.4935113657
4,2665362.567361293,2667970.8320228844
5,2668757.810963149,2671406.195691414
6,2668818.2482795175,2670502.352438456
7,2666797.243718638,2673229.6132096993
8,2662352.5503676245,2666573.8767595454
9,2662485.474126646,2666302.5326912324
10,2662682.5962308496,2666906.1447426397
11,2668238.577292535,2669417.2503008517
12,2669092.7202584925,2669713.406270899
13,2665894.1637093276,2670341.5895088483
14,2663961.92702315,2666517.3450051565
15,2660392.6409303276,2665463.028520367
16,2664643.8974113553,2668362.8737943927
17,2666634.378770722,2669537.4024963104
18,2661055.4751106678,2665437.1309004426
19,2663813.551555587,2668034.877947508
20,2667122.5690484606,2669293.8233982096
21,2670609.245889821,2669709.3179793665
22,2669385.680411928,2668603.41999054
23,2667159.1286004838,2667681.948427651
24,2666999.9945551264,2665665.0034508994
25,2665122.974737563,2668692.321514109
26,2664578.738777146,2666931.253939764
27,2666642.8517010575,2668014.7327263434
28,2668654.972271506,2667784.87873314
29,2666347.6128799515,2669455.761544797
30,2671769.286761776,2671754.6072854586
31,2662223.874382021,2666371.143516662
32,2668906.9444752485,2668008.1770749325
33,2663763.97976182,2668121.80177099
34,2669915.954175145,2670519.226978561
35,2668553.886533431,2670792.371441651
36,2661099.244156619,2665655.5997690344
37,2665870.0729508153,2669743.0055550053
38,2669915.954175145,2670519.226978561
39,2662325.3009394202,2667640.1846092455
40,2662755.115948016,2666752.6081055338
41,2661576.210477089,2667126.0003070864
42,2666052.283670282,2668744.8719665175
43,2663767.962618666,2668484.3512184923
44,2664942.2732048747,2668839.6522046383
45,2660661.5938553223,2665267.0838795006
46,2665583.599228828,2669874.3782990896
47,2658823.7877470483,2664274.0624913266
48,2663857.9922053516,2667647.758230662
49,2664902.162155431,2669836.548628046
50,2662134.7350406135,2665290.680689509
51,2665580.973822967,2666715.5111379097
52,2668701.9616245977,2671742.2489106786
53,2670927.105441606,2669881.6698571984
54,2661099.244156619,2665655.5997690344
55,2666363.4976496315,2668429.715365231
56,2667566.4753199103,2670825.6984282327
57,2667150.444275438,2667673.264102605
58,2667757.8816426503,2668953.2601117557
59,2669626.8349561263,2670707.868958352
60,2667479.5028891372,2667947.338227258
61,2663384.303789335,2666160.6050360864
62,2671005.7130938466,2670224.613182598
63,2673211.9867473263,2671561.2230794523
64,2669910.9552742178,2671164.0676626046
65,2664011.153259267,2670529.7987453053
66,2668731.909570681,2669896.19965108
67,2663431.2667957675,2668591.709622654
68,2664143.5974188126,2668367.145930602
69,2664981.469077352,2669724.318938737
70,2669077.403797752,2670286.0046846345
71,2664070.7673043087,2665576.2458337317
72,2669063.841786816,2669961.374684181
73,2661337.138431277,2665779.8316277824
74,2666726.694550894,2669565.707126004
75,2666703.8566336012,2668982.361446669
76,2668857.1525030443,2667522.161398817
77,2663845.159222375,2667052.4456073246
78,2668553.254543589,2667219.4239495005
79,2662568.4576550284,2667476.048417395
80,2661460.8844141047,2665888.878004251
81,2670319.6680743936,2668601.6738480483
82,2668425.97949022,2670823.143724591
83,2665214.4120117426,2667387.698958383
84,2662876.3323164973,2664805.596930054
85,2664615.4888510047,2666227.809449109
86,2666722.370307362,2667642.576184564
87,2664489.096131542,2668547.62569579
88,2663097.899705989,2667141.7296638773
89,2665122.974737563,2668692.321514109
90,2664008.827027144,2665768.030490617
91,2664309.7858521515,2667127.1985806306
92,2668770.292993688,2670454.397152627
93,2667785.260941364,2672194.029390203
94,2668834.114841518,2670744.2687223745
95,2666690.651020681,2668493.9836034994
96,2665180.043339248,2666762.529565263
97,2664423.5478986995,2671151.341451626
98,2669943.3962635957,2670796.347947012
99,2666690.651020681,2668493.9836034994
