,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2661999.4765708027,2660378.9054646464
1,2658803.2987645944,2659134.9022526713
2,2661733.336235046,2660155.8954344997
3,2656389.1607677354,2656665.710734125
4,2657560.623778843,2657590.8116271123
5,2660074.0804044,2660605.8271458326
6,2660667.5744936336,2659043.7180782966
7,2658469.5840387093,2658498.45382093
8,2661815.993397095,2660035.253294031
9,2660934.686884051,2659729.854316363
10,2663889.6357712476,2660402.9791443455
11,2660316.700473627,2659474.4230807032
12,2662805.7457121173,2659302.8426777376
13,2655495.130193707,2655703.7345716264
14,2659735.074170903,2657018.0039112037
15,2658622.583501399,2658119.8719734396
16,2657437.854711731,2656450.1908231527
17,2661857.2422994394,2659294.033313494
18,2662962.507269823,2661019.6704964866
19,2661997.7209992674,2661054.49213512
20,2661815.993397095,2660035.253294031
21,2663950.2698155507,2661637.743057674
22,2660973.8939178335,2660158.480944629
23,2663389.2290951875,2659901.4402741985
24,2664316.5383631657,2660548.3097160235
25,2660194.4951901473,2660725.7886781795
26,2667123.497216321,2663159.8080362817
27,2659333.4902161104,2659861.9524519676
28,2659848.9964774176,2659969.1130814897
29,2656014.238854046,2656509.2563276915
30,2662632.883560868,2660580.483732179
31,2664860.597877419,2660998.092760563
32,2656095.1264076326,2656305.048851601
33,2659420.891402977,2659043.155694059
34,2659484.5571238142,2659703.548896947
35,2660900.857595754,2658579.983373694
36,2663460.7633818663,2661835.9399361657
37,2658575.596863948,2658795.9067031294
38,2666677.735160559,2663894.984713264
39,2661715.0763600348,2659366.3738343753
40,2661561.8701517237,2660824.812856891
41,2659500.9507604605,2658617.767329838
42,2660032.6980155073,2659037.600798278
43,2658469.5840387093,2658498.45382093
44,2664505.8934503472,2663731.2276377454
45,2657625.6693911776,2657462.3852981897
46,2656029.6033936148,2656239.5258375825
47,2656914.9496425968,2657191.5004125917
48,2659018.1706607486,2658015.968400512
49,2661366.9669191036,2660655.8061673786
50,2658387.995289455,2658503.9625753034
51,2658286.727218892,2658627.082101668
52,2664505.8934503472,2663731.2276377454
53,2658367.9866605895,2658401.427835631
54,2662148.639710185,2660786.8351118676
55,2659766.390115707,2659799.8312907484
56,2664754.067740081,2661904.2211880647
57,2661441.3563813604,2659966.4868146987
58,2660349.6194918365,2660255.2543464154
59,2661247.548705466,2659390.1889541177
60,2659952.746837471,2658963.8036445575
61,2664317.7346655317,2660349.474092671
62,2667666.3604282085,2663808.426704173
63,2661853.7510207933,2660275.856966847
64,2661733.336235046,2660155.8954344997
65,2658491.7456495087,2657498.653138371
66,2662145.607641232,2660979.312545843
67,2663104.82864051,2660395.3335327534
68,2663646.35698574,2661015.8452836024
69,2663051.186548219,2660342.1135150595
70,2662067.595749539,2659632.6247291327
71,2659333.4902161104,2659861.9524519676
72,2662300.9016737575,2660022.759583113
73,2658120.5749716945,2658455.112012894
74,2657215.125066113,2656834.1360304225
75,2660874.794819203,2660336.1094582765
76,2660793.130851674,2658058.758829292
77,2658796.1195476493,2659327.4130356815
78,2660833.053332831,2658423.9563851226
79,2665641.7302377718,2662552.2270291066
80,2660392.749832831,2658810.7064606603
81,2659502.147062826,2658418.931706486
82,2662667.5919634644,2660233.939009107
83,2667123.497216321,2663159.8080362817
84,2658693.4006102616,2658312.4115745714
85,2659485.3286073934,2659258.5753746033
86,2660589.6446186304,2658147.2153916573
87,2664282.534505005,2661876.586093897
88,2663396.9415340363,2661968.0006958297
89,2656389.1607677354,2656665.710734125
90,2655957.0836764486,2655888.21652022
91,2663135.20315619,2660572.4474236453
92,2660607.9458210426,2659303.557976527
93,2660460.025133527,2659238.0378479864
94,2660229.1506084055,2659026.2090529613
95,2655830.7347347355,2656175.8757146415
96,2662492.589391969,2661486.4440093236
97,2659969.471480413,2660364.228366458
98,2661772.9101262502,2659558.717081368
99,2662300.9016737575,2660022.759583113
