,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,353813.31756310933,349007.9646012327
1,2021_0,204808.34852994955,206314.44058870073
2,2026_0,200817.69547961556,200234.65414717555
3,2031_0,217741.94031851646,216166.05236980986
4,2036_0,210458.44160051647,208639.7536907804
5,2041_0,201499.22520817505,206327.75248997792
6,2016_1,349558.8135934372,341466.14601492306
7,2021_1,212697.9662623368,215836.83815406074
8,2026_1,202691.99745692624,202684.62039015538
9,2031_1,216277.37526946692,214774.15331090873
10,2036_1,203522.7619613532,203052.11137277287
11,2041_1,202013.23608555135,204537.75117368376
12,2016_2,349249.5371479273,343968.7529553656
13,2021_2,211171.66269281026,212873.23020256148
14,2026_2,201046.10381788312,201046.1039504107
15,2031_2,207937.1470314543,207314.53437737224
16,2036_2,204512.47353142593,203046.2344395137
17,2041_2,207377.0505944373,211872.69560457603
18,2016_3,347364.53257415514,342083.74838159344
19,2021_3,213670.19911397234,215371.76662372355
20,2026_3,203875.45676965587,203867.8807897498
21,2031_3,204481.38050367264,203939.1561751408
22,2036_3,201299.2330102223,201237.89639933026
23,2041_3,212592.35255051398,213247.0883721978
24,2016_4,349558.8135934372,341466.14601492306
25,2021_4,213310.1405891633,216449.01248088724
26,2026_4,202996.76714783226,202982.13108056664
27,2031_4,214348.1043749803,212776.52156771248
28,2036_4,202438.56055710794,202171.27412667204
29,2041_4,205350.79012104843,208592.9881427918
30,2016_5,347364.5325741551,342083.74838159326
31,2021_5,213787.28236849903,215488.8498782502
32,2026_5,202996.76714783235,202982.1310805666
33,2031_5,215292.45226733407,213793.279723914
34,2036_5,204474.285162482,204128.45093183123
35,2041_5,203005.7528950582,205525.97753596643
36,2016_6,351928.31298933725,347122.96002746077
37,2021_6,207423.96820563835,208930.06026438953
38,2026_6,204476.85287566166,203893.8281733689
39,2031_6,217823.69776125526,215830.84250118994
40,2036_6,203425.69834780684,203235.16409484003
41,2041_6,202554.53624480526,207371.70139707
42,2016_7,353504.0411175994,351510.5715416755
43,2021_7,202669.87063359658,202738.65831037497
44,2026_7,200833.72803746865,200243.42770453385
45,2031_7,218998.4369743635,217426.6167028746
46,2036_7,205099.3446555028,203279.78987319762
47,2041_7,203102.70514619414,207870.66509142163
48,2016_8,353504.0411175994,351510.5715416755
49,2021_8,200612.17446773898,200612.17441064602
50,2026_8,207525.6521960183,206824.8284030401
51,2031_8,217743.30740384106,215745.58938194398
52,2036_8,202933.8041878412,202798.36081650734
53,2041_8,202490.04105022553,207058.44763667346
54,2016_9,353504.0411175994,351510.5715416755
55,2021_9,200612.17446773898,200612.17441064602
56,2026_9,206669.0732395887,205968.2494466105
57,2031_9,213923.59350804932,212347.78046904298
58,2036_9,202053.32291142162,201695.02395943392
59,2041_9,206106.27576802555,210630.21372221492
60,2016_10,351619.0365438273,349625.5669679033
61,2021_10,205168.40705475863,205237.19473153705
62,2026_10,201712.41765929223,201129.177413717
63,2031_10,209007.3939016365,208387.5659113896
64,2036_10,210146.19182626848,208621.4334305199
65,2041_10,207795.95681464518,208532.89482894796
66,2016_11,349249.5371479273,343968.7529553656
67,2021_11,210442.40511145708,212143.97262120826
68,2026_11,199999.9998029197,199999.99993544727
69,2031_11,219853.95747318276,218265.4085608984
70,2036_11,206412.2177068119,204533.49349685328
71,2041_11,202944.73690038183,205186.1986965183
72,2016_12,353813.3175631094,349007.9646012329
73,2021_12,204196.17420312305,205702.26626187426
74,2026_12,203392.43686313176,202809.412160839
75,2031_12,216142.98322396204,214567.09527522078
76,2036_12,203988.98957607406,203608.5727008769
77,2041_12,205823.59729887653,206412.9859598058
78,2016_13,347364.53257415514,342083.74838159344
79,2021_13,213787.28236849906,215488.84987825027
80,2026_13,202980.5658156598,202972.98983575375
81,2031_13,213390.04662128605,211886.82370611856
82,2036_13,204328.6268724213,203985.0476659592
83,2041_13,203935.89836221247,206568.74428620638
84,2016_14,353504.0411175994,351510.5715416755
85,2021_14,202669.87063359658,202738.65831037497
86,2026_14,201690.30699389824,201100.00666096344
87,2031_14,206971.79685381407,206356.90653513419
88,2036_14,213043.61580765396,211907.6657910234
89,2041_14,200051.85532181198,204688.6960216167
90,2016_15,353813.3175631094,349007.9646012329
91,2021_15,200612.17446773898,203771.1737361041
92,2026_15,209898.9709201423,209421.79397095428
93,2031_15,216906.12263430533,214908.39845605468
94,2036_15,202430.70115782326,202385.60786237285
95,2041_15,205711.0676526034,208501.1671081442
96,2016_16,351619.0365438273,349625.5669679033
97,2021_16,203227.79414342777,203227.79408633482
98,2026_16,206537.98435909452,205830.10047875674
99,2031_16,215314.4380151243,213742.59947417627
100,2036_16,205522.27729511596,205263.76131848947
101,2041_16,205710.4699356545,206217.23912043127
102,2016_17,353504.0411175994,351510.5715416755
103,2021_17,200117.08339543923,200117.08333834627
104,2026_17,207987.95282724482,207280.068946907
105,2031_17,206133.3065407649,205522.4665864525
106,2036_17,200000.0000816786,200033.4877587694
107,2041_17,211605.5383708879,210561.3709637685
108,2016_18,349249.5371479273,343968.7529553656
109,2021_18,201726.286929105,203877.71121867737
110,2026_18,214647.93030644685,215169.6885283698
111,2031_18,199999.99997653457,199999.99993200728
112,2036_18,210732.57733593747,210602.39460330605
113,2041_18,200000.00001466036,199999.9999590285
114,2016_19,349249.5371479273,343968.7529553656
115,2021_19,211171.66269281026,212873.23020256148
116,2026_19,202996.76714783226,202982.13108056664
117,2031_19,215123.3185237623,213624.1459803423
118,2036_19,205719.34633507617,205377.63351034655
119,2041_19,202887.42473761097,205391.2897340201
120,2016_20,351619.0365438273,349625.5669679033
121,2021_20,203344.8773979545,203344.87734086157
122,2026_20,207365.54004454662,206664.7162515684
123,2031_20,216049.4686610461,214056.68831071563
124,2036_20,202094.63756529562,202086.1712634849
125,2041_20,203092.38684346076,207791.93741312012
126,2016_21,347364.53257415514,342083.74838159344
127,2021_21,213787.28236849906,215488.84987825027
128,2026_21,200985.2037409305,200985.2038734581
129,2031_21,218918.3842772652,216917.80572522344
130,2036_21,204542.253183803,203128.7460877223
131,2041_21,204213.2328343096,208852.11724696745
132,2016_22,353813.3175631094,349007.9646012329
133,2021_22,202867.7356186187,204305.03994349853
134,2026_22,207426.60889581862,206725.9840159756
135,2031_22,206872.913919641,206258.10042387957
136,2036_22,202785.15300296762,202592.8043627788
137,2041_22,206472.15558798017,207214.12626126155
138,2016_23,353504.0411175994,351510.5715416755
139,2021_23,200612.17446773898,200612.17441064602
140,2026_23,206537.98435909452,205830.10047875674
141,2031_23,215982.63479207098,214410.87212481204
142,2036_23,206161.20225304292,205816.45660120508
143,2041_23,201535.6674539964,203817.14531541098
144,2016_24,347364.5325741551,342083.74838159326
145,2021_24,213787.28236849903,215488.8498782502
146,2026_24,202996.76714783235,202982.1310805666
147,2031_24,214517.17744420815,212945.32065451134
148,2036_24,204046.4654003738,203790.86488310617
149,2041_24,206633.81302934795,207357.9836450058
150,2016_25,351619.0365438273,349625.5669679033
151,2021_25,203344.8773979545,203344.87734086157
152,2026_25,207381.74137671912,206673.8574963813
153,2031_25,217951.87430709414,215963.1443285112
154,2036_25,202240.29585535632,202229.574529357
155,2041_25,202162.24137630648,206749.17066288018
156,2016_26,353504.0411175994,351510.5715416755
157,2021_26,202669.87063359658,202738.65831037497
158,2026_26,201674.10566172574,201090.86541615057
