,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,350666.5704903868,347527.95675021317
1,2021_0,217026.11085339854,218010.72605770561
2,2026_0,201142.1053406702,201368.09787266224
3,2031_0,211448.55565794482,210925.71784494256
4,2036_0,205428.91450569936,201937.13745588975
5,2041_0,203238.0331153686,205290.9865270222
6,2016_1,361139.08347126393,359994.9062983873
7,2021_1,203725.73990373698,203725.93734609228
8,2026_1,200288.73720157577,200288.73721014167
9,2031_1,220441.54990556467,218958.06257193125
10,2036_1,207286.73988413988,203468.90141741873
11,2041_1,203374.99259198067,205122.27399755522
12,2016_2,361139.08347126393,359994.9062983873
13,2021_2,203569.6288977014,203569.82634005666
14,2026_2,200240.65906342817,200405.3878609297
15,2031_2,206887.80007395102,207018.1420281769
16,2036_2,211089.52346099922,210637.05580801875
17,2041_2,204470.69687958327,202078.1638168692
18,2016_3,350666.5704903868,347527.9567502134
19,2021_3,216869.99984736287,217854.61505166994
20,2026_3,204023.32564648986,204249.4030586566
21,2031_3,213762.59735436982,212186.70851378728
22,2036_3,201571.2798476478,201219.0884524303
23,2041_3,209679.03453953916,212074.13428186497
24,2016_4,358019.5111584481,356875.33398557146
25,2021_4,207213.2328046554,207213.4302470107
26,2026_4,204182.40173648123,204182.40199617256
27,2031_4,214838.17838151375,212963.45573896047
28,2036_4,206145.25160427118,205669.67342342404
29,2041_4,203392.89080003358,202971.93876718965
30,2016_5,357487.3734595263,356343.19628664985
31,2021_5,210064.5366664594,210064.7341088144
32,2026_5,200364.6553394613,200364.65534802713
33,2031_5,218156.91158265315,216673.42424901974
34,2036_5,209420.44715149517,205486.6291360901
35,2041_5,208907.00548440192,208132.35362656033
36,2016_6,350134.43279146496,346995.81905129174
37,2021_6,219877.41471520247,220862.02991950925
38,2026_6,200000.00006543077,200225.9925974228
39,2031_6,207217.47779275652,207309.53024982434
40,2036_6,215131.56786015493,210902.2770835125
41,2041_6,203223.20242740252,201195.1828546318
42,2016_7,358019.5111584481,356875.33398557146
43,2021_7,204459.83628562948,204459.83617381196
44,2026_7,204025.41497297157,201272.3370432148
45,2031_7,222595.28310016263,222766.23157538494
46,2036_7,209982.36619322383,207000.7325623146
47,2041_7,200000.0000261854,201810.88516895677
48,2016_8,360606.9457723421,359462.76859946566
49,2021_8,199999.99994290678,199999.99983108905
50,2026_8,206064.19955031568,203311.12162055867
51,2031_8,225361.2478983741,225949.16368492047
52,2036_8,207736.81864770292,203867.3944419889
53,2041_8,200749.66706443048,200103.60240218538
54,2016_9,350134.43279146496,346995.81905129174
55,2021_9,204521.06137509338,206208.45272655707
56,2026_9,220436.31205048383,220918.51781049196
57,2031_9,217353.95019410708,215777.5648204041
58,2036_9,204023.88719374247,203329.60914423296
59,2041_9,200000.00002388126,199999.99996083285
60,2016_10,350666.5704903868,347527.9567502134
61,2021_10,217026.1108533985,218010.7260577056
62,2026_10,203875.01683441526,204101.094246582
63,2031_10,200000.0000054581,200000.00002158133
64,2036_10,209902.23783826447,209106.8892281171
65,2041_10,205371.11671453906,203853.62645936568
66,2016_11,361139.08347126393,359994.9062983871
67,2021_11,203725.73990373695,203725.93734609228
68,2026_11,201506.53558227484,201506.53559084074
69,2031_11,210666.40583901323,210143.91709201553
70,2036_11,202310.52083757927,202390.46748404935
71,2041_11,210909.04856313753,208384.2312277354
72,2016_12,361139.08347126393,359994.9062983873
73,2021_12,203569.6288977014,203569.82634005666
74,2026_12,204330.7105485559,204330.71080824715
75,2031_12,215912.31061003474,214336.9097854981
76,2036_12,203032.49156122154,202399.5729106283
77,2041_12,204033.8873206323,206029.14712716645
78,2016_13,361139.08347126393,359994.9062983871
79,2021_13,200816.2323786754,200816.23226685793
80,2026_13,209360.52925866918,209359.2524390794
81,2031_13,204224.9063958454,203610.4992079933
82,2036_13,201547.65620252103,201537.57475706885
83,2041_13,209083.27762807414,210982.81442516897
84,2016_14,360606.9457723421,359462.76859946566
85,2021_14,205760.81132977235,205761.0087721273
86,2026_14,200075.91820640836,200075.91821497423
87,2031_14,214164.12665865597,215235.6259907043
88,2036_14,215926.30374811662,211066.99325324156
89,2041_14,208091.97723521452,207291.78009497584
90,2016_15,350666.5704903868,347527.9567502134
91,2021_15,217026.1108533985,218010.7260577056
92,2026_15,203875.01683441526,204101.094246582
93,2031_15,214680.87759582687,212806.15495327365
94,2036_15,205774.20706454874,205278.17632527513
95,2041_15,208728.57793077308,207499.55686013892
96,2016_16,361139.08347126393,359994.9062983873
97,2021_16,203569.6288977014,203569.82634005666
98,2026_16,201654.8443943495,201654.8444029154
99,2031_16,210673.00512711247,210150.51638011474
100,2036_16,206242.7649121213,202605.11330071284
101,2041_16,211222.2690737294,208577.0749214056
102,2016_17,358019.5111584481,356875.33398557146
103,2021_17,202909.50746796833,202909.70491032363
104,2026_17,209546.23163905687,209546.2318987482
105,2031_17,214400.63599235428,212108.946038477
106,2036_17,200028.8605288584,200163.8667952637
107,2041_17,215189.72828202136,215577.8100628615
108,2016_18,361139.08347126393,359994.9062983873
109,2021_18,200972.34338471107,200972.34327289354
110,2026_18,208070.11517135508,208068.83835176536
111,2031_18,213756.34498044362,212180.93920595592
112,2036_18,201829.31894809488,201475.7329140658
113,2041_18,203330.35637181616,205515.8562313231
114,2016_19,358019.5111584481,356875.33398557146
115,2021_19,207057.12179861977,207057.31924097508
116,2026_19,205119.53566550996,205284.26471413692
117,2031_19,216636.4104405118,214382.66091778805
118,2036_19,203087.8290498032,203241.60491294556
119,2041_19,203294.3407811935,205228.62292961552
120,2016_20,350666.5704903868,347527.9567502134
121,2021_20,216209.87841762986,217194.49362193688
122,2026_20,205836.50916621924,206062.586578386
123,2031_20,217575.67140049665,215582.81524859005
124,2036_20,200300.4674226571,200247.0291276267
125,2041_20,203449.44275679253,205973.37372207802
126,2016_21,360606.9457723421,359462.76859946566
127,2021_21,203569.6288977014,203569.82634005646
128,2026_21,208637.240789294,208637.2410489851
129,2031_21,205164.24022853782,204250.51617262024
130,2036_21,202240.26180393362,202176.59960554334
131,2041_21,209740.4931558448,207320.6805318919
132,2016_22,361139.08347126393,359994.9062983873
133,2021_22,203569.6288977014,203569.82634005666
134,2026_22,205472.81582379533,205472.8160834866
135,2031_22,206380.87202543655,205766.4697875356
136,2036_22,202945.30533630532,202626.48584597182
137,2041_22,211440.43394645728,209122.55233227418
138,2016_23,350666.5704903868,347527.9567502134
139,2021_23,202485.98994905804,204173.381300522
140,2026_23,221791.23632089063,222273.44208089888
141,2031_23,217307.8070131422,215314.45432811521
142,2036_23,202876.05572569038,202777.91434719108
143,2041_23,201344.13483868877,203717.58427538158
144,2016_24,347546.998177571,344408.3844373976
145,2021_24,220513.60375431692,221498.218958624
146,2026_24,204860.22890159153,205086.30631375828
147,2031_24,217691.5011192691,215698.6449673625
148,2036_24,203265.94572746503,203263.80288123808
149,2041_24,203102.66616414013,205733.259170274
150,2016_25,361139.08347126393,359994.9062983873
151,2021_25,200156.11094894243,200156.11083712487
152,2026_25,205077.3883430589,202324.3104133021
153,2031_25,211963.74980915844,213512.6641823405
154,2036_25,203307.8180728148,200000.0000894699
155,2041_25,210006.92877274033,207503.06013028268
156,2016_26,361139.08347126393,359994.9062983873
157,2021_26,200156.11094894243,200156.11083712487
158,2026_26,210107.30060861874,210106.023789029
159,2031_26,204224.90639584544,203610.49920799342
160,2036_26,200034.70186717084,200000.0000890567
161,2041_26,210571.66159210258,208444.0200308922
162,2016_27,350134.43279146496,346995.81905129174
163,2021_27,216869.99984736287,217854.6150516697
164,2026_27,208329.85588722798,208555.93329939456
165,2031_27,206428.17842459318,205813.28817064632
166,2036_27,202211.4011836952,202023.93919009328
167,2041_27,202179.4483504435,204738.87430258456
168,2016_28,361139.08347126393,359994.9062983873
169,2021_28,203569.6288977014,203569.82634005666
170,2026_28,205472.81582379533,205472.8160834866
171,2031_28,202967.22057371627,202053.4965177987
172,2036_28,201512.95424296998,201598.66180322386
173,2041_28,209907.40874658668,211636.4113335358
174,2016_29,361139.08347126393,359994.9062983873
175,2021_29,200816.23237867543,200816.2322668579
176,2026_29,209360.52925866918,209359.25243907943
177,2031_29,205163.95729093853,204250.23323502095
178,2036_29,201788.28750200855,201713.85279491884
179,2041_29,209263.63206996367,209870.84698078496
180,2016_30,350666.5704903868,347527.95675021317
181,2021_30,217026.11085339854,218010.72605770561
182,2026_30,200075.69317089042,200301.68570288245
183,2031_30,220736.28876058978,219252.45236095195
184,2036_30,209996.35470004246,205906.03830214436
185,2041_30,203419.94065972956,203197.94591010653
186,2016_31,357487.3734595263,356343.19628664985
187,2021_31,207057.12179861977,207057.31924097487
188,2026_31,204738.06925724467,204738.0692658104
189,2031_31,221699.6102972214,219799.155652264
190,2036_31,206340.52070878874,202731.8620494422
191,2041_31,202880.08710230925,204563.87681684305
192,2016_32,361139.08347126393,359994.9062983871
193,2021_32,202753.3964619327,202753.593904288
194,2026_32,202549.92455637368,202549.92456493955
195,2031_32,219386.7609236274,217486.30627866994
196,2036_32,199999.99990739775,200236.41924408762
197,2041_32,210127.33410984042,211735.74990851662
198,2016_33,358019.5111584481,356875.33398557146
199,2021_33,207057.12179861977,207057.31924097508
200,2026_33,205391.6157211918,205391.61598088313
201,2031_33,216190.45672935966,213898.7667754824
202,2036_33,202338.01760060107,202325.76224463872
203,2041_33,203734.83221337575,205619.9939269519
204,2016_34,358019.5111584481,356875.33398557146
205,2021_34,204303.72527959387,204303.7251677763
206,2026_34,209279.32915606565,209278.05233647593
207,2031_34,206537.56143479588,205923.15424694386
208,2036_34,202063.59661116166,201982.24160876076
209,2041_34,209887.02079802696,207625.73761955556
210,2016_35,358019.5111584481,356875.33398557146
211,2021_35,207057.12179861977,207057.31924097508
212,2026_35,201573.64429174596,201573.6443003119
213,2031_35,216186.8843799053,216841.4164006296
214,2036_35,214368.15190651594,209888.3470099465
215,2041_35,203320.03960778084,204966.27927525327
216,2016_36,361139.08347126393,359994.9062983873
217,2021_36,202753.3964619327,202753.593904288
218,2026_36,204041.97341550293,204041.97367519425
219,2031_36,217581.35045983066,216005.94963529403
220,2036_36,205134.0440148796,204378.3677281592
221,2041_36,203838.47179291782,203500.03101154394
222,2016_37,361139.08347126393,359994.9062983873
223,2021_37,202909.50746796833,202909.70491032363
224,2026_37,206219.58717374486,206219.58743343613
225,2031_37,202967.22057371627,202053.4965177987
226,2036_37,199999.99990761973,200061.0871352117
227,2041_37,223321.9827838876,219393.08546253448
228,2016_38,358019.5111584481,356875.33398557146
229,2021_38,207213.2328046554,207213.4302470107
230,2026_38,201349.64237421172,201349.64238277762
231,2031_38,211025.94103973891,210503.4522927412
232,2036_38,202861.46591170103,203171.6195479478
233,2041_38,210271.3379103637,207794.4301891787
234,2016_39,361139.08347126393,359994.9062983873
235,2021_39,200816.23237867543,200816.2322668579
236,2026_39,203188.51171786993,200435.4337881131
237,2031_39,207732.5910448449,209896.39568809705
238,2036_39,213044.44010304037,209033.39150548493
239,2041_39,209889.67221249844,207214.42886843494
240,2016_40,361139.08347126393,359994.9062983873
241,2021_40,200816.23237867543,200816.2322668579
242,2026_40,203188.51171786993,200435.4337881131
243,2031_40,209929.41636502292,212093.22100827505
244,2036_40,213771.74766400398,209622.5362529874
245,2041_40,203521.40852414272,200998.4866252302
246,2016_41,361139.08347126393,359994.9062983873
247,2021_41,202753.3964619327,202753.593904288
248,2026_41,206367.89598581952,206367.89624551078
249,2031_41,217291.45314212955,215299.08500626887
250,2036_41,201556.56848774504,201226.65344585307
251,2041_41,204289.83484787366,206288.93233588387
252,2016_42,350666.5704903868,347527.9567502134
253,2021_42,217026.1108533985,218010.7260577056
254,2026_42,201217.79844612986,201443.79097812192
255,2031_42,222115.43129268457,220214.62758172263
256,2036_42,206424.1829229123,202753.8439913796
257,2041_42,203738.93839487573,205854.48191463674
258,2016_43,358019.5111584481,356875.3339855713
259,2021_43,202753.3964619327,202753.593904288
260,2026_43,209694.54045113144,209694.54071082277
261,2031_43,216597.46131253225,214305.771358655
262,2036_43,200561.6915691644,200587.94045042564
263,2041_43,208822.1054102139,209331.08411324097
264,2016_44,347014.8604786491,343876.2467384759
265,2021_44,223364.90761612088,224349.52282042766
266,2026_44,201136.82337595223,201362.81590794426
267,2031_44,211320.63123998098,210797.79342697875
268,2036_44,205934.22078651184,202334.8089701325
269,2041_44,209359.05508083387,207169.61788226155
270,2016_45,361139.08347126393,359994.9062983873
271,2021_45,200156.11094894243,200156.11083712487
272,2026_45,210031.6075031591,210030.33068356934
273,2031_45,206658.8379098775,206044.43072202543
274,2036_45,200045.33599499907,200035.78913668796
275,2041_45,209802.10552463686,207513.49444249817
276,2016_46,347546.998177571,344408.3844373976
277,2021_46,220513.60375431692,221498.218958624
278,2026_46,204935.92200705118,205161.99941921793
279,2031_46,213985.62381461528,211693.933860738
280,2036_46,201293.88853904486,201411.44212530155
281,2041_46,215227.25603499668,216183.4517885956
