,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,518303.7154910199,519695.4894474889
1,2021_0,201077.79396819958,204762.68461684085
2,2026_0,119686.16171805165,114979.41646812952
3,2031_0,33678.38181976054,33678.3818197606
4,2036_0,130879.98114695445,133977.2014932759
5,2041_0,137852.26364902576,137142.3676674662
6,2016_1,518303.7154910201,519695.48944748915
7,2021_1,201077.79396819964,204762.68461684088
8,2026_1,116705.0143211406,111998.28486223369
9,2031_1,35706.61129511285,38560.91977881122
10,2036_1,136191.42102642535,138505.45976468336
11,2041_1,137038.9392327889,138399.32556346292
12,2016_2,516109.434471738,517501.208428207
13,2021_2,199633.53722483673,202972.13194157046
14,2026_2,120119.37832784199,112661.94332080806
15,2031_2,39787.02815957048,41374.25598877512
16,2036_2,126609.49687446105,130200.9819741831
17,2041_2,143699.9872243948,144311.48875969226
18,2016_3,518303.7154910201,519695.48944748915
19,2021_3,199156.39544550097,202494.99016223467
20,2026_3,122543.96083354559,117713.1029519838
21,2031_3,37409.92540140258,37420.39076275526
22,2036_3,127918.73838376084,131308.82339827623
23,2041_3,136094.21668978216,136855.94936911954
24,2016_4,518303.7154910201,519695.48944748915
25,2021_4,201077.79396819964,204762.68461684088
26,2026_4,117561.5932775702,112854.86381866327
27,2031_4,37037.82448117829,37048.195546421375
28,2036_4,123761.72650216756,126977.0646815176
29,2041_4,143622.79363696402,144456.8460056461
30,2016_5,517994.43904551014,519386.21300197917
31,2021_5,198327.14174502014,202012.03239366141
32,2026_5,116375.87835926878,111925.14844644991
33,2031_5,35930.00335554783,38784.3118392462
34,2036_5,139416.17385364932,141730.06133188042
35,2041_5,137986.89955056304,136382.44914622535
36,2016_6,518303.7154910201,519695.48944748915
37,2021_6,196900.83429462122,200239.42901135492
38,2026_6,121796.23024700813,114338.7952399742
39,2031_6,42841.35319277344,44428.581021978076
40,2036_6,129515.62266342551,133008.37577108524
41,2041_6,135888.3872469833,137090.04854971165
42,2016_7,518303.7154910201,519695.48944748915
43,2021_7,200465.6196413731,204150.51029001438
44,2026_7,118281.76368105161,113831.03376823274
45,2031_7,34252.05624834994,37106.36473204831
46,2036_7,134536.46240409967,136964.40145692325
47,2041_7,137172.74996391172,140423.3623115438
48,2016_8,509250.8636608985,509380.1607238512
49,2021_8,207742.41296568033,211891.33232357068
50,2026_8,123768.47517961873,119240.82332869573
51,2031_8,35022.021483887904,35032.412537152326
52,2036_8,124795.00167660475,128112.26169119809
53,2041_8,137077.70891767048,140770.29888069534
54,2016_9,517994.43904551014,519386.21300197917
55,2021_9,198327.14174502014,202012.03239366141
56,2026_9,119340.82442400735,114890.07872017327
57,2031_9,37164.45626580015,37174.847259784176
58,2036_9,126794.64072667526,130240.80460525096
59,2041_9,138199.99107141895,140083.47412552216
60,2016_10,511135.86823467066,511265.16529762343
61,2021_10,207742.41296568033,211891.33232357068
62,2026_10,121273.49183063472,116745.8399797117
63,2031_10,35021.63095873637,35032.02201200079
64,2036_10,124554.161421179,127893.0311602195
65,2041_10,138244.39626829696,141917.19568951658
