,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,510166.5273226071,495340.18233400397
1,2021_0,203038.85523319035,205582.49000753005
2,2026_0,119515.53497127377,123021.95624819964
3,2031_0,34098.03920849896,36567.64699944524
4,2036_0,126343.56647400848,125292.08109647404
5,2041_0,139610.04792504004,149239.43877913657
6,2016_1,514485.61760380067,502058.842939504
7,2021_1,197151.69075328583,199266.56778800397
8,2026_1,120407.5264010648,123906.27195038371
9,2031_1,34717.540060680556,36207.3392413981
10,2036_1,127839.10777084681,126555.99577820602
11,2041_1,138377.0504821538,147663.2448737896
12,2016_2,514485.61760380067,502058.842939504
13,2021_2,198655.7970078845,200378.98582072963
14,2026_2,119210.76030354481,122626.86124198802
15,2031_2,32521.897201090575,34080.66513794432
16,2036_2,126079.32966022192,124743.83680909392
17,2041_2,143047.88096642145,149656.4118371708
18,2016_3,513334.927013859,500908.1523495623
19,2021_3,196743.97335608036,198467.16216892548
20,2026_3,117598.39043564307,121337.13445428971
21,2031_3,36790.32477591451,39104.59001822351
22,2036_3,126715.14265480748,125801.00047106734
23,2041_3,136033.85686785818,150354.21353344154
24,2016_4,514485.6176038004,502058.8429395037
25,2021_4,197152.08957396468,198875.27838680986
26,2026_4,120842.97560704476,124259.076545488
27,2031_4,34119.27669246835,35674.752848279255
28,2036_4,126817.41222362149,125991.38267044724
29,2041_4,138994.8083548386,148491.20298307246
30,2016_5,509516.09048787877,494689.7454992756
31,2021_5,205190.7179015339,207734.35267587355
32,2026_5,119130.46815748826,122796.91149844331
33,2031_5,33779.71987501663,36093.97177870294
34,2036_5,126648.75680858764,125578.39446429619
35,2041_5,138361.15325757186,151912.17014741333
36,2016_6,512684.49017913046,500257.7155148337
37,2021_6,198973.89152744168,200697.08034028686
38,2026_6,118747.69091951678,122159.0851330536
39,2031_6,34897.42081572405,37123.2294707964
40,2036_6,128722.28184628795,127556.10241499548
41,2041_6,138995.10864206124,149761.36516752146
42,2016_7,513835.1807690722,501408.40610477555
43,2021_7,200399.5434583437,202122.73227118887
44,2026_7,119170.16025224305,122586.26119068629
45,2031_7,32521.897201090575,34080.66513794432
46,2036_7,125976.72461299539,124852.59891419046
47,2041_7,146167.308447457,151843.02804779014
48,2016_8,511317.2179125489,496490.8729239458
49,2021_8,204950.67888499453,207494.31365933418
50,2026_8,116613.063625402,120191.78558001941
51,2031_8,36465.79259398069,38066.393022714015
52,2036_8,132315.11447409232,127639.06077928537
53,2041_8,135764.14371529032,145566.67863262177
54,2016_9,510166.52732260723,495340.1823340041
55,2021_9,203116.9107362082,205660.54551054785
56,2026_9,118194.82941978835,121916.50855544143
57,2031_9,34793.96797072878,37064.27876300677
58,2036_9,127287.74419723233,126351.10941413799
59,2041_9,142658.36872286448,151203.3453381013
60,2016_10,511317.2179125487,496490.87292394566
61,2021_10,204542.56266711018,207086.19744144985
62,2026_10,119573.51540411486,123075.22995613431
63,2031_10,34386.81767680832,35996.741997888515
64,2036_10,126695.11220405815,125643.62749668972
65,2041_10,138441.78741056446,147766.53747744663
66,2016_11,513334.927013859,500908.1523495623
67,2021_11,197152.08957396468,198875.27838680983
68,2026_11,116672.96874084609,120411.71275949272
69,2031_11,36699.97759660537,38945.32371381934
70,2036_11,132619.90891937652,128516.80559203809
71,2041_11,137087.10418794613,146140.53803903388
72,2016_12,511317.2179125489,496490.8729239458
73,2021_12,199672.23349997026,204442.28550496974
74,2026_12,126335.61051613296,129811.44000489492
75,2031_12,35725.341689358436,37217.89238360148
76,2036_12,126386.69732926224,125272.11239023275
