,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,489963.76998797245,489963.76998797245
1,2021_0,205236.66457211043,205236.66457211043
2,2026_0,116450.51523804569,116450.51523804569
3,2031_0,34113.43255431064,34113.43255431064
4,2036_0,127671.82462660283,127671.82462660283
5,2041_0,144798.94317504799,144798.94317504799
6,2016_1,489963.76998797245,489963.76998797245
7,2021_1,205236.66457211043,205236.66457211043
8,2026_1,116450.51523804569,116450.51523804569
9,2031_1,34113.43255431064,34113.43255431064
10,2036_1,127671.82462660283,127671.82462660283
11,2041_1,144798.94317504799,144798.94317504799
12,2016_2,489963.76998797245,489963.76998797245
13,2021_2,205236.66457211043,205236.66457211043
14,2026_2,116450.51523804569,116450.51523804569
15,2031_2,34113.43255431064,34113.43255431064
16,2036_2,127671.82462660283,127671.82462660283
17,2041_2,144798.94317504799,144798.94317504799
18,2016_3,489963.76998797245,489963.76998797245
19,2021_3,205236.66457211043,205236.66457211043
20,2026_3,116450.51523804569,116450.51523804569
21,2031_3,34113.43255431064,34113.43255431064
22,2036_3,127671.82462660283,127671.82462660283
23,2041_3,144798.94317504799,144798.94317504799
24,2016_4,489963.76998797245,489963.76998797245
25,2021_4,205236.66457211043,205236.66457211043
26,2026_4,116450.51523804569,116450.51523804569
27,2031_4,34113.43255431064,34113.43255431064
28,2036_4,127671.82462660283,127671.82462660283
29,2041_4,144798.94317504799,144798.94317504799
30,2016_5,489963.76998797245,489963.76998797245
31,2021_5,205236.66457211043,205236.66457211043
32,2026_5,116450.51523804569,116450.51523804569
33,2031_5,34113.43255431064,34113.43255431064
34,2036_5,127671.82462660283,127671.82462660283
35,2041_5,144798.94317504799,144798.94317504799
36,2016_6,489963.76998797245,489963.76998797245
37,2021_6,205236.66457211043,205236.66457211043
38,2026_6,116450.51523804569,116450.51523804569
39,2031_6,34113.43255431064,34113.43255431064
40,2036_6,127671.82462660283,127671.82462660283
41,2041_6,144798.94317504799,144798.94317504799
42,2016_7,489963.76998797245,489963.76998797245
43,2021_7,205236.66457211043,205236.66457211043
44,2026_7,116450.51523804569,116450.51523804569
45,2031_7,34113.43255431064,34113.43255431064
46,2036_7,127671.82462660283,127671.82462660283
47,2041_7,144798.94317504799,144798.94317504799
48,2016_8,489963.76998797245,489963.76998797245
49,2021_8,205236.66457211043,205236.66457211043
50,2026_8,116450.51523804569,116450.51523804569
51,2031_8,34113.43255431064,34113.43255431064
52,2036_8,127671.82462660283,127671.82462660283
53,2041_8,144798.94317504799,144798.94317504799
54,2016_9,489963.76998797245,489963.76998797245
55,2021_9,205236.66457211043,205236.66457211043
56,2026_9,116450.51523804569,116450.51523804569
57,2031_9,34113.43255431064,34113.43255431064
58,2036_9,127671.82462660283,127671.82462660283
59,2041_9,144798.94317504799,144798.94317504799
60,2016_10,489963.76998797245,489963.76998797245
61,2021_10,205236.66457211043,205236.66457211043
62,2026_10,116450.51523804569,116450.51523804569
63,2031_10,34113.43255431064,34113.43255431064
64,2036_10,127671.82462660283,127671.82462660283
65,2041_10,144798.94317504799,144798.94317504799
66,2016_11,489963.76998797245,489963.76998797245
67,2021_11,205236.66457211043,205236.66457211043
68,2026_11,116450.51523804569,116450.51523804569
69,2031_11,34113.43255431064,34113.43255431064
70,2036_11,127671.82462660283,127671.82462660283
71,2041_11,144798.94317504799,144798.94317504799
72,2016_12,489963.76998797245,489963.76998797245
73,2021_12,205236.66457211043,205236.66457211043
74,2026_12,116450.51523804569,116450.51523804569
75,2031_12,34113.43255431064,34113.43255431064
76,2036_12,127671.82462660283,127671.82462660283
77,2041_12,144798.94317504799,144798.94317504799
78,2016_13,489963.76998797245,489963.76998797245
79,2021_13,205236.66457211043,205236.66457211043
80,2026_13,116450.51523804569,116450.51523804569
81,2031_13,34113.43255431064,34113.43255431064
82,2036_13,127671.82462660283,127671.82462660283
83,2041_13,144798.94317504799,144798.94317504799
84,2016_14,489963.76998797245,489963.76998797245
85,2021_14,205236.66457211043,205236.66457211043
86,2026_14,116450.51523804569,116450.51523804569
87,2031_14,34113.43255431064,34113.43255431064
88,2036_14,127671.82462660283,127671.82462660283
89,2041_14,144798.94317504799,144798.94317504799
90,2016_15,489963.76998797245,489963.76998797245
91,2021_15,205236.66457211043,205236.66457211043
92,2026_15,116450.51523804569,116450.51523804569
93,2031_15,34113.43255431064,34113.43255431064
94,2036_15,127671.82462660283,127671.82462660283
95,2041_15,144798.94317504799,144798.94317504799
96,2016_16,489963.76998797245,489963.76998797245
97,2021_16,205236.66457211043,205236.66457211043
98,2026_16,116450.51523804569,116450.51523804569
99,2031_16,34113.43255431064,34113.43255431064
100,2036_16,127671.82462660283,127671.82462660283
101,2041_16,144798.94317504799,144798.94317504799
102,2016_17,489963.76998797245,489963.76998797245
103,2021_17,205236.66457211043,205236.66457211043
104,2026_17,116450.51523804569,116450.51523804569
105,2031_17,34113.43255431064,34113.43255431064
106,2036_17,127671.82462660283,127671.82462660283
107,2041_17,144798.94317504799,144798.94317504799
108,2016_18,489963.76998797245,489963.76998797245
109,2021_18,205236.66457211043,205236.66457211043
110,2026_18,116450.51523804569,116450.51523804569
111,2031_18,34113.43255431064,34113.43255431064
112,2036_18,127671.82462660283,127671.82462660283
113,2041_18,144798.94317504799,144798.94317504799
114,2016_19,489963.76998797245,489963.76998797245
115,2021_19,205236.66457211043,205236.66457211043
116,2026_19,116450.51523804569,116450.51523804569
117,2031_19,34113.43255431064,34113.43255431064
118,2036_19,127671.82462660283,127671.82462660283
119,2041_19,144798.94317504799,144798.94317504799
120,2016_20,489963.76998797245,489963.76998797245
121,2021_20,205236.66457211043,205236.66457211043
122,2026_20,116450.51523804569,116450.51523804569
123,2031_20,34113.43255431064,34113.43255431064
124,2036_20,127671.82462660283,127671.82462660283
125,2041_20,144798.94317504799,144798.94317504799
126,2016_21,489963.76998797245,489963.76998797245
127,2021_21,205236.66457211043,205236.66457211043
128,2026_21,116450.51523804569,116450.51523804569
129,2031_21,34113.43255431064,34113.43255431064
130,2036_21,127671.82462660283,127671.82462660283
131,2041_21,144798.94317504799,144798.94317504799
132,2016_22,489963.76998797245,489963.76998797245
133,2021_22,205236.66457211043,205236.66457211043
134,2026_22,116450.51523804569,116450.51523804569
135,2031_22,34113.43255431064,34113.43255431064
136,2036_22,127671.82462660283,127671.82462660283
137,2041_22,144798.94317504799,144798.94317504799
138,2016_23,489963.76998797245,489963.76998797245
139,2021_23,205236.66457211043,205236.66457211043
140,2026_23,116450.51523804569,116450.51523804569
141,2031_23,34113.43255431064,34113.43255431064
142,2036_23,127671.82462660283,127671.82462660283
143,2041_23,144798.94317504799,144798.94317504799
144,2016_24,489963.76998797245,489963.76998797245
145,2021_24,205236.66457211043,205236.66457211043
146,2026_24,116450.51523804569,116450.51523804569
147,2031_24,34113.43255431064,34113.43255431064
148,2036_24,127671.82462660283,127671.82462660283
149,2041_24,144798.94317504799,144798.94317504799
150,2016_25,489963.76998797245,489963.76998797245
151,2021_25,205236.66457211043,205236.66457211043
152,2026_25,116450.51523804569,116450.51523804569
153,2031_25,34113.43255431064,34113.43255431064
154,2036_25,127671.82462660283,127671.82462660283
155,2041_25,144798.94317504799,144798.94317504799
156,2016_26,489963.76998797245,489963.76998797245
157,2021_26,205236.66457211043,205236.66457211043
158,2026_26,116450.51523804569,116450.51523804569
159,2031_26,34113.43255431064,34113.43255431064
160,2036_26,127671.82462660283,127671.82462660283
161,2041_26,144798.94317504799,144798.94317504799
162,2016_27,489963.76998797245,489963.76998797245
163,2021_27,205236.66457211043,205236.66457211043
164,2026_27,116450.51523804569,116450.51523804569
165,2031_27,34113.43255431064,34113.43255431064
166,2036_27,127671.82462660283,127671.82462660283
167,2041_27,144798.94317504799,144798.94317504799
168,2016_28,489963.76998797245,489963.76998797245
169,2021_28,205236.66457211043,205236.66457211043
170,2026_28,116450.51523804569,116450.51523804569
171,2031_28,34113.43255431064,34113.43255431064
172,2036_28,127671.82462660283,127671.82462660283
173,2041_28,144798.94317504799,144798.94317504799
174,2016_29,489963.76998797245,489963.76998797245
175,2021_29,205236.66457211043,205236.66457211043
176,2026_29,116450.51523804569,116450.51523804569
177,2031_29,34113.43255431064,34113.43255431064
178,2036_29,127671.82462660283,127671.82462660283
179,2041_29,144798.94317504799,144798.94317504799
180,2016_30,489963.76998797245,489963.76998797245
181,2021_30,205236.66457211043,205236.66457211043
182,2026_30,116450.51523804569,116450.51523804569
183,2031_30,34113.43255431064,34113.43255431064
184,2036_30,127671.82462660283,127671.82462660283
185,2041_30,144798.94317504799,144798.94317504799
186,2016_31,489963.76998797245,489963.76998797245
187,2021_31,205236.66457211043,205236.66457211043
188,2026_31,116450.51523804569,116450.51523804569
189,2031_31,34113.43255431064,34113.43255431064
190,2036_31,127671.82462660283,127671.82462660283
191,2041_31,144798.94317504799,144798.94317504799
192,2016_32,489963.76998797245,489963.76998797245
193,2021_32,205236.66457211043,205236.66457211043
194,2026_32,116450.51523804569,116450.51523804569
195,2031_32,34113.43255431064,34113.43255431064
196,2036_32,127671.82462660283,127671.82462660283
197,2041_32,144798.94317504799,144798.94317504799
198,2016_33,489963.76998797245,489963.76998797245
199,2021_33,205236.66457211043,205236.66457211043
200,2026_33,116450.51523804569,116450.51523804569
201,2031_33,34113.43255431064,34113.43255431064
202,2036_33,127671.82462660283,127671.82462660283
203,2041_33,144798.94317504799,144798.94317504799
204,2016_34,489963.76998797245,489963.76998797245
205,2021_34,205236.66457211043,205236.66457211043
206,2026_34,116450.51523804569,116450.51523804569
207,2031_34,34113.43255431064,34113.43255431064
208,2036_34,127671.82462660283,127671.82462660283
209,2041_34,144798.94317504799,144798.94317504799
210,2016_35,489963.76998797245,489963.76998797245
211,2021_35,205236.66457211043,205236.66457211043
212,2026_35,116450.51523804569,116450.51523804569
213,2031_35,34113.43255431064,34113.43255431064
214,2036_35,127671.82462660283,127671.82462660283
215,2041_35,144798.94317504799,144798.94317504799
216,2016_36,489963.76998797245,489963.76998797245
217,2021_36,205236.66457211043,205236.66457211043
218,2026_36,116450.51523804569,116450.51523804569
219,2031_36,34113.43255431064,34113.43255431064
220,2036_36,127671.82462660283,127671.82462660283
221,2041_36,144798.94317504799,144798.94317504799
222,2016_37,489963.76998797245,489963.76998797245
223,2021_37,205236.66457211043,205236.66457211043
224,2026_37,116450.51523804569,116450.51523804569
225,2031_37,34113.43255431064,34113.43255431064
226,2036_37,127671.82462660283,127671.82462660283
227,2041_37,144798.94317504799,144798.94317504799
228,2016_38,489963.76998797245,489963.76998797245
229,2021_38,205236.66457211043,205236.66457211043
230,2026_38,116450.51523804569,116450.51523804569
231,2031_38,34113.43255431064,34113.43255431064
232,2036_38,127671.82462660283,127671.82462660283
233,2041_38,144798.94317504799,144798.94317504799
234,2016_39,489963.76998797245,489963.76998797245
235,2021_39,205236.66457211043,205236.66457211043
236,2026_39,116450.51523804569,116450.51523804569
237,2031_39,34113.43255431064,34113.43255431064
238,2036_39,127671.82462660283,127671.82462660283
239,2041_39,144798.94317504799,144798.94317504799
240,2016_40,489963.76998797245,489963.76998797245
241,2021_40,205236.66457211043,205236.66457211043
242,2026_40,116450.51523804569,116450.51523804569
243,2031_40,34113.43255431064,34113.43255431064
244,2036_40,127671.82462660283,127671.82462660283
245,2041_40,144798.94317504799,144798.94317504799
246,2016_41,489963.76998797245,489963.76998797245
247,2021_41,205236.66457211043,205236.66457211043
248,2026_41,116450.51523804569,116450.51523804569
249,2031_41,34113.43255431064,34113.43255431064
250,2036_41,127671.82462660283,127671.82462660283
251,2041_41,144798.94317504799,144798.94317504799
252,2016_42,489963.76998797245,489963.76998797245
253,2021_42,205236.66457211043,205236.66457211043
254,2026_42,116450.51523804569,116450.51523804569
255,2031_42,34113.43255431064,34113.43255431064
256,2036_42,127671.82462660283,127671.82462660283
257,2041_42,144798.94317504799,144798.94317504799
258,2016_43,489963.76998797245,489963.76998797245
259,2021_43,205236.66457211043,205236.66457211043
260,2026_43,116450.51523804569,116450.51523804569
261,2031_43,34113.43255431064,34113.43255431064
262,2036_43,127671.82462660283,127671.82462660283
263,2041_43,144798.94317504799,144798.94317504799
264,2016_44,489963.76998797245,489963.76998797245
265,2021_44,205236.66457211043,205236.66457211043
266,2026_44,116450.51523804569,116450.51523804569
267,2031_44,34113.43255431064,34113.43255431064
268,2036_44,127671.82462660283,127671.82462660283
269,2041_44,144798.94317504799,144798.94317504799
270,2016_45,489963.76998797245,489963.76998797245
271,2021_45,205236.66457211043,205236.66457211043
272,2026_45,116450.51523804569,116450.51523804569
273,2031_45,34113.43255431064,34113.43255431064
274,2036_45,127671.82462660283,127671.82462660283
275,2041_45,144798.94317504799,144798.94317504799
276,2016_46,489963.76998797245,489963.76998797245
277,2021_46,205236.66457211043,205236.66457211043
278,2026_46,116450.51523804569,116450.51523804569
279,2031_46,34113.43255431064,34113.43255431064
280,2036_46,127671.82462660283,127671.82462660283
281,2041_46,144798.94317504799,144798.94317504799
282,2016_47,489963.76998797245,489963.76998797245
283,2021_47,205236.66457211043,205236.66457211043
284,2026_47,116450.51523804569,116450.51523804569
285,2031_47,34113.43255431064,34113.43255431064
286,2036_47,127671.82462660283,127671.82462660283
287,2041_47,144798.94317504799,144798.94317504799
288,2016_48,489963.76998797245,489963.76998797245
289,2021_48,205236.66457211043,205236.66457211043
290,2026_48,116450.51523804569,116450.51523804569
291,2031_48,34113.43255431064,34113.43255431064
292,2036_48,127671.82462660283,127671.82462660283
293,2041_48,144798.94317504799,144798.94317504799
294,2016_49,489963.76998797245,489963.76998797245
295,2021_49,205236.66457211043,205236.66457211043
296,2026_49,116450.51523804569,116450.51523804569
297,2031_49,34113.43255431064,34113.43255431064
298,2036_49,127671.82462660283,127671.82462660283
299,2041_49,144798.94317504799,144798.94317504799
300,2016_50,489963.76998797245,489963.76998797245
301,2021_50,205236.66457211043,205236.66457211043
302,2026_50,116450.51523804569,116450.51523804569
303,2031_50,34113.43255431064,34113.43255431064
304,2036_50,127671.82462660283,127671.82462660283
305,2041_50,144798.94317504799,144798.94317504799
306,2016_51,489963.76998797245,489963.76998797245
307,2021_51,205236.66457211043,205236.66457211043
308,2026_51,116450.51523804569,116450.51523804569
309,2031_51,34113.43255431064,34113.43255431064
310,2036_51,127671.82462660283,127671.82462660283
311,2041_51,144798.94317504799,144798.94317504799
312,2016_52,489963.76998797245,489963.76998797245
313,2021_52,205236.66457211043,205236.66457211043
314,2026_52,116450.51523804569,116450.51523804569
315,2031_52,34113.43255431064,34113.43255431064
316,2036_52,127671.82462660283,127671.82462660283
317,2041_52,144798.94317504799,144798.94317504799
318,2016_53,489963.76998797245,489963.76998797245
319,2021_53,205236.66457211043,205236.66457211043
320,2026_53,116450.51523804569,116450.51523804569
321,2031_53,34113.43255431064,34113.43255431064
322,2036_53,127671.82462660283,127671.82462660283
323,2041_53,144798.94317504799,144798.94317504799
324,2016_54,489963.76998797245,489963.76998797245
325,2021_54,205236.66457211043,205236.66457211043
326,2026_54,116450.51523804569,116450.51523804569
327,2031_54,34113.43255431064,34113.43255431064
328,2036_54,127671.82462660283,127671.82462660283
329,2041_54,144798.94317504799,144798.94317504799
330,2016_55,489963.76998797245,489963.76998797245
331,2021_55,205236.66457211043,205236.66457211043
332,2026_55,116450.51523804569,116450.51523804569
333,2031_55,34113.43255431064,34113.43255431064
334,2036_55,127671.82462660283,127671.82462660283
335,2041_55,144798.94317504799,144798.94317504799
336,2016_56,489963.76998797245,489963.76998797245
337,2021_56,205236.66457211043,205236.66457211043
338,2026_56,116450.51523804569,116450.51523804569
339,2031_56,34113.43255431064,34113.43255431064
340,2036_56,127671.82462660283,127671.82462660283
341,2041_56,144798.94317504799,144798.94317504799
342,2016_57,489963.76998797245,489963.76998797245
343,2021_57,205236.66457211043,205236.66457211043
344,2026_57,116450.51523804569,116450.51523804569
345,2031_57,34113.43255431064,34113.43255431064
346,2036_57,127671.82462660283,127671.82462660283
347,2041_57,144798.94317504799,144798.94317504799
348,2016_58,489963.76998797245,489963.76998797245
349,2021_58,205236.66457211043,205236.66457211043
350,2026_58,116450.51523804569,116450.51523804569
351,2031_58,34113.43255431064,34113.43255431064
352,2036_58,127671.82462660283,127671.82462660283
353,2041_58,144798.94317504799,144798.94317504799
354,2016_59,489963.76998797245,489963.76998797245
355,2021_59,205236.66457211043,205236.66457211043
356,2026_59,116450.51523804569,116450.51523804569
357,2031_59,34113.43255431064,34113.43255431064
358,2036_59,127671.82462660283,127671.82462660283
359,2041_59,144798.94317504799,144798.94317504799
360,2016_60,489963.76998797245,489963.76998797245
361,2021_60,205236.66457211043,205236.66457211043
362,2026_60,116450.51523804569,116450.51523804569
363,2031_60,34113.43255431064,34113.43255431064
364,2036_60,127671.82462660283,127671.82462660283
365,2041_60,144798.94317504799,144798.94317504799
366,2016_61,489963.76998797245,489963.76998797245
367,2021_61,205236.66457211043,205236.66457211043
368,2026_61,116450.51523804569,116450.51523804569
369,2031_61,34113.43255431064,34113.43255431064
370,2036_61,127671.82462660283,127671.82462660283
371,2041_61,144798.94317504799,144798.94317504799
372,2016_62,489963.76998797245,489963.76998797245
373,2021_62,205236.66457211043,205236.66457211043
374,2026_62,116450.51523804569,116450.51523804569
375,2031_62,34113.43255431064,34113.43255431064
376,2036_62,127671.82462660283,127671.82462660283
377,2041_62,144798.94317504799,144798.94317504799
378,2016_63,489963.76998797245,489963.76998797245
379,2021_63,205236.66457211043,205236.66457211043
380,2026_63,116450.51523804569,116450.51523804569
381,2031_63,34113.43255431064,34113.43255431064
382,2036_63,127671.82462660283,127671.82462660283
383,2041_63,144798.94317504799,144798.94317504799
384,2016_64,489963.76998797245,489963.76998797245
385,2021_64,205236.66457211043,205236.66457211043
386,2026_64,116450.51523804569,116450.51523804569
387,2031_64,34113.43255431064,34113.43255431064
388,2036_64,127671.82462660283,127671.82462660283
389,2041_64,144798.94317504799,144798.94317504799
390,2016_65,489963.76998797245,489963.76998797245
391,2021_65,205236.66457211043,205236.66457211043
392,2026_65,116450.51523804569,116450.51523804569
393,2031_65,34113.43255431064,34113.43255431064
394,2036_65,127671.82462660283,127671.82462660283
395,2041_65,144798.94317504799,144798.94317504799
396,2016_66,489963.76998797245,489963.76998797245
397,2021_66,205236.66457211043,205236.66457211043
398,2026_66,116450.51523804569,116450.51523804569
399,2031_66,34113.43255431064,34113.43255431064
400,2036_66,127671.82462660283,127671.82462660283
401,2041_66,144798.94317504799,144798.94317504799
402,2016_67,489963.76998797245,489963.76998797245
403,2021_67,205236.66457211043,205236.66457211043
404,2026_67,116450.51523804569,116450.51523804569
405,2031_67,34113.43255431064,34113.43255431064
406,2036_67,127671.82462660283,127671.82462660283
407,2041_67,144798.94317504799,144798.94317504799
408,2016_68,489963.76998797245,489963.76998797245
409,2021_68,205236.66457211043,205236.66457211043
410,2026_68,116450.51523804569,116450.51523804569
411,2031_68,34113.43255431064,34113.43255431064
412,2036_68,127671.82462660283,127671.82462660283
413,2041_68,144798.94317504799,144798.94317504799
414,2016_69,489963.76998797245,489963.76998797245
415,2021_69,205236.66457211043,205236.66457211043
416,2026_69,116450.51523804569,116450.51523804569
417,2031_69,34113.43255431064,34113.43255431064
418,2036_69,127671.82462660283,127671.82462660283
419,2041_69,144798.94317504799,144798.94317504799
420,2016_70,489963.76998797245,489963.76998797245
421,2021_70,205236.66457211043,205236.66457211043
422,2026_70,116450.51523804569,116450.51523804569
423,2031_70,34113.43255431064,34113.43255431064
424,2036_70,127671.82462660283,127671.82462660283
425,2041_70,144798.94317504799,144798.94317504799
426,2016_71,489963.76998797245,489963.76998797245
427,2021_71,205236.66457211043,205236.66457211043
428,2026_71,116450.51523804569,116450.51523804569
429,2031_71,34113.43255431064,34113.43255431064
430,2036_71,127671.82462660283,127671.82462660283
431,2041_71,144798.94317504799,144798.94317504799
