,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,172323.47968703648,172323.47979446664
1,2021_0,333156.37015745294,333156.3702551883
2,2026_0,329594.8251535046,329594.82524562965
3,2031_0,173902.4199440915,173902.42013712175
4,2036_0,184893.8546127428,184893.85473491557
5,2041_0,178225.27624738315,182466.16967273163
6,2016_1,240721.02312755684,240721.02312160045
7,2021_1,231123.5388094979,231123.5390340195
8,2026_1,326802.27964572544,326802.2800804304
9,2031_1,214803.39487744635,214724.1670821017
10,2036_1,209288.34499428558,203765.34577669355
11,2041_1,220161.50908986063,222386.75074457284
12,2016_2,172323.47969861212,172323.47980604228
13,2021_2,351698.0220240981,351698.0220350677
14,2026_2,259122.1053273952,259122.10536834126
15,2031_2,172323.47974490546,172323.47997708866
16,2036_2,175945.53734988006,175945.5373517625
17,2041_2,206792.79099656775,211080.37054469404
18,2016_3,275871.64738287387,275871.6473769174
19,2021_3,172323.47964646513,172323.47987098675
20,2026_3,263383.354471,263383.35464128986
21,2031_3,179429.47187242899,178105.9170845033
22,2036_3,196513.8293923021,196777.64485259785
23,2041_3,203014.0644102954,204278.5950833
24,2016_4,172323.47968703642,172323.47979446658
25,2021_4,289923.59798517,289923.5980790341
26,2026_4,286641.11874530104,283900.37744945963
27,2031_4,254421.65371684078,258895.82970794104
28,2036_4,359849.21078667947,329934.1380630209
29,2041_4,246332.1125032506,259498.45174826527
30,2016_5,282379.54600584693,282379.5460287869
31,2021_5,207867.6846192689,207867.68493116918
32,2026_5,172323.47969945223,172323.47973437008
33,2031_5,176604.88929248214,175281.33455490207
34,2036_5,204125.75442082135,191115.16226288947
35,2041_5,214250.51596139368,225415.16207393492
36,2016_6,172323.47968703642,172323.47979446658
37,2021_6,327454.40620176506,327454.4062485082
38,2026_6,327897.63398269634,327897.6344213524
39,2031_6,265115.41655595426,265115.4165969563
40,2036_6,172323.47952996445,172323.47965601136
41,2041_6,180723.14184510836,179414.89368936178
42,2016_7,209359.1085161258,209359.10862355598
43,2021_7,266606.6649748185,266606.66503678024
44,2026_7,185297.03015621242,181628.95913072219
45,2031_7,197205.86440863644,196387.03337291622
46,2036_7,219716.30521963988,214377.47807033232
47,2041_7,297706.1803484945,312637.4704641253
48,2016_8,172323.47968703642,172323.47979446658
49,2021_8,289923.59798517,289923.5980790341
50,2026_8,355190.06154005637,353481.57125379296
51,2031_8,308079.7989661334,309562.9433154115
52,2036_8,203545.62053912203,199367.74346275994
53,2041_8,211202.0825667573,214237.08245736215
54,2016_9,172323.47968703642,172323.47979446658
