,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,165716.75193394686,164587.70473242673
1,2021_0,322678.6268096747,323497.31481842924
2,2026_0,245247.7547007344,242354.15150547048
3,2031_0,225970.21613407508,225998.1015747804
4,2036_0,231488.83100430024,217145.8411986244
5,2041_0,302530.86804645363,306538.0162913131
6,2016_1,164683.50910120856,163554.46189968847
7,2021_1,305126.1057172302,306329.56295036577
8,2026_1,316450.0652331097,316191.0657762029
9,2031_1,178689.8003703924,175333.06811430643
10,2036_1,233832.87776082425,234978.7426328048
11,2041_1,163554.45397608337,163554.4619868216
12,2016_2,190287.70488086747,190287.70488086747
13,2021_2,246417.45006396467,246417.47983351446
14,2026_2,229452.47433902672,229452.478650668
15,2031_2,168536.62067866078,167735.23359967687
16,2036_2,166901.7743799203,165580.1133479457
17,2041_2,187505.607032071,187766.71166502257
18,2016_3,164683.50910120856,163554.46189968847
19,2021_3,303627.8877201476,304446.5978876
20,2026_3,318457.2122768215,315563.60280057543
21,2031_3,239722.04378118628,243318.85186130827
22,2036_3,190268.00007257736,182490.97780896034
23,2041_3,221087.7005285593,223283.3587715795
24,2016_4,164683.50910120856,163554.46189968847
25,2021_4,303627.8877201476,304446.59788759996
26,2026_4,281842.12880132784,278305.2368007022
27,2031_4,311944.47425890976,306036.3884587314
28,2036_4,253305.78401787006,223792.79481608517
29,2041_4,272278.713691656,290830.0489068912
30,2016_5,163554.45400411967,163554.4618886597
31,2021_5,303606.73432242544,304425.4444898778
32,2026_5,309763.36297439184,306226.4797661345
33,2031_5,225238.36862988284,228500.36472451765
34,2036_5,237777.33113841564,223375.2660418616
35,2041_5,269788.1523572474,272933.3183510067
36,2016_6,164683.50910120856,163554.46189968847
37,2021_6,305779.75038849114,306598.4605559435
38,2026_6,318319.72617914533,318461.3690075763
39,2031_6,179525.7910227722,176169.05876668624
40,2036_6,231665.02796946844,232810.86922074514
41,2041_6,166093.60729438308,166092.14499202016
42,2016_7,190287.70488541463,190287.704883983
43,2021_7,218485.7834950445,218485.79121093208
44,2026_7,166612.71831245546,166612.72765235353
45,2031_7,179125.99109723515,175429.00972921835
46,2036_7,189534.15126639852,181618.2351798593
47,2041_7,224368.43238463358,232029.3312677437
48,2016_8,163554.45400411967,163554.4618886597
49,2021_8,299102.1462276289,299102.1529249214
50,2026_8,197902.13094709563,193826.1118552572
51,2031_8,177380.40545772036,181087.1410164227
52,2036_8,198777.99911240634,190693.09367316414
53,2041_8,253718.04310735996,256266.54556657848
54,2016_9,190287.70488086747,190287.70488086747
55,2021_9,204840.44805638804,204840.4778242437
56,2026_9,245959.92715653905,241883.89555728977
57,2031_9,213024.51731858085,212445.32394520435
58,2036_9,257920.8998665964,249697.83639669867
59,2041_9,226355.4790861533,232421.33510039034
60,2016_10,165066.31510376572,163937.26790081392
61,2021_10,275696.22115122754,276514.90926501766
62,2026_10,246674.31909854093,243780.71465055167
63,2031_10,285101.9837729061,284930.6787973926
64,2036_10,180917.73102287843,174771.56706233695
65,2041_10,190731.20043518528,200039.35760650894
66,2016_11,164683.50910120856,163554.46189968847
67,2021_11,326062.27243772807,327265.70751216594
68,2026_11,260958.98087704263,256623.96937307646
69,2031_11,174403.46624498002,178178.03451942484
70,2036_11,207584.59616810246,194073.92206788273
71,2041_11,231988.64986480947,238767.8631064961
72,2016_12,165333.945935937,164204.8987344169
73,2021_12,305126.1057172302,306329.56295036577
74,2026_12,290102.7768514238,287209.1585828094
75,2031_12,246632.50601479466,246450.52356411412
76,2036_12,252704.94682985064,246073.7978582792
77,2041_12,216207.53409614373,218401.514943533
78,2016_13,165333.945935937,164204.8987344169
79,2021_13,291014.88864709303,291389.531051296
80,2026_13,227584.100852212,227584.16586545383
81,2031_13,165717.95855696037,165717.9477556862
82,2036_13,168197.3585101802,168197.3772880942
83,2041_13,198200.87619154734,197850.36959944983
84,2016_14,185538.75988221384,184409.71268218567
85,2021_14,292425.42298756493,293244.1331550172
86,2026_14,271613.61905594415,272796.0366982202
87,2031_14,213659.40790121566,209980.54695183793
88,2036_14,235565.9491037066,235966.37066816946
89,2041_14,168926.7630122227,169586.60191073848
90,2016_15,185538.75988676108,184409.71268530126
91,2021_15,263840.11174738384,265043.54692685715
92,2026_15,210462.47228817263,211644.89495870558
93,2031_15,216862.58187096944,215669.5029924853
94,2036_15,245466.85718733547,237035.00182113855
95,2041_15,199542.76604844164,204653.8528388382
96,2016_16,165066.31509921845,163937.26789769833
97,2021_16,271964.149557566,272338.81412046665
98,2026_16,235385.0899767939,231309.05581160495
99,2031_16,211033.1652841707,211187.53412412258
100,2036_16,249503.34564109956,217324.16864459068
101,2041_16,289937.77119199495,308620.58625558263
102,2016_17,164683.50910120856,163554.46189968847
103,2021_17,303627.8877201476,304446.5978876
104,2026_17,290535.9781037574,287642.35983514297
105,2031_17,336749.6923409453,334188.965613852
106,2036_17,205983.77874035793,200566.26238431834
107,2041_17,218084.0191712417,219090.96094754734
108,2016_18,163554.45400411967,163554.4618886597
109,2021_18,324542.9010429235,325361.58905167814
110,2026_18,273336.8899571968,274519.3138823426
111,2031_18,228379.6050259807,227803.37150484638
112,2036_18,164642.94947960036,164642.93491103547
113,2041_18,185657.71092150745,186805.55506565236
114,2016_19,165066.31509921845,163937.26789769833
115,2021_19,303627.8877201476,304446.59788759996
116,2026_19,283623.5634762894,281205.4067954312
117,2031_19,294954.1821001294,297037.46301431913
118,2036_19,269709.9911021287,263705.8963217318
119,2041_19,184990.22677677678,185209.12355019624
120,2016_20,165066.31509921845,163937.26789769833
121,2021_20,340433.4416025506,341252.1517716971
122,2026_20,249041.16195415522,250223.57080406297
123,2031_20,284686.7300172578,281007.87682998675
124,2036_20,192426.8611798776,186167.65976379585
125,2041_20,224184.757073066,226155.1190618889
126,2016_21,164683.50910120856,163554.46189968847
127,2021_21,366141.0564482224,366959.7444586712
128,2026_21,209762.20486186727,210944.62878512553
129,2031_21,228776.46996127555,225097.60904200445
130,2036_21,229717.3855239001,230117.85328174758
131,2041_21,182402.65853392967,183550.3951701867
132,2016_22,164683.50910120856,163554.46189968847
133,2021_22,324564.05444064556,325382.7424494002
134,2026_22,246043.58440025226,242506.70747297705
135,2031_22,232128.59558541395,236715.04207296902
136,2036_22,308037.15218390274,307258.8076662016
137,2041_22,163554.4540160265,163554.4618589187
138,2016_23,211793.39249660113,211793.39249809305
139,2021_23,191486.12065546174,191486.1504233174
140,2026_23,201511.59618016653,201511.59169943942
141,2031_23,190412.55740980981,186139.8452384031
