,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,558922.0883137856,515753.15929396864
1,2021_0,238473.92606187495,264132.11002776277
2,2026_0,76114.51246886216,94015.76116154388
3,2031_0,149208.50288357673,127657.78783776281
4,2036_0,122583.50292459833,68292.2723773126
5,2041_0,109324.66906332858,147391.38089701597
6,2016_1,558922.0883137856,515753.15929396864
7,2021_1,273967.3137550713,279412.0324141158
8,2026_1,73318.8983224339,105106.16139967274
9,2031_1,75355.6030580366,67403.93397044558
10,2036_1,145888.81542718486,75845.19225345804
11,2041_1,188588.13659670253,215732.64023733302
12,2016_2,558612.8118682757,516487.0954088085
13,2021_2,234581.89429020256,238924.64399677873
14,2026_2,81936.6017431585,119294.88810818741
15,2031_2,81672.01551544874,77203.08997731884
16,2036_2,315722.9521046722,275314.6016871467
17,2041_2,124025.01029776722,131913.7182726527
18,2016_3,589444.6647720374,556491.7102471467
19,2021_3,246082.23162420362,231860.6923749521
20,2026_3,70524.36914853987,101929.03522402736
21,2031_3,123779.55699625528,121783.39853886869
22,2036_3,73185.47462259632,38188.26929798117
23,2041_3,33660.947120537014,65356.64934679499
24,2016_4,526867.0783798264,501274.1200498862
25,2021_4,229343.12965960207,215202.76251704482
26,2026_4,86235.4142992507,122686.6963082008
27,2031_4,129370.92965982815,126336.92569255088
28,2036_4,192374.2068470524,138303.25230343454
29,2041_4,44239.684518311304,71480.14438039523
30,2016_5,555504.6502643061,540127.6664292922
31,2021_5,189241.10973009592,190269.0094844236
32,2026_5,68327.41639400735,80994.52980665407
33,2031_5,42307.248676414994,27036.419084013392
34,2036_5,106696.7146844984,51503.61599556248
35,2041_5,50305.9548895713,87217.70801277475
36,2016_6,558922.0883137856,515753.15929396864
37,2021_6,279278.236588966,271250.1592185186
38,2026_6,145818.18936399173,179036.5424252449
39,2031_6,53808.86617413709,56228.53134542569
40,2036_6,115676.24239323358,54247.89456237455
41,2041_6,39336.56934095987,60931.183769172065
42,2016_7,558922.0883137856,515753.15929396864
43,2021_7,236837.45544108227,241713.44702810433
44,2026_7,165189.1666971733,201685.1984355132
45,2031_7,118784.47299168745,121405.7284525049
46,2036_7,96116.81912044065,49178.01339460461
47,2041_7,38643.73904449332,61544.00954006525
48,2016_8,558922.0883137856,515753.15929396864
49,2021_8,237809.68829271785,243324.43104527806
