,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,514229.1043095511,509436.9305816284
1,2021_0,184550.0217452966,172834.9808708871
2,2026_0,53497.27778870658,84467.94587488778
3,2031_0,132674.6421527221,115978.6581566411
4,2036_0,190052.4768744999,167003.06332597882
5,2041_0,25611.264840401644,47585.2096953699
6,2016_1,555512.7203939928,540384.0858127394
7,2021_1,281260.93847368413,242770.82943846562
8,2026_1,120660.89158792299,165132.64474195696
9,2031_1,48196.571017300164,83646.72846404066
10,2036_1,110483.73469350181,71470.91397539547
11,2041_1,157164.9317865087,162202.86259978806
12,2016_2,553936.9922657306,538808.3576844771
13,2021_2,246606.89157165994,208165.45359380427
14,2026_2,116831.95668600488,159236.4227850845
15,2031_2,143673.49819612008,141474.14559179376
16,2036_2,104148.56196270227,71762.42073134314
17,2041_2,74715.4260014345,86867.68554654245
18,2016_3,553936.9922657306,538808.3576844771
19,2021_3,276347.16808838415,270878.40277103544
20,2026_3,114569.12827981536,142362.90212436995
21,2031_3,33160.001011887005,23116.685194505037
22,2036_3,86903.28481485545,60751.688009283214
23,2041_3,26525.577367425172,49925.34132887407
24,2016_4,560360.6334398695,546399.030603645
25,2021_4,268056.3795198528,229573.50490928025
26,2026_4,123212.56323871616,164032.00919367903
27,2031_4,47422.27058352862,79590.43649637478
28,2036_4,182605.03973034958,167901.29045814474
29,2041_4,21837.966010034674,22587.56245692943
30,2016_5,555821.9968395027,540693.3622582494
31,2021_5,237166.94653451862,197996.93333056866
32,2026_5,61742.65347764136,108535.96007046029
33,2031_5,232560.5403124089,261260.52047785083
34,2036_5,183227.97024984987,170690.69924392784
35,2041_5,20851.795096253834,20325.318148067032
36,2016_6,582883.84059572,569794.5563189896
37,2021_6,206049.9713109722,167277.45684620788
38,2026_6,53452.261421168725,94718.70131539839
39,2031_6,67590.17202097375,91265.64068668551
40,2036_6,291136.39802654635,282198.261665971
41,2041_6,25251.46705491123,25380.398707448225
42,2016_7,553936.9922657304,538808.357684477
43,2021_7,240394.74053703397,201224.72733308392
44,2026_7,194433.3336287641,236961.4520322215
45,2031_7,49796.96203809069,82174.87269327136
46,2036_7,113502.04482268586,74196.74587963105
47,2041_7,139646.1841997801,150818.3557548836
48,2016_8,553936.9922657306,538808.3576844771
49,2021_8,239217.30977439505,232068.22215810098
50,2026_8,119174.73924640854,149241.41489168856
51,2031_8,49208.062380660456,32371.735011760677
52,2036_8,183935.69337499767,164849.60160464825
53,2041_8,27873.44130662898,48135.69700620958
54,2016_9,553936.9922657306,538808.3576844771
55,2021_9,237166.94653451862,197996.93333056866
56,2026_9,132193.9894411588,175018.15058589602
57,2031_9,130200.35916022438,127373.54593557905
58,2036_9,175655.69472924704,161333.70851058574
59,2041_9,23707.51741037597,42378.4314111533
60,2016_10,553936.9922657306,538808.3576844771
61,2021_10,248862.45272253966,210421.01474468398
62,2026_10,164593.90179614184,207063.62977159594
63,2031_10,120023.14368449402,113555.47598952014
64,2036_10,87565.3413722799,62981.660106306685
65,2041_10,19579.351774306677,40708.85007519325
66,2016_11,485446.9530158359,483171.35551704356
67,2021_11,154150.2863884508,142290.56279366903
68,2026_11,120289.23231992128,151188.23931723734
69,2031_11,46513.47607075808,35872.4716754192
70,2036_11,101823.43172600627,73739.19696828193
71,2041_11,61120.578187935964,79292.6072907597
72,2016_12,553627.7158202208,538499.0812389673
73,2021_12,237166.94653451862,197996.93333056866
74,2026_12,115025.56436403138,162327.48463274672
75,2031_12,122599.89728967632,108763.88896529864
76,2036_12,199766.11261031852,177120.65637976062
77,2041_12,17305.44079132197,37287.538663146006
78,2016_13,525154.840972015,512542.78261989204
79,2021_13,231130.45640535044,193272.9109332168
80,2026_13,57580.129789954444,102873.65431440287
81,2031_13,58112.235027051574,84657.1125634536
82,2036_13,144849.34828834212,88675.35245970757
83,2041_13,293274.4642199822,306097.99439804023
84,2016_14,553936.9922657304,538808.357684477
85,2021_14,237166.94653451865,197996.93333056863
86,2026_14,133798.56586223858,176901.8819259233
87,2031_14,67155.68356261123,93351.37691157448
