,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,351677.35115185095,354543.6224564339
1,2021_0,200738.86335299927,200738.86347311758
2,2026_0,216585.31697957357,216431.2813327623
3,2031_0,203873.5957077316,203609.653819553
4,2036_0,199999.99995363143,200000.00004618493
5,2041_0,208616.9090245536,209087.67680187576
6,2016_1,351677.35115185095,354543.6224564339
7,2021_1,200738.86335299927,200738.86347311758
8,2026_1,203918.06201814234,200991.8712343041
9,2031_1,200613.42699547645,205597.92707380137
10,2036_1,223448.5893753006,221431.1321877323
11,2041_1,210476.27465133925,209384.65254289482
12,2016_2,350101.6230235888,350156.01094221947
13,2021_2,212418.24260590994,214088.57528200297
14,2026_2,204448.9469386606,204233.68886106697
15,2031_2,204689.71418792926,206749.98692654242
16,2036_2,213979.10759756353,211396.1799333018
17,2041_2,202639.45753838844,203178.88886416442
18,2016_3,354356.126993261,354410.51491189166
19,2021_3,203227.79397067658,203227.7940907949
20,2026_3,205640.23767628687,205677.06809212445
21,2031_3,209073.3137010008,212360.3522267568
22,2036_3,203282.39606562388,203749.57898861662
23,2041_3,202680.8273679981,205426.7852963244
24,2016_4,354356.12699326087,354410.5149118914
25,2021_4,203916.45054669623,205586.7832227892
26,2026_4,200815.64555476574,201282.09582608443
27,2031_4,201882.77629224674,203714.49198275796
28,2036_4,210814.04798050475,210971.45697515702
29,2041_4,203224.2813691547,203519.0924590387
30,2016_5,354356.12699326087,354410.5149118914
31,2021_5,203916.45054669623,205586.7832227892
32,2026_5,200799.61299691265,201266.26218136656
33,2031_5,201946.534433851,204217.5637572397
34,2036_5,201189.69043160693,202530.81450473564
35,2041_5,211668.51187427042,211161.83213570484
36,2016_6,354356.126993261,354410.51491189166
37,2021_6,204888.68339833184,205121.71169245208
38,2026_6,204571.64889249345,206430.96670070858
39,2031_6,204840.26340877957,206850.73961175582
40,2036_6,211841.54673137155,209073.45339635666
41,2041_6,210317.0651000824,210427.7522526466
42,2016_7,351986.627597361,352041.01551599154
43,2021_7,200738.86335299927,200738.86347311758
44,2026_7,217183.83926240893,218853.18686994852
45,2031_7,216668.32815622236,215532.71368346777
46,2036_7,203691.91115643378,204151.6157474164
47,2041_7,202842.04220644812,203001.87423358735
48,2016_8,351986.627597361,352041.01551599154
49,2021_8,210774.8557818567,211007.88407597697
50,2026_8,203008.40272614453,204401.27004417454
51,2031_8,199999.999963477,203114.47660503766
52,2036_8,212046.52696660926,209982.24394625073
53,2041_8,210116.85714734579,209810.93125782243
54,2016_9,349792.34657807887,352658.617882662
55,2021_9,200738.86335299927,200738.86347311758
56,2026_9,214810.52053828494,214871.74275020085
57,2031_9,203655.0443771645,203868.8463851844
58,2036_9,212111.89776116837,211575.93732424048
59,2041_9,201444.47203745545,203288.69900091263
60,2016_10,350101.6230235888,350156.01094221947
61,2021_10,206222.2185063943,207659.52300848538
62,2026_10,204323.0137097228,201181.7639802925
63,2031_10,215249.93272236644,218790.96733517354
64,2036_10,227693.39886751398,226586.2601530306
65,2041_10,200240.19166286587,200591.73730300023
66,2016_11,350101.6230235888,350156.01094221947
67,2021_11,200738.86335299927,200738.86347311758
68,2026_11,217183.83926240893,218853.18686994852
69,2031_11,218371.49985775322,217457.56718849362
70,2036_11,203078.11554802742,203289.4037680212
71,2041_11,208017.93681994622,206358.4939842685
72,2016_12,350101.6230235888,350156.01094221947
73,2021_12,213390.47545754554,213623.5037516658
74,2026_12,202548.62575983195,204518.98964748837
75,2031_12,212500.7645916247,212593.12292688503
76,2036_12,202420.01751128264,202661.58208114
77,2041_12,210035.4160665899,207739.09619900343
78,2016_13,356241.1315670332,356295.5194856638
79,2021_13,199999.99996816128,200000.00008827957
80,2026_13,207705.02881863268,210418.55188614954
81,2031_13,218755.96133667912,217517.0706375169
82,2036_13,201031.05859900714,200804.05090046924
83,2041_13,202724.32714319677,205569.4425430961
84,2016_14,349792.34657807875,352658.6178826618
85,2021_14,210162.68145503022,210395.70974915047
86,2026_14,202922.1626152768,202922.11976419523
87,2031_14,217609.10732913797,216708.9753919229
88,2036_14,201591.52510069872,201054.28406363385
89,2041_14,203251.9002090792,207737.24463864285
90,2016_15,351986.627597361,352041.01551599154
91,2021_15,202994.42450387898,204431.72900597006
92,2026_15,205740.93659757858,202599.48795501312
93,2031_15,206361.8455603545,210508.294277138
94,2036_15,202975.37670098545,202434.79106666657
95,2041_15,210236.0531746015,208327.2493579853
96,2016_16,349792.34657807875,352658.6178826618
97,2021_16,210162.68145503022,210395.70974915047
98,2026_16,207191.94240554937,206976.6416957407
99,2031_16,206480.86238729034,206092.05360491094
100,2036_16,201500.71377997773,201241.53688950677
101,2041_16,209120.86072600845,207937.75037731288
102,2016_17,351986.627597361,352041.01551599154
103,2021_17,200738.86335299927,200738.86347311758
104,2026_17,215928.38341661936,218175.22759378538
105,2031_17,219025.26482651132,218264.51100359554
106,2036_17,200430.01152026016,200998.19437708383
107,2041_17,202812.26654850412,205140.01211982584
108,2016_18,349792.34657807887,352658.617882662
109,2021_18,200738.86335299927,200738.86347311758
110,2026_18,203786.97313764814,200860.7823538099
111,2031_18,201658.79407241184,206193.77765781942
112,2036_18,202933.36654300313,203032.7602223505
113,2041_18,244607.49518015646,238473.36392792923
114,2016_19,354356.126993261,354410.51491189166
115,2021_19,202255.56111904103,203692.86562113205
116,2026_19,207540.55885511555,205391.76730570308
117,2031_19,222543.95361911532,221557.63958435305
118,2036_19,203185.14453709972,201834.1580848546
119,2041_19,202011.5328894258,206276.33567251035
120,2016_20,350101.6230235887,350156.01094221923
121,2021_20,202994.42450387898,204431.72900597003
122,2026_20,214711.47723808527,214772.8983631364
123,2031_20,201149.25173313994,201595.37945829108
124,2036_20,210234.21713622304,210353.13205585646
125,2041_20,201603.00462798536,201732.51571186635
126,2016_21,350101.6230235887,350156.01094221923
