,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,351905.1803088506,351157.19177505025
1,2021_0,213390.47552685248,213669.04846983432
2,2026_0,200486.71044638575,200423.79031441532
3,2031_0,213365.75347931116,214840.70811365359
4,2036_0,212361.08028146435,209419.6930904195
5,2041_0,204661.6451825148,209901.079983832
6,2016_1,352214.45675436064,351466.4682205603
7,2021_1,200738.8634239514,200587.06413061853
8,2026_1,219821.41527377194,219963.79777104873
9,2031_1,204653.57636906372,204148.78497334872
10,2036_1,200000.00000841584,200047.07788920196
11,2041_1,212976.02535388494,215611.5038344074
12,2016_2,353790.18488262285,353042.1963488225
13,2021_2,200855.94667847813,200704.14738514528
14,2026_2,205803.32262832555,203033.3343359402
15,2031_2,204383.3314954484,208547.7131384883
16,2036_2,202467.93284349,201459.4094399455
17,2041_2,230537.928420388,229591.89773929003
18,2016_3,351905.1803088507,351157.19177505036
19,2021_3,203966.6574264667,203814.85813313382
20,2026_3,204484.44304066943,201718.41894785254
21,2031_3,200490.92699954312,205378.39314267327
22,2036_3,230403.47055569102,228483.25196207664
23,2041_3,202117.33735164438,202798.3917658605
24,2016_4,352214.45675436064,351466.4682205603
25,2021_4,206222.21857734644,206070.41928401354
26,2026_4,204385.39974046976,201619.37564765287
27,2031_4,200490.92699954312,205378.39314267327
28,2036_4,224815.08477072077,222525.33318862878
29,2041_4,214628.6415656509,213552.45660741787
30,2016_5,356468.9607240329,355493.01226785325
31,2021_5,200000.0000391134,199999.9999581687
32,2026_5,213304.5998324494,213542.26253654182
33,2031_5,205152.29704118217,204356.87521081165
34,2036_5,200473.48655682267,200879.616899182
35,2041_5,207102.7089954194,208994.4661273176
36,2016_6,351905.1803088507,351157.19177505036
37,2021_6,203966.6574264667,203814.85813313382
38,2026_6,204484.44304066943,201718.41894785254
39,2031_6,202300.59546111058,206891.71554750687
40,2036_6,205729.10168883705,204245.92256632424
41,2041_6,213946.44313236463,216471.7939679205
42,2016_7,356468.9607240329,355493.01226785325
43,2021_7,202255.56118999314,202255.5611090484
44,2026_7,206595.77510133755,206896.35805846308
45,2031_7,203046.5291461005,202611.2468345107
46,2036_7,211305.6799316784,211281.66771519402
47,2041_7,200961.85461228588,204492.6760051989
48,2016_8,352214.45675436064,351466.4682205603
49,2021_8,210162.68152433724,210441.25446731906
50,2026_8,200889.53733191502,201248.95186012838
51,2031_8,217831.79725705108,219158.7557054892
52,2036_8,209389.8471810627,209695.42630334513
53,2041_8,200562.57080706928,202968.59011890896
54,2016_9,351905.1803088506,351157.19177505025
55,2021_9,200738.8634239514,200587.06413061856
