,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,509858.4374616239,496176.4611423871
1,2021_0,197050.17970196242,206115.62942996496
2,2026_0,132638.44608990068,133595.6389573089
3,2031_0,38610.25896541687,38895.037642395604
4,2036_0,126839.88688836769,125295.44850546804
5,2041_0,139385.95117698982,153556.75782241568
6,2016_1,510167.7139071339,496485.737587897
7,2021_1,200160.89044995097,209226.34017795348
8,2026_1,135224.68621736902,136261.01446019218
9,2031_1,33714.62758740208,33714.63234791529
10,2036_1,133269.72259372642,130777.49674123134
11,2041_1,133105.19633221696,149799.7988582002
12,2016_2,510167.713907134,496485.7375878972
13,2021_2,206373.51413009863,214960.57671273244
14,2026_2,121908.14517653073,121814.34210077197
15,2031_2,33735.030630355395,34102.69635754449
16,2036_2,138141.37789882923,138387.88572691247
17,2041_2,135389.62808354734,150009.72475134436
18,2016_3,511743.4420353963,498061.4657161594
19,2021_3,206490.59738462535,215077.65996725915
20,2026_3,117875.53418138997,118972.18993013882
21,2031_3,37291.64405236696,37648.938671621625
22,2036_3,127726.53275867182,126004.45708901649
23,2041_3,136173.36226835547,154041.9743333809
24,2016_4,510167.713907134,496485.7375878972
25,2021_4,196933.09644743573,205998.54617543827
26,2026_4,133839.31971058177,133547.56081916133
27,2031_4,43623.28733408347,44169.90006519973
28,2036_4,131616.09423186455,129131.35910992535
29,2041_4,132142.20668325602,147661.54364517058
30,2016_5,509858.43746162404,496176.46114238724
31,2021_5,206373.51413009863,214960.57671273244
32,2026_5,117827.45604324238,118924.11179199124
33,2031_5,38610.258965416855,41759.54898613377
34,2036_5,131786.5299913831,130340.65160441247
35,2041_5,134587.07728422355,148640.59244937042
36,2016_6,510167.713907134,496485.7375878972
37,2021_6,202416.45160083074,211481.9013288333
38,2026_6,122618.43242293039,121001.74220152326
39,2031_6,51015.448452642464,52466.855552153895
40,2036_6,127121.64124177319,124567.45624763424
41,2041_6,137454.11661711187,151848.37194901114
42,2016_7,510167.713907134,496485.7375878972
43,2021_7,208629.07528097832,217216.13786361215
44,2026_7,122045.11243557654,123148.828271685
45,2031_7,33814.2931138758,36668.60249112885
46,2036_7,128590.00777413316,126334.40008915303
47,2041_7,134038.01614188874,152370.26236640633
48,2016_8,516798.32479603955,503772.07920103305
49,2021_8,194641.1881094081,202890.65354279894
50,2026_8,128995.66557141811,128794.59047296704
51,2031_8,33797.523088300295,34092.51924606176
52,2036_8,134594.26343648252,132359.07846002813
53,2041_8,138669.32097244135,150177.210098264
54,2016_9,509858.43746162404,496176.46114238724
