,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,522975.05156502547,511786.723142665
1,2021_0,200800.12961939577,208008.24102078888
2,2026_0,118438.59607959185,118090.96106675365
3,2031_0,35226.20316822697,38494.365689582446
4,2036_0,124399.079705214,124862.0639894423
5,2041_0,149734.06693398132,164206.3533475229
6,2016_1,508904.4093821781,497944.0408817515
7,2021_1,213524.35774330795,220642.25657015614
8,2026_1,122010.43658282644,121612.80921492753
9,2031_1,42936.692980264044,43185.15179124326
10,2036_1,131103.51471751597,131683.50788750176
11,2041_1,133530.98841987317,148150.20763527794
12,2016_2,508904.4093821781,497944.0408817515
13,2021_2,214820.66821215535,221938.56703900357
14,2026_2,121827.02296262483,121488.80139959946
15,2031_2,39102.94045048274,39392.083619974466
16,2036_2,124635.38006383546,125133.69622194617
17,2041_2,143515.9380938565,155997.09945688967
18,2016_3,508904.4093821781,497944.0408817515
19,2021_3,210516.9428754683,217634.84170231648
20,2026_3,127349.67933725574,127011.45777423035
21,2031_3,39102.94045048274,39392.083619974466
22,2036_3,125097.64101757026,125533.99803403711
23,2041_3,150543.49455045865,163721.0859007887
24,2016_4,520387.6169511315,509199.288528771
25,2021_4,194245.9583880051,201266.9071780494
26,2026_4,120936.28337894505,118030.15179899307
27,2031_4,40810.50860920308,45763.37392542983
28,2036_4,125452.92837637039,125792.97663277293
29,2041_4,138103.1411851524,150980.35678395838
30,2016_5,519855.47925221,508667.1508298495
31,2021_5,197253.37325584472,204274.32204588907
32,2026_5,120788.1995992963,117882.06801934433
33,2031_5,50337.6675404827,52676.57963319726
34,2036_5,129300.1508662828,129769.82806624229
35,2041_5,132574.51998074722,149593.0311343596
36,2016_6,512023.98169499385,501063.61319456727
37,2021_6,210516.9428754683,217634.84170231648
38,2026_6,119294.30118054798,119161.92402643699
39,2031_6,37066.038740366974,40163.40553937834
40,2036_6,146488.72399288937,145512.30136267366
41,2041_6,135312.6777605133,147875.89551563736
42,2016_7,508904.4093821781,497944.0408817515
43,2021_7,197763.8160550339,203558.81551607707
44,2026_7,146735.86687505044,147323.299989573
45,2031_7,34070.71897017634,34477.98944574781
46,2036_7,125526.16741334692,126065.40531991211
47,2041_7,133822.24704285237,147426.20229048934
48,2016_8,508904.4093821781,497944.0408817515
49,2021_8,217828.08307999498,224945.9819068432
50,2026_8,119575.41939011331,119237.19782708792
51,2031_8,39102.94045048274,39392.083619974466
52,2036_8,128890.09371150011,129418.7650925759
53,2041_8,144131.56735721984,156682.96808663325
54,2016_9,509436.54708109994,498476.17858067347
55,2021_9,197919.92706106952,203714.92652211268
56,2026_9,137479.61509766168,138272.89262109858
57,2031_9,32985.680275694016,33399.53431335118
58,2036_9,144718.080208648,144856.21578483193
59,2041_9,135734.78302449107,146689.41527871118
60,2016_10,508904.4093821781,497944.0408817515
61,2021_10,200771.23092287354,206566.2303839167
62,2026_10,121737.79830081742,118831.66672086544
63,2031_10,57049.11951698697,60715.24057423727
64,2036_10,129380.76920914876,129872.54650436796
65,2041_10,152102.008087572,168213.9976994216
66,2016_11,512023.98169499385,501063.61319456727
67,2021_11,210516.9428754683,217634.84170231648
68,2026_11,119294.30118054798,119161.92402643699
69,2031_11,44196.67109362282,44491.214758780705
70,2036_11,133354.90337926155,133384.01323861792
71,2041_11,136357.3027251368,152118.3119582936
72,2016_12,512556.1193939157,501595.7508934892
73,2021_12,197763.8160550339,203558.81551607707
74,2026_12,121885.8820804662,118979.75050051419
75,2031_12,37066.038740366974,42796.99393391866
76,2036_12,155115.52984109792,156098.5845755342
77,2041_12,141915.15114824972,154948.5026450765
78,2016_13,519855.47925221,508667.1508298495
79,2021_13,194245.9583880051,201266.90717804944
80,2026_13,132930.73892657485,132214.42993541085
81,2031_13,39497.5789716861,39916.941364675375
82,2036_13,127494.70363881157,127635.31195975865
83,2041_13,133271.1111969042,148702.13998757547
84,2016_14,522975.05156502576,511786.7231426652
85,2021_14,197253.37325584472,204274.32204588907
86,2026_14,120788.1995992963,117882.06801934433
87,2031_14,32521.897201090553,37645.55823966138
88,2036_14,133659.41923823504,133538.7041082419
89,2041_14,147094.20400896404,155818.12035382958
90,2016_15,509436.54708109994,498476.17858067347
91,2021_15,197763.8160550339,203558.81551607707
92,2026_15,137703.61701519592,138506.30798844568
93,2031_15,40810.50860920308,41053.56692451615
94,2036_15,129095.95923496946,129567.59091625539
95,2041_15,148396.99799460184,161146.5967254628
96,2016_16,522975.05156502547,511786.723142665
97,2021_16,199983.8971836271,207192.0085850202
98,2026_16,118093.42755986696,117961.05040575596
99,2031_16,37066.038740366974,40163.40553937834
100,2036_16,136824.7608803246,135987.65858635728
101,2041_16,144124.93037850683,157116.11190456434
102,2016_17,508904.4093821781,497944.0408817515
103,2021_17,205074.9562595606,210869.95572060376
104,2026_17,138885.68879002248,139463.7084547322
105,2031_17,32702.591559708828,33116.445597365986
106,2036_17,124059.6588709791,124585.30665424788
107,2041_17,144332.92457375702,154990.91057224243
108,2016_18,522975.05156502576,511786.7231426652
109,2021_18,194245.9583880051,201266.90717804944
110,2026_18,127062.91403221902,126561.86289978224
111,2031_18,37066.038740366974,37309.09705568003
112,2036_18,133465.34191733022,133649.36716700412
113,2041_18,135894.1446054936,146567.5797752256
114,2016_19,520387.6169511315,509199.288528771
115,2021_19,196976.48231578746,204184.59371718057
116,2026_19,124185.25437175704,123847.03280873166
117,2031_19,32703.112259910868,35971.274781266344
118,2036_19,138018.90486439178,137120.66840685124
