,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,344415.4527007844,351823.55861778895
1,2021_0,226856.41037914803,228187.68635144152
2,2026_0,212610.71778836948,218447.08351603278
3,2031_0,208653.94412799145,203787.57203278455
4,2036_0,295427.3297202377,298183.7712992002
5,2041_0,205361.9799420065,202556.36340209717
6,2016_1,344724.72914629435,349320.9516773465
7,2021_1,217432.05949528847,221124.5138332396
8,2026_1,226770.85373682145,233430.30537112462
9,2031_1,263649.8456835992,262328.7237797279
10,2036_1,217130.07394137216,209959.742750046
11,2041_1,232566.97776325783,231549.8998354488
12,2016_2,365070.0392205241,377062.4508906823
13,2021_2,202805.288506785,203708.66121584972
14,2026_2,216382.7724599563,218263.18048817496
15,2031_2,202946.80543964452,200345.94924373532
16,2036_2,211481.7398337119,221399.28331920647
17,2041_2,253799.37003289047,254618.33495064348
18,2016_3,350192.47016128397,354811.8309794094
19,2021_3,239908.56548868105,246556.51854787226
20,2026_3,202164.7929402491,200792.50044319706
21,2031_3,207507.44279500094,207695.92858290148
22,2036_3,238893.72210080363,241354.86995712784
23,2041_3,210299.870946053,221384.0361436937
24,2016_4,350864.5367376154,359109.9002309249
25,2021_4,217407.62955143032,218105.67067424473
26,2026_4,212187.74426280646,218037.27332320472
27,2031_4,225231.03166224126,221223.78322421634
28,2036_4,244299.07328638688,253463.78884799295
29,2041_4,268539.5233140196,260137.00917600424
30,2016_5,346300.4572745565,353708.5631915612
31,2021_5,217432.05949528847,218129.94803585997
32,2026_5,228676.73905860426,234724.2116009129
33,2031_5,208972.28939357935,207198.56937856396
34,2036_5,216653.25547736965,223839.76745905238
35,2041_5,318506.828640015,310617.63963728666
36,2016_6,352749.5413113877,360994.9048046972
37,2021_6,221121.47539776505,221321.9236161814
38,2026_6,218249.1901653561,223252.222603845
39,2031_6,247142.53294896765,244833.69033973682
40,2036_6,205989.44910163837,205338.26296832255
41,2041_6,219350.57076393865,225081.01282244123
