,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,330485.22516906663,345502.5692976628
1,2021_0,200002.1054419625,200065.20803617316
2,2026_0,207599.87360722138,211695.053964724
3,2031_0,221793.95194626824,222699.89403887856
4,2036_0,206170.5888686259,208776.14123872764
5,2041_0,203392.94175205828,209967.71194956606
6,2016_1,349037.35382415523,358007.13754918135
7,2021_1,214961.58147672468,214109.30685037575
8,2026_1,209735.71783833727,218593.8701748535
9,2031_1,228603.3645481632,235764.25721446847
10,2036_1,208036.5605779607,214949.12107652944
11,2041_1,219692.05581623528,216054.05495089287
12,2016_2,348530.05768342095,357180.1758630159
13,2021_2,220475.73421249658,220198.9951791558
14,2026_2,208929.32417147714,216230.82135470788
15,2031_2,209463.1012208854,221026.97902705864
16,2036_2,216298.69595706483,223612.4814305275
17,2041_2,237017.16446435367,234150.9778466682
18,2016_3,349621.4847284705,358591.26845349657
19,2021_3,220249.2022117428,218558.44521400676
20,2026_3,209209.24308379673,212076.37062104768
21,2031_3,207275.89371039398,213947.5088612806
22,2036_3,209358.36919040236,214946.2470412648
23,2041_3,215282.8645855378,225986.67263585553
24,2016_4,350522.1624177944,359172.28059738927
25,2021_4,225348.3515520884,224233.13014736047
26,2026_4,214855.31997048086,214214.21584427537
27,2031_4,205815.5454002402,205298.6818083903
28,2036_4,203094.3936643642,207180.75811340185
29,2041_4,202486.56048476388,211591.9772819307
30,2016_5,351613.58946284396,360583.37318786985
31,2021_5,215509.37708474253,214657.1024583936
32,2026_5,209615.88361944165,218088.91284177196
33,2031_5,211583.17360011715,223210.60894813255
34,2036_5,227852.80407993542,229919.51841481403
35,2041_5,222862.53695388327,227318.57261514073
36,2016_6,349938.03151347913,358588.149693074
37,2021_6,218890.94489488826,218210.5685799834
38,2026_6,213941.53832571147,222781.01280207708
39,2031_6,219110.732651141,220814.3808387578
40,2036_6,210062.6208931426,210890.5082380927
41,2041_6,215275.8922460735,218059.86428225721
42,2016_7,344357.5964152987,358624.3656418627
43,2021_7,203889.41368533217,203500.00697356852
44,2026_7,206091.366602988,215102.90662512407
45,2031_7,206500.01912153506,209293.14881880666
46,2036_7,215504.95661788995,213909.0536485129
47,2041_7,207862.72394941715,211482.62110753937
48,2016_8,326202.98451786314,343732.9220856427
49,2021_8,219821.21899362616,219481.37738644824
50,2026_8,204479.18864774943,209400.23550402385
51,2031_8,212711.6911998933,221642.60776287084
52,2036_8,226527.52776632347,222955.32109851603
53,2041_8,206897.29641341555,213173.72495537653
54,2016_9,350522.16241779434,359172.28059738915
55,2021_9,225134.4774558086,223615.6187695166
56,2026_9,216245.4642200846,217066.17065051245
57,2031_9,218275.34854241362,217349.0964879808
58,2036_9,202305.26931577077,211350.87187111683
59,2041_9,207071.24451664137,212711.83624452024
60,2016_10,350522.1624177944,359172.28059738927
61,2021_10,220855.7924279737,220455.85970928438
62,2026_10,208938.2262576353,216266.99729799386
63,2031_10,219802.43892165492,220679.86934882062
64,2036_10,206305.71876629998,209250.08756096425
65,2041_10,213507.38220813885,215927.01419270932
66,2016_11,348530.05768342095,357180.17586301576
67,2021_11,220107.22552685544,220843.36363029192
68,2026_11,201877.24901194524,202698.7072530602
69,2031_11,220722.8848511757,218371.9898192372
70,2036_11,205680.0544702934,208803.13785542437
71,2041_11,202496.1459765082,211780.2658262631
72,2016_12,350522.1624177944,359172.28059738927
73,2021_12,214576.51893138615,216151.1394062098
74,2026_12,209108.92874161302,210191.61084648067
75,2031_12,208317.35034297986,209518.4183947868
76,2036_12,206061.15145462818,209181.21813478254
77,2041_12,213010.84854462792,215590.45047530063
78,2016_13,348530.05768342095,357180.17586301576
79,2021_13,214576.51893138624,216151.1394062098
80,2026_13,205133.48120699933,210112.1752456283
81,2031_13,219045.5304969466,219715.5205855692
82,2036_13,210578.10936943325,210975.38625224467
83,2041_13,199999.99990495367,204925.4118083931
84,2016_14,350522.16241779434,359172.28059738915
85,2021_14,214576.51893138624,216151.1394062098
86,2026_14,208176.8313250507,209259.51342991838
87,2031_14,208666.23986588657,209411.2643746049
88,2036_14,203378.28973003768,207110.00103887793
89,2041_14,206840.73286931415,213943.60097889646
90,2016_15,350522.1624177944,359172.28059738927
91,2021_15,224382.6237388486,222863.7650525566
92,2026_15,208115.74717010587,211080.66558040187
93,2031_15,226758.02609817294,231504.22052184475
94,2036_15,220622.5877617621,220373.65029016163
95,2041_15,201542.47176466222,208659.921748323
96,2016_16,350522.16241779434,359172.28059738915
97,2021_16,219966.87622906014,219286.49991415523
98,2026_16,211989.68766901063,216615.31670045762
99,2031_16,218916.60156473942,224380.21140724185
100,2036_16,219798.3733352495,212550.36555300065
101,2041_16,200846.48627352604,208442.27386309498
102,2016_17,327294.41156291263,345144.0146761234
103,2021_17,214722.06965328057,213806.6924530945
104,2026_17,205899.5068801556,212137.59627389023
105,2031_17,211607.93299993197,220992.84258934337
106,2036_17,213322.4421209602,216700.0691560488
107,2041_17,241052.04059993892,236250.24825462088
108,2016_18,336649.79117156233,346050.4842531893
109,2021_18,222323.10054661072,221256.75116629296
110,2026_18,214943.0720171234,214785.89762524312
111,2031_18,213262.50741094004,212097.31232773457
112,2036_18,201819.90806085392,208199.28038243708
113,2041_18,202879.1077668601,215141.51602289858
114,2016_19,350522.1624177944,359172.28059738927
115,2021_19,219966.87622906006,219286.4999141552
116,2026_19,215617.2433498792,224217.10521041957
117,2031_19,207823.43337849525,216949.39584072743
118,2036_19,218743.86791993212,224536.16828343782
119,2041_19,218474.08710048348,217807.01245820776
120,2016_20,349938.03151347913,358588.149693074
121,2021_20,218814.13328056212,218010.56328030868
122,2026_20,210159.68332729852,219141.79940196814
123,2031_20,229054.42285502033,234412.53966725257
124,2036_20,219296.4346908779,211949.09801297454
125,2041_20,201140.0368913825,203718.80616141472
126,2016_21,351613.5894628439,360583.37318787
127,2021_21,215509.37708474242,214657.1024583935
128,2026_21,210990.88914729195,219463.91836962226
129,2031_21,223637.85329804124,231920.38081420318
130,2036_21,211035.7171488134,220843.77479997775
131,2041_21,235273.97951625974,242638.6229518353
132,2016_22,320038.41851536743,343185.0071301162
133,2021_22,202778.02863665833,202325.51935105762
134,2026_22,202251.82467652575,208882.38380029294
135,2031_22,202475.3308728753,204590.88680338123
136,2036_22,206276.2145279219,211212.0448334882
137,2041_22,231433.66409395332,236356.4365040783
138,2016_23,312330.613271631,330611.12574144284
139,2021_23,216829.31624319853,216538.34666043072
140,2026_23,214647.78462153595,216708.0640722243
141,2031_23,205001.60857484202,204435.98137503033
142,2036_23,203298.20053953244,208226.01218910495
143,2041_23,215943.93979072466,219414.6825069718
144,2016_24,348530.05768342095,357180.17586301576
145,2021_24,218890.94489488835,218210.56857998346
146,2026_24,223109.43836491957,224191.1703903633
147,2031_24,209796.6069949705,209595.99250410212
148,2036_24,200750.19380543006,199999.99999895846
149,2041_24,201984.29046172026,208986.07334838086
150,2016_25,344357.5964152987,358624.36564186274
151,2021_25,208305.1611951206,207077.27211196997
152,2026_25,203036.7645893011,207649.06973659163
153,2031_25,208989.4206572036,209580.24680067095
154,2036_25,206449.13985652113,206363.0196166229
155,2041_25,202771.10249865276,212766.46521377604
156,2016_26,320038.41851536743,343185.0071301162
157,2021_26,202026.17491969842,201573.66563409768
158,2026_26,201728.08455611786,208311.09611314986
159,2031_26,209579.56420502393,211239.67801633847
160,2036_26,216268.94310684348,214758.98621348696
161,2041_26,218334.27113805944,219933.01165541308
162,2016_27,336649.79117156233,346050.4842531893
163,2021_27,216831.4217026504,216603.55469371978
164,2026_27,218981.90953404593,223029.8508090904
165,2031_27,202081.24620807823,205025.87091398513
166,2036_27,210761.98300433264,214899.15322126285
167,2041_27,207762.76269874067,209415.749610423
168,2016_28,324210.8797834897,341740.81735126924
169,2021_28,214541.06521688422,216052.58311787064
170,2026_28,200576.95774688947,203368.7900950704
171,2031_28,217593.1071839009,216192.9465384388
172,2036_28,208386.49505127102,208101.6035363392
173,2041_28,213390.43753929896,213769.75276737384
174,2016_29,350522.1624177944,359172.28059738927
175,2021_29,218814.13328056212,218010.56328030868
176,2026_29,213184.81621088609,220382.1241452346
177,2031_29,230643.87404142198,236669.69772940356
