,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,340536.3151811704,340536.3151811704
1,2021_0,200000.00003282592,200000.00003282592
2,2026_0,199999.99996491167,199999.99996491167
3,2031_0,199999.99998748535,199999.99998748535
4,2036_0,199999.99997471608,199999.99997471608
5,2041_0,199999.99999227517,199999.99999227517
6,2016_1,340536.3151811704,340536.3151811704
7,2021_1,200000.00003282592,200000.00003282592
8,2026_1,199999.99996491167,199999.99996491167
9,2031_1,199999.99998748535,199999.99998748535
10,2036_1,199999.99997471608,199999.99997471608
11,2041_1,199999.99999227517,199999.99999227517
12,2016_2,340536.3151811704,340536.3151811704
13,2021_2,200000.00003282592,200000.00003282592
14,2026_2,199999.99996491167,199999.99996491167
15,2031_2,199999.99998748535,199999.99998748535
16,2036_2,199999.99997471608,199999.99997471608
17,2041_2,199999.99999227517,199999.99999227517
18,2016_3,340536.3151811704,340536.3151811704
19,2021_3,200000.00003282592,200000.00003282592
20,2026_3,199999.99996491167,199999.99996491167
21,2031_3,199999.99998748535,199999.99998748535
22,2036_3,199999.99997471608,199999.99997471608
23,2041_3,199999.99999227517,199999.99999227517
24,2016_4,340536.3151811704,340536.3151811704
25,2021_4,200000.00003282592,200000.00003282592
26,2026_4,199999.99996491167,199999.99996491167
27,2031_4,199999.99998748535,199999.99998748535
28,2036_4,199999.99997471608,199999.99997471608
29,2041_4,199999.99999227517,199999.99999227517
30,2016_5,340536.3151811704,340536.3151811704
31,2021_5,200000.00003282592,200000.00003282592
32,2026_5,199999.99996491167,199999.99996491167
33,2031_5,199999.99998748535,199999.99998748535
34,2036_5,199999.99997471608,199999.99997471608
35,2041_5,199999.99999227517,199999.99999227517
36,2016_6,340536.3151811704,340536.3151811704
37,2021_6,200000.00003282592,200000.00003282592
38,2026_6,199999.99996491167,199999.99996491167
39,2031_6,199999.99998748535,199999.99998748535
40,2036_6,199999.99997471608,199999.99997471608
41,2041_6,199999.99999227517,199999.99999227517
42,2016_7,340536.3151811704,340536.3151811704
43,2021_7,200000.00003282592,200000.00003282592
44,2026_7,199999.99996491167,199999.99996491167
45,2031_7,199999.99998748535,199999.99998748535
46,2036_7,199999.99997471608,199999.99997471608
47,2041_7,199999.99999227517,199999.99999227517
48,2016_8,340536.3151811704,340536.3151811704
49,2021_8,200000.00003282592,200000.00003282592
50,2026_8,199999.99996491167,199999.99996491167
51,2031_8,199999.99998748535,199999.99998748535
52,2036_8,199999.99997471608,199999.99997471608
53,2041_8,199999.99999227517,199999.99999227517
54,2016_9,340536.3151811704,340536.3151811704
55,2021_9,200000.00003282592,200000.00003282592
56,2026_9,199999.99996491167,199999.99996491167
57,2031_9,199999.99998748535,199999.99998748535
58,2036_9,199999.99997471608,199999.99997471608
59,2041_9,199999.99999227517,199999.99999227517
60,2016_10,340536.3151811704,340536.3151811704
61,2021_10,200000.00003282592,200000.00003282592
62,2026_10,199999.99996491167,199999.99996491167
63,2031_10,199999.99998748535,199999.99998748535
64,2036_10,199999.99997471608,199999.99997471608
65,2041_10,199999.99999227517,199999.99999227517
66,2016_11,340536.3151811704,340536.3151811704
67,2021_11,200000.00003282592,200000.00003282592
68,2026_11,199999.99996491167,199999.99996491167
69,2031_11,199999.99998748535,199999.99998748535
70,2036_11,199999.99997471608,199999.99997471608
71,2041_11,199999.99999227517,199999.99999227517
72,2016_12,340536.3151811704,340536.3151811704
73,2021_12,200000.00003282592,200000.00003282592
74,2026_12,199999.99996491167,199999.99996491167
75,2031_12,199999.99998748535,199999.99998748535
76,2036_12,199999.99997471608,199999.99997471608
77,2041_12,199999.99999227517,199999.99999227517
78,2016_13,340536.3151811704,340536.3151811704
79,2021_13,200000.00003282592,200000.00003282592
80,2026_13,199999.99996491167,199999.99996491167
81,2031_13,199999.99998748535,199999.99998748535
82,2036_13,199999.99997471608,199999.99997471608
83,2041_13,199999.99999227517,199999.99999227517
84,2016_14,340536.3151811704,340536.3151811704
85,2021_14,200000.00003282592,200000.00003282592
86,2026_14,199999.99996491167,199999.99996491167
87,2031_14,199999.99998748535,199999.99998748535
88,2036_14,199999.99997471608,199999.99997471608
89,2041_14,199999.99999227517,199999.99999227517
90,2016_15,340536.3151811704,340536.3151811704
91,2021_15,200000.00003282592,200000.00003282592
92,2026_15,199999.99996491167,199999.99996491167
93,2031_15,199999.99998748535,199999.99998748535
94,2036_15,199999.99997471608,199999.99997471608
95,2041_15,199999.99999227517,199999.99999227517
96,2016_16,340536.3151811704,340536.3151811704
97,2021_16,200000.00003282592,200000.00003282592
98,2026_16,199999.99996491167,199999.99996491167
99,2031_16,199999.99998748535,199999.99998748535
100,2036_16,199999.99997471608,199999.99997471608
101,2041_16,199999.99999227517,199999.99999227517
102,2016_17,340536.3151811704,340536.3151811704
103,2021_17,200000.00003282592,200000.00003282592
104,2026_17,199999.99996491167,199999.99996491167
105,2031_17,199999.99998748535,199999.99998748535
106,2036_17,199999.99997471608,199999.99997471608
107,2041_17,199999.99999227517,199999.99999227517
108,2016_18,340536.3151811704,340536.3151811704
109,2021_18,200000.00003282592,200000.00003282592
110,2026_18,199999.99996491167,199999.99996491167
111,2031_18,199999.99998748535,199999.99998748535
112,2036_18,199999.99997471608,199999.99997471608
113,2041_18,199999.99999227517,199999.99999227517
114,2016_19,340536.3151811704,340536.3151811704
115,2021_19,200000.00003282592,200000.00003282592
116,2026_19,199999.99996491167,199999.99996491167
117,2031_19,199999.99998748535,199999.99998748535
118,2036_19,199999.99997471608,199999.99997471608
119,2041_19,199999.99999227517,199999.99999227517
120,2016_20,340536.3151811704,340536.3151811704
121,2021_20,200000.00003282592,200000.00003282592
122,2026_20,199999.99996491167,199999.99996491167
123,2031_20,199999.99998748535,199999.99998748535
124,2036_20,199999.99997471608,199999.99997471608
125,2041_20,199999.99999227517,199999.99999227517
126,2016_21,340536.3151811704,340536.3151811704
127,2021_21,200000.00003282592,200000.00003282592
128,2026_21,199999.99996491167,199999.99996491167
129,2031_21,199999.99998748535,199999.99998748535
130,2036_21,199999.99997471608,199999.99997471608
131,2041_21,199999.99999227517,199999.99999227517
132,2016_22,340536.3151811704,340536.3151811704
133,2021_22,200000.00003282592,200000.00003282592
134,2026_22,199999.99996491167,199999.99996491167
135,2031_22,199999.99998748535,199999.99998748535
