,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,538415.1689566708,514000.10051678657
1,2021_0,213257.90225239034,249375.8396477615
2,2026_0,115443.32499082925,123502.82796050912
3,2031_0,77864.52593267288,76588.21257513766
4,2036_0,126796.90009703842,134726.5505021101
5,2041_0,102853.45909311014,139365.03028105132
6,2016_1,528565.2006679255,504828.7543298787
7,2021_1,207096.81140705346,238933.7115280248
8,2026_1,121152.00117629337,133644.402083372
9,2031_1,60864.68843582073,56528.3057746381
10,2036_1,193682.37409510254,198517.9213284908
11,2041_1,106309.18823709902,145119.39219157805
12,2016_2,550740.808219109,530311.6200618163
13,2021_2,186261.16692334967,220300.38772763175
14,2026_2,115493.54475643663,126142.36591377077
15,2031_2,62998.69660704412,60095.08891054901
16,2036_2,127833.33825580085,141806.7483616589
17,2041_2,165651.9572295649,191787.29129705773
18,2016_3,536839.4408284083,512424.37238852424
19,2021_3,215089.30810371638,240292.77757089722
20,2026_3,122396.37091614475,132871.59164878036
21,2031_3,32384.70825964102,35924.7666760711
22,2036_3,141666.89330503458,161967.639606455
23,2041_3,152530.5149687772,193975.07767276414
24,2016_4,528565.2006679255,504828.7543298787
25,2021_4,201703.08601015888,233949.96473553972
26,2026_4,118750.11504173321,132727.69960261075
27,2031_4,95209.5911402659,95531.72535426212
28,2036_4,162071.60173959858,164007.87615408518
29,2041_4,102043.24862933284,144234.03209341964
30,2016_5,528874.4771134353,505138.0307753884
31,2021_5,208467.4208964634,240304.32101743476
32,2026_5,117011.88674970606,129504.28765678465
33,2031_5,95712.31260931802,95345.30706136016
34,2036_5,149546.2260106073,154714.96031145213
35,2041_5,97643.36587931555,143393.4115636821
36,2016_6,525066.8665438903,508167.943970795
37,2021_6,229867.81897758268,259682.16507997937
38,2026_6,112454.94528507699,119029.2646009579
39,2031_6,32281.857948737197,32783.377798742586
40,2036_6,128634.76001734933,142516.44486188973
41,2041_6,111325.5581266763,155202.01555798337
42,2016_7,528565.2006679255,504828.7543298787
43,2021_7,201703.08601015888,233949.96473553972
44,2026_7,118750.11504173321,132727.69960261075
45,2031_7,51352.63841731038,52950.71216492119
46,2036_7,226201.0897539604,225846.91150719646
47,2041_7,129809.53477314666,166922.250000494
48,2016_8,530450.2052416977,506713.75890365086
49,2021_8,201586.00275563216,233832.881481013
50,2026_8,159762.76335399944,170597.636826717
51,2031_8,30630.588575815145,31761.692897512705
52,2036_8,190463.46794478834,190667.37159466714
53,2041_8,99329.14040898866,140300.02605709847
54,2016_9,530450.2052416976,506713.75890365074
55,2021_9,201703.0860101589,233949.96473553972
56,2026_9,134970.16025876632,145957.86201352498
57,2031_9,54630.88113899345,56067.89219685592
58,2036_9,167526.46697074934,178724.35766288108
59,2041_9,110440.46950401585,144520.55620409694
60,2016_10,538724.4454021808,514309.37696229666
61,2021_10,199862.2641052028,233796.53429386503
62,2026_10,151880.08101164064,161927.3179747341
63,2031_10,33627.09194716707,33996.82417635365
64,2036_10,127365.16592296997,140999.6130352171
65,2041_10,159065.31642338744,192949.69291383296
66,2016_11,530759.4816872076,507023.0353491607
67,2021_11,222993.66496343567,259086.08839567887
68,2026_11,124518.24863868518,131103.67393109502
69,2031_11,54961.180905994,54691.375981295685
70,2036_11,132214.25044796482,141128.83758645642
71,2041_11,102687.83872509163,143702.85421955583
72,2016_12,528874.4771134353,505138.0307753884
73,2021_12,216750.06919545578,250362.05933301622
74,2026_12,137889.05466858836,145757.70985875203
75,2031_12,36430.641581130854,38105.616689549366
76,2036_12,133405.1949720562,151952.12755973332
77,2041_12,105950.87259090613,147128.99891706998
78,2016_13,536839.4408284087,512424.3723885245
79,2021_13,203101.9753510078,237036.39812191293
80,2026_13,118658.59171246727,129296.34655682211
81,2031_13,35376.20568478888,36061.95561752066
82,2036_13,176841.56418923006,188863.20869841558
83,2041_13,209418.05253201735,243868.8747485013
84,2016_14,532393.6292057612,510169.17921452335
85,2021_14,214568.7114846203,238749.22224983718
86,2026_14,120468.74317597102,130285.2525218075
87,2031_14,33546.775984908294,34978.30624317212
88,2036_14,134068.9764403023,152605.53488315162
89,2041_14,106840.77670542008,156972.16428906313
90,2016_15,528874.4771134354,505138.0307753886
91,2021_15,203841.5639065119,236088.44263189269
92,2026_15,119025.96712894898,133003.55168982656
93,2031_15,67544.18121720526,63163.67674755207
94,2036_15,136603.71189394826,156848.13719351628
95,2041_15,235378.18058657192,256261.1567660676
96,2016_16,538415.1689566708,514000.1005167868
97,2021_16,212262.60900542027,237466.07847260108
98,2026_16,149138.52749373583,159337.7208985925
99,2031_16,51705.57343035132,51112.91903517153
100,2036_16,122428.25457900201,128282.88611478762
101,2041_16,101873.62964612202,147616.120412675
102,2016_17,528874.4771134354,505138.0307753886
103,2021_17,225950.02604585668,249056.12544534655
104,2026_17,115135.27112174933,127779.6284705912
105,2031_17,39282.03226451054,35629.30856568336
106,2036_17,195295.6022442585,200552.73028388747
107,2041_17,104452.29644111347,159170.03354648006
108,2016_18,530759.4816872076,507023.0353491607
109,2021_18,203841.5639065119,236088.44263189269
110,2026_18,159810.84149214704,170645.7149648646
111,2031_18,30573.322942367387,30943.05517155397
112,2036_18,131882.96003150096,143717.0729822181
113,2041_18,187193.5390571875,218953.7983669014
114,2016_19,550431.5317735991,530002.3436163065
115,2021_19,184005.6057724699,218044.82657675198
116,2026_19,115592.5880566363,126241.40921397044
117,2031_19,36443.4550113539,38142.3577267315
118,2036_19,138114.69402464773,150547.06732375766
119,2041_19,198472.0060370681,227237.62474971326
120,2016_20,530450.2052416977,506713.75890365086
121,2021_20,201703.08601015888,233949.96473553972
122,2026_20,167231.0970876519,176591.8928830994
123,2031_20,55018.44653944178,54756.45364909483
124,2036_20,121119.02093014051,129994.99307759278
125,2041_20,101080.95775015341,141738.30045432705
126,2016_21,533031.8302588634,515454.28558393096
127,2021_21,213250.63812570623,243500.47679564034
128,2026_21,115430.44438310918,123489.94735278904
129,2031_21,33044.40959890197,33414.141828088555
130,2036_21,133905.01339111343,147967.73684508403
131,2041_21,164498.7641800994,193669.44716206528
132,2016_22,528874.4771134354,505138.0307753886
133,2021_22,201586.00275563216,233832.881481013
134,2026_22,125899.19782403953,139876.7823849171
135,2031_22,38397.03041686509,34700.18490956735
136,2036_22,200674.61588784715,210316.59717810774
137,2041_22,112266.76230346528,158334.7305357942
138,2016_23,528874.4771134354,505138.0307753886
139,2021_23,208467.42089646336,240304.3210174347
140,2026_23,131326.04664495637,140828.56474591605
141,2031_23,62000.719147162,62927.21825554012
142,2036_23,133003.1851792555,150742.4204322747
143,2041_23,104063.11257644312,145220.4811792534
144,2016_24,528874.4771134354,505138.0307753886
145,2021_24,209868.6510546246,243890.61979659446
146,2026_24,121109.71544242947,131582.35051228607
147,2031_24,65666.16433862677,63515.60534236628
148,2036_24,183170.11500313034,190512.0727018958
149,2041_24,105919.8636862484,145530.242374913
150,2016_25,525066.8665438903,508167.943970795
151,2021_25,202138.28047244437,228517.06047238817
152,2026_25,125743.38834060343,138398.85166597422
153,2031_25,52964.53153998633,53409.682451039575
154,2036_25,134716.57644908736,152938.17219773118
155,2041_25,111394.38230684295,152231.63632225303
156,2016_26,520621.0549212427,505912.750796794
157,2021_26,209340.79030884427,236471.70162341322
158,2026_26,141997.2812175496,151281.08070116903
159,2031_26,34206.71586277546,34620.5699004326
160,2036_26,126991.84717293235,138679.49535283408
