,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,541823.6911172762,502508.8956008784
1,2021_0,195812.89862424182,233388.82985954473
2,2026_0,119026.67227097087,130707.66724902795
3,2031_0,42503.609229430534,49451.14210743776
4,2036_0,141783.93237289708,148086.84598539036
5,2041_0,99723.01334509117,141654.51461370004
6,2016_1,515391.96858710074,488673.72614858823
7,2021_1,194129.60304092139,226549.5770084061
8,2026_1,109658.16850735653,123755.56201737802
9,2031_1,50981.35345707043,51720.59786604067
10,2036_1,124800.11835687744,138076.44502568242
11,2041_1,110941.68613889071,149002.15143667193
12,2016_2,541957.9265258069,503480.3885858827
13,2021_2,187948.6145105124,228565.9122994263
14,2026_2,110186.87717534915,125811.70706967148
15,2031_2,39545.45237122926,40704.104937107164
16,2036_2,133124.45022030995,154122.31620362055
17,2041_2,111910.4491922596,152407.35447345013
18,2016_3,542407.8220215916,503093.0265051938
19,2021_3,202032.82601962707,230387.58810134025
20,2026_3,109914.16805344458,124444.73116332717
21,2031_3,50839.68600647826,51619.42912612578
22,2036_3,125570.35465804936,137526.39832157234
23,2041_3,101090.00102847128,150050.06870348807
24,2016_4,541823.6911172764,502508.89560087846
25,2021_4,195528.20737730994,236675.81298997745
26,2026_4,119967.86458720015,134927.29103507465
27,2031_4,35489.88904497819,42242.998870591604
28,2036_4,130207.05405283983,150257.91691339365
29,2041_4,125485.77721198287,163546.8328809376
30,2016_5,541823.6911172764,502508.89560087846
31,2021_5,193866.41601565923,234979.06199775063
32,2026_5,123223.0760788871,138730.78255850275
33,2031_5,38767.95947773419,39962.24435206461
34,2036_5,143300.49278574536,151530.16423471575
35,2041_5,98677.04774978658,143947.9727169365
36,2016_6,539831.586382903,503328.6742524575
37,2021_6,193866.41601565923,231820.06267229255
38,2026_6,117381.10298531031,134292.24242347537
39,2031_6,49774.15769273001,50486.16208894325
40,2036_6,131200.02626396422,142707.25822741416
41,2041_6,100522.66102367631,138341.16397106895
42,2016_7,531087.0481465706,500999.23028497904
43,2021_7,180305.66832674222,216152.01644348569
44,2026_7,107783.46650370784,124745.1233893802
45,2031_7,38086.78668279393,41934.548160048646
46,2036_7,136768.78651781418,154028.80716911328
47,2041_7,106127.67682413479,150921.1728642631
48,2016_8,540415.7172872181,503912.8051567727
49,2021_8,190956.63967687957,228669.6621945761
50,2026_8,115656.50185046378,129217.43757125964
51,2031_8,36482.92210460227,38436.88798425717
52,2036_8,130362.26551289902,143664.70251227485
53,2041_8,115898.37921307157,161474.23273234317
54,2016_9,541373.7956214917,502896.2576815674
55,2021_9,188700.46822747233,226637.8681515858
56,2026_9,109346.73045452539,124945.15584344364
57,2031_9,41362.93373404829,41942.279093242534
58,2036_9,137100.64650466555,149650.8879450596
59,2041_9,102032.1540377553,142075.52183621476
60,2016_10,539965.8217914335,504300.1672374618
61,2021_10,191488.94511668832,229590.3713043372
62,2026_10,115105.11783717814,129241.95333692024
63,2031_10,39879.07324317983,47042.687212988945
64,2036_10,153343.00332227754,162394.6015741899
65,2041_10,99131.47272807488,142762.6308651008
66,2016_11,525633.888611393,492158.8525060677
67,2021_11,190962.66900113338,228041.13648681837
68,2026_11,115429.64153507954,130188.11379043414
69,2031_11,47651.946236649346,54594.63398666294
70,2036_11,127853.34144250507,150501.54955850748
71,2041_11,106849.10208045456,145535.45453890073
72,2016_12,542407.8220215916,503093.0265051938
73,2021_12,199380.4638752958,228557.08320842098
74,2026_12,115581.53891488495,128332.50496383088
75,2031_12,47027.67982224785,53341.58914664935
76,2036_12,142891.6706811059,146945.51833019682
77,2041_12,98379.6284297577,147756.04837560118
78,2016_13,516755.1149665301,488857.91555358504
79,2021_13,182372.12304136084,208782.1840610947
80,2026_13,109920.70078495692,125288.20794230697
81,2031_13,37065.307198711205,40813.433110292775
82,2036_13,125758.24837236475,145470.2568841763
83,2041_13,106527.11072602807,156793.06871790398
84,2016_14,526218.0195157082,492742.9834103829
85,2021_14,192038.60033530512,229117.0678209901
86,2026_14,112612.3617774515,127770.78592026136
87,2031_14,53749.97262560619,55050.93385960932
88,2036_14,131980.33318404973,144377.813849296
89,2041_14,102287.65339057194,139545.55294091743
90,2016_15,542407.8220215915,503093.0265051937
91,2021_15,196888.8299584136,234464.7611937165
92,2026_15,113375.35685529097,127608.26912452753
93,2031_15,61243.59326185737,63003.84404847447
94,2036_15,122878.98285070663,134621.58425496842
95,2041_15,101288.70511523142,141189.07362243344
96,2016_16,541957.9265258069,503480.3885858827
97,2021_16,194472.33130793378,232196.04207425218
98,2026_16,124445.27548360686,136629.64605800493
99,2031_16,34881.8647776362,36094.83086374559
100,2036_16,122668.90235868673,137727.56713087627
101,2041_16,101618.53488522407,145564.1451471695
102,2016_17,541957.9265258069,503480.3885858827
103,2021_17,196212.1115078561,228216.40823679726
104,2026_17,114539.98951762523,127458.89632218888
105,2031_17,43575.50428925304,53575.877751981425
106,2036_17,145359.13938465278,150208.7815940332
107,2041_17,98639.36904516933,149354.3381136422
108,2016_18,542407.8220215916,503093.0265051938
109,2021_18,195812.89862424185,233388.8298595447
110,2026_18,128147.74793862278,140270.78786506454
111,2031_18,35050.42529667405,36264.16861017761
112,2036_18,122855.88495935642,137110.3253454641
113,2041_18,100361.75324158734,141698.02603830554
114,2016_19,542407.8220215916,503093.0265051938
115,2021_19,194618.2697326191,233051.01784991007
116,2026_19,130793.57039262369,142993.10500584322
117,2031_19,33193.02192067346,34390.016909017475
118,2036_19,122705.66117726534,135152.10954265043
119,2041_19,100240.76053938628,144282.00378917286
120,2016_20,541373.7956214917,502896.2576815674
121,2021_20,194136.86716760558,231536.67975010187
122,2026_20,110206.5455332243,127113.04094120639
123,2031_20,38720.92225201827,48081.959543556346
124,2036_20,150401.88065781287,157235.17695818236
125,2041_20,106096.3773355773,149690.75249141766
126,2016_21,541957.9265258069,503480.3885858827
127,2021_21,193277.70241631108,231858.23006461753
128,2026_21,120879.04018046494,136530.66218290178
129,2031_21,43388.04554367282,44783.7755783542
130,2036_21,123432.6973667161,140493.50746870218
131,2041_21,117452.60702167821,155784.2070790993
132,2016_22,541957.9265258069,503480.3885858827
133,2021_22,196963.96522481603,226288.36408895673
134,2026_22,120879.04018046494,133767.87037063547
135,2031_22,39771.3773612527,40350.72559672855
136,2036_22,124347.14376777336,134188.86796295107
137,2041_22,98893.4541259707,149362.9638747386
138,2016_23,540415.7172872182,503912.80515677284
139,2021_23,193866.41601565923,231820.06267229255
140,2026_23,123686.39166438088,139657.84977083575
141,2031_23,49195.547251474425,50710.94767840057
142,2036_23,123986.67678744513,137085.12560165583
143,2041_23,118031.68139074362,155859.97630728653
144,2016_24,539965.8217914335,504300.1672374618
145,2021_24,187948.6145105124,225406.9129739683
146,2026_24,110225.54602564932,125938.44715016939
147,2031_24,37774.30686390858,39799.41705397283
148,2036_24,137064.64818868463,154365.89145663503
149,2041_24,122184.11827221219,164961.1166021184
150,2016_25,541823.6911172764,502508.89560087846
151,2021_25,195812.89862424185,233388.8298595447
152,2026_25,115027.5610090077,131918.28336973707
153,2031_25,44664.03384592662,51428.27781050292
154,2036_25,130437.59206474353,150661.1443575931
155,2041_25,105079.3599503939,142361.9560473557
156,2016_26,541957.9265258069,503480.3885858827
157,2021_26,192201.7710821393,230782.2987304458
158,2026_26,115750.94619512616,131080.77106264842
159,2031_26,41865.418452552425,48537.09863705289
160,2036_26,137377.18418915162,158661.9263736948
161,2041_26,123150.96630229722,169084.47303707944
162,2016_27,539965.8217914334,504300.16723746166
163,2021_27,196251.13925936498,225096.43666284814
164,2026_27,114807.24348721332,127774.22842992457
165,2031_27,42374.23081769366,52391.171769974564
166,2036_27,145311.44038513588,150293.68472258508
167,2041_27,100658.85195428756,147861.07967710742
168,2016_28,542407.8220215916,503093.0265051938
169,2021_28,197270.63187695039,234881.52274282931
170,2026_28,116610.15364955443,131351.52032107732
171,2031_28,38846.10948465954,45076.08567575226
172,2036_28,141598.3594317688,148712.7828864935
173,2041_28,100242.9848908466,142524.4356283461
174,2016_29,533079.152880944,500179.4516334001
175,2021_29,179824.6122675056,216992.86223402675
176,2026_29,108475.73981369987,126825.5176461762
177,2031_29,45869.31860439795,49854.729602405576
178,2036_29,137996.85274727637,150790.86945061217
179,2041_29,102486.09109302607,144154.9018511816
180,2016_30,506513.19494223775,485372.78919610573
181,2021_30,178995.3053691108,213865.040035525
182,2026_30,109531.98512976708,125822.10326971152
183,2031_30,36967.11061944464,40671.13508538589
184,2036_30,129004.23299496563,150875.11132811135
185,2041_30,118930.5958010339,154380.68788540488
186,2016_31,541957.9265258069,503480.3885858827
187,2021_31,196212.1115078561,228216.40823679726
188,2026_31,122433.45890548365,134037.20766947474
189,2031_31,33139.3792120502,34269.76053686684
190,2036_31,123972.36013236058,138629.44584074183
191,2041_31,101118.80700036712,153880.19879560787
192,2016_32,542407.8220215916,503093.0265051938
193,2021_32,195324.1492683678,236471.75488103527
194,2026_32,111685.48178981873,129811.51501451552
195,2031_32,51801.32701220316,60765.24144761446
196,2036_32,143750.053786095,147959.26812783993
197,2041_32,99977.81953175596,139208.78812495008
198,2016_33,525633.888611393,492158.8525060677
199,2021_33,191873.846048869,228628.4153507319
200,2026_33,117599.60429757346,132647.7685219264
201,2031_33,42895.910643468116,44281.23847248438
202,2036_33,123417.79599456488,138521.3789401883
203,2041_33,104431.73799893621,140283.59350145803
204,2016_34,513849.7593485119,489106.14271947846
205,2021_34,195355.9128931925,228364.68056539033
206,2026_34,113010.25742397115,127182.20656162822
207,2031_34,35362.99736513034,44703.89876520074
208,2036_34,135380.23353372575,153084.0485357187
209,2041_34,128848.4372382163,165375.17720445065
210,2016_35,533079.152880944,500179.4516334001
211,2021_35,178816.05554796287,218665.62882938868
212,2026_35,116314.88880727012,132431.83038659807
213,2031_35,40429.196911606676,43520.83738778207
214,2036_35,130599.11363580305,141641.41703199872
215,2041_35,101460.41876266169,143975.3836818719
216,2016_36,533079.152880944,500179.4516334001
217,2021_36,179567.90926492278,216737.5846815481
218,2026_36,110342.43548085117,127380.58705330132
219,2031_36,38004.65415460614,39228.02956515357
220,2036_36,134322.18435817695,152819.82758505823
221,2041_36,108428.94510238006,154090.4237183845
222,2016_37,542407.8220215916,503093.0265051938
223,2021_37,194618.2697326191,233051.01784991007
224,2026_37,122804.0829867949,134561.57265162977
225,2031_37,41064.16380315518,47995.72558339703
226,2036_37,131794.33395134995,149039.99423063122
227,2041_37,102686.91454658346,144587.06047922437
228,2016_38,517339.2458708454,489442.0464579003
229,2021_38,178328.80718391683,213996.42243792067
230,2026_38,113455.16365053401,128974.28180791184
231,2031_38,37343.84198833426,38538.07406882798
232,2036_38,126603.69779895424,145960.69151135185
233,2041_38,103774.34602423679,145128.75800077658
234,2016_39,539831.586382903,503328.6742524575
235,2021_39,195363.1770198767,233351.7833070861
236,2026_39,112707.83928862328,130738.80576635314
237,2031_39,45878.49268097271,53628.326682534615
238,2036_39,141333.48001560333,155920.48829556024
239,2041_39,105848.51976539686,146151.44690904734
240,2016_40,539965.8217914335,504300.1672374618
241,2021_40,191449.91736517943,229551.34355282827
242,2026_40,114283.98997153722,129565.73670091186
243,2031_40,40615.46184285908,52354.3735589297
244,2036_40,146094.30632787815,166523.10030315083
245,2041_40,137987.22177824774,175226.78709655095
246,2016_41,541823.6911172764,502508.89560087846
247,2021_41,196076.0029853277,234543.7107331947
248,2026_41,111685.48178981873,129859.59315266312
249,2031_41,52419.170152985236,53154.788581897155
250,2036_41,144437.1604802142,149761.95620959907
251,2041_41,101593.52931852062,140409.67513773392
252,2016_42,542407.8220215916,503093.0265051938
253,2021_42,200838.19712800442,230049.77609170557
254,2026_42,112300.68600123344,128112.02374364519
255,2031_42,42971.3016536078,48567.603728040296
256,2036_42,142583.51221006087,148031.8243772333
257,2041_42,100084.30540255469,149830.32544454053
258,2016_43,540415.7172872182,503912.80515677284
259,2021_43,196813.76204714715,233958.14249513228
260,2026_43,118279.30391548562,132319.44016728448
261,2031_43,36426.279773557006,37639.2458596664
262,2036_43,129104.85725273938,144555.1524609305
263,2041_43,108007.4718502594,152980.96720359437
264,2016_44,539965.8217914335,504300.1672374618
265,2021_44,196212.1115078561,225057.40891133924
266,2026_44,115681.84920692151,127388.47193947114
267,2031_44,36016.281692490826,46555.797441452734
268,2036_44,145108.34271135862,154617.25798274894
269,2041_44,102811.5359969027,152431.69095403206
270,2016_45,542407.8220215916,503093.0265051938
271,2021_45,194618.2697326191,233051.01784991007
272,2026_45,117232.13598679281,131141.59105535183
273,2031_45,42849.55655864372,49781.115512195
274,2036_45,147194.6407440319,156250.19427748592
275,2041_45,109085.59560812544,147070.73308774442
276,2016_46,541957.9265258069,503480.3885858827
