,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,362388.1229472014,380600.5219386059
1,2021_0,231459.7559354146,227575.1841264953
2,2026_0,201411.23378365344,201562.08937995834
3,2031_0,204608.31625626193,205596.1262731404
4,2036_0,258893.3486640169,255536.97527235257
5,2041_0,226976.0472738952,219219.85668261437
6,2016_1,367855.8639621908,384025.96732947975
7,2021_1,205042.2358532485,203482.01199915571
8,2026_1,202306.70880324248,202342.88573540654
9,2031_1,227754.3546227224,228966.62883901034
10,2036_1,272067.55409738125,265566.4796991927
11,2041_1,219171.5352366392,210411.94004873338
12,2016_2,340645.263957804,354869.3630247835
13,2021_2,217072.42862567605,217708.8578501833
14,2026_2,237655.93439431489,232149.76684271765
15,2031_2,258742.01978487818,261949.61412542174
16,2036_2,200614.0265023849,203322.49139667337
17,2041_2,203666.2683117675,208733.75178849028
18,2016_3,346113.00497279357,358294.80841565743
19,2021_3,239125.9020012809,240668.19374655146
20,2026_3,200356.0030066972,200376.72153457196
21,2031_3,223880.14787336707,224686.80428173966
22,2036_3,206144.35090085407,209071.41415030288
23,2041_3,245639.12432796662,236262.82648660147
24,2016_4,368089.47149056714,382766.059411717
25,2021_4,200000.0000430506,199999.9999315692
26,2026_4,212278.6964858089,212481.8555630754
27,2031_4,200574.2054664388,205141.0487149043
28,2036_4,208808.46466216163,209754.28376347385
29,2041_4,256019.354897602,251573.38854347786
30,2016_5,340411.6564294276,356129.27094254625
31,2021_5,227706.99193912762,227369.16462307156
32,2026_5,237378.59174444166,231786.89964869307
33,2031_5,258677.03302370585,261887.29694030035
34,2036_5,202936.78367492356,204765.29354748412
35,2041_5,223924.81734378703,221069.1046772038
36,2016_6,345879.3974444172,359554.71633342013
37,2021_6,243953.98182072985,243937.73370907686
38,2026_6,211189.18056132286,211248.1966782941
39,2031_6,232104.49170687998,227786.98246692336
40,2036_6,223371.21364825248,223010.26425219167
41,2041_6,209404.87193738445,206316.368401246
42,2016_7,345879.3974444172,359554.71633342013
43,2021_7,229856.95958219012,229346.4240616444
44,2026_7,208765.53886524955,203165.78912630098
45,2031_7,204229.1132871838,207672.16211451692
46,2036_7,274987.3218830714,276085.311711954
47,2041_7,253826.4754500537,240057.5056995675
48,2016_8,345879.3974444172,359554.71633342013
49,2021_8,221190.95061094654,221155.41620326776
50,2026_8,256516.68105015624,255348.89924339775
51,2031_8,200127.69582160545,199999.99991843128
52,2036_8,222695.3110490131,226911.33061292986
53,2041_8,275812.9108804145,256120.45881843314
54,2016_9,345879.3974444172,359554.71633342013
55,2021_9,243953.98182072985,243937.73370907686
56,2026_9,211189.18056132286,211248.1966782941
57,2031_9,218679.20017801208,214920.5894131402
58,2036_9,222809.32332089683,227085.62824192902
