,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,346894.391518211,347572.5498848787
1,2021_0,217219.21017069725,224461.17184681862
2,2026_0,215684.69674051812,202445.49884749655
3,2031_0,233755.78360433414,237509.48755796134
4,2036_0,247206.2622989662,250449.64981444777
5,2041_0,200323.44639691408,206913.47898869062
6,2016_1,362687.04351130937,372276.62668084865
7,2021_1,202817.48894622293,201462.4563999573
8,2026_1,210741.4099142828,201386.1903507042
9,2031_1,230218.76101091548,235553.64813136053
10,2036_1,247205.65593827737,244248.786870669
11,2041_1,208925.25754592227,210779.57560516565
12,2016_2,355119.71506952646,356208.5352522111
13,2021_2,228402.36627667697,230179.23572470093
14,2026_2,215609.19635294113,207221.11464531918
15,2031_2,227485.06606103087,230095.7071667693
16,2036_2,220615.23938680766,222679.01491387677
17,2041_2,202586.8116891151,206173.21716683937
18,2016_3,362687.04351130937,372276.62668084865
19,2021_3,221683.88425225846,217017.71797204297
20,2026_3,199999.99993021603,200382.13595486147
21,2031_3,201107.57295790763,203216.99806989363
22,2036_3,211090.6052780258,214907.25150095875
23,2041_3,259826.09243119822,246092.1065473631
24,2016_4,355119.71506952646,356208.5352522111
25,2021_4,223230.87405951493,230246.2829581932
26,2026_4,223609.81443448388,216286.67264740053
27,2031_4,253499.30871900174,256342.47559891207
28,2036_4,219182.01052687422,216946.46124893567
29,2041_4,200011.06604538654,200000.000036789
30,2016_5,348038.2284142569,339470.51145984104
31,2021_5,219229.54621335666,225761.49149288697
32,2026_5,238483.0333352946,236333.36217848782
33,2031_5,199999.9999739671,199999.9999803557
34,2036_5,204379.83235870764,208335.4444671984
35,2041_5,236348.9582050408,232552.60140680682
36,2016_6,355605.5568560396,355538.60288847843
37,2021_6,206148.82386754456,205918.4732086182
38,2026_6,200839.2617719248,200737.0778306747
39,2031_6,218642.55706349053,217273.42095841392
40,2036_6,203514.7802871805,208205.72641951914
41,2041_6,256045.7861766122,250473.73908188293
42,2016_7,354461.7199599941,363640.6413135164
43,2021_7,203989.96988357496,202875.46119096552
44,2026_7,216397.95305115578,214284.90710836844
45,2031_7,215700.9216403856,220361.64792386984
46,2036_7,224430.82840249635,222981.31727966998
47,2041_7,210905.59839081462,207232.94736140815
48,2016_8,339812.9048629416,330834.52609250875
49,2021_8,216148.25575596638,224292.35597309805
50,2026_8,210037.4146095914,204137.03869980015
51,2031_8,206085.92795177153,206830.15935230124
52,2036_8,260266.0459153322,263879.2356009587
53,2041_8,205850.6112917871,214024.80274091134
54,2016_9,355119.71506952646,356208.5352522111
55,2021_9,223230.87405951493,230246.2829581932
56,2026_9,215567.3077776152,202322.7809828715
57,2031_9,215138.6851730496,217602.13704348262
58,2036_9,269425.6895380648,268151.97665900725
59,2041_9,205763.1962337605,206921.358153023
60,2016_10,362687.04351130937,372276.62668084865
61,2021_10,214362.57943943434,209686.23991044165
62,2026_10,210954.8234020117,208428.7165187542
63,2031_10,227688.71303390217,230326.69866561575
64,2036_10,203246.75736536446,204650.45768181147
65,2041_10,207907.60267414004,207339.9079545521
66,2016_11,355119.71506952646,356208.5352522111
67,2021_11,232667.49562607508,234670.70624786383
68,2026_11,210062.25520949508,201778.86456544083
69,2031_11,201109.12507772265,203030.4447758454
70,2036_11,242531.69554896656,244996.75500519515
71,2041_11,210588.20176431394,211762.76869025003
72,2016_12,362687.04351130937,372276.62668084865
73,2021_12,202817.48894622293,201462.4563999573
74,2026_12,216277.59937915733,208132.65822051957
75,2031_12,253884.71180558365,254887.83688217157
76,2036_12,200272.8931551126,200263.15399399534
77,2041_12,200426.52382834675,202913.32866206559
78,2016_13,362687.04351130937,372276.62668084865
79,2021_13,205873.66440964883,204302.46393839573
80,2026_13,217944.65472732723,214613.0042150104
81,2031_13,204398.87064647741,209103.51985177133
82,2036_13,228826.11198138358,227674.8089683635
83,2041_13,232864.18781710858,226100.18267176434
84,2016_14,346894.3915182112,347572.5498848788
85,2021_14,228627.14067725436,232551.5931980844
86,2026_14,207487.00330231854,202632.55436437586
87,2031_14,216975.98685715516,218158.51523676317
88,2036_14,251639.9317216917,249460.44555715995
89,2041_14,217967.0431777353,216858.05313576752
90,2016_15,355605.5568560398,355538.6028884786
91,2021_15,201883.69451814643,201427.0026854553
92,2026_15,207681.8302709519,205967.4464518083
93,2031_15,214714.10388745007,220091.11469447156
94,2036_15,206792.47891863596,206625.5421428685
95,2041_15,237841.77020138045,237382.2212431026
96,2016_16,346894.3915182112,347572.5498848788
97,2021_16,228627.14067725436,232551.5931980844
98,2026_16,209116.55728108622,204732.7571821618
99,2031_16,253091.49051402512,253751.56902726527
100,2036_16,203627.03939622166,201896.56352322985
101,2041_16,201815.71390780856,200000.00005273308
102,2016_17,355119.71506952646,356208.5352522111
103,2021_17,218965.74471011685,225754.8124350303
104,2026_17,248167.7640678149,243326.25783686302
105,2031_17,214971.62303531816,217172.36689931934
106,2036_17,200455.60398805595,200162.75603723395
107,2041_17,199999.9997750079,201853.11568797755
108,2016_18,348038.2284142569,339470.51145984104
109,2021_18,227468.57184860046,230143.78201019895
110,2026_18,207391.32088114167,207024.42566717282
111,2031_18,222029.35244512348,218674.15506131545
112,2036_18,214924.79478130175,215701.56477242341
113,2041_18,208872.79947621527,213312.51777281886
114,2016_19,362687.04351130937,372276.62668084865
115,2021_19,202817.48894622293,201462.4563999573
116,2026_19,224708.88833657015,214989.7374423064
117,2031_19,209979.22227742712,211523.25255748103
118,2036_19,222862.58894635498,224933.60497638688
119,2041_19,213691.98620564165,212239.09023866733
120,2016_20,362687.04351130937,372276.62668084865
121,2021_20,202817.48894622293,201462.4563999573
122,2026_20,216277.59937915733,208132.65822051957
123,2031_20,227318.95424920545,232406.84562050353
124,2036_20,225894.77912159977,227440.74201954674
125,2041_20,201115.33977801632,205482.4662729749
126,2016_21,362687.04351130937,372276.62668084865
127,2021_21,217418.7549028603,212526.24744888005
128,2026_21,208850.01604441684,209681.2301843459
129,2031_21,213476.92299309638,214858.86608749573
130,2036_21,209408.2623501295,208431.145796172
131,2041_21,212129.61203762933,207733.10534485118
132,2016_22,354461.7199599941,363640.6413135164
133,2021_22,203989.96988357496,202875.46119096552
134,2026_22,216397.95305115578,214284.90710836844
135,2031_22,202541.7188413201,207187.1367685145
136,2036_22,206749.86480595553,210627.03337916624
137,2041_22,257453.48505259235,243031.56018859652
138,2016_23,346894.3915182112,347572.5498848788
139,2021_23,217082.0501840429,224327.80968760003
140,2026_23,215704.87877200244,202447.10741811266
141,2031_23,250103.00674145273,252972.22959424942
142,2036_23,223763.32964133174,222866.18554212688
143,2041_23,206681.8513824759,205258.26845760964
144,2016_24,362687.04351130937,372276.62668084865
145,2021_24,210138.79375904694,208793.93446155865
146,2026_24,208217.87539989987,200196.68900859827
147,2031_24,228085.30775785804,233185.60326185476
148,2036_24,224147.28890819618,222697.8995235934
149,2041_24,206649.80043776933,205092.9998223951
150,2016_25,362687.04351130937,372276.62668084865
151,2021_25,217418.7549028603,212526.24744888005
152,2026_25,201684.27260077468,200834.55949674465
153,2031_25,213703.909120371,215833.81800176908
154,2036_25,220432.83276546176,220640.1817956732
155,2041_25,212508.75761022288,208886.19846165937
156,2016_26,355119.71506952646,356208.5352522111
157,2021_26,234775.9645527264,238470.0664686775
158,2026_26,208978.98628669902,204608.43074692058
159,2031_26,250512.2713593523,250323.85771863873
160,2036_26,202344.96187375512,200884.97551271113
161,2041_26,201023.6688567966,201432.86851367418
162,2016_27,339812.9048629416,330834.52609250875
163,2021_27,216148.25575596638,224292.35597309805
164,2026_27,230360.68026297548,228837.58008754568
165,2031_27,211770.79907371043,211833.8637402344
166,2036_27,213762.37607799337,214079.6305883014
167,2041_27,221069.61614409726,223530.19565975177
168,2016_28,348038.22841425677,339470.51145984087
169,2021_28,218031.95028204034,225719.35872052837
170,2026_28,231907.38193914684,229165.67719418765
171,2031_28,231083.12203854517,233407.80098634496
172,2036_28,200193.16181849598,200000.00003887175
173,2041_28,220744.9506436368,224283.25210222087
174,2016_29,346894.3915182112,347572.5498848788
175,2021_29,217082.0501840429,224327.80968760003
176,2026_29,238578.55573477485,229034.26906569203
177,2031_29,243975.81304914094,246563.8823220489
178,2036_29,200701.4891295814,200000.00003011854
179,2041_29,200339.580756646,202597.12003244826
180,2016_30,346894.3915182112,347572.5498848788
181,2021_30,228627.14067725436,232551.5931980844
182,2026_30,230360.68026509104,229219.71601195532
183,2031_30,211396.27022380408,211488.47900279064
184,2036_30,204727.08888368265,204366.3700065597
185,2041_30,236021.10262665103,232228.7432295631
186,2016_31,354461.7199599941,363640.6413135164
187,2021_31,212478.8849133604,208259.2371630114
188,2026_31,209408.1217258403,208100.61941211222
189,2031_31,200764.78798659705,200842.762643098
190,2036_31,204333.32696749837,210362.1187638107
191,2041_31,258178.7930322269,247016.41480353306
192,2016_32,346894.3915182112,347572.5498848788
193,2021_32,226518.67175060307,228752.2329772707
194,2026_32,211076.71652128355,202033.16992869574
195,2031_32,227385.39855308278,230191.379366025
196,2036_32,205400.74972285226,211422.19718466917
197,2041_32,229205.26371196995,227519.80795319128
198,2016_33,362687.04351130937,372276.62668084865
199,2021_33,221683.88425225846,217017.71797204297
200,2026_33,201629.55390898374,202482.33877264743
201,2031_33,204837.9742010472,206867.6706182555
202,2036_33,208567.39452027454,212453.82701807164
203,2041_33,242350.7710386463,229669.3324866872
204,2016_34,362687.04351130937,372276.62668084865
205,2021_34,218627.7087888325,214177.71043360452
206,2026_34,210900.1047102207,210076.49579465695
207,2031_34,212038.23536585298,211604.71727639466
208,2036_34,202357.58771664402,203616.85041835436
209,2041_34,208098.0926845478,206007.62047864232
210,2016_35,355119.71506952646,356208.5352522111
211,2021_35,232667.49562607508,234670.70624786383
212,2026_35,208388.73421750797,200022.2232336207
213,2031_35,247703.08771102104,247599.5008017307
214,2036_35,201385.48841578703,202086.786711436
215,2041_35,203085.54621217342,204850.58201719564
216,2016_36,355119.71506952646,356208.5352522111
217,2021_36,218965.74471011685,225754.8124350303
218,2026_36,240125.25741094627,229362.36617233403
219,2031_36,240681.6439236424,243352.87206286282
220,2036_36,202047.95589753112,202322.17563502624
221,2041_36,216716.6878979733,219036.83842862461
222,2016_37,355119.71506952646,356208.5352522111
223,2021_37,244212.58611928654,242894.4897583482
224,2026_37,204014.88803365355,203171.63133699368
225,2031_37,200300.0202510162,199999.99996512805
226,2036_37,208788.41017263144,211979.5444264725
227,2041_37,224360.55358690047,225160.44049494324
228,2016_38,355605.5568560398,355538.6028884786
229,2021_38,206137.46591288873,204309.14299625246
230,2026_38,208259.92399480674,207620.10855663515
231,2031_38,199999.99997064608,202449.55111122315
232,2036_38,211042.8272692905,214331.17863472493
233,2041_38,245152.96413400225,236120.7719842353
234,2016_39,355119.71506952646,356208.5352522111
235,2021_39,244212.58611928654,242894.4897583482
236,2026_39,201800.41272659178,202307.8729976698
237,2031_39,216746.2760463076,213988.24740299335
238,2036_39,202525.42899938484,207557.5609296942
239,2041_39,236570.12356723406,227524.51842379034
240,2016_40,355119.71506952646,356208.5352522111
241,2021_40,232667.49562607508,234670.70624786383
242,2026_40,216431.24087437667,213986.11489814965
243,2031_40,202651.26815747304,204963.58276062278
244,2036_40,223139.1758236116,222943.90164058685
245,2041_40,226691.87451532335,221320.90382075292
246,2016_41,355605.5568560396,355538.60288847843
247,2021_41,201883.69451814643,201427.00268545534
248,2026_41,210954.82339989624,208046.58059434468
249,2031_41,220001.15270660754,222782.67984179812
250,2036_41,221881.70616293905,223044.89013131917
251,2041_41,218148.93617275296,221224.63873617534
252,2016_42,346894.3915182112,347572.5498848788
253,2021_42,228627.14067725436,232551.5931980844
254,2026_42,207487.00330231854,202632.55436437586
255,2031_42,206853.72156636603,207619.52184320192
256,2036_42,276694.86045167956,275126.16967412643
257,2041_42,203154.04268920684,203422.46071879176
258,2016_43,348038.2284142569,339470.51145984104
259,2021_43,219229.54621335666,225761.49149288697
260,2026_43,232946.84387042004,229586.8943086724
261,2031_43,213472.5591211969,213665.20066962807
262,2036_43,203983.1960926405,203627.17055471768
263,2041_43,206559.34678246177,211579.18270966996
264,2016_44,355119.71506952646,356208.5352522111
265,2021_44,244212.58611928654,242894.4897583482
266,2026_44,202341.36704166644,201414.9900051735
267,2031_44,223519.8658542383,225358.84655281718
268,2036_44,205484.90485211287,204446.1379884608
269,2041_44,205587.75594170747,205378.07878976854
270,2016_45,348038.22841425677,339470.51145984087
271,2021_45,218031.95028204034,225719.35872052837
272,2026_45,231907.38193914684,229165.67719418765
273,2031_45,214078.43797359845,213729.65160834548
274,2036_45,204101.61915042362,203745.59361250076
