,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,524722.6923655615,513228.45236983645
1,2021_0,233293.51303547245,248440.0798460395
2,2026_0,134339.0814273581,144747.36313942727
3,2031_0,52890.28327355152,48716.39808195398
4,2036_0,150989.8547448768,159639.4961021371
5,2041_0,116091.22005279083,154329.2635018499
6,2016_1,524722.6923655616,513228.4523698365
7,2021_1,211288.21400847004,225834.87148043388
8,2026_1,181529.28420642077,192164.33338556698
9,2031_1,45662.63686980915,42977.37429998893
10,2036_1,123010.43991833339,136325.8920112274
11,2041_1,113889.49289112972,148392.09984457368
12,2016_2,524722.6923655616,513228.4523698365
13,2021_2,228171.5629664182,241395.30792392147
14,2026_2,124437.02748538749,136476.6847862061
15,2031_2,62207.316322526756,58842.835323834595
16,2036_2,153859.1312307393,165098.6040719402
17,2041_2,160295.85851919642,189556.87999925608
18,2016_3,524722.6923655616,513228.4523698365
19,2021_3,245357.40419866983,259009.23335527204
20,2026_3,121804.14633411892,130128.68988119409
21,2031_3,33049.550156541605,29868.503001130335
22,2036_3,169361.7098857409,181838.51770691166
23,2041_3,117682.16836142444,153880.7637007853
24,2016_4,541010.6410181372,538779.9804606038
25,2021_4,189224.58059718064,201472.68183058425
26,2026_4,120994.36597758853,129139.19549320643
27,2031_4,82035.310491324,78653.38477782777
28,2036_4,125547.12202505297,132202.12315178628
29,2041_4,124010.94233341291,158215.44589057815
30,2016_5,545846.479856719,535750.0672651972
31,2021_5,189231.84472386484,202206.4693531348
32,2026_5,125098.16340349778,137799.19749053774
33,2031_5,35776.65859992361,32949.94859416997
34,2036_5,201437.80178170718,209438.5256364052
35,2041_5,122826.81853426275,156282.42375479612
36,2016_6,524722.6923655616,513228.4523698365
37,2021_6,250479.35426772412,266054.0052773899
38,2026_6,116902.3350514581,125781.72129566148
39,2031_6,34210.3069604278,30153.28167810904
40,2036_6,154583.15503360232,167301.20924519346
41,2041_6,117088.25200104082,156756.7596469567
42,2016_7,545846.479856719,535750.0672651972
43,2021_7,189231.84472386484,202206.4693531348
44,2026_7,125098.16340349778,137799.19749053774
45,2031_7,64796.99728585299,61432.516287160826
46,2036_7,166239.19594129125,175952.33594365712
47,2041_7,162595.5823486793,190687.73248925348
48,2016_8,545846.479856719,535750.0672651972
49,2021_8,206417.6859561165,219820.39478448537
50,2026_8,127142.48853687463,134258.61674172705
51,2031_8,63449.18574833836,60073.64409348371
52,2036_8,126515.62290063349,138439.15138078312
53,2041_8,117262.2686580949,155023.7499969248
54,2016_9,519886.8535269797,516258.36556524294
55,2021_9,206158.99981273155,218056.31203576538
56,2026_9,125274.50727373992,133423.3891627802
57,2031_9,43879.43130354288,36893.82087234531
58,2036_9,229294.73393737117,234213.90166021461
59,2041_9,134903.17467542982,168806.82964439498
60,2016_10,545846.479856719,535750.0672651972
61,2021_10,206417.6859561165,219820.39478448537
62,2026_10,116151.34787810857,124843.29380110954
63,2031_10,57144.08953755459,54214.828524475095
64,2036_10,163091.28576361193,167794.86638881374
65,2041_10,117501.0511913496,156167.23992022194
66,2016_11,518252.9252902846,511369.0211279407
67,2021_11,224484.70289517977,240654.3048290555
68,2026_11,110896.62446011217,119737.01549678146
69,2031_11,52886.828173138994,48590.67026925598
70,2036_11,144504.83955446386,158878.46718101163
71,2041_11,178776.53817219823,194535.1661538788
72,2016_12,545846.479856719,535750.0672651974
73,2021_12,211548.92354902846,224951.6323773973
74,2026_12,121634.32003115422,130177.70744763236
75,2031_12,44338.04655163143,40710.718754445
76,2036_12,131211.409888471,149555.67724224925
77,2041_12,162242.8259380583,195678.95098310255
78,2016_13,524722.6923655616,513228.4523698365
79,2021_13,250479.35426772412,266054.0052773899
80,2026_13,113375.9805961429,122642.22960458978
81,2031_13,48282.36628141109,44526.14231135362
82,2036_13,129124.68715443862,142656.87905216982
83,2041_13,155983.27613501184,186074.3513636388
84,2016_14,541010.6410181372,538779.9804606038
85,2021_14,194346.53066623496,208517.45375270222
86,2026_14,121747.65805151644,131156.33626520968
87,2031_14,60546.75209230595,56896.74021780923
88,2036_14,122741.39553122724,135499.76208513114
89,2041_14,124244.67376629019,158008.58521545987
90,2016_15,523088.7641288666,508339.1079325342
91,2021_15,241893.72461821142,259217.93414705238
92,2026_15,114786.95798861395,122907.53425970355
93,2031_15,34231.126858237825,30153.28167810904
94,2036_15,140952.56437392143,162198.6120792005
95,2041_15,119833.89817824095,156959.59684439108
96,2016_16,518252.92529028474,511369.0211279407
97,2021_16,202479.40386817732,218049.0964634499
98,2026_16,121839.619971204,131427.77561860214
99,2031_16,91383.14536055754,88434.50307568605
100,2036_16,122255.65795016837,134154.91067648513
101,2041_16,149856.19525300214,178307.7431521059
102,2016_17,518252.92529028474,511369.0211279407
103,2021_17,202479.40386817732,218049.0964634499
104,2026_17,121839.619971204,131427.77561860214
105,2031_17,91383.14536055754,88434.50307568605
106,2036_17,122255.65795016837,134154.91067648513
107,2041_17,149856.19525300214,178307.7431521059
108,2016_18,524722.6923655616,513228.4523698365
109,2021_18,223352.10517166744,236404.02498966642
110,2026_18,166126.82567539837,174649.9678631425
111,2031_18,33049.550156541605,29868.503001130335
112,2036_18,138391.479208251,154589.6294000718
113,2041_18,143136.5655300925,172916.67972031463
114,2016_19,524722.6923655616,513228.4523698365
115,2021_19,228474.0552407217,243448.79691178442
116,2026_19,118910.37105334127,128115.97566222522
117,2031_19,48577.71401680809,44418.92971116286
118,2036_19,195700.43689689477,205146.01093734952
119,2041_19,114961.77200670444,150513.08698847235
120,2016_20,518252.9252902846,511369.0211279407
121,2021_20,202695.32023227308,218265.0128275457
122,2026_20,155191.7333097124,164411.09364204097
123,2031_20,48121.85397013452,43707.99833210026
124,2036_20,122105.63581794636,137979.5515375821
125,2041_20,125100.07929963409,153999.90859460263
126,2016_21,545846.479856719,535750.0672651972
127,2021_21,206417.6859561165,219820.39478448537
128,2026_21,122465.28225222924,131451.20258552572
129,2031_21,35639.23111986784,32458.183964456566
130,2036_21,133800.3880372107,152777.68620339816
131,2041_21,187728.85719900037,214427.44169618693
132,2016_22,518252.9252902846,511369.0211279407
133,2021_22,224484.70289517977,240654.3048290555
134,2026_22,118405.60231930447,126939.79667787894
135,2031_22,67143.01256072389,63216.50429787984
136,2036_22,122744.5365124408,132762.20941869222
137,2041_22,127622.26408412089,157569.3266204922
138,2016_23,524722.6923655616,513228.4523698365
139,2021_23,228171.5629664182,241395.30792392147
140,2026_23,127963.38194070269,139616.17647727786
141,2031_23,62207.316322526756,58842.835323834595
142,2036_23,129546.12509456315,148641.77023230953
143,2041_23,117610.50328101119,150339.31871442875
144,2016_24,544212.551620024,530860.722827895
145,2021_24,185768.1651434064,202415.17014491512
146,2026_24,135159.2504774709,146224.34138826228
147,2031_24,36958.235301619825,32880.39012149104
148,2036_24,131012.93941984359,150841.378952172
149,2041_24,183950.05205855728,212152.69739617046
150,2016_25,544212.551620024,530860.722827895
151,2021_25,185552.2487793106,202199.25378081936
152,2026_25,141188.5392659802,152155.5949728665
153,2031_25,35799.51554729164,32595.611444512335
154,2036_25,128649.768174605,147565.10719914857
155,2041_25,184077.9774109072,210586.4131568773
156,2016_26,545846.479856719,535750.0672651972
157,2021_26,211539.63602517077,226865.16670660334
158,2026_26,114037.11651425318,123964.74230892141
159,2031_26,50872.04724473732,47115.82327467985
160,2036_26,132020.12428640522,145819.07920375376
161,2041_26,165455.16643753395,195427.72683576445
162,2016_27,519886.8535269797,516258.36556524294
163,2021_27,206158.99981273155,218056.31203576538
164,2026_27,126353.8739835149,135857.16934656023
165,2031_27,91360.28841318951,88434.503075686
166,2036_27,129459.21114048084,140071.38224312634
167,2041_27,193399.486679315,216278.41815694672
168,2016_28,518252.9252902846,511369.0211279407
169,2021_28,224484.70289517977,240654.3048290555
170,2026_28,118405.60231930447,126939.79667787894
171,2031_28,67143.01256072389,63216.50429787984
172,2036_28,122744.5365124408,132762.20941869222
173,2041_28,127622.26408412089,157569.3266204922
174,2016_29,524722.6923655616,513228.4523698365
175,2021_29,228171.5629664182,241395.30792392147
176,2026_29,136453.31279121345,145625.9146316154
177,2031_29,54691.83605428412,51762.575041204625
178,2036_29,131776.229318348,144315.72856673866
179,2041_29,172517.60324292228,199571.4032844162
180,2016_30,524722.6923655616,513228.4523698365
181,2021_30,250479.35426772412,266054.0052773899
182,2026_30,114627.92485661147,122753.06871520018
183,2031_30,34210.3069604278,30153.28167810904
184,2036_30,169917.607716588,183942.39378464804
185,2041_30,117938.28348852685,152944.01433650864
186,2016_31,518252.9252902846,511369.0211279407
187,2021_31,224700.61925927555,240870.2211931513
188,2026_31,110869.05396843304,119889.81566009254
189,2031_31,48121.85397013452,43707.99833210026
190,2036_31,153075.86649543623,165228.439844422
191,2041_31,127916.18279535868,156623.84876290694
192,2016_32,524722.6923655616,513228.4523698365
193,2021_32,250479.35426772412,266054.0052773899
194,2026_32,111101.57040129628,119613.57702412845
195,2031_32,75719.69228858905,71400.32776747762
196,2036_32,122981.75581547162,132892.57107146998
197,2041_32,117025.93304420513,150913.4781517232
198,2016_33,545846.479856719,535750.0672651972
199,2021_33,206417.6859561165,219820.39478448537
200,2026_33,122465.28225222924,131451.20258552572
201,2031_33,35639.23111986784,32458.183964456566
202,2036_33,165056.0116474045,174761.6809946932
203,2041_33,139860.8846207046,175300.12895166187
204,2016_34,518252.9252902846,511369.0211279407
205,2021_34,224700.61925927555,240870.2211931513
206,2026_34,121904.38628294054,130232.08853226174
207,2031_34,34232.623665555744,30154.77848542696
208,2036_34,125495.87210829799,145435.18795710817
209,2041_34,127462.92826031693,160725.32662851902
210,2016_35,519886.8535269796,516258.3655652429
211,2021_35,206158.99981273155,218056.31203576535
212,2026_35,126353.8739835149,135857.16934656023
213,2031_35,105249.51871776828,101987.72292235933
214,2036_35,126312.84277046772,136932.45160796834
215,2041_35,123115.43597994385,149181.36168899338
216,2016_36,539376.7127814422,533890.6360233015
217,2021_36,185544.98465262642,201465.4662582688
218,2026_36,117559.47867505257,127143.58194902842
219,2031_36,60553.30902100525,56896.74021780923
220,2036_36,142161.36058059934,153340.01670045796
221,2041_36,126829.42685155786,155244.52282762804
222,2016_37,518252.9252902846,511369.0211279407
223,2021_37,224484.70289517977,240654.3048290555
224,2026_37,116898.34275694228,125821.06924469676
225,2031_37,51616.45274429552,48295.68873223741
226,2036_37,122578.31999379367,137598.08162213198
227,2041_37,153926.49644913492,180881.46142941242
228,2016_38,523088.7641288666,508339.1079325342
229,2021_38,202702.58435895728,218998.80035009628
230,2026_38,139439.39177362228,150508.53505783604
231,2031_38,92677.79578762357,88855.21242540258
232,2036_38,125863.44863715739,137326.76110594394
233,2041_38,132800.83221318817,169854.38571596748
234,2016_39,545846.479856719,535750.0672651972
235,2021_39,189231.84472386484,202206.4693531348
236,2026_39,116509.8188345305,128162.63612566025
237,2031_39,86301.85570353974,83189.16084717936
238,2036_39,162923.15979159603,167696.13729329687
239,2041_39,116456.93178756023,147932.0810441092
240,2016_40,524722.6923655616,513228.4523698365
241,2021_40,233293.51303547245,248440.0798460395
242,2026_40,113734.45155256482,125961.57192914045
243,2031_40,81910.62195948091,77553.30292460244
244,2036_40,121890.6728401515,137830.97271112975
245,2041_40,166804.56462531266,189122.10374820573
246,2016_41,524722.6923655616,513228.4523698365
247,2021_41,233293.51303547245,248440.0798460395
248,2026_41,116601.9749903481,128857.26419333181
249,2031_41,62223.616341195484,58842.835323834595
250,2036_41,132262.05306927479,150974.34754155716
251,2041_41,156831.23018705944,180728.4631790359
252,2016_42,544212.551620024,530860.722827895
253,2021_42,185768.1651434064,202415.17014491512
254,2026_42,135159.2504774709,146224.34138826228
255,2031_42,65252.55317607912,60722.0878138489
256,2036_42,122100.25547775757,135785.69658173705
257,2041_42,116754.36706682254,155232.29010548707
258,2016_43,541010.6410181373,538779.9804606037
259,2021_43,194355.81819009254,206603.91942349618
260,2026_43,128751.74832548077,137502.26172019055
261,2031_43,49161.15516222816,43131.32886014132
262,2036_43,131701.3010864891,145237.78178661998
263,2041_43,126477.86648624639,161594.958672319
264,2016_44,523088.7641288666,508339.1079325342
265,2021_44,224491.96702186397,241388.09235160603
266,2026_44,119922.77347307657,132047.29105824803
267,2031_44,33209.8345839654,30360.267630843733
268,2036_44,164244.48712780693,181250.0767817863
269,2041_44,163425.05985427572,188290.1793841677
270,2016_45,544212.551620024,530860.722827895
271,2021_45,185768.1651434064,202415.17014491512
272,2026_45,148424.80133108355,158668.31690934108
273,2031_45,37773.14806630145,33695.347404487926
274,2036_45,122996.75722400052,141881.3288048974
275,2041_45,118597.46028365413,156677.27046898098
276,2016_46,518252.9252902846,511369.0211279407
277,2021_46,205302.58218812422,219937.30212590273
278,2026_46,156131.46447915517,165132.85741698055
279,2031_46,34342.89047818102,30163.592483576806
280,2036_46,152467.82752144986,161302.96266325624
281,2041_46,154143.20744038073,179553.48515342383
282,2016_47,524722.6923655615,513228.45236983645
283,2021_47,206166.26393941574,218790.0995583159
284,2026_47,149982.93457444245,160869.18237039825
285,2031_47,53520.453281473936,46975.47048959704
286,2036_47,196096.0302997802,200739.52901595255
287,2041_47,113852.47094829884,154235.18088687866
288,2016_48,524722.6923655616,513228.4523698365
289,2021_48,206166.26393941574,218790.09955831594
290,2026_48,129378.30469964919,142083.3911601115
291,2031_48,120516.55777185674,117407.33859107237
292,2036_48,122255.72556069687,134162.4160218687
293,2041_48,156331.73597416608,185808.53202393034
294,2016_49,544212.551620024,530860.722827895
295,2021_49,202738.09001156228,219813.17921216993
296,2026_49,117951.02823991832,127021.80885756768
297,2031_49,35662.08806723587,32458.183964456566
298,2036_49,144026.84036521718,164248.9112462297
299,2041_49,168307.03412750742,194770.50926031228
300,2016_50,524722.6923655616,513228.4523698365
301,2021_50,206166.26393941574,218790.09955831594
302,2026_50,129378.30469964919,142083.3911601115
303,2031_50,134232.94674924552,128274.94842178564
304,2036_50,130395.97187576692,136277.2238563412
305,2041_50,114957.6087376445,148796.06498564483
