,EF_YEAR,Solved_Avg,Solved_Min
0,2016_0,517430.4433295117,506207.9064074053
1,2021_0,194453.64595920275,217311.57393477877
2,2026_0,117944.22176076128,117548.43409113455
3,2031_0,35640.72792718576,32963.185007634114
4,2036_0,130189.18576769384,159726.21207556938
5,2041_0,195587.01484686113,199096.5599494003
6,2016_1,510890.43459356856,492505.06558760046
7,2021_1,221992.36561017958,250736.69000729744
8,2026_1,107030.76875831753,105378.27849350289
9,2031_1,45429.05523682287,44776.823042604956
10,2036_1,137515.74399980658,164894.00024564835
11,2041_1,134539.4020942819,159419.45736641003
12,2016_2,533549.9319622702,514110.29934642435
13,2021_2,204276.05657836935,227605.5117851247
14,2026_2,114774.2688583114,114180.60387030928
15,2031_2,35639.23111986784,32961.688200316195
16,2036_2,148889.96446118224,173265.15412444185
17,2041_2,155722.19356313866,169012.9096099176
18,2016_3,510890.43459356873,492505.06558760063
19,2021_3,212703.10057898363,242298.16541278292
20,2026_3,136837.30306754194,138587.0378354342
21,2031_3,53092.51621865145,52856.97294904943
22,2036_3,125503.53135158963,149931.66556281564
23,2041_3,132613.14036980964,159989.17408726885
24,2016_4,510890.43459356873,492505.06558760063
25,2021_4,211191.39789018055,242124.62755065973
26,2026_4,111931.99382695027,114091.2033764499
27,2031_4,85379.33688948829,80997.48822410213
28,2036_4,143860.56143769395,167451.32837746225
29,2041_4,138581.32505872397,151015.07934524506
30,2016_5,503609.45866314817,486943.71481651947
31,2021_5,209023.5046344294,241843.07947469165
32,2026_5,134909.67532736823,132722.16339805
33,2031_5,40379.37849218019,38844.54407491045
34,2036_5,141827.19222280546,164869.25626755893
35,2041_5,134513.49260634044,157677.94207683942
36,2016_6,526268.9560318496,508548.94857534306
37,2021_6,200596.46063381512,227150.42584703342
38,2026_6,111206.15601336793,109493.79917922462
39,2031_6,35662.08806723587,32961.688200316195
40,2036_6,129334.91788183087,160520.82398904223
41,2041_6,175253.76496953683,196282.1021228499
42,2016_7,517430.4433295117,506207.9064074053
43,2021_7,196641.61784423908,223080.67372509243
44,2026_7,105751.76155486003,104294.06884146208
45,2031_7,54707.2263220664,51774.283823513004
46,2036_7,130324.60000194778,154279.8123731955
47,2041_7,166188.8707225722,179632.39442570755
48,2016_8,510890.43459356873,492505.06558760063
49,2021_8,219804.39372514316,244967.59021698372
50,2026_8,112340.8600325777,112001.88276922905
51,2031_8,42964.12463429943,40208.608985017796
52,2036_8,146646.13388570986,169610.53940199406
53,2041_8,151313.7227852544,167808.0534834261
54,2016_9,527009.923226327,500407.45852661936
55,2021_9,229626.80434430976,255261.52806732964
56,2026_9,107460.85654669312,109631.37277289545
57,2031_9,47055.92025922437,47269.09861147373
58,2036_9,132739.88767202877,157897.14956895215
59,2041_9,167233.62071040078,184794.12688567716
60,2016_10,519728.9472959065,494846.1077555383
61,2021_10,225947.20839975556,254806.44212923836
62,2026_10,107866.29431414367,105419.62229998806
63,2031_10,34342.7825327531,33097.72029136191
64,2036_10,154608.23046185475,180861.89990074988
65,2041_10,127919.23209518945,157191.9171662366
66,2016_11,519728.9472959065,494846.1077555383
67,2021_11,217334.21256479292,251963.47946291443
68,2026_11,134909.67532736823,132165.17710179667
69,2031_11,49027.52093663289,48354.60398211375
70,2036_11,123242.62662452475,146601.3295558404
71,2041_11,124248.01967261845,156910.6883427773
72,2016_12,510890.43459356873,492505.06558760063
73,2021_12,223504.06829898257,250910.22786942055
74,2026_12,107286.76830440556,105334.2597256527
75,2031_12,33065.95812063824,32961.796145744105
76,2036_12,144433.53413790205,170674.70200264547
77,2041_12,135316.58378730938,160224.29354922698
78,2016_13,510890.43459356856,492505.06558760046
79,2021_13,221992.36561017958,250736.69000729744
80,2026_13,107030.76875831753,105378.27849350289
81,2031_13,45429.05523682287,44776.823042604956
82,2036_13,137515.74399980658,164894.00024564835
83,2041_13,134539.4020942819,159419.45736641003
84,2016_14,503609.45866314817,486943.71481651947
85,2021_14,207511.8019456263,241669.54161256846
86,2026_14,115016.1573755148,113192.75176359387
87,2031_14,40481.86983739882,35601.38105966409
88,2036_14,170303.05342213216,199855.67135631893
89,2041_14,150412.77111588602,167794.37634799563
90,2016_15,527009.923226327,500407.45852661936
91,2021_15,221999.6297368637,250856.37181726357
92,2026_15,108796.68824160105,109594.26318869792
93,2031_15,64192.86032242089,64035.27264315173
94,2036_15,122672.75566488632,150765.54199217126
95,2041_15,124532.04415309298,156235.96473027486
96,2016_16,510149.46739909146,500646.55563632445
97,2021_16,190917.96868903376,216995.41476301424
98,2026_16,105910.79468686254,105278.20016188374
99,2031_16,36822.304628881975,33247.96368461282
100,2036_16,162885.74415758523,189001.30649862846
101,2041_16,136934.3732104926,156102.67284155366
102,2016_17,519728.9472959065,494846.1077555383
103,2021_17,216132.06190727316,244632.1860888587
104,2026_17,112054.94003245313,113549.910919338
105,2031_17,51837.70899682559,52221.634608180895
106,2036_17,139999.80334540285,164700.75283550916
107,2041_17,126295.01348419028,152622.32790481584
108,2016_18,533549.9319622702,514110.29934642435
109,2021_18,206464.02846340567,233374.61157543832
110,2026_18,107524.03446248344,105711.91192335715
111,2031_18,45493.704961708805,42735.67534201799
112,2036_18,149175.447153616,167949.46056606947
113,2041_18,125793.29877888088,154662.97730819343
114,2016_19,503609.45866314817,486943.71481651947
115,2021_19,207511.8019456263,241669.54161256846
116,2026_19,139595.90159135344,137551.8554686205
117,2031_19,34344.27934007103,33099.21709867984
118,2036_19,122294.7937059543,153298.99790348648
119,2041_19,184528.30457450668,186559.066869851
120,2016_20,527009.923226327,500407.45852661936
121,2021_20,221999.6297368637,250856.37181726357
122,2026_20,119501.49211480885,118870.42165132138
123,2031_20,55403.15973273296,54686.74085704459
124,2036_20,122909.82695156554,145149.26675107097
125,2041_20,137619.96972965694,165477.2880082884
126,2016_21,503609.45866314817,486943.71481651947
127,2021_21,217636.50046939205,244686.04214101564
128,2026_21,105533.2288065194,104323.48463176459
129,2031_21,46704.59873247561,45070.41571773349
130,2036_21,122960.82553486532,155239.22749685767
131,2041_21,170658.8776422154,180327.03068741199
