,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2176073.2596767196,2174272.139666919
1,2231391.6156709758,2223575.6681268015
2,2144299.7595160063,2142534.1492646053
3,2102129.8663520743,2097163.75684567
4,2357334.2194073936,2339746.450547532
5,2073314.523782489,2065266.8621071966
6,2237769.6369437943,2231747.7826430574
7,2161308.503065671,2159443.6589264506
8,2311278.118887508,2304957.395308045
9,2355969.5338309384,2351972.0503582344
10,2328844.1978563,2325036.514080314
11,2305862.0267082155,2295555.17353044
12,2345303.7976507237,2336263.9066966577
13,2183540.1004724246,2178032.6694807666
14,2240256.1589270458,2224374.0951213352
15,2171549.1696320293,2162541.43621076
16,2278521.527666766,2276210.2429155675
17,2253925.3577740216,2243022.264246336
18,2226879.323448591,2226318.262739451
19,2189877.200125238,2186163.560137787
20,2261795.0502105863,2259248.0751927164
21,2216039.5036048545,2199628.8547838386
22,2098987.589819207,2100375.8497017934
23,2252018.186394381,2244888.760552512
24,2204801.010995181,2200894.291175178
25,2252756.7538017854,2247930.3279038826
26,2326350.216456999,2315084.3994440576
27,2183442.155994263,2170359.798868158
28,2327506.7569302255,2319919.3490291527
29,2211335.456771819,2199143.343021742
30,2190889.5105149015,2187158.9300976116
31,2304150.703721447,2287545.0667042537
32,2127338.8682740834,2123924.201978656
33,2374695.596290373,2360634.8838344626
34,2114418.629212256,2110880.2315171985
35,2387762.334146108,2378291.018765106
36,2146354.955611549,2138096.199210986
37,2299767.7310359017,2281368.9102338413
38,2375201.3618834843,2357780.3247855306
39,2353626.5662258244,2346946.0439232243
40,2208631.350237137,2205039.486765473
41,2330350.5551682953,2315046.604024415
42,2237178.2826702725,2225202.5222382615
43,2261531.473474508,2260391.8873995855
44,2222074.1320555373,2217047.3450119076
45,2238543.9488361147,2226514.1230169786
46,2275816.280523898,2273067.174082084
47,2130349.9036778375,2119561.8608383816
48,2166509.5802237354,2158551.1517149303
49,2143699.9893571255,2142143.769173405
50,2277338.254150267,2275026.9764260985
51,2350713.4352032803,2342662.7273627454
52,2187283.8515008776,2181475.650629392
53,2240436.435033367,2231957.7959921155
54,2309071.0771849314,2307953.349934334
55,2271266.1604866525,2266148.161840472
56,2304151.1362454025,2287947.752337008
57,2158930.8625730313,2151377.955278893
58,2255889.50167229,2249203.5213092295
59,2316614.1753242114,2299923.448324972
60,2259217.91405088,2248567.383172159
61,2379607.500005709,2369502.8166983547
62,2137272.6305732355,2125748.2873965427
63,2159531.6903681224,2146514.759218103
64,2267659.35520217,2262632.568237288
65,2376987.819738098,2367344.9342408306
66,2172257.1019285284,2170201.5230756886
67,2205334.0937632825,2192371.65155706
68,2052612.1190987136,2053232.7026201966
69,2182069.661637371,2184642.641505271
70,2216956.039049638,2207300.9204800883
71,2296447.0522625037,2290121.7230267813
72,2130633.9467765973,2133017.274156111
73,2259616.66570345,2254438.1398229096
74,2206002.752606329,2203177.711925119
75,2212233.511898566,2200450.222186454
76,2117977.106974161,2107259.7866338887
77,2333779.7808560287,2326876.07919008
78,2237063.9191439464,2231339.518662677
79,2123199.1572093028,2116480.9261110006
80,2347980.1670782166,2340023.4803208867
81,2338021.6364352778,2332497.308847893
82,2171876.5658757463,2169820.986880354
83,2309410.329659384,2296544.0591299403
84,2252072.216733739,2246275.0582323195
85,2276851.810052155,2273411.0003415956
86,2257071.933287171,2253730.070951081
87,2329203.047298657,2312931.1155809555
88,2155084.621074283,2154439.2461706167
89,2230063.3348424933,2220702.657056397
90,2182586.1978708343,2185159.1776564983
91,2180164.4491997613,2178845.2477121428
92,2250720.3541179853,2234777.5974535765
93,2164505.490946967,2160753.6938433554
94,2354549.403065852,2348165.096214886
95,2384765.859883083,2367011.200472627
96,2296094.4326190357,2289277.221667218
97,2210538.9830916463,2207992.069149606
98,2322070.734621033,2317576.452830357
99,2320225.323141872,2315880.7020853288
