,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2180735.2955655777,2180089.019147836
1,2358553.0504694735,2357342.917957022
2,2339392.17470907,2339694.9516239837
3,2315755.7455954487,2315792.553768359
4,2297246.9204123146,2285322.7985583735
5,2300359.0723908017,2298027.849169553
6,2252840.577426772,2252866.750442098
7,2311909.7647353965,2312557.063460937
8,2293981.9683597647,2293481.3769214237
9,2264698.67262597,2265001.449857857
10,2230504.8092333563,2223256.6805254007
11,2185408.7100495286,2186311.996215714
12,2271872.1959116166,2271932.7750168974
13,2210127.560328277,2209481.2837150367
14,2394198.7327359733,2392052.092058867
15,2329772.653153004,2318394.6719429796
16,2286536.960289498,2283334.4636596274
17,2357218.445714114,2351769.2380549237
18,2177724.327716794,2178768.1796362074
19,2193426.8835690157,2187149.8484954224
20,2279693.053467084,2268165.2709858343
21,2453630.147604624,2438891.2719078697
22,2295491.8181290566,2292990.6673950534
23,2284197.5079432963,2272877.5457076533
24,2202230.091304783,2203133.377447122
25,2396870.5401386786,2393946.7965816217
26,2174761.155207299,2174254.270670171
27,2140025.229739201,2140093.240594687
28,2302886.39594649,2302772.6014804067
29,2276174.4030923904,2276060.608680593
30,2333768.2548906193,2331263.6168440273
31,2286092.9207129125,2281302.894529714
32,2209207.4050039966,2210125.2908112057
33,2333940.1109088655,2333417.846390493
34,2240968.7784253736,2241773.4172061784
35,2235854.3951260857,2223975.4382189885
36,2224643.584809539,2214400.654629049
37,2378735.610658353,2365661.9346982725
38,2282322.5609054836,2282693.5397009496
39,2206218.126063268,2206104.3318702905
40,2122383.568106681,2121702.1509762667
41,2249912.462554659,2239063.4399328427
42,2265926.844161443,2266176.4259534813
43,2414930.2084971685,2401565.247930978
44,2206970.59557239,2203033.7998304134
45,2295637.1651688474,2283713.043290089
46,2309679.0629927474,2304421.312900561
47,2412353.9808359095,2396077.7646067403
48,2239455.3903360004,2240095.886868951
49,2282051.4650837597,2280139.347237165
50,2228796.291061984,2224709.9075476853
51,2256845.7509921906,2244915.1545060202
52,2196686.990382112,2196813.433628276
53,2160263.12330962,2154990.818964011
54,2287170.2612101547,2282829.1581923803
55,2215830.575192535,2210607.3417071067
56,2283477.217166578,2268308.6298482623
57,2265698.9224032983,2261208.306502454
58,2294369.5721617537,2294672.3494190946
59,2311910.6591790775,2301232.706861859
60,2260514.8801915157,2260960.158302719
61,2247658.020155884,2247960.7976382645
62,2250685.240466621,2248141.4093043534
63,2225117.1418828317,2225907.226182604
64,2424612.5406527817,2422699.549675797
65,2264940.609854824,2264407.7100473996
66,2294828.6305138716,2296129.10737353
67,2275747.0694271675,2272963.678173987
68,2437790.243710631,2427271.509431359
69,2260454.3143520346,2259146.9911260684
70,2160263.12330962,2154990.818964011
71,2308949.8433309714,2305974.514062713
72,2299329.024709389,2297481.199121833
73,2328999.0244666752,2329041.8580839117
74,2175516.068613792,2170581.5773358964
75,2293549.496111489,2294339.579916886
76,2219664.7293357104,2218127.4180705277
77,2413499.1709375544,2410586.062749169
78,2341726.7990053124,2342186.204286488
79,2362709.1510216044,2359623.6367545538
80,2348028.855941395,2347991.3644249756
81,2392255.6949545424,2392494.5235682186
82,2344083.5618025935,2345241.253381783
83,2393000.568396986,2392708.9137526117
84,2295544.9318486657,2294335.0942816706
85,2324623.7294532238,2320789.082526952
86,2253977.3989800615,2253863.60470857
87,2256218.820330573,2255090.359248006
88,2328812.569191787,2328855.4028090234
89,2366373.349336989,2366067.095162023
90,2348954.0388739184,2343280.2734920345
91,2455281.4301815447,2441691.215442177
92,2390606.7593811336,2391419.9291327754
93,2247804.108761438,2248594.1928665675
94,2144716.626146931,2144671.434977079
95,2188606.9814676726,2189397.065666424
96,2150014.225779125,2149704.977915522
97,2262630.2201713873,2250371.9849188235
98,2127716.4753785837,2122470.2253364758
99,2256557.456668817,2256468.148930224
