,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2411998.631108335,2379846.7256049938
1,2459339.851041929,2411215.6141738454
2,2522061.354107881,2490822.143429337
3,2325491.2249434693,2305223.9323557466
4,2370813.9395092055,2342749.122942168
5,2208689.025780489,2179842.012402067
6,2372511.217717081,2324526.428537045
7,2388656.538884217,2368287.7547481135
8,2447814.6210949644,2420231.753843887
9,2336009.716150582,2298561.5580314035
10,2495894.041393258,2462372.064530309
11,2433125.179641122,2414661.160167542
12,2211982.521476157,2169996.473562909
13,2476260.8944430635,2437267.8115894524
14,2431802.984507654,2403841.406756893
15,2339311.8773163944,2291892.062441914
16,2433824.749144351,2393555.638880859
17,2344321.657502708,2320055.5215262007
18,2427894.718445396,2401097.779315305
19,2350462.186735462,2324902.238955998
20,2372627.9491454847,2347169.225311892
21,2332172.7863643444,2298151.1818376854
22,2408014.413299504,2392844.234888012
23,2530060.132243625,2495699.2352946056
24,2324291.743980266,2304555.163410924
25,2401911.6741094086,2383670.5329817105
26,2331433.922097901,2308763.2708410416
27,2380724.1238783323,2343941.255911583
28,2456376.808716926,2408253.934018425
29,2272185.0666167876,2250403.9416585527
30,2369373.1594492295,2338585.179116542
31,2327788.409184999,2300220.2474949383
32,2266760.0661814255,2231202.077201535
33,2385136.0028670225,2352822.095576768
34,2326087.7463248195,2280709.33085249
35,2391394.0667100456,2349292.6814910374
36,2275228.62209502,2246075.234256194
37,2355344.9753770465,2324153.5778967435
38,2295619.699448572,2243395.8236241043
39,2340586.2365992796,2296846.250924166
40,2421044.3230456384,2406780.3851004913
41,2210990.2083113194,2179795.2032625405
42,2453031.783429416,2436761.814287614
43,2529853.713521109,2496730.034474451
44,2217917.0548307626,2183442.366001697
45,2366070.2056582905,2336104.4024490556
46,2398799.056656574,2364391.7538918518
47,2491033.003130406,2454004.2640017364
48,2490930.079418651,2451077.194511235
49,2428761.368315723,2402266.5052126655
50,2373440.561985571,2358824.6373483
51,2497502.0628329813,2468972.7639665
52,2307309.425870306,2281001.7140992587
53,2292234.857004763,2249894.316373966
54,2228290.271464503,2180122.6172827194
55,2246057.0656449264,2192846.601331768
56,2426835.996687673,2384869.804953914
57,2413109.95352935,2380789.4250964588
58,2427003.867969741,2400862.013057594
59,2369085.1417923747,2341865.3890147647
60,2337274.718811893,2299472.033589787
61,2401267.0079222517,2357333.762879209
62,2264802.9980409658,2241765.9648593944
63,2404971.3232550733,2367673.681315474
64,2422800.501589631,2386328.1197479134
65,2346113.744377413,2322463.310301767
66,2369560.0579942656,2327913.263520986
67,2351084.9160082117,2319555.249879311
68,2292049.2458042363,2266222.586758585
69,2333055.5571695776,2296173.64157929
70,2277010.419073586,2256901.7185834874
71,2308656.146428192,2269664.7483045748
72,2247698.091130336,2221663.0499657085
73,2368749.0778505835,2342370.100487153
74,2371187.331447009,2343261.930767671
75,2240668.7528454657,2214445.0313226595
76,2367950.798438944,2334709.9589743433
77,2371393.4682224616,2330192.8601441327
78,2331897.221287334,2283624.704383821
79,2400339.8800300444,2364875.7705771565
80,2389007.0431203023,2367859.5655159876
81,2218514.4142059856,2193825.5828266274
82,2373367.1520270146,2358188.2368239015
83,2348694.1338186674,2311610.239060138
84,2258993.878155349,2227317.6634007734
85,2257656.94820167,2232163.7244192497
86,2386637.3544168076,2358934.753762702
87,2241426.3232475016,2195637.987660539
88,2381864.1058691023,2335353.2533515836
89,2549123.727507781,2516057.783300241
90,2241019.8296411065,2195883.403324421
91,2404149.7653684923,2390217.4869793933
92,2341565.566784,2312050.921976069
93,2431796.1956860805,2416002.101516545
94,2453760.760203434,2406727.583154281
95,2348633.9803921944,2312492.211655529
96,2344761.5580857387,2310489.8659311812
97,2346096.353404058,2309601.222132737
98,2234610.0885688365,2201276.4794922024
99,2290187.041409147,2266267.141751087
