,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2328940.9514527186,2316595.115357616
1,2483750.840594669,2466564.424974326
2,2459112.7921717,2419222.071029733
3,2341424.508629455,2326181.9925197633
4,2432550.6605158434,2426697.821474584
5,2500473.3428529976,2495966.989885525
6,2441673.6448981264,2433799.142146875
7,2499863.28825047,2482180.2393440288
8,2403108.814162723,2385868.2915211944
9,2470963.4018500196,2449638.729199818
10,2428317.5342950867,2397963.797552201
11,2215718.7406924614,2203800.7495469674
12,2463520.0250207437,2431243.07476807
13,2491239.6293896213,2462541.6040423373
14,2433457.305281941,2391089.999136083
15,2394138.8309538634,2367933.5290409727
16,2294298.279320751,2277991.019879126
17,2398946.992570744,2368016.8234904837
18,2338477.9364685947,2315272.9935568697
19,2308693.8273625365,2295071.854805377
20,2366036.853327663,2347824.2540357215
21,2468221.854440119,2449217.7151237135
22,2378894.988942477,2364676.936469405
23,2533796.5667616725,2516176.2986492068
24,2407066.2146525234,2403805.579600823
25,2419811.163386657,2400651.3440471073
26,2467571.0661856355,2440033.6878473833
27,2432297.116276459,2412338.560974717
28,2290602.329914951,2270192.443161606
29,2366959.285466981,2327243.317463144
30,2438021.8968691654,2421931.5288248854
31,2446821.3431164427,2418567.5859333416
32,2449586.2028704016,2418933.0517377043
33,2301937.6071390016,2278984.6934280554
34,2387559.2997454386,2360814.294780524
35,2178235.812720675,2162062.1168011264
36,2342155.325766228,2326604.662464991
37,2413766.387926349,2385453.029688568
38,2349189.8276502136,2333020.518073163
39,2470044.1100924527,2468394.13021785
40,2380775.3383607143,2363797.306831459
41,2368432.7314502867,2365460.56393064
42,2462826.902448497,2420334.2773129214
43,2365856.7506108326,2351126.284635956
44,2427451.052331649,2408526.672309557
45,2517534.981646072,2504313.9803405693
46,2473851.1571003674,2453908.766225322
47,2398632.037312846,2359373.4513348304
48,2468216.21167678,2447648.3535175035
49,2434370.231036726,2417249.335398544
50,2460716.384611495,2441670.442379362
51,2462602.0779299913,2432382.989921945
52,2344597.382807592,2327170.645316818
53,2351961.974478379,2329180.8324866467
54,2326532.8990336247,2310080.03108603
55,2298621.961191707,2287598.748490456
56,2393756.9983932264,2359869.937426773
57,2445828.4521419657,2405868.6701780763
58,2366167.1475860546,2345254.521962761
59,2368202.536633369,2350332.099295047
60,2410555.712580246,2391600.403075768
61,2498476.397850345,2491650.847801633
62,2341007.7398291603,2323493.1048674784
63,2489355.3025044305,2472628.076232505
64,2498467.952821738,2477781.065291681
65,2357839.6287452863,2348630.113121312
66,2483645.5006384337,2464014.670380055
67,2479864.643128365,2455805.513965023
68,2473176.2784627243,2435027.553253944
69,2465004.406795564,2442256.564356751
70,2408045.252484053,2388450.7135439897
71,2513697.7302911147,2473135.8913250784
72,2495542.9283320075,2465237.5680885646
73,2367895.5726718446,2339700.944915549
74,2469508.1182417646,2441191.8917893716
75,2464871.066075436,2442123.3477556985
76,2437227.3673073105,2417850.0468125246
77,2363152.6592397313,2335669.5847096387
78,2352981.7541948035,2324459.404535003
79,2339274.752894868,2323195.0901358123
80,2353442.956710493,2329884.1814397234
81,2389976.711719776,2356044.9153752676
82,2435597.9320105575,2413343.6987868436
83,2472417.203933154,2435703.8927662433
84,2421611.3689963967,2399140.630972895
85,2397873.7558692303,2375233.899047888
86,2329829.302893297,2311954.0210194946
87,2414787.1951611666,2378705.504462219
88,2273320.282823018,2259323.5789952795
89,2395189.5969637176,2378751.3585884045
90,2433639.5683335913,2424314.887196021
91,2502022.6456659893,2473057.1574639906
92,2397310.954019113,2363158.4564875453
93,2452025.6786951427,2422470.258178024
94,2481988.54974167,2462523.898620791
95,2514639.709165057,2504088.6783297565
96,2465465.5818836186,2446355.0384909348
97,2319469.4948347937,2302398.6107678404
98,2270637.91736002,2255475.3085407624
99,2553664.278611545,2537940.2295312975
