,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2623107.8374994323,2618252.399883742
1,2629342.198740841,2623647.3525534794
2,2629007.574593775,2622845.6792070447
3,2620843.4184671566,2618501.2168086013
4,2617615.0530606434,2613867.6955447234
5,2616383.4342828286,2613342.0084250183
6,2630535.170414946,2624355.303478319
7,2633246.929397057,2626657.4459602563
8,2628251.2196331937,2622832.7749387873
9,2623745.228161635,2620097.482652407
10,2641156.888369046,2634475.9080203567
11,2636285.385304518,2628299.810470205
12,2631179.5679263053,2624061.335489819
13,2627878.3146785037,2623617.6040243404
14,2626682.1058743643,2624268.456168246
15,2621627.4776964555,2614188.645297356
16,2625494.1033542873,2619230.7800793094
17,2631488.333027701,2627459.414041179
18,2637826.556350314,2629610.8775448767
19,2632350.209308842,2625523.324404491
20,2622567.0202797307,2616925.078481622
21,2627733.7459143805,2621313.322285749
22,2635096.69193759,2628530.8617049996
23,2626607.0892790537,2618601.084009071
24,2630075.883581466,2622581.522212602
25,2618103.2833875357,2614204.8384163924
26,2627897.919441179,2623368.8877562
27,2624579.8540009083,2619901.178978426
28,2610930.714368765,2611332.300680563
29,2623628.9898248194,2617427.8453608267
30,2643828.456436888,2636179.2904686425
31,2626562.4000611035,2620372.724980224
32,2627603.6240848103,2624000.0674389815
33,2633786.2409575395,2627695.176114678
34,2614375.036837036,2612148.824959744
35,2629675.636192021,2623833.3284844724
36,2623222.5769455847,2620137.8441485907
37,2638727.999349903,2632346.11439796
38,2627562.9086012854,2622425.9051284487
39,2632478.9965691282,2627302.447686236
40,2626149.8927485654,2619773.0568989646
41,2623351.381339487,2620121.754410772
42,2624949.976061632,2620255.424119818
43,2613693.09716083,2611154.0217436613
44,2636014.4769861796,2625342.374062832
45,2632478.9965691282,2627302.447686236
46,2615405.352218316,2610993.4725160147
47,2631551.2061501313,2627207.6136636166
48,2627264.3084506863,2621123.0676285233
49,2631482.483666717,2623447.53217131
50,2635159.2855193196,2631296.2182873096
51,2630450.3774943817,2621326.668915008
52,2628170.3409977066,2620609.5433933088
53,2619249.7336646416,2614713.953893998
54,2630321.614967215,2625678.258195369
55,2630075.3254783014,2623732.7473561876
56,2625817.3455855073,2619730.8278347924
57,2631699.2310334845,2621125.349736143
58,2615581.657806835,2614094.2287183944
59,2631591.3896409273,2622312.3008734146
60,2628186.5997785786,2620699.6704504965
61,2628828.3143034163,2624813.8225948997
62,2620693.3169581112,2614665.4882774656
63,2618672.2815423175,2616652.443990799
64,2632820.5725304657,2622348.512435521
65,2627966.01491132,2622528.146253214
66,2632837.5295651993,2629348.656840097
67,2626238.3398708166,2622519.1105009494
68,2625205.4037586153,2622716.375945326
69,2629360.6722958526,2622805.99004178
70,2634480.718866328,2625622.7764379825
71,2638845.781212267,2632040.245671209
72,2627144.97931986,2625165.0777353216
73,2633330.570090196,2629629.0231446363
74,2627817.6743828193,2620782.967648373
75,2633699.349667602,2627410.883018606
76,2635359.075881931,2627061.8240773687
77,2620114.3254132755,2615092.3171434226
78,2615957.4088543635,2613077.2725439733
79,2624808.3711835756,2617953.827625006
80,2644894.368513113,2635795.1043630205
81,2625600.47046903,2621436.2037296994
82,2629407.1613554284,2624783.6232475806
83,2631328.9938087985,2626712.970954092
84,2639504.3456780547,2633697.3257747497
85,2615826.9343840615,2615354.494289494
86,2628875.4444268374,2625254.3550258353
87,2631186.353830385,2625718.568072482
88,2631303.162612332,2626200.4972846564
89,2628243.118881151,2624276.0794815724
90,2635344.7272859327,2631194.4645625576
91,2617546.5503487084,2615940.7215265073
92,2626840.5191681534,2621869.397083344
93,2619976.7084204876,2614076.5235712207
94,2628853.130221071,2619144.4448186634
95,2630095.59029816,2622635.183855137
96,2633274.844044403,2627777.7333184695
97,2633457.784280598,2627117.4160648324
98,2625170.8980687964,2621465.1450094837
99,2633586.837914776,2626787.6343597816
