,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2640267.873357266,2634985.204127821
1,2635023.726743604,2628267.9783859747
2,2639394.3948410647,2630421.880414401
3,2636722.6700671045,2628869.942706518
4,2644079.0708443606,2634594.3610245874
5,2629063.552615186,2621787.6287378427
6,2627515.5549641307,2621166.0057453522
7,2627452.038315992,2621437.089730759
8,2636188.8676773943,2631595.323812007
9,2632581.205188318,2624754.7905901507
10,2628450.159033755,2623836.950617561
11,2630681.981083167,2622463.336488097
12,2630627.1667652316,2619092.890596852
13,2637981.9397266055,2629988.196591999
14,2637815.003097571,2630765.1040474907
15,2633246.883584691,2628791.9078253303
16,2642046.2563710636,2635913.817416926
17,2633726.144102661,2627305.2949648756
18,2637183.4892532164,2627449.926150376
19,2636485.43887746,2628719.6599944634
20,2639698.285808835,2631599.798145721
21,2635182.2204614556,2626767.9933194267
22,2640269.9033717955,2632617.098916867
23,2641661.488973015,2632608.3708592677
24,2637424.928695361,2625814.500892129
25,2639943.7811528994,2633166.8031016095
26,2640031.0629586466,2633729.090631446
27,2643808.5457930714,2634475.265544352
28,2630824.960844061,2624810.8498773873
29,2629445.3519063396,2623918.341557433
30,2626094.192644374,2620793.8640928273
31,2636866.30763875,2632537.6494375453
32,2632099.993397588,2628098.3413806725
33,2643161.930590787,2636287.7589646783
34,2635233.0067539616,2632707.3904178254
35,2627208.8808019804,2621930.803168522
36,2629498.13480578,2625301.253774509
37,2629343.891821846,2625198.4630271993
38,2627924.38379704,2618936.1878872127
39,2642758.5862319022,2635718.4684962896
40,2631244.1069544125,2625821.4531058334
41,2639628.5348907234,2633905.3884779587
42,2628722.532074063,2623439.6371842325
43,2634450.838514107,2627145.127385655
44,2624084.9373062234,2619531.525525498
45,2646547.970798076,2635604.625350207
46,2634750.8444303256,2626130.57582442
47,2627208.0925926436,2619457.636231004
48,2636678.195551699,2628229.079892502
49,2637720.3893763237,2626853.8092130665
50,2643506.6675233063,2638081.7986958623
51,2631397.250998729,2629570.127161704
52,2631777.3287220737,2626097.9520892594
53,2637215.087655994,2630961.449251026
54,2633061.0689785993,2629465.18209693
55,2641644.7785345307,2635913.0807005484
56,2632706.2713164804,2622515.550347188
57,2635225.1394226085,2630577.079154035
58,2636551.6245250953,2626679.9684645883
59,2629144.454699786,2624129.3354320326
60,2636038.365217495,2625589.372724314
61,2639156.49568744,2629098.8669054247
62,2638007.2373647057,2630044.0031469828
63,2634367.8072553794,2626542.060312597
64,2620436.7168980716,2618360.7947572414
65,2634599.8866522615,2628066.460365906
66,2630410.8315619463,2623706.600496427
67,2630332.5725517534,2624639.400229451
68,2635386.196828422,2633208.1081418805
69,2630427.4272565935,2626258.7004122054
70,2639293.0559011986,2629516.153868838
71,2629391.540910003,2627380.628365255
72,2646279.431092467,2640109.177852244
73,2632013.744717055,2628537.896091099
74,2633568.059570548,2625563.3882579375
75,2634543.210151967,2625528.8327753753
76,2637636.498350888,2630541.867590272
77,2631840.556560619,2624738.7440256067
78,2635425.119736664,2627003.4257230638
79,2641837.130768799,2634136.956511854
80,2639431.7873721197,2631613.332643979
81,2635802.2609686833,2627315.197006957
82,2632214.1390942484,2625531.7084184187
83,2641394.2908747466,2633140.757743858
84,2634638.5646513556,2627558.236687514
85,2636949.068452137,2630334.652823459
86,2638218.575165659,2629358.226109655
87,2636163.9693448967,2627051.1574581163
88,2645161.40732021,2635379.4971823925
89,2635574.3457654454,2632066.4995961003
90,2636162.4055840923,2630837.557968214
91,2639908.4026061995,2633087.0287306514
92,2641708.6202249983,2635990.5886957217
93,2633904.358648857,2623988.4919913365
94,2628882.4506103685,2623274.4902399527
95,2642498.42059181,2633475.3963870476
96,2638031.395800439,2632705.031525133
97,2636631.698169182,2627742.633990485
98,2628810.4049264523,2624200.1614058795
99,2632380.8511482733,2624565.4893361363
