,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2664570.223296589,2658944.499171323
1,2666292.3007242563,2661659.148644872
2,2665948.214974129,2660793.502194831
3,2659291.530535524,2656076.4835866545
4,2668344.020866599,2662109.4300442757
5,2660448.656843461,2656898.400641312
6,2670182.699709736,2662627.063817951
7,2659565.6181278992,2658380.899480437
8,2667497.3514350643,2658162.0914122253
9,2666043.4151236685,2658980.9920938956
10,2676439.162247787,2666617.4996641045
11,2672097.235586321,2668901.4765195
12,2662490.209387473,2656595.2399631687
13,2665916.93030837,2661695.79684742
14,2674782.686298127,2668098.2912699264
15,2671022.2833987563,2666556.90616431
16,2659305.678435461,2656772.236606297
17,2670726.2714961497,2666264.009800042
18,2663226.7639507228,2656960.9370596674
19,2667405.2606306695,2661627.271185766
20,2667690.02269162,2663611.427548901
21,2665962.261715346,2659668.951290077
22,2658648.821289776,2654978.8458591416
23,2664850.6139247566,2658948.809837814
24,2668708.409765322,2667283.6537546394
25,2672383.985081423,2665532.786450671
26,2662681.3407373703,2658237.676339986
27,2665670.4123718766,2662486.2723020473
28,2660150.919855636,2657389.3899075724
29,2662152.9455722794,2657310.722074769
30,2657307.6492614336,2655126.3233172623
31,2668267.9797065104,2659797.3107447047
32,2673989.5432615103,2668637.087432171
33,2667653.615944581,2660941.7609367506
34,2658233.673675434,2654520.494220102
35,2656987.842646852,2656384.878531083
36,2662141.447469105,2657923.0715263914
37,2664526.810670663,2656905.8835218307
38,2669349.4131501983,2662610.9471694315
39,2673428.672845646,2665189.8413986056
40,2666549.5276406733,2665144.0936736027
41,2663529.330565943,2657968.33278924
42,2672827.151667877,2664375.5701850466
43,2661301.9423400424,2656990.8819596693
44,2668711.4685750464,2663039.5822691596
45,2663175.900655734,2657190.6716213846
46,2666653.404830762,2662990.8927168427
47,2674214.064720339,2669769.948535798
48,2665633.900768199,2660006.971548884
49,2669623.2890102784,2665293.930295538
50,2665677.5074164136,2663695.9595732894
51,2664536.952279366,2663060.8316119
52,2668317.883737474,2662468.37010069
53,2669742.2522431514,2664268.5567550496
54,2664418.5562943313,2658079.569708603
55,2663243.1520681893,2657945.745331993
56,2664414.676283318,2658310.482195187
57,2658804.602029377,2654073.7367578982
58,2669013.1994511653,2663362.987690392
59,2661897.441668675,2658512.8457855443
60,2673438.564783081,2669579.1968992623
61,2669169.4615332503,2664563.293253063
62,2661550.5534934876,2658120.465438736
63,2664358.1702105114,2662880.06494685
64,2666585.714883562,2660269.464113
65,2659412.490197607,2656324.786553845
66,2668205.8094634134,2660001.708452804
67,2669255.871502737,2662065.1547298124
68,2673470.1732556666,2669451.02680447
69,2658454.750410245,2655865.8226954257
70,2664599.490904557,2663337.7819991736
71,2671514.3531832257,2666529.2776071075
72,2661405.109498212,2658181.3463995825
73,2671248.00277795,2666525.2195433006
74,2665979.617775518,2660163.1122137327
75,2659715.1848640116,2656705.296652317
76,2673349.6814197344,2670134.4324145084
77,2674636.440687378,2667370.597206159
78,2659822.8186229956,2655956.077542692
79,2657573.906269878,2654586.381040969
80,2672155.6580217374,2663232.756212817
81,2662050.308443485,2657443.866366493
82,2662513.713123151,2658231.6395968865
83,2664343.686362189,2655936.7294788393
84,2672677.0144587597,2667669.389110312
85,2666257.1297426987,2659749.7149262778
86,2664925.9888330204,2658582.597519188
87,2664851.930402203,2659361.474595662
88,2666650.4334115405,2661460.7059480827
89,2668751.16489695,2665771.514693062
90,2662693.9365696027,2658798.4925693925
91,2669968.5809900155,2662627.04344791
92,2669939.7331514163,2668458.932210708
93,2674766.766876814,2670544.2493137205
94,2666950.0337256575,2661362.8129686425
95,2669229.1550381845,2664257.846780681
96,2663597.432416624,2660250.704940221
97,2660659.067481916,2657113.336346836
98,2670839.0914969114,2664498.798439787
99,2680453.028782594,2673808.0980450595
