,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2677457.774013443,2674074.005881398
1,2678209.757764844,2672588.6587703507
2,2678453.7880924,2671227.807323513
3,2685051.068970371,2678305.269344014
4,2667744.3397953655,2662031.562383062
5,2676760.634024075,2672105.185836265
6,2684784.8668272104,2678983.5822508195
7,2673730.1131531144,2667079.7294283607
8,2683126.1807722524,2675977.8910328
9,2682105.6240412295,2673306.794314078
10,2690738.1755930204,2685610.5573995356
11,2681071.1882226868,2676151.1131460234
12,2687674.630915651,2682332.9472218966
13,2674670.7353542256,2668865.7021638365
14,2679363.643494328,2670266.9856542028
15,2685875.4077543044,2678573.2600526083
16,2683608.0795812234,2678105.048747436
17,2679256.1494779247,2670351.3859574064
18,2677257.2500527212,2667910.2038606554
19,2674457.143901024,2671712.040015119
20,2677070.73922667,2671742.676246571
21,2673184.4933921387,2668217.6782167386
22,2674237.1936315848,2666969.961091232
23,2675171.9546792083,2670931.6069711214
24,2673750.3786084265,2668442.6566632134
25,2680429.6460326454,2670639.9084974146
26,2684468.0837656455,2678024.2322064484
27,2681435.594130808,2674485.5992312194
28,2681888.018011896,2678587.834667502
29,2675703.90736452,2669249.7007821063
30,2677564.339113049,2673233.58858729
31,2679742.827054742,2673783.1456127423
32,2677041.604391712,2672339.574177572
33,2687597.662326782,2679847.911292978
34,2678149.510676612,2672479.1095241797
35,2679433.9987274725,2672831.653871784
36,2685631.187396951,2680252.296529473
37,2679531.189416172,2672310.030976344
38,2679707.067115108,2672773.358928701
39,2671574.296029527,2667146.588226126
40,2676110.3797457414,2671178.8243057434
41,2678554.709721651,2674314.8844132544
42,2677571.5182426856,2672921.171196767
43,2672168.4699580953,2667359.101448437
44,2679546.738697361,2674118.7911613197
45,2672898.1660730587,2670086.373632484
46,2686915.548536852,2679542.466465598
47,2685678.5855391743,2679043.297149617
48,2678794.9881142774,2673170.539188588
49,2683773.977949217,2676346.0821308917
50,2674186.9666334502,2665342.5851554414
51,2676012.7498763693,2667218.612056471
52,2669162.7418016586,2663947.9348619576
53,2692050.199597415,2686734.4704718897
54,2673745.418882948,2665185.086522189
55,2676107.291205642,2671138.679490419
56,2676188.678447353,2672287.6530339187
57,2684719.6427921643,2677822.8610385843
58,2671499.3425522787,2663851.1574689457
59,2673685.0044952724,2667931.9906251132
60,2688139.6973663955,2681505.69002968
61,2672260.831418154,2666400.582479473
62,2673957.7018545335,2669637.69453333
63,2678494.612089821,2671267.413744031
64,2671907.5389813464,2665589.203804939
65,2680127.084428019,2674939.5128842657
66,2686219.0325992545,2678987.482193859
67,2682812.7192240483,2677475.583333744
68,2675819.0192630277,2670495.7305051927
69,2672535.9269456845,2667718.2459363914
70,2678607.553957885,2675049.4156874847
71,2676853.9972250657,2672526.276153778
72,2679697.166501489,2674521.5402776925
73,2677607.1112015876,2672911.9384792643
74,2688732.2605369315,2681093.5361833125
75,2676894.692718071,2672082.2027800335
76,2682769.4896083423,2674900.996613875
77,2679901.525258518,2672951.5303589297
78,2688433.397240092,2684665.9702563323
79,2680507.434105202,2675507.2842610003
80,2676205.0274371463,2669260.977071927
81,2680248.813618266,2670505.6581093655
82,2675813.204897955,2673009.7249570163
83,2683605.397182543,2676921.8591439193
84,2672312.82196173,2667336.561839868
85,2675412.984558787,2668853.720571192
86,2673232.0646801894,2670903.993404848
87,2670058.229396454,2665687.1282147113
88,2671337.6414480484,2665340.8149184952
89,2677175.913362079,2670688.167374323
90,2684679.7561757984,2681603.2653437685
91,2684512.3194021517,2681747.358785063
92,2683474.4055787344,2679845.4117328003
93,2681809.1748730247,2678625.7734953873
94,2674960.517500082,2668308.719259415
95,2681620.53928983,2673657.3998629646
96,2682885.8578290613,2680367.193613168
97,2676814.6057728454,2673465.4753936473
98,2675906.386579443,2667293.9404282533
99,2677732.8312783153,2674409.2693935586
