,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2519843.1347423047,2506034.201173182
1,2528209.916809206,2510979.8924054513
2,2485939.614770716,2483096.9354703096
3,2485966.6136387633,2482581.909335652
4,2538099.9078763556,2526119.1856927276
5,2550476.1068243505,2538538.977013629
6,2499108.9799334137,2490248.682417111
7,2509867.7954592723,2501009.1091075875
8,2521345.7714778692,2509846.9190744404
9,2492305.433773948,2480447.9419906484
10,2481642.9678468164,2477282.683163283
11,2526614.236575812,2520887.753238783
12,2500433.622804287,2489616.447688458
13,2523973.6880345764,2515053.027706567
14,2529418.7467036704,2513188.548783126
15,2510199.008757309,2502547.9493948603
16,2534583.521561876,2525714.3471925287
17,2532547.133484358,2521376.1292598285
18,2528965.6372203026,2519331.2439144906
19,2497581.036577709,2486272.0452965004
20,2502222.941358854,2488822.791619499
21,2486563.3105224576,2479760.1736097923
22,2469890.3532364857,2471254.608012693
23,2499445.905467416,2486660.0192731144
24,2483251.52544426,2477182.580668104
25,2539168.2077929247,2524873.0769453943
26,2473333.5761926128,2471058.663933524
27,2515828.8876106944,2504830.1379403127
28,2529205.289549946,2515358.0199616253
29,2444147.2648377055,2439011.1600196077
30,2512290.0487218895,2504475.905210089
31,2506026.333571897,2493494.7115335735
32,2550179.906393307,2539350.701082309
33,2517594.032226906,2505298.1634780606
34,2517586.7554834234,2501297.421539159
35,2521895.433971994,2511085.2028427394
36,2503630.527090951,2488170.977345342
37,2449564.398478854,2446369.4117869725
38,2485126.113919071,2480415.104378619
39,2487544.295759829,2481902.2749858554
40,2546189.1894993884,2531443.106578176
41,2510262.3790114303,2499915.7578050653
42,2512652.135887025,2495617.7093506046
43,2501131.6943053543,2491571.854721125
44,2490192.2197682336,2478553.9206568636
45,2511321.135657425,2498930.7642198806
46,2527915.522426885,2507742.174511647
47,2496631.357268133,2481259.1938846554
48,2480393.133032916,2479835.2228171225
49,2506181.595467748,2495115.8618321735
50,2493133.153573578,2490201.3743204083
51,2476435.475239229,2472062.4426634056
52,2537772.9201113465,2532191.623719533
53,2517535.564651693,2509773.337496356
54,2482374.37963615,2473231.6546157952
55,2459256.3470362644,2459695.143817758
56,2511747.8366514035,2497793.0156416316
57,2526674.8478123494,2517370.148759038
58,2486551.4179608994,2480216.9744579867
59,2486814.178743667,2478466.3434819328
60,2512369.1308132745,2503191.8040821785
61,2488303.0015936624,2480194.254546119
62,2509383.7585361777,2498013.1560032656
63,2501984.9271894344,2492116.3428242193
64,2489630.1785389897,2481313.311953036
65,2532394.022799248,2517812.6689433437
66,2469826.0999882706,2464309.036526705
67,2510101.1257374706,2495409.269055646
68,2537957.41026503,2525392.724302048
69,2551708.188012587,2534146.449942513
70,2556408.071386111,2540771.8247608277
71,2544885.873966762,2527806.45818619
72,2511988.1652489956,2498927.740978658
73,2486526.42317186,2479289.9804742206
74,2509288.468263154,2497360.188331002
75,2533838.1354375947,2521275.198656508
76,2493232.446827392,2487084.777292616
77,2456245.904397958,2450482.6608991497
78,2490541.4185971697,2479519.6591732176
79,2497033.9343569046,2486756.1722951145
80,2528799.4167864826,2509853.2449369924
81,2475652.0052419896,2471162.8724872055
82,2533507.093679856,2518018.364610349
83,2490362.198820616,2482315.63612751
84,2471962.557984178,2471959.064998351
85,2463771.6958364346,2459818.9554396365
86,2514364.635014747,2500488.1971555743
87,2477005.5493501304,2468021.276545882
88,2526047.082321641,2508049.981809881
89,2494457.612739028,2484741.334675953
90,2478869.0100100106,2475097.4840809423
91,2490136.66703969,2489267.2905386435
92,2484511.945034771,2476313.1666821335
93,2482624.6909034792,2472935.833933897
94,2474841.746801258,2466584.5555923125
95,2474280.7909940644,2469310.454918203
96,2510593.065973201,2498785.3341076956
97,2526739.7125314185,2513933.30611901
98,2471896.769588155,2466355.0550493924
99,2471230.5940649766,2468640.8767708745
