,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2530076.2137215417,2517039.455835131
1,2591756.5696125105,2575953.9958363534
2,2547663.9748559343,2532133.11204936
3,2501713.830771508,2494683.4993494437
4,2559447.3519361736,2546897.8511696486
5,2528943.2497671596,2517141.3499316014
6,2526900.1187871047,2514037.7000463186
7,2523152.812461537,2510756.855086465
8,2553154.8567145304,2542231.6974379392
9,2535767.1751727075,2523067.8536339696
10,2538640.1060574967,2525288.6450034063
11,2537524.6449475074,2528497.344750555
12,2520072.68960293,2512119.795149832
13,2556025.8582389764,2544511.9508617483
14,2556418.407687296,2539088.5501010744
15,2550311.79054792,2534104.0217779176
16,2551630.7076445976,2536101.6253100494
17,2556841.9592578597,2549985.5552809234
18,2498279.5677820146,2488975.498827898
19,2528573.5413259147,2515444.536770233
20,2569026.279947065,2550616.696606573
21,2541724.0351810073,2530963.865940039
22,2554886.036516276,2534431.3534333603
23,2531217.3477307158,2515208.220150168
24,2546354.6944197407,2530699.633233159
25,2559941.399062979,2544448.17775426
26,2559305.9960264144,2543945.4308018736
27,2546462.958008752,2532901.329831213
28,2504948.409326412,2492391.893114582
29,2560439.009077021,2543524.8742711954
30,2535414.236216898,2520836.6894831834
31,2539339.9496423756,2523555.387278118
32,2522332.4467754494,2508684.3379929084
33,2551101.206519464,2539500.6614740742
34,2536475.685941631,2520891.056502101
35,2527132.920948324,2513396.2078381367
36,2528917.1766933794,2520209.7068544393
37,2529687.2825836213,2522744.82738827
38,2524519.7246602615,2511225.369191191
39,2540939.204639346,2533315.9444671357
40,2500979.5247225543,2490492.735674328
41,2581498.7876477866,2563766.527957746
42,2534907.605446286,2524083.8043623986
43,2525051.6442178884,2509563.996415375
44,2546920.9651684067,2531226.930399685
45,2544513.3162092892,2533516.042879852
46,2549905.954554213,2532275.020250423
47,2586924.8097671242,2569078.7262166394
48,2539359.9023797046,2527806.433606499
49,2576177.9263759153,2565474.039987921
50,2525409.1079266486,2510113.683189717
51,2566162.7650437746,2550709.6801576596
52,2513755.882713368,2506291.301184561
53,2525357.99561468,2507765.7339233714
54,2491839.7448696056,2477376.0882466184
55,2523723.498924895,2511856.47676468
56,2534277.272270062,2517845.0423413236
57,2532950.1657345053,2515187.438547495
58,2548610.3055941546,2533197.3853547145
59,2565858.1460731225,2550753.9957630495
60,2545068.3738939473,2535291.6009123796
61,2535064.9791830573,2519640.41188416
62,2546828.8924248773,2535351.4654831225
63,2506460.003768786,2494017.355401116
64,2570044.4899011753,2552177.685009135
65,2538890.057802481,2524770.5778120495
66,2549300.1443921407,2533378.4363340996
67,2501071.6595526016,2487033.6346658766
68,2528957.161463115,2515397.572195236
69,2521103.0654503396,2502386.385478366
70,2518135.2678143242,2505096.645649716
71,2500906.7952880748,2489258.5572508136
72,2538147.217161457,2531207.8583174134
73,2555060.260230136,2542906.5122928238
74,2522212.4595327065,2508918.804828298
75,2568480.590161873,2550768.1422732295
76,2516923.9608802865,2502316.277918946
77,2541947.670052992,2534335.000428517
78,2506703.200306657,2490988.450850834
79,2511812.4228842347,2499333.316678622
80,2540504.5570522835,2524929.61618517
81,2525318.7982430304,2508551.2023850633
82,2562748.8404847,2547866.4921153965
83,2554951.29005297,2539216.212870101
84,2528180.0318192043,2518627.281648732
85,2517800.175785324,2503403.6875690687
86,2570409.0555037907,2551167.144883682
87,2499810.876194233,2484985.410578292
88,2574365.138536092,2552272.8569412744
89,2542406.847180468,2528091.9420325
90,2539549.628038566,2527100.922985813
91,2555031.467467129,2538976.955724665
92,2510613.3718562657,2494969.220361079
93,2560053.401451029,2542472.037604791
94,2497790.356125037,2486161.902512177
95,2559788.368072327,2551084.323131389
96,2534057.1769912406,2520342.650621533
97,2544324.6761681135,2527462.7043358358
98,2529654.1457700506,2517236.3847997338
99,2516734.3886024086,2505769.6585863386
