,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2586249.9110478023,2558052.067385505
1,2617779.200282474,2586888.448838248
2,2609365.3391983714,2580984.6287539927
3,2604012.9954388766,2585507.043909132
4,2610993.852650546,2585962.705825787
5,2603101.386921112,2581090.52263843
6,2555621.3753891513,2539446.8663790002
7,2646530.8317054575,2616878.272811304
8,2615313.7932339003,2585874.4374732194
9,2603809.5513303685,2578309.6491309023
10,2612336.4163869093,2587812.374507595
11,2580793.151543877,2556990.289771972
12,2572831.70016409,2557318.1522177523
13,2663488.673040185,2638893.2959789513
14,2557641.4940202953,2543166.694007215
15,2671336.364568335,2640782.885948818
16,2588864.5544301886,2558363.299596804
17,2612009.089813853,2586160.412295211
18,2637703.952385517,2609916.4993205573
19,2617928.6680247486,2594183.6298336317
20,2588405.5609644125,2563188.1126394444
21,2595893.7868492706,2569621.6223565745
22,2608402.3644752647,2589103.562151979
23,2579075.6595741846,2562067.115337711
24,2615950.4699752075,2589752.882073194
25,2563911.705815493,2551028.963200966
26,2560189.8226103587,2541042.9463567715
27,2615266.3606477305,2592122.580699266
28,2648030.195535102,2625178.128136468
29,2591168.310956987,2563959.123970362
30,2576114.3898590175,2555468.7130115065
31,2605015.54531855,2583489.6702801567
32,2609505.9817024237,2583681.563363988
33,2624702.3263408868,2590217.8514722064
34,2559531.0926704663,2545235.1319625806
35,2591456.8416165593,2565864.772530218
36,2560763.9682105677,2551545.0112380544
37,2573013.207093115,2555315.376140229
38,2567032.4640546427,2551110.398885729
39,2551783.879239815,2539655.4964767834
40,2679022.550554033,2649563.088548887
41,2625254.820070688,2592876.1472733254
42,2574740.62536996,2559668.11577818
43,2574672.722631852,2558734.744308697
44,2608035.262076728,2582758.5648260117
45,2583125.617752085,2555039.051996553
46,2640160.554982576,2617586.8656366616
47,2593188.501117064,2572725.447738857
48,2607561.114494468,2585468.7119054487
49,2617244.7543276087,2590391.2394715697
50,2613671.6687046746,2588999.0835722573
51,2583811.4365392704,2568263.074412259
52,2606523.0504221036,2576175.379514228
53,2566366.4815120725,2544837.4758830555
54,2614889.4642391447,2590960.25540898
55,2601345.3409541277,2582148.3640027624
56,2628894.836565406,2598178.9416136276
57,2595584.5055454164,2570830.7653521737
58,2582787.037632903,2557188.5008199774
59,2593934.525288043,2568250.7392930468
60,2628433.788256388,2599999.9605523944
61,2626012.966406485,2601020.0359489634
62,2574421.679724114,2559112.8084643274
63,2598622.708869517,2578117.679822541
64,2610986.8603164167,2582205.009606034
65,2629208.2445985777,2607111.0798343252
66,2578297.376391503,2565177.250924719
67,2617171.3527429737,2584189.9869609913
68,2574162.602675765,2549412.321250066
69,2627609.8892487893,2604515.6498499354
70,2606599.127659655,2583867.0011870684
71,2586195.4180945335,2568070.444339442
72,2618847.3364931997,2596257.6402052008
73,2620670.844735776,2597928.161392452
74,2594260.5228613904,2568344.783004772
75,2592003.4696969213,2564578.4119863547
76,2612681.60383897,2585364.8807041473
77,2645678.787901778,2614166.449152047
78,2604803.790411628,2576985.702738753
79,2626876.9943006514,2601251.74444702
80,2578626.4689443978,2561648.786114495
81,2598753.221092334,2578225.0774906846
82,2627004.7427604147,2597474.6788245137
83,2616120.867456225,2591458.460071886
84,2583501.9120977074,2562975.3474833947
85,2591210.143792201,2570581.2096115192
86,2630911.1994498046,2610600.544862964
87,2582390.5201358683,2556317.1552361473
88,2535032.4227720536,2522233.0861117803
89,2575198.7641374012,2551405.1329608983
90,2569709.826215698,2545051.277856822
91,2614310.0295614577,2590616.086533713
92,2592900.0965580633,2566989.2982611135
93,2556225.2475773967,2535303.290299493
94,2629765.484078727,2601829.290041914
95,2544826.42838052,2535351.753111178
96,2589760.505018,2566002.0858388683
97,2604715.2861942207,2579646.3192718644
98,2635031.3569455,2607338.0760743935
99,2605407.257426614,2582437.1489782864
