,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2553233.3137530065,2546552.5425275685
1,2551020.7210943676,2550586.95679292
2,2557037.003368223,2550530.073351118
3,2552589.028452212,2549056.1380506437
4,2522823.3777477206,2526067.2845741874
5,2513171.161184448,2519121.389328559
6,2553996.339290403,2551056.7495674575
7,2531691.525839092,2534923.4218881065
8,2541248.40239393,2547517.3720462834
9,2580332.8788671,2577101.5791867487
10,2534482.078699926,2533837.6156867915
11,2514655.58031418,2523280.7838839195
12,2557101.4093888523,2553071.2130696503
13,2530977.808264297,2534457.360193154
14,2600849.2288405155,2602159.553823881
15,2548847.7932214057,2545118.6945338165
16,2534049.4640685585,2543050.48344801
17,2540992.0708098775,2547239.860919134
18,2540933.912716252,2539772.9188163974
19,2540262.9369537253,2544458.015608405
20,2536217.4277954837,2534154.383995947
21,2513548.0656729904,2522144.2784149786
22,2513931.26247597,2523407.8135532783
23,2516189.4720221134,2525515.7422138127
24,2527683.96763607,2532654.362837438
25,2509378.3223681184,2513867.042050415
26,2605203.1454908354,2602194.9986667414
27,2570463.9561078185,2570351.0223154724
28,2567533.492978708,2575119.0644197986
29,2576135.6679186155,2570025.572435683
30,2561676.9042382515,2560654.336404592
31,2521827.122505932,2527469.753721762
32,2525914.822837552,2535307.7892047027
33,2557052.297161073,2549813.5481272303
34,2557982.6675127414,2553064.7974080923
35,2567604.00490347,2570974.696268035
36,2592410.504314161,2593694.4866202953
37,2554922.3049722114,2565060.661903342
38,2523801.7032780657,2527317.174095204
39,2520711.4531835006,2532312.701084241
40,2583906.3477671216,2579268.390644558
41,2517247.6730636843,2529469.197359858
42,2590079.2713070926,2588403.674054981
43,2573158.168132077,2570208.524623448
44,2572711.2977683707,2575758.414289548
45,2516204.4041009867,2525363.6569412416
46,2542951.155850129,2540264.2297525527
47,2529064.0971565302,2540883.3691948713
48,2546139.823583532,2549548.016284229
49,2576583.116447695,2571062.613599769
50,2554919.237222621,2550939.865016507
51,2545858.223457573,2550348.6988861947
52,2506000.149264438,2514103.771041633
53,2513608.290635353,2522819.655220627
54,2554162.5243459647,2556442.3877852093
55,2548460.385806094,2555232.362690052
56,2525193.330139676,2526058.042689914
57,2513865.3721978394,2525644.3556347685
58,2572661.020767214,2566553.614147939
59,2572574.6798450756,2565951.2810965357
60,2619809.5588649255,2619571.5539928945
61,2519319.5709346253,2531156.457844982
62,2566562.760320888,2564588.997295881
63,2514972.6967512667,2525741.8933388935
64,2585939.0299776075,2582045.9361293637
65,2524575.4431503266,2529425.7311369954
66,2509755.969785312,2517191.7600246444
67,2546891.3292019023,2544045.3924956797
68,2539264.3801263683,2539475.9325323924
69,2511637.4169478677,2520040.675945488
70,2514507.6868068865,2517533.2340366994
71,2535420.4878079584,2533956.492716069
72,2551815.655603711,2558351.250123092
73,2544541.030757788,2553040.7201282852
74,2508321.7668612483,2518043.3941463763
75,2575258.4259438026,2580445.9795014504
76,2553018.062124677,2549413.2375677954
77,2527718.7832407802,2528421.7129707886
78,2600820.0024354924,2596812.971321723
79,2568909.889715953,2573546.731541674
80,2572260.467066399,2568733.0198440207
81,2538937.796773597,2539826.7987546604
82,2525956.3579478892,2529675.8060964537
83,2550179.149190845,2553879.053279844
84,2586907.4903786825,2581017.5915476885
85,2533412.825988276,2530533.6600997243
86,2582669.170681233,2578039.059780753
87,2566734.2874171534,2564660.8467765693
88,2594583.521392164,2591228.535219824
89,2589580.6176225236,2586357.501192552
90,2536470.177660172,2547935.838190351
91,2499581.5426396206,2510774.7647305676
92,2566231.78193994,2568467.5572878765
93,2559207.0956964805,2561014.9491903586
94,2531174.2118978323,2542573.869732705
95,2536382.1645721947,2543878.111562391
96,2605790.0594336893,2602751.0066596065
97,2523459.671487013,2532835.5006696507
98,2538034.602911726,2538142.5039729085
99,2496593.07112352,2509969.624939353
