,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2481216.5344615616,2469553.4043819644
1,2486865.257452526,2472177.433944544
2,2459824.6084965444,2459938.792910276
3,2459743.5728369607,2450758.2722948412
4,2445839.7271471475,2443343.1322337193
5,2486432.751201715,2480296.3720055064
6,2466683.9273446193,2455591.639366572
7,2503089.8361151787,2486104.7969090594
8,2508687.856555802,2491044.313972314
9,2455042.6083441777,2449391.6851371275
10,2442785.1329788784,2438757.62812021
11,2446208.675256387,2434045.7413245663
12,2492885.7556847185,2487188.5812708987
13,2456973.403384749,2450662.8241645563
14,2485156.8139753826,2474708.3660127325
15,2462795.7764115827,2456227.798552598
16,2466511.7610532604,2457541.6022514515
17,2485866.3712881273,2475534.9818653194
18,2488543.0133695723,2474251.595212038
19,2465278.7769903066,2452015.6828724183
20,2506312.5396134052,2486486.142414992
21,2487700.714837378,2474047.8742111158
22,2475677.3284478453,2473145.67195866
23,2482056.057331064,2469692.7975667072
24,2466656.193078029,2456779.8744550953
25,2475827.825842359,2467916.4600690464
26,2495392.7283726707,2482308.9369029617
27,2450687.1962380502,2446317.0305805276
28,2476078.916274599,2458847.176515369
29,2500657.0742091425,2487118.1693937695
30,2465245.8125120574,2460844.0937668355
31,2474918.9179727696,2468231.9146327786
32,2460318.1746338503,2454796.647204217
33,2494902.949154354,2481078.7551377797
34,2467827.085182907,2459235.017831524
35,2515188.1604933953,2497263.6957947705
36,2456940.5332056955,2451831.2176247016
37,2471166.7536411723,2458752.856555122
38,2474713.0635616644,2470206.0060720523
39,2480825.864814816,2473833.4317652555
40,2482438.5011225976,2478650.286761608
41,2530744.4894962464,2512228.567379181
42,2489361.2003853144,2476273.227096729
43,2489768.2619409515,2482086.0673987293
44,2472525.0914787995,2464209.558448377
45,2453474.4804589795,2445804.583883179
46,2448987.2202187073,2443874.2809556597
47,2506379.2311698324,2490779.95384626
48,2445879.7093477095,2441232.573694383
49,2455246.9022485204,2451386.3521013726
50,2503202.776459854,2483940.3789360924
51,2443852.718264129,2444787.7802831614
52,2466855.982338044,2461719.4313443955
53,2462806.304526492,2460508.243901306
54,2480834.186686159,2468093.1135930745
55,2465664.7826117184,2457462.0390368784
56,2496339.883087515,2481102.609824846
57,2470125.593647412,2465385.3525120122
58,2464438.8103158213,2452697.560940651
59,2482428.7287851227,2474276.5302226488
60,2466756.259356833,2457736.1305880174
61,2498844.236405095,2485205.545495538
62,2467638.0521168234,2459617.454734884
63,2451332.0914991703,2447798.4991696076
64,2495815.469063253,2484408.667089858
65,2492816.5482397727,2482934.6836811956
66,2474970.651609422,2463137.190568963
67,2453683.402003372,2453540.3680710904
68,2469727.520022192,2464797.7318475987
69,2454077.558935724,2452105.4169084043
70,2443397.6805851217,2447504.5034495834
71,2445839.7271471475,2443343.1322337193
72,2496891.0328674023,2485894.1442798064
73,2483910.5689168302,2474705.679310021
74,2470375.9050204717,2462495.341318775
75,2521082.3447266445,2506705.8743577944
76,2453971.4334915318,2448920.6613272345
77,2469416.2962827412,2462584.650345572
78,2479822.9392109653,2473721.7972025154
79,2460117.292036019,2459967.234653381
80,2478262.5634726025,2470360.7717931275
81,2472265.438868805,2464814.255479538
82,2461643.399169616,2459513.9842852945
83,2489024.934218964,2474659.9526683753
84,2510930.3266053526,2496292.4011677527
85,2476683.0975386575,2468727.73858954
86,2460895.2295905435,2454009.8313383088
87,2492086.8389709163,2481253.498819895
88,2494672.4336546278,2480336.526840274
89,2476902.907410795,2468101.97963732
90,2466141.4051720537,2463437.919923364
91,2520356.921192843,2502591.607667461
92,2462445.336035708,2455176.324277576
93,2446334.8601463484,2449503.859489331
94,2429548.260711672,2427517.200299086
95,2477645.451027031,2464747.874781924
96,2483000.5614520446,2473140.800608265
97,2502826.9810546534,2486716.777060924
98,2481054.0840140795,2474146.6462865174
99,2460404.8573027505,2457232.4877113802
