,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2466666.055087393,2452033.520901211
1,2467909.853255021,2450190.664390114
2,2460197.4443670237,2440989.1745264595
3,2461320.5607260424,2439975.0610482767
4,2481214.6978110014,2461830.821222024
5,2454583.884798088,2429581.779859861
6,2446537.3861296205,2423446.092927304
7,2437071.9296314837,2422005.265848378
8,2445174.0835283585,2427412.0694346502
9,2486423.0894207563,2463149.559506645
10,2440772.2842563847,2425378.8094442263
11,2460703.0978591507,2439704.5015406404
12,2448699.6793212704,2431246.769017554
13,2458928.9324130057,2440686.885431685
14,2472880.7501642695,2450222.0631650854
15,2434094.685812493,2415042.890845885
16,2453996.685223506,2431136.048213613
17,2451593.1140192766,2436621.7421621373
18,2440814.918749088,2414711.946389641
19,2447404.3213281017,2427682.572041534
20,2447385.7645442295,2436038.656263237
21,2437946.3538257647,2419446.1301501216
22,2447286.2187766433,2428288.88060567
23,2466387.079180451,2441593.321556758
24,2450519.9779297384,2432401.7020925907
25,2440910.9148163972,2423090.3329733694
26,2463810.7278778506,2442344.2046944164
27,2442297.0714482106,2420847.448437101
28,2458566.0162508273,2438328.9061191077
29,2458177.7345437706,2439383.2373293303
30,2464620.78097518,2443738.1363107916
31,2446119.273430873,2425313.186217958
32,2454423.51729449,2433977.809612995
33,2450584.777158918,2430444.260724281
34,2430967.13591174,2413432.765638125
35,2459773.69542538,2436039.549896539
36,2480080.270574781,2461083.894592438
37,2448898.778076318,2429816.790062236
38,2435149.185617103,2409555.42118258
39,2465041.2680420866,2439069.9645134956
40,2464368.950345121,2441749.014712358
41,2438510.888262246,2419976.42992933
42,2473138.371326885,2451665.5009969957
43,2438039.2886472177,2415389.2332500387
44,2450010.3601410165,2428502.8276350982
45,2449320.4238069765,2426959.9155627843
46,2456576.973955481,2433836.769995045
47,2446540.041902244,2430423.8755152617
48,2457707.1990699144,2441477.4033194035
49,2469725.8650866826,2454439.20144281
50,2490646.0827952046,2472698.9264864037
51,2444822.7371942047,2435115.154944068
52,2450910.316374037,2432359.8503223415
53,2421585.5611124374,2399491.054597585
54,2455897.5771260653,2439235.572368526
55,2480068.3271367094,2453436.026024362
56,2427807.9739149627,2417041.2118354943
57,2443938.8143317737,2425968.553133766
58,2484617.392996272,2461456.3179465886
59,2481622.1350433934,2463202.3942564623
60,2430967.13591174,2413432.765638125
61,2439221.405750797,2421492.510158048
62,2483343.263827712,2459795.324180788
63,2452276.8868467202,2435898.978326167
64,2442044.1208119504,2420915.8893003254
65,2457750.615499343,2438029.576022976
66,2479129.984296535,2454123.0622482295
67,2472286.281803257,2449549.085769239
68,2445977.906807334,2426252.9675028333
69,2465041.2680420866,2439069.9645134956
70,2422570.052036044,2404155.0109092696
71,2419177.5368881803,2394889.352764353
72,2469060.2128175935,2449522.0203814274
73,2455624.080772968,2435813.280660125
74,2448318.4870845564,2430331.720982886
75,2446247.431992881,2427005.3252470335
76,2414603.8069398142,2387055.8166547017
77,2447049.6419160767,2424609.4985704836
78,2466720.917957629,2448315.2392829517
79,2456576.973955481,2433836.769995045
80,2460319.0194739187,2435192.342311615
81,2435400.517762596,2420429.457479755
82,2428457.5155163254,2406143.843135743
83,2415115.2798140678,2403234.5828101
84,2474011.570500372,2449355.6277734702
85,2425917.6902129436,2416884.795527786
86,2490145.1399150128,2469971.7955667023
87,2460216.2578319986,2437680.25040481
88,2464445.457832086,2443977.2803256214
89,2452735.4265938047,2424570.5352852517
90,2421153.1558177453,2411299.414618343
91,2447542.7899860507,2430569.5222230535
92,2429453.77839942,2409287.55568339
93,2469016.921001033,2447344.0513792476
94,2486579.3913931437,2465320.472561379
95,2444671.361233265,2429724.3882411057
96,2458930.435859189,2440881.1488584066
97,2462686.0042814836,2450523.5945377266
98,2435799.266594845,2407456.6038216874
99,2435113.2417671643,2420903.2685326897
