,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2528938.1034890893,2516361.6155097233
1,2520072.0660700267,2509278.455977203
2,2559184.7987215403,2542186.7087492915
3,2528292.3523557708,2514830.9960623067
4,2502313.9352620947,2490087.573896217
5,2531562.667432567,2517334.067767293
6,2517426.861356508,2508336.1265058178
7,2558055.625527545,2540664.61936848
8,2508442.0629203985,2495628.9388139867
9,2560368.8018104974,2541812.732545706
10,2522859.469752947,2506729.2605154556
11,2536243.204350592,2515103.7299014926
12,2530249.9490584563,2520328.4980148016
13,2535368.319339237,2520238.066084282
14,2487613.200119091,2482606.148579634
15,2497206.315404836,2490759.6057765223
16,2518044.277677905,2505816.8369974233
17,2518044.277677905,2505816.8369974233
18,2541611.385828887,2525861.543606334
19,2542100.583618231,2526908.0185754467
20,2492398.8222981626,2482133.014793579
21,2540367.439890596,2526593.1321498067
22,2498547.9766096133,2484758.3716128133
23,2510395.76762693,2501973.9960011295
24,2526824.104419672,2515792.296275473
25,2529182.4674633844,2516779.7895780653
26,2532112.2724388763,2518821.432164722
27,2565898.2036930057,2548114.674854978
28,2498547.9766096133,2484758.3716128133
29,2555124.0228333212,2535320.277606626
30,2528323.498656038,2516064.790980683
31,2500582.6237449665,2487577.1776738646
32,2521870.324587276,2505593.5707674506
33,2528944.5954013895,2514406.699359039
34,2476265.3191261636,2472619.351382947
35,2521593.7437537997,2505957.909832422
36,2491648.4414645685,2479907.902194987
37,2504046.180799301,2492831.5005420065
38,2529509.1903387904,2517051.314063604
39,2530795.429623903,2511314.281530917
40,2550436.742771711,2533031.171115697
41,2537133.2832704675,2523990.5497051864
42,2492362.0095299752,2483854.62931431
43,2493101.9355241433,2485380.9303718703
44,2536508.6756432606,2521516.9254579726
45,2483106.7960593672,2478107.674351838
46,2530433.828526306,2511023.826044195
47,2552460.756248177,2534401.557575826
48,2563836.753465904,2547781.465894091
49,2524794.257044026,2512124.7990908436
50,2550398.883530468,2530450.822184688
51,2523172.2861849293,2510184.262216758
52,2511028.3913395824,2495070.585783554
53,2529794.81613529,2512525.0327258287
54,2543954.19350049,2524887.2253253926
55,2554068.1542039188,2532530.77958712
56,2520589.316552543,2509078.2842272874
57,2538455.8938962594,2520713.556531537
58,2587150.0977568664,2565001.110978596
59,2549322.271469378,2528217.9604553333
60,2515141.879839532,2497640.0667864163
61,2551947.8656899156,2534662.3582773237
62,2547995.422101755,2529590.556479078
63,2569953.171708109,2548353.334147281
64,2559459.2824106207,2540848.292271076
65,2552799.3340158733,2537939.7728980784
66,2548839.175443586,2529646.5968935746
67,2565945.9625685196,2547647.6947327405
68,2544697.5613394175,2530616.3096293765
69,2510957.8392335605,2497003.807447466
70,2541928.6780837844,2522659.5983891524
71,2511574.6780912327,2494412.4550336045
72,2509326.397295608,2503632.768830903
73,2531309.1184194116,2519210.7723488444
74,2501579.617981011,2490816.520458256
75,2563811.203958299,2545090.69874387
76,2551716.3412508806,2529562.954502448
77,2526820.717110187,2516626.683302981
78,2551108.3690305334,2533596.079902224
79,2504337.368793763,2493962.08217619
80,2536290.9531221436,2517005.3716057893
81,2494648.715411812,2490051.3616411807
82,2535625.346222408,2522351.6960128583
83,2536585.2127172663,2520881.932052941
84,2566477.6225252002,2545807.1505275676
85,2537783.1871232595,2522961.6420300524
86,2536405.6903926292,2525415.474205158
87,2578145.008291011,2557352.3881008904
88,2530348.391119751,2514837.986044338
89,2539863.275976586,2526083.763379102
90,2523125.2061124146,2509642.2888722722
91,2545214.088117645,2529114.681073801
92,2554337.321706407,2533650.933057934
93,2505737.703493174,2492734.6790262917
94,2531196.197247833,2520647.9729798744
95,2556615.914713797,2534849.923787263
96,2547632.1877725176,2532751.065708045
97,2539844.945160022,2521547.2628638283
98,2520024.3267576974,2506893.9668669933
99,2530433.828526306,2511023.826044195
