,MAX_AVG_NPV_solved,min_MAX_NPV_solved
0,2446179.3703166153,2433888.3834955306
1,2423368.857612341,2424674.9280410116
2,2452846.4015557487,2436116.3298618933
3,2436439.0356911374,2441429.196040837
4,2459384.7394302106,2450460.0976380855
5,2428033.0683575086,2428813.4121150775
6,2438421.1513727885,2436683.89213477
7,2431210.655785243,2424184.7154897335
8,2444013.9098898415,2431482.372785218
9,2468974.101917433,2456139.1612237636
10,2435712.4478241038,2432030.0183756975
11,2436070.9567403323,2438225.5415480365
12,2420731.8749294835,2420103.5963927405
13,2423368.857612341,2424674.9280410116
14,2444006.332360478,2444345.264296998
15,2436946.220344993,2438682.0303182667
16,2407688.665914129,2408275.526550402
17,2432087.382158167,2429439.4316318277
18,2434218.343093233,2427040.1892051487
19,2448125.015798621,2440807.951881853
20,2449158.3798880246,2441558.125032455
21,2427810.9485128573,2421134.31869072
22,2415651.1022362914,2419172.3486468075
23,2428863.8893263964,2426559.7070101216
24,2451737.7806393253,2455814.1902979184
25,2417186.393683388,2415640.26339666
26,2426363.832320067,2416389.3478306714
27,2428545.715600034,2428727.7544557014
28,2481390.9832258075,2466483.458871387
29,2483037.096253498,2471263.414239334
30,2438833.9163602623,2430688.4939876823
31,2448545.155635872,2449014.630553295
32,2420731.8749294835,2420103.5963927405
33,2445498.635493315,2446889.6252528336
34,2425579.69832281,2422768.716277876
35,2440627.999397977,2442462.8334867037
36,2460920.4028213946,2442937.0539734475
37,2464268.814409528,2444392.6893630456
38,2443326.9337891433,2438103.393717858
39,2465542.2923511034,2460442.9129598667
40,2436991.6388966227,2441302.547123578
41,2463988.74223935,2457959.2714881627
42,2452072.6294108266,2442516.6546667
43,2424283.766638919,2426531.362739333
44,2480369.1438789484,2465294.6255493583
45,2453370.284338293,2457807.863587158
46,2459439.9030495677,2449546.675311965
47,2431695.9800473694,2440010.6743886624
48,2448097.91824962,2442567.368856114
49,2411599.419691843,2419520.2632651385
50,2470461.1149140606,2460481.1649628314
51,2418153.910037673,2427671.8643739196
52,2456329.5158452354,2454547.6640167814
53,2431505.449457955,2427004.768762633
54,2414037.184981732,2424877.7264784253
55,2444566.6693656137,2434813.959712819
56,2442912.4636339005,2442595.0549867046
57,2479286.2053027013,2465310.534129614
58,2472765.247571092,2466368.757310493
59,2428925.0266578784,2424773.725782015
60,2455248.290892423,2456501.2875464745
61,2443143.367708401,2439236.91702075
62,2462546.4489307245,2447776.167079011
63,2409938.4053840605,2416654.0808438715
64,2445115.1219363757,2446039.5374066876
65,2481934.025313103,2471561.5914192637
66,2422779.786969802,2422424.6074220673
67,2401394.3144937498,2415480.689523454
68,2449246.468444868,2445537.818524173
69,2435027.163298547,2435186.947559921
70,2426726.5264119646,2429461.4305737857
71,2427002.202083869,2419233.869974686
72,2435384.312158007,2427241.3959445814
73,2418428.843864193,2416239.5333741596
74,2481790.211695276,2469468.8448925465
75,2435548.4826475596,2440316.51986501
76,2478286.074574168,2466275.6764633004
77,2439091.707427151,2433079.5741841556
78,2411219.914798135,2416028.935693696
79,2420426.766566252,2428880.914911256
80,2431408.1280751256,2435591.642083726
81,2427639.4227120704,2425023.3992375853
82,2446106.150525573,2442905.3269637357
83,2470180.9775866424,2461629.334345198
84,2424432.098175495,2425255.0784402792
85,2414131.20072605,2419883.0711773336
86,2425915.997520186,2431979.5538818715
87,2456592.2514963546,2454299.5180053413
88,2410677.0191216087,2413003.1762487767
89,2410451.819544528,2422006.6254275413
90,2459026.8071862916,2459091.402831177
91,2455791.853386034,2443349.0110117933
92,2440861.3079671124,2439069.129358926
93,2426469.117453117,2436056.2526977304
94,2442090.012965081,2430415.54811622
95,2430761.9296760997,2431003.028943875
96,2484599.440056235,2469448.5185324266
97,2429176.6408193987,2436822.764743264
98,2403940.0789721506,2411638.342300373
99,2424797.277530786,2430036.0379709518
