,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2614416.380888543,2613279.112387949,2618744.1296160016,2617348.9378796313,2550680.1437335387,2550608.155988591,2242305.6104355417,2244071.7161123566,2413688.439979255,2407423.875479875,1405222.7259370743,1414523.923354907,1026320.1409174629,1299754.2488517517,1132500.8709181384,1408151.0828489373,1417212.451674068,1027773.1725595962,1301759.1834622817,1139501.8488201152
1,2620848.504005706,2620256.5498992326,2628432.030607156,2630017.219392253,2481876.285034622,2481096.7199225547,2198150.1445659646,2187445.5767327067,2397253.5863257535,2393054.5133005464,1432339.2597434195,1429439.7536042617,1143894.5714209971,1357407.1203011065,1199863.4477397965,1434022.4668254426,1422831.0448411,1133731.5637906764,1359389.3674207928,1201707.8560382798
2,2616459.584370272,2617654.536186866,2632094.4872687785,2636469.90065684,2514721.8827218357,2511233.281425518,2113598.6837447067,2104417.0450377804,2389067.8464105884,2387146.2686451552,1411270.9007971254,1429685.2028373561,1281913.4362920315,1390789.7852702492,1206682.0297313638,1406628.8432331297,1427596.976895396,1276943.5505677203,1385606.2704268806,1205969.8684211741
3,2616213.888548509,2615306.9355302746,2621835.98581475,2619743.3362242123,2497992.858000745,2492394.72740293,2009545.1054252652,1999867.472445108,2368423.0072986493,2364669.219950219,1410023.6708301567,1416059.5598358759,1298326.9910883585,1359425.9577367608,1260316.7707798458,1410805.4931970956,1414055.5883630833,1284330.978541472,1352718.4352368456,1258748.0051927362
4,2616667.833896962,2614512.06344062,2631502.6147790328,2630876.6533881556,2511687.290862316,2511422.1449025096,2248228.5093749436,2251379.4726833613,2394027.318673904,2388375.978173053,1421714.6199249025,1427291.4109367223,1089871.2184111574,1372827.5694594504,1165310.2392095441,1420193.4439801562,1423099.3665836996,1096494.1007220752,1370780.2604508493,1162749.1054000598
5,2617831.887115082,2618578.7536783675,2630333.2158972295,2630764.928395464,2547419.1630847068,2544877.9029623223,2138896.6896358905,2133957.1594406483,2361889.668041791,2355738.202994503,1399096.0905240334,1429723.4481406182,1122206.6258452784,1245505.0334257598,1249365.8044986553,1403569.074526276,1432949.6165766784,1120043.3281846847,1245467.028366958,1244980.2114837808
6,2609792.573711004,2607874.41688827,2627503.0409987145,2632037.0428931285,2564814.372699918,2559432.41535683,2057380.2580960533,2053069.2841910254,2407741.674965458,2401317.1565408744,1428643.093029608,1412589.4961735092,1255860.2247132375,1212912.867541971,1151047.9649495871,1421020.1141014665,1417488.2933724038,1248998.9888925808,1210144.1033523076,1154892.1482590728
7,2609482.3895398714,2610776.0895307604,2630001.0465216367,2629809.3897440154,2481606.7836265527,2479927.9633703753,2106564.857033623,2104075.0791137023,2370699.564981886,2360262.690607354,1427470.5539569284,1433211.369620831,1144052.1133088954,1367753.9030264774,1257404.9399414442,1421205.6417701612,1429796.9768502691,1147429.8379568611,1369218.9709039433,1252764.0072306104
8,2621278.5645431327,2622385.72956259,2631991.9485532013,2632993.1640837262,2515744.293736281,2516456.7663474283,2069169.7065108835,2070955.3376177205,2384042.0202885685,2378347.924848141,1404331.090781802,1431902.9232903894,1219669.5861572425,1379439.4041750457,1228519.916956819,1409966.190825794,1431006.664061136,1203947.0183900003,1378651.9454909395,1229551.112650923
9,2615451.703337691,2613276.0191344586,2629810.040918603,2631877.2591146645,2521340.8751927773,2524292.8712425632,2147248.000518853,2141264.628158243,2394351.1534400117,2387544.7039772915,1413800.1408414936,1430242.9197036554,1183326.244381725,1282720.49403659,1192263.2397167599,1413569.2302073613,1430776.74784259,1188069.542314385,1293589.303929052,1192184.75733831
10,2614657.614239313,2612764.0349936713,2629831.151020717,2633628.4743775446,2531468.394092907,2530536.559009836,2141509.3972379547,2132454.510308783,2342050.704809716,2332526.3007618464,1405797.8321345407,1421603.2880775372,1193358.249394984,1287027.5880878642,1343956.0159171568,1404293.9217696036,1419132.1292027507,1188304.6869199125,1281096.790377007,1341764.1358999345
11,2609153.5512279226,2607313.716248088,2618792.9254546138,2615466.7129677543,2529224.1528715035,2532006.622275193,2285696.6919645597,2273032.6744351913,2387256.5142706856,2383583.0348883197,1428624.095773025,1430466.0264562494,1053981.7921629874,1289314.4899096722,1200034.2680868532,1421277.2072127534,1423768.4672706255,1042910.6739797274,1297464.7174209866,1197854.1264693155
12,2612193.330858413,2608585.966876339,2627748.501448783,2627701.5499987984,2492756.9061139654,2489371.7689131005,2277851.5157561563,2277709.9671256524,2374274.723961016,2367897.1772559956,1426143.3747453503,1429576.8552940686,1062788.9018157432,1349847.5099874728,1219836.930566658,1422052.1241162075,1426400.577814068,1073369.3014334512,1344705.2803751419,1226395.2326654322
13,2619880.229809873,2621204.2151890937,2623414.6926843366,2622644.1856903946,2521336.114208346,2519138.8192387614,2243125.9740152652,2242682.20610428,2381591.440917951,2377187.588109926,1406351.75768225,1430696.914344148,1024181.8991212841,1286593.7079547448,1213712.715504565,1412141.817388413,1421487.1627689605,1018549.8877754672,1291653.668063439,1216599.543241717
14,2618408.354754826,2615932.094772785,2624991.285495408,2624775.5396874873,2524648.2698217984,2522568.4986872934,2168299.7376924963,2159840.344643051,2399845.2887818557,2391567.4225367196,1403635.2072303477,1403552.2610431707,1160077.5475386775,1376394.0817755293,1198514.959754571,1401634.1432254508,1406727.5951136402,1155460.09630686,1369525.9285746769,1200459.1242486075
15,2613144.8197400724,2611808.8947103717,2620507.3319491595,2616715.9697940415,2520296.2522582705,2518669.377919946,2152544.0403300254,2145571.927188215,2330176.130154228,2322134.613188589,1433386.7117487558,1433411.9412785838,1151912.7140226853,1291119.40715526,1305684.8297125227,1423594.2804589109,1425087.525941015,1139462.2485145167,1289888.1267738761,1300312.2069831472
16,2619769.678329667,2621808.65937387,2630151.772942829,2630390.5067927158,2487369.8136295695,2490508.7137386277,2066846.6098007704,2060688.9967171648,2373084.802023842,2368754.063357506,1427321.461745082,1435863.4845943912,1195953.2122319932,1341226.4131622359,1244845.1627133074,1428190.0400475156,1435875.3858130525,1197677.2953068386,1337872.538274432,1243955.909639594
17,2608209.640012537,2604090.2393638124,2627136.028907414,2627032.8321747705,2532424.451453504,2533744.115836188,2110546.4512716266,2102685.3558034343,2391699.039144368,2387042.607259808,1424513.9544729306,1432586.9400721486,1224015.6672592224,1257637.5324764873,1194882.7108737007,1419398.8745080216,1429944.313487116,1206401.3976046513,1264513.8179982416,1192387.3625420711
18,2617611.4114630204,2616843.295617054,2620630.1285865726,2617515.594926385,2506764.947564237,2504729.9685280267,2133881.382744297,2129382.134619068,2381968.404525728,2376203.3088745335,1420283.1492307715,1441833.4532781993,1184799.8653407611,1332955.2713832036,1235494.3722268345,1419242.1865501232,1437803.3971957872,1165389.786878602,1326866.9689663895,1237494.5793407867
19,2611620.9691295587,2609472.613753072,2632739.9301379127,2632501.874894086,2573983.0602106275,2574616.1744679674,2227221.2996998355,2219623.2271945165,2390017.89069221,2383209.7670192793,1421505.4171186339,1435393.5348402893,1085413.6432013025,1218531.2483048867,1193045.084444058,1417009.9437541738,1431299.6755307934,1083315.0204172635,1213390.5276540632,1200154.409455753
20,2618008.356203638,2618141.8401146177,2627625.6018746593,2627195.0462555797,2501843.384611943,2497637.3745276327,2219172.863286439,2212834.1777118533,2365269.559260049,2360079.6186450254,1400156.0860079003,1432343.450936905,1125337.7233502283,1349663.8230793332,1252244.890064236,1403121.82626281,1434727.4646658686,1124272.5369840283,1346156.0608618734,1255786.4162212857
