,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2597649.347702747,2603408.398821999,2601569.7897619437,2607450.6589261023,2513834.800995054,2524772.785140116,2151566.411463758,2151473.6572285644,2359573.0199734196,2359914.001802816,1403777.0232333182,1412924.3926960859,1031691.1443530801,1310224.2373074125,1141046.2884197654,1392250.6235454357,1400968.8342218576,1029111.6763516157,1290361.537083028,1135014.831798156
1,2607100.8120761686,2611059.5548633393,2614236.818790294,2620623.300597417,2447739.683336389,2459946.4370104,2108992.3155862875,2098379.775999043,2358989.64936557,2356277.484950614,1431828.3016343084,1429499.9380973992,1143278.767423674,1354343.9742775185,1210206.8780789506,1423527.594093273,1419576.3380651646,1142809.0350515568,1346433.98271483,1199028.9876508235
2,2599674.2357407445,2608074.2377519202,2617816.1704957876,2627569.782706717,2495785.6065233722,2505817.1933386847,2049477.376476397,2034356.6556613897,2342387.027042171,2345301.097404694,1406322.6077999438,1425438.7527054134,1281493.1020447034,1391683.6162648676,1215173.7815296433,1395952.2529044054,1424823.7839021357,1282262.3771596246,1377898.683399644,1210179.643284291
3,2597204.3212406915,2606371.61609784,2603694.7822494386,2610199.3164124796,2467126.6179272467,2475270.8473983,1923467.4930151713,1911668.0374703603,2333040.418536674,2335423.643575933,1404527.3925033635,1414895.2616002024,1301088.5562443023,1360785.8168582348,1265027.6947626437,1396251.8211348378,1407362.1528251846,1275339.4879091925,1340573.5678227965,1248190.6650704658
4,2601143.7715762476,2605839.917304041,2614511.0169337615,2621850.349926235,2489018.8719411194,2502491.1741791246,2168569.0697496384,2171019.107598628,2339393.6426292183,2340692.432843524,1419572.0814811317,1423185.2263991581,1094473.4455521635,1379151.9035863776,1174155.2505054292,1408044.2340901087,1417546.4945826891,1097100.0616771618,1360480.9045485917,1154270.216147285
5,2599886.4647593936,2608424.6001004097,2616177.025408569,2621556.5635651564,2505514.167488425,2521076.932114599,2043504.6391854524,2042556.4221886175,2331139.719036539,2326345.850304961,1394048.7354320353,1428949.6102793047,1127257.0625598659,1243025.7076920853,1246701.7005073219,1392776.5367327894,1415551.7386987503,1131854.9200969716,1238275.8161379974,1239083.8443410909
6,2595226.51056664,2600777.20233016,2613008.107244282,2621741.0583899003,2515349.5645652907,2527228.3781513004,1976482.902388662,1968678.5205706398,2352463.1252037575,2355819.852334141,1424444.2928237082,1408668.3031709716,1258640.9095601598,1212205.2696978517,1156708.7407996687,1414541.5291096158,1404059.7438382164,1235689.281480237,1202365.453157432,1151836.7627762426
7,2598201.2539542485,2604471.053385255,2614010.3288609823,2620224.842342498,2454091.3048203555,2466301.4380741036,2013914.2609635275,2013080.4010801353,2331681.797803296,2329441.4158892906,1424315.9674542164,1432920.4448701933,1149102.550023483,1365684.7251779656,1253690.0721285914,1412902.3987812342,1421097.4060925946,1147804.5942445816,1353922.0757220162,1244762.0539132957
8,2605498.8222004487,2611952.9041148266,2616206.5192623474,2622744.2397461357,2494830.7354990374,2508004.3404754684,1973306.3788774419,1972670.2296779398,2342871.827545743,2344904.52056966,1401823.6811493142,1431816.8706232847,1219498.090024626,1385204.00217846,1233241.6457262402,1398515.4589761773,1425176.9370916076,1212150.7289028254,1363777.1737512117,1217148.70358405
9,2598913.7126595075,2606551.2112882286,2612873.696935718,2621828.5779557666,2484570.8348264853,2506332.365279846,2063564.4553548023,2060425.994661181,2347784.835252532,2346578.4266608683,1408814.903328039,1425997.2615132304,1189647.2873091232,1279685.6088161587,1201466.2513368863,1406449.1006866612,1423695.6963214197,1183431.5379050982,1287918.4881466608,1181721.8669009586
10,2595164.03573283,2601849.6736001787,2614765.517386757,2623724.1692862525,2499724.5295036044,2512714.8517257133,2053139.747345661,2043083.7501557684,2318045.846255605,2314331.1588238776,1403885.639923991,1417453.5065803933,1193139.7632365257,1287093.9330914326,1342525.6584252685,1390759.2513156803,1417172.9485020132,1184437.5757342502,1277333.2487900408,1327632.8766032453
11,2594047.3651866983,2599757.7726937253,2601527.6914884136,2606487.6282388456,2494770.2764159706,2511734.015529953,2189719.5960183823,2177590.305945632,2339372.1939854515,2341256.055422942,1424426.0875086435,1428878.0333461864,1051630.3627569284,1295036.0153854068,1208864.2121978933,1414996.0000509662,1410014.3077614917,1042715.137994029,1286136.2925668876,1188613.278296059
12,2595778.015434229,2601122.8791964906,2610806.4568314096,2617724.8617208987,2456804.0575967515,2470163.5672034086,2194437.6197067043,2197837.1164501957,2335725.40175864,2335798.5813913024,1421484.5433884524,1425471.4626980224,1069222.311915695,1348019.3165887292,1221606.2749193045,1411551.4920008478,1419892.462235687,1080322.3931317353,1338418.1147343332,1214746.0376225498
13,2604682.8515965776,2610737.868064696,2608115.801248526,2615296.0809373586,2486781.7125513814,2501328.206346279,2147329.1470211563,2148247.69558711,2332831.4233758813,2334746.98962724,1406198.0491514995,1426057.5170644538,1027372.370894172,1282876.0985214268,1222962.81277086,1395002.9992568092,1415202.9048682754,1028554.2611757208,1279922.0416087597,1209258.188355657
14,2599738.7361035626,2606221.327399185,2606340.853203077,2613209.256826008,2506035.7373545244,2517524.2323355055,2082396.725219769,2071821.6905093433,2353852.3736464153,2350295.88118798,1399607.8503977563,1402470.075068733,1159574.9116638405,1374039.4180699605,1206827.766542049,1390409.3041019968,1398539.034227078,1153216.169943056,1362236.7212101098,1187933.9572076984
15,2597918.95454723,2604954.3327116673,2603414.191205939,2608237.386365434,2475331.172414167,2488067.0318141766,2073153.6662678784,2058180.6216902048,2295844.277226379,2291793.073907694,1429525.4707665113,1431808.5256625568,1154427.9963864423,1301577.0301074288,1304331.2419071668,1416421.4977465405,1418042.702671214,1143208.5484151714,1283260.515468156,1294228.839774861
16,2607802.204796097,2612548.928038017,2614101.0999065177,2620799.570428932,2453914.220925552,2472803.609499936,1968612.9335601733,1966960.1310182363,2333377.127679902,2335450.470641868,1426825.9261419347,1431942.7493180821,1198940.6991606737,1339684.8872257418,1251051.9326911953,1413563.4074471544,1427308.135399563,1201847.4056117344,1332502.7699902693,1240455.828503142
