,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2612675.169315197,2612675.169315197,2615451.2805621335,2615451.2805621335,2539723.7752417685,2539723.7752417685,2244041.4650731403,2244041.4650731403,2398125.63892773,2398125.63892773,1416684.2522293623,1424806.864245568,1034277.921456533,1300781.8360876746,1127303.9461956052,1416684.2522293623,1424806.864245568,1034277.921456533,1300781.8360876746,1127303.9461956052
1,2616668.741646872,2616668.741646872,2623928.097816728,2623928.097816728,2475724.2592983497,2475724.2592983497,2197843.7357885763,2197843.7357885763,2384534.837106935,2384534.837106935,1445378.5784368045,1436271.2045749826,1126684.5984814682,1363074.183489594,1211922.5400822905,1445378.5784368045,1436271.2045749826,1126684.5984814682,1363074.183489594,1211922.5400822905
2,2617295.0231533977,2617295.0231533977,2630600.3396908576,2630600.3396908576,2500767.950067999,2500767.950067999,2113376.992144917,2113376.992144917,2375808.465419872,2375808.465419872,1415738.2480672288,1433667.3103664666,1288217.8594631406,1401237.9370726547,1201109.876019401,1415738.2480672288,1433667.3103664666,1288217.8594631406,1401237.9370726547,1201109.876019401
3,2612885.4325836212,2612885.4325836212,2618709.3752597934,2618709.3752597934,2486357.6074143983,2486357.6074143983,2006378.506931958,2006378.506931958,2353420.9006932797,2353420.9006932797,1418355.127196069,1425512.2354164291,1301561.1135143975,1371729.417656758,1264183.0019166442,1418355.127196069,1425512.2354164291,1301561.1135143975,1371729.417656758,1264183.0019166442
4,2608855.9378356296,2608855.9378356296,2625448.796193356,2625448.796193356,2499712.1722111376,2499712.1722111376,2250065.839965517,2250065.839965517,2376330.6427467847,2376330.6427467847,1434734.0362247708,1433553.469235569,1101521.8607671158,1383135.0429294242,1170316.2843161968,1434734.0362247708,1433553.469235569,1101521.8607671158,1383135.0429294242,1170316.2843161968
5,2619046.001737604,2619046.001737604,2626122.6335490923,2626122.6335490923,2538387.1057863953,2538387.1057863953,2138809.085585999,2138809.085585999,2350858.2373580122,2350858.2373580122,1406307.807517614,1441135.6158689437,1122199.4875393424,1241707.2648107158,1249308.1191078196,1406307.807517614,1441135.6158689437,1122199.4875393424,1241707.2648107158,1249308.1191078196
6,2605018.7757679177,2605018.7757679177,2626482.9947106317,2626482.9947106317,2558163.209827726,2558163.209827726,2051918.5087642814,2051918.5087642814,2391687.988053425,2391687.988053425,1438606.6654700318,1420375.947259977,1264119.3848963473,1210991.5627611238,1151720.883315182,1438606.6654700318,1420375.947259977,1264119.3848963473,1210991.5627611238,1151720.883315182
7,2605324.019181151,2605324.019181151,2626137.9103122354,2626137.9103122354,2473608.0773952194,2473608.0773952194,2107721.9254810405,2107721.9254810405,2352384.7847349923,2352384.7847349923,1437313.2414079306,1442496.5647563846,1159985.7354569354,1374085.3506252556,1261063.9684787495,1437313.2414079306,1442496.5647563846,1159985.7354569354,1374085.3506252556,1261063.9684787495
8,2617215.2948034033,2617215.2948034033,2629425.5125025986,2629425.5125025986,2504731.2369124265,2504731.2369124265,2072559.4532978619,2072559.4532978619,2367588.989939915,2367588.989939915,1417850.2436488185,1439023.4172996345,1195118.9253021295,1389699.8929210138,1226330.6214991366,1417850.2436488185,1439023.4172996345,1195118.9253021295,1389699.8929210138,1226330.6214991366
9,2614506.6724797757,2614506.6724797757,2627169.3858824186,2627169.3858824186,2515687.1340553365,2515687.1340553365,2144896.0240098396,2144896.0240098396,2375519.3391032796,2375519.3391032796,1423820.9706947918,1437681.0750761395,1198423.623959264,1290270.384400296,1191957.8432125566,1423820.9706947918,1437681.0750761395,1198423.623959264,1290270.384400296,1191957.8432125566
10,2612932.366361113,2612932.366361113,2628503.262063058,2628503.262063058,2523745.113687427,2523745.113687427,2142291.2788523594,2142291.2788523594,2319990.56143188,2319990.56143188,1415967.436587406,1423873.6360238781,1194197.4545993141,1289474.0084642845,1347947.9404630654,1415967.436587406,1423873.6360238781,1194197.4545993141,1289474.0084642845,1347947.9404630654
11,2604334.1655798405,2604334.1655798405,2613338.5330760134,2613338.5330760134,2523607.8435591403,2523607.8435591403,2286120.9621831896,2286120.9621831896,2370269.105254138,2370269.105254138,1439087.5948751585,1438077.648516261,1045084.9548426953,1296446.49260183,1202387.3810025603,1439087.5948751585,1438077.648516261,1045084.9548426953,1296446.49260183,1202387.3810025603
12,2607699.750705994,2607699.750705994,2623389.205205612,2623389.205205612,2483334.4404516974,2483334.4404516974,2276851.4321307894,2276851.4321307894,2362931.3615316637,2362931.3615316637,1438346.1243287318,1437562.8823221142,1063909.1908133004,1354978.8464939557,1223798.7257427243,1438346.1243287318,1437562.8823221142,1063909.1908133004,1354978.8464939557,1223798.7257427243
13,2618769.450090521,2618769.450090521,2618818.171831683,2618818.171831683,2515122.4794706875,2515122.4794706875,2243281.6034052875,2243281.6034052875,2365637.7795128454,2365637.7795128454,1417213.7512044492,1437713.3268273587,1029160.4935893251,1292971.8298421637,1214472.3766932127,1417213.7512044492,1437713.3268273587,1029160.4935893251,1292971.8298421637,1214472.3766932127
14,2613035.7024853746,2613035.7024853746,2624800.9364936,2624800.9364936,2511705.8797373176,2511705.8797373176,2168958.375331279,2168958.375331279,2383284.465244148,2383284.465244148,1413323.3301083404,1412817.1373381752,1157840.7525075008,1383754.332835409,1196879.5610058892,1413323.3301083404,1412817.1373381752,1157840.7525075008,1383754.332835409,1196879.5610058892
15,2604943.5355050387,2604943.5355050387,2614849.9401937937,2614849.9401937937,2513738.043327986,2513738.043327986,2157979.935735271,2157979.935735271,2314219.4532585302,2314219.4532585302,1449031.1276071551,1441567.72738662,1147812.1551592902,1299209.0000372897,1307389.8186760915,1449031.1276071551,1441567.72738662,1147812.1551592902,1299209.0000372897,1307389.8186760915
16,2616961.821489431,2616961.821489431,2626812.8464691043,2626812.8464691043,2482588.0997090572,2482588.0997090572,2068756.9758470617,2068756.9758470617,2358444.6422341904,2358444.6422341904,1437549.9339538529,1446996.4885338212,1207523.1498736804,1340239.345586921,1242913.3831721542,1437549.9339538529,1446996.4885338212,1207523.1498736804,1340239.345586921,1242913.3831721542
17,2602709.5167241143,2602709.5167241143,2624216.6495377747,2624216.6495377747,2525996.6541632656,2525996.6541632656,2105491.8368452545,2105491.8368452545,2375973.88540267,2375973.88540267,1437919.0194296965,1441472.1898837513,1228618.972309462,1262879.3715358698,1196274.0978506613,1437919.0194296965,1441472.1898837513,1228618.972309462,1262879.3715358698,1196274.0978506613
18,2612798.338156525,2612798.338156525,2613980.452642767,2613980.452642767,2492244.1322014024,2492244.1322014024,2137817.758632773,2137817.758632773,2362272.1544022514,2362272.1544022514,1430527.344340595,1455686.6383432387,1160018.0083149413,1336158.3589069662,1243209.685385928,1430527.344340595,1455686.6383432387,1160018.0083149413,1336158.3589069662,1243209.685385928
19,2608460.2659321018,2608460.2659321018,2627766.4136948846,2627766.4136948846,2567933.1696434077,2567933.1696434077,2232588.1237047813,2232588.1237047813,2379509.1793475016,2379509.1793475016,1428554.4181669038,1443352.7334377896,1078514.6155541905,1215006.9612801105,1188065.68608638,1428554.4181669038,1443352.7334377896,1078514.6155541905,1215006.9612801105,1188065.68608638
20,2618304.009945762,2618304.009945762,2622276.854495572,2622276.854495572,2494526.7027195287,2494526.7027195287,2222843.8272010414,2222843.8272010414,2346692.7975559686,2346692.7975559686,1410262.465484746,1446018.0079336069,1110564.7929071183,1357884.581229142,1264522.7148737374,1410262.465484746,1446018.0079336069,1110564.7929071183,1357884.581229142,1264522.7148737374
21,2609532.9177677566,2609532.9177677566,2623428.1170064574,2623428.1170064574,2531724.6819072226,2531724.6819072226,2252939.940716465,2252939.940716465,2342868.3982622246,2342868.3982622246,1422758.5543746955,1433860.5340829103,1232169.743773047,1285744.962668016,1265165.9157295048,1422758.5543746955,1433860.5340829103,1232169.743773047,1285744.962668016,1265165.9157295048
22,2618001.378384175,2618001.378384175,2624141.5970701072,2624141.5970701072,2534216.500772098,2534216.500772098,2250915.0588074196,2250915.0588074196,2348138.435048748,2348138.435048748,1426673.5524615126,1454393.2671715731,1132913.8838750098,1319215.6795380572,1240873.6225379666,1426673.5524615126,1454393.2671715731,1132913.8838750098,1319215.6795380572,1240873.6225379666
23,2600904.7647355665,2600904.7647355665,2623885.219707329,2623885.219707329,2504499.3301976016,2504499.3301976016,2088985.705674197,2088985.705674197,2347709.2727631344,2347709.2727631344,1444135.2458064156,1434686.0368473295,1254394.9132651305,1409289.4042136467,1267246.642191121,1444135.2458064156,1434686.0368473295,1254394.9132651305,1409289.4042136467,1267246.642191121
24,2610463.370181749,2610463.370181749,2624929.8498459505,2624929.8498459505,2535470.547585751,2535470.547585751,2040393.3480908405,2040393.3480908405,2374193.218097984,2374193.218097984,1424603.1494391146,1444104.8770313025,1260297.6872444728,1228954.8643343789,1196723.4565393867,1424603.1494391146,1444104.8770313025,1260297.6872444728,1228954.8643343789,1196723.4565393867
25,2622196.3747167652,2622196.3747167652,2626623.4400113914,2626623.4400113914,2531469.40720745,2531469.40720745,2147736.4559254847,2147736.4559254847,2371466.233364992,2371466.233364992,1418191.7120637689,1442892.281037803,1132758.2143274639,1279588.7967636276,1235331.0012410297,1418191.7120637689,1442892.281037803,1132758.2143274639,1279588.7967636276,1235331.0012410297
26,2620201.204045533,2620201.204045533,2627167.7238555606,2627167.7238555606,2523163.6030830964,2523163.6030830964,2225151.06646337,2225151.06646337,2379778.274961775,2379778.274961775,1421063.918911425,1433550.3418322105,1158671.1163077117,1305199.9665232592,1205386.0167679244,1421063.918911425,1433550.3418322105,1158671.1163077117,1305199.9665232592,1205386.0167679244
27,2614441.373839109,2614441.373839109,2623337.2141957353,2623337.2141957353,2540970.3139635166,2540970.3139635166,2228857.8859519707,2228857.8859519707,2322308.9983661557,2322308.9983661557,1434253.8212650067,1430241.9334859462,1041797.9109736233,1294280.0031693375,1306418.5910360976,1434253.8212650067,1430241.9334859462,1041797.9109736233,1294280.0031693375,1306418.5910360976
28,2623723.672363951,2623723.672363951,2614303.5508486833,2614303.5508486833,2532506.3935264647,2532506.3935264647,2102624.1316170674,2102624.1316170674,2387313.9344853293,2387313.9344853293,1414911.6596058086,1457946.7049300806,1217577.8623671841,1307839.0257493146,1193454.5589510708,1414911.6596058086,1457946.7049300806,1217577.8623671841,1307839.0257493146,1193454.5589510708
29,2613645.2461003643,2613645.2461003643,2625122.8299310235,2625122.8299310235,2532440.272212114,2532440.272212114,2251686.5129806544,2251686.5129806544,2341535.3118053526,2341535.3118053526,1421551.8333752342,1443430.9998892664,1254369.4263362319,1278678.6334258183,1247726.7856524694,1421551.8333752342,1443430.9998892664,1254369.4263362319,1278678.6334258183,1247726.7856524694
30,2610930.8669555243,2610930.8669555243,2621449.366509784,2621449.366509784,2544547.178564579,2544547.178564579,2321785.7313793907,2321785.7313793907,2377361.654725381,2377361.654725381,1413381.6791406658,1453452.0757627,960249.0509806793,1252198.0037860724,1180149.504425165,1413381.6791406658,1453452.0757627,960249.0509806793,1252198.0037860724,1180149.504425165
31,2610558.306559337,2610558.306559337,2627233.5426524263,2627233.5426524263,2502010.369308722,2502010.369308722,2224710.5058704186,2224710.5058704186,2334947.1255597062,2334947.1255597062,1425518.350965702,1438575.9832999043,1147330.1542742269,1355453.881524403,1295312.518185381,1425518.350965702,1438575.9832999043,1147330.1542742269,1355453.881524403,1295312.518185381
32,2615008.573388764,2615008.573388764,2628256.1878295755,2628256.1878295755,2527098.7925403262,2527098.7925403262,2245760.1583382115,2245760.1583382115,2397202.2552832738,2397202.2552832738,1411050.886374338,1440743.165327671,1076514.196380007,1268324.5516043615,1159222.6027728508,1411050.886374338,1440743.165327671,1076514.196380007,1268324.5516043615,1159222.6027728508
