,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2646912.080966979,2651136.796750632,2649643.6192647787,2651503.847876643,2588075.931528255,2583773.7432111423,2295256.7394983736,2298490.9545965493,2445745.4418882513,2442984.842023629,1611107.1242808928,1614710.3104927929,1170615.4491093329,1497588.9055213484,1318123.7249809396,1605303.2082165787,1609876.9425449853,1170094.671056332,1500327.8553083064,1323233.4929062075
1,2644283.08202894,2644621.3826510618,2649225.202200819,2650398.898285071,2524901.9618773097,2518926.784277007,2233919.678830422,2231553.511522948,2420725.025693866,2418717.5316280765,1645890.2635091732,1642914.6620387898,1282911.267058114,1552762.3750323092,1399376.086998189,1638650.3034045012,1636307.3745132245,1281710.3889300912,1547465.3269183347,1405091.267834472
2,2652189.132624942,2657430.6636145064,2652049.0506161936,2654784.520279352,2543862.751397527,2536599.085587159,2117565.0534597896,2115758.4676946867,2420511.3677919344,2418252.3351024743,1612489.0150974863,1643147.5632223203,1458112.24076732,1600583.9850460065,1403094.4975759524,1607210.3600859318,1638899.0477137165,1455781.7799120229,1593790.7746519824,1408775.7040864765
3,2646958.679420234,2651671.811039673,2649434.153216341,2651718.7627106323,2548502.527235311,2538917.8905214285,2025402.9439681817,2022642.4057871532,2397467.9867229047,2393961.313874858,1614554.1630072722,1618126.8604844797,1449716.4251636527,1561127.9433621918,1463725.5811123198,1612222.0408062127,1615680.6834930943,1440744.4289475782,1549273.7086332731,1462310.995110881
4,2647443.3484412455,2647018.919891159,2651777.678528464,2653314.3830222306,2545469.1337920073,2539513.3802546384,2300839.73646162,2300087.953966431,2426081.3031508727,2422073.99962103,1631680.332902855,1638270.0019353877,1243967.9557578648,1583571.972243671,1363703.5856485798,1622893.8759372535,1632987.2367955055,1242284.3455366106,1580538.0089642135,1364394.2978776945
5,2654777.8671415346,2658735.034896196,2649166.4182545175,2648818.409554888,2593893.6172835166,2586728.373434713,2186454.158845051,2186324.488439014,2397972.4788493644,2392124.0089376755,1596536.4109253949,1643287.7264608943,1274940.1589111197,1435160.7541565362,1443893.9815913811,1595238.2441282433,1636252.9857132877,1269014.365142853,1429663.859008107,1439841.4458337785
6,2643693.03207628,2646465.319643175,2651089.2831762503,2654494.1585111045,2609702.0942558534,2604141.245587012,2094741.4814029885,2091558.9942112765,2440270.997094824,2437240.859464366,1629638.8307023456,1621576.71131898,1412324.341523884,1403002.42532492,1338625.5879371515,1621845.010801575,1617330.8880137603,1401442.7323769669,1398301.5278821453,1344587.3248638897
7,2644901.125438564,2647347.7772596236,2647806.313397688,2647862.2961902046,2530215.898358083,2524591.2307680063,2161462.578061186,2160621.6768934615,2407841.798824054,2399352.0734159546,1632311.7940225813,1649206.1215418065,1301782.3202646866,1557735.4276705806,1449229.724504894,1622811.321107112,1643445.1822498455,1295571.6687878172,1546206.4037943676,1445540.278474532
8,2649562.2412550785,2650300.4223653777,2650149.61246102,2650685.080278191,2544954.35466808,2539684.172177866,2085111.0581852812,2086147.0303140678,2418574.582059589,2414375.4660588526,1614720.1086901186,1647358.8128149982,1354851.8083147127,1587780.0567424411,1416100.9438417566,1608567.2077375175,1643650.0316212764,1349528.5096160446,1584749.1444819039,1415967.6501083665
9,2649782.2728286125,2653245.3941428806,2649248.9807148757,2651095.5800411343,2572977.239924862,2569773.9962657737,2164593.0286227986,2162548.9052822758,2424633.9817244196,2419951.876081146,1612410.182776962,1643166.276177998,1351636.9102062723,1480179.1203866552,1380495.6875628605,1610971.4411886926,1640039.7891213694,1351454.151422813,1483017.6609585185,1383471.6688390065
10,2650034.5660086917,2653341.0945026036,2653086.985925665,2656069.464121304,2572998.3950949106,2567166.4011982377,2193450.3258030275,2189267.4172604987,2375344.964591952,2363740.494416635,1604620.4597826602,1631590.5106880611,1335946.752016631,1486694.5968429535,1539451.2565677343,1599305.2809383604,1627505.7666139714,1335070.9060729034,1482107.2504285227,1528533.2578720152
11,2643051.4202758176,2645914.1496407003,2648192.6807868513,2649327.047781566,2569581.465605083,2565246.034294403,2301260.5771093285,2299513.4482264845,2424248.9602973033,2420308.1972454553,1629557.243980752,1632722.5485937463,1195326.7730057673,1490561.692754378,1393047.4201708278,1622084.2808950318,1625371.4718970906,1199202.4487242491,1490673.252885956,1396743.8011034604
12,2643108.0934286304,2644778.7827797886,2648433.4662213093,2650135.714993067,2537742.3360654297,2531077.7799564446,2304818.3978376416,2303111.716062911,2407536.957295309,2405430.1661166386,1632089.0784705156,1640501.322927418,1215518.2254301722,1545399.3504475832,1403455.6648553447,1625118.3920877844,1635352.0320301284,1214879.7697343559,1539101.9975338876,1410024.1073933388
13,2646700.12514259,2649823.5624227664,2649453.4509847974,2651294.9103984623,2576784.95624229,2571086.98942779,2301479.002835419,2303987.3860027436,2399391.22895719,2396114.167435752,1616651.1137810643,1639512.5874319165,1171168.4516950299,1482436.8574002942,1405221.0138798403,1612278.3081705384,1630714.254800783,1171666.1079708033,1477522.5295559154,1408869.0091540385
14,2652230.5335643655,2654279.234163629,2651065.676960148,2654525.0909245494,2556051.5180422207,2549147.1167026684,2211039.6702175634,2207916.7738262257,2437257.7930720802,2434257.702899922,1604569.7874823706,1610053.735510539,1304349.8504594332,1584104.8182887721,1391032.7128262422,1599066.0323641454,1610595.9152904153,1302751.7628169425,1577877.6133956742,1393884.7986150042
15,2645105.875324809,2649606.1499028145,2648971.324456855,2649748.367672032,2563046.3748824866,2561727.133861745,2205578.180105699,2204409.1340287747,2365722.677448583,2358280.1699440917,1639815.6408918009,1636393.132116595,1302841.069694148,1482702.6714876303,1499757.572820638,1630318.4889372548,1628826.2620892327,1304012.3135741495,1483833.9084592385,1492928.0647071141
16,2645065.61405734,2646741.135889897,2646861.8486329676,2648386.4841806153,2538682.646566474,2535009.7011858737,2098920.944182568,2101407.379367314,2396130.9535560813,2393970.7908856403,1640524.4476194263,1649039.4170700458,1357361.2359931876,1529860.9871671211,1441338.3674815188,1632431.4240255079,1644997.4762563144,1357310.9673089152,1528618.676722249,1447926.1684727208
17,2642558.8967895936,2644333.8984323116,2647455.549274491,2648950.3475838182,2575873.4128634557,2569742.0613995474,2172484.2085762816,2170122.5471860827,2427201.9448697306,2423580.3201603927,1624183.2728955348,1643725.593079381,1373903.6507214236,1447315.8230658877,1380925.2540879059,1617913.5684427118,1638366.0416826236,1368795.0488503259,1445833.1054652578,1387510.4675591209
18,2643566.109369468,2646005.4420313514,2646068.6369360415,2644437.6627685297,2556108.0525534404,2547332.074486219,2171005.909119962,2168464.106155458,2404229.5266346717,2399100.062232742,1630295.4364287104,1652060.2375069782,1327420.2237627527,1534363.8968279683,1430134.634220884,1624622.011046673,1641522.4971480563,1318066.2289378315,1523438.6122381,1431057.35247567
19,2644702.017222814,2647972.586041223,2649141.277372117,2649217.508939776,2618952.1410824535,2618115.0592170907,2254826.836036332,2254986.5035397816,2421249.2409515353,2418991.6634363923,1624874.911623132,1651993.067251591,1225118.5824821645,1414238.4147370546,1387550.458021853,1621187.7145787703,1646086.248316524,1225925.2053048403,1418402.60699312,1390326.242652639
20,2652974.2882154454,2656514.206159454,2646808.6113782153,2646312.0953312065,2545300.1409979295,2538491.2953656972,2247039.8268776042,2244671.6672497396,2392017.5017648404,2386559.5019666203,1598691.2206606858,1645372.4182842886,1258047.2826878245,1545939.7554875514,1449826.3892303363,1598543.8147067586,1638034.4654944045,1259440.2632999523,1541452.1729968528,1452454.041238354
21,2648328.2878561905,2651473.1135106105,2650928.8060699357,2650440.929202904,2585341.233135909,2579322.947367916,2262341.7650353564,2260638.17680712,2398400.9960913304,2391623.570659071,1614070.28948584,1632000.707135966,1408936.9924184647,1473778.1466840587,1460510.0627243842,1608917.8250747568,1624978.686229964,1402187.7567226025,1471400.3784066911,1458503.353063795
