,min_MAX_NPV_unsolved_LL,MAX_AVG_NPV_unsolved_LL,min_MAX_NPV_unsolved_HL,MAX_AVG_NPV_unsolved_HL,min_MAX_NPV_unsolved_ML,MAX_AVG_NPV_unsolved_ML,min_MAX_NPV_unsolved_LH,MAX_AVG_NPV_unsolved_LH,min_MAX_NPV_unsolved_MM,MAX_AVG_NPV_unsolved_MM,MAX_AVG_PV_unsolved_LL,MAX_AVG_PV_unsolved_HL,MAX_AVG_PV_unsolved_LH,MAX_AVG_PV_unsolved_ML,MAX_AVG_PV_unsolved_MM,min_MAX_PV_unsolved_LL,min_MAX_PV_unsolved_HL,min_MAX_PV_unsolved_LH,min_MAX_PV_unsolved_ML,min_MAX_PV_unsolved_MM
0,2626718.994715813,2628231.3817332014,2629660.781048105,2630034.304197794,2519091.855630216,2521826.8425964112,2105219.0416950146,2127642.5777031477,2339176.8287018696,2339962.8740942897,1604023.7256262929,1607363.7360411892,1178146.931956401,1492162.0478865092,1316557.5788625767,1599119.3519115509,1603574.0768854567,1159161.4747355985,1488360.3944160882,1315699.8906947877
1,2628265.133005156,2629058.697126288,2633657.810939756,2635431.050199384,2456668.34482921,2457576.3213040605,2049123.616764864,2068204.4950608541,2331730.183346697,2330156.3452599924,1636382.1217294014,1633768.2824789716,1291623.3310565716,1549376.9251498133,1397701.0651431545,1631320.183963751,1623157.537970087,1275067.764695292,1543187.3153955434,1396319.0287415844
2,2630601.633235936,2636024.732968148,2633411.0407827287,2639121.1326701427,2506548.301310408,2507995.933848869,1981553.914269336,1992574.310555593,2328849.4790071403,2324867.005595276,1604649.9219100557,1634208.827006545,1456549.1533182813,1591640.137960373,1401604.4529527968,1597622.5188874283,1633067.8537269866,1451743.1635449387,1581619.8092035432,1400334.5433716062
3,2627003.4046441983,2631535.317775693,2632110.40670989,2631874.7709673955,2490627.5249038786,2477776.305114719,1845890.7986855917,1855839.7616812154,2321341.8191470546,2311111.992777723,1606796.0901087585,1610712.0796604496,1446757.4043203234,1554705.5629817124,1461218.7538181779,1603286.1047627402,1603319.3164966898,1429371.411854821,1537346.668147434,1449159.2832096387
4,2633574.298279444,2635582.058771575,2635268.474685308,2636852.3154895687,2503012.763455271,2507611.120214104,2133288.516537003,2145005.2726286394,2319249.35826987,2308763.1573874545,1619430.828452846,1629227.0582661703,1239192.635100866,1573883.1815270192,1360301.660667425,1612661.0716415718,1622682.9179043616,1241858.5165584697,1565640.1900494348,1350202.2331777904
5,2632394.1050338023,2637774.6592718232,2631719.398650207,2633249.249880636,2514699.59834,2514474.073370508,2005748.7020900392,2024703.06415059,2319444.466276324,2320197.071766642,1589229.1787907763,1633768.989553984,1279769.292705545,1433169.133985343,1442692.1211974572,1590732.1696449032,1629873.250854545,1261530.0030452895,1423627.9630584628,1432419.3502393502
6,2628813.5606258395,2630590.315507532,2630792.710854725,2636100.121380899,2512693.464972436,2513649.9939516634,1929385.7854371457,1944973.864270181,2333537.010135851,2323290.343815504,1621797.9501532945,1611672.0901454624,1419265.8656915047,1401092.934095994,1337133.6045128426,1611021.1555722496,1612719.3321939146,1390118.0888924117,1393473.2328703704,1337286.9682765296
7,2634120.766524258,2639329.6234344244,2632131.456416938,2631937.119191154,2474903.964238375,2475370.198531368,1983053.7467696648,2000538.584448638,2328293.604804379,2314417.6986526046,1620967.1215062526,1640114.1799013708,1306074.23009563,1552762.4817234485,1446534.3320081355,1612695.6207478326,1630556.0080778012,1284771.9545689141,1542547.0091068258,1434476.416209168
8,2629901.941664342,2633002.0866935044,2632889.7989175348,2633654.937547497,2502328.611910302,2507594.5334956516,1873258.3054382054,1893221.2103690435,2332113.910283253,2334465.7044057227,1603130.4728345731,1638686.4251522748,1365205.2891578735,1579004.7487136442,1413543.8449404256,1603036.1683002973,1635519.570731652,1347720.4608220244,1571227.40192522,1404028.5907016166
9,2635171.283076382,2637910.7474245,2628981.6059581465,2632958.953002325,2507521.42685412,2503949.0369156743,1992198.6266132426,2009173.1013922202,2331402.8839671654,2331015.4512445256,1605034.3861718823,1634368.9087846286,1351236.8945167686,1477459.3650898994,1377030.6442427277,1601595.9852665553,1634404.0019249108,1339363.541064904,1477795.4439725187,1370032.1051068413
10,2626716.1822956316,2629061.993229675,2633320.3889210816,2637880.183511067,2505378.0285761845,2505891.344354147,2011061.6219144478,2030972.1168065048,2320503.0212908573,2319738.0160549036,1597890.7106356674,1622819.5992042683,1344690.5560976712,1483812.953954751,1533287.4811694562,1593204.2730513425,1621726.6762709399,1327537.0639250632,1470534.728409987,1519922.282330394
11,2627169.004724251,2629123.372651588,2630486.814801899,2629636.0598701783,2500730.8278713683,2507620.4597833166,2092441.8743909008,2108389.7339679166,2330449.312965678,2325642.021993117,1621716.363431701,1626020.8464376032,1199194.9753326268,1486258.7910574374,1389658.4814307874,1611260.4256657064,1613979.9453640287,1189923.944960224,1481689.7641083193,1381790.1394953604
12,2627553.23337768,2627319.7120283768,2629840.5140811484,2631603.2757424857,2470813.0731571587,2468987.66462815,2134248.764154477,2147555.072370731,2320624.0734011093,2325314.26730427,1624276.974835365,1631597.2402159832,1225974.0961795978,1542430.228179624,1401754.2768948697,1614368.2986216946,1625042.1330474885,1211848.8692959957,1529307.8076039709,1404591.896489067
13,2627770.0815451154,2631712.2041546153,2632685.847560348,2634590.724119822,2510944.2079057847,2504628.215504242,2113147.573408435,2135442.3576409137,2300702.023469398,2301015.939910781,1607179.706940371,1632204.775219357,1181152.6070503811,1480232.3573307458,1402813.134762664,1605561.428742406,1619252.560987174,1159629.978442194,1472057.5794351923,1401158.516716463
14,2633322.6579145575,2635330.422759122,2629277.0378458193,2630527.643294316,2516065.4745746916,2515760.6198211294,2029938.8142396146,2047518.0953937408,2346443.469469203,2338988.5388289574,1595691.7708655247,1603120.4040743003,1312278.7074949834,1577430.3552766184,1388527.0503230153,1588922.0140542504,1602478.8828741484,1292800.4001635879,1566720.0121042212,1380682.4833311178
15,2630628.5616071406,2632184.5569157656,2632679.7625850765,2631147.0167227676,2481088.377051025,2483935.026889966,2040594.0528337844,2058778.0681146327,2288092.4455522876,2288424.118744637,1634651.9823576529,1629691.429960452,1312393.238542421,1480497.112863608,1496906.224653149,1620250.8205042135,1616484.350974163,1295433.2437866812,1471004.664095216,1485518.0905884805
16,2628116.083659794,2631496.205129087,2629583.233454464,2631403.433422436,2473661.243498375,2480301.141275071,1905490.6490884197,1919046.4806415786,2312840.585531709,2312973.679575322,1630874.9546451631,1639350.7877469247,1355951.9561945722,1526934.006087653,1440919.6248992034,1625849.8120945012,1635053.9137538613,1347895.6157355905,1520920.6906806317,1434157.4007053229
17,2626491.4566308265,2626140.0464215605,2629474.9146837215,2631246.697799946,2485687.8769597188,2484820.573749693,2029248.647036877,2038400.922778173,2342284.255432236,2344697.035222712,1617337.4347674088,1634580.1866483155,1381848.4922112604,1443249.5981796454,1378312.841566062,1606589.8014101707,1627971.5412037447,1359254.70559911,1441494.299659239,1372506.7902744822
18,2627415.2801531386,2629031.8861894184,2633282.678786824,2632583.3774952507,2495728.6732601896,2487760.8470331505,1985406.7173784294,2004684.6456368044,2318549.363337253,2319469.1422048737,1620798.1991715876,1641104.0192905164,1334628.6525867635,1527546.7925431656,1425310.266196935,1613240.5549836545,1630435.418119679,1311852.1210800365,1513774.553082052,1423567.842497906
19,2627502.326005567,2628323.9621630134,2634034.620616686,2634897.8700091382,2524623.435666958,2529925.5157808666,2079343.5872483642,2095440.9320164886,2330738.003452764,2332334.8635183875,1618088.7340886977,1643034.6994013414,1236798.859020599,1413091.4698060458,1385399.6055834615,1608389.6874032777,1633229.5719970202,1227607.0385579884,1403143.3370114937,1381551.39201114
20,2629168.863569434,2632911.804823219,2629903.759902674,2629970.7745342585,2487957.8208083757,2488635.170323773,2050753.4704584163,2070217.63908809,2311139.2487434545,2311021.7781745074,1591713.3094470513,1635492.4080433762,1268085.9811487459,1542324.8743141608,1444620.4813401669,1593442.9511765537,1631902.9302121627,1261604.8371544576,1530741.3742164222,1443982.4726531007
21,2629815.721675563,2632350.168349899,2633683.072582406,2634530.9776520557,2515979.8593299002,2517027.710985091,2156356.037032524,2166959.967083289,2324029.747541228,2316923.52034168,1607269.6298645907,1622714.5578523327,1398550.1085365599,1470800.411670855,1453553.3040971698,1601587.45983063,1617700.670432912,1388411.054722715,1465383.0009565242,1443853.421065918
22,2631624.071238838,2633462.388113428,2637765.2443207926,2637387.5307334363,2519306.4696109435,2522720.0946504804,2135869.161913179,2155241.13117465,2315992.277808509,2314168.8141258946,1615474.6201937376,1652256.2101597125,1296200.6971394317,1521064.9048720957,1431684.0979283387,1610998.6502952692,1639058.1809465906,1288164.2070538974,1512703.4700520819,1420436.186285414
23,2631919.751281866,2633490.07058699,2630302.080911727,2633221.215423614,2515640.034890942,2517104.9237456867,1992150.0644567045,2010462.396897294,2318126.7605053145,2311005.3933709366,1622869.2276119208,1628865.6422938055,1414006.9837178597,1605819.6584288564,1468233.8680157603,1612313.994897399,1622310.5351253108,1395181.841678579,1590523.400511139,1456493.672133544
24,2628178.484904401,2632899.7711528293,2632839.0491744103,2632533.2881158693,2508355.0476657036,2511228.6705731438,1918401.3878282625,1935182.908124934,2318967.550519632,2319837.4766391125,1608953.7657077727,1642153.1492459972,1421262.8708056333,1419879.5671548643,1376936.4814267512,1610705.0591754243,1632348.0018633732,1392771.7239823544,1408700.5609813454,1373924.3544980336
25,2632617.238073999,2637657.6000994653,2633122.2719598603,2634871.0431538452,2508061.473792632,2508084.704211268,2017571.1172945867,2024599.1874268525,2339004.5237193136,2332476.117950623,1614137.859169932,1640298.1210174672,1285728.7008992753,1475010.1513335358,1435547.6304992207,1613483.0848914802,1633810.1139731132,1282990.800413555,1469456.4380858066,1425382.0889558
26,2627568.4686222426,2632425.6292268625,2634186.658287364,2636275.582038344,2508007.220771944,2512717.7027774495,2082200.0667496186,2092547.1023325548,2342424.3014029935,2346960.4691363256,1610570.5040314165,1634818.1863005655,1316995.9798185565,1507245.9885283946,1403659.9685658095,1613320.512441537,1623650.8020221533,1322847.6622079255,1494578.3764150743,1395182.6691177743
27,2629058.9186949753,2630504.9025861947,2634507.033317443,2635930.207633947,2519409.6956313252,2513652.9227950913,2044229.601990863,2059603.8005872732,2301392.497517075,2305460.1664539804,1621636.0260602327,1626688.4594412614,1188156.3318983724,1490619.259377164,1500703.0761032281,1618000.8756555081,1618999.6980075939,1181924.5965596891,1487826.5940021924,1490485.9821462198
28,2632199.2032016376,2636755.0048505296,2632414.0706339544,2631563.2990584886,2504513.3543514046,2503585.9819464306,2007009.262981587,2025314.9800086576,2351192.6225970937,2343764.3754776926,1604655.7335490487,1648510.874655016,1373582.0996588904,1489069.7516617065,1383578.5226625125,1606822.7924060111,1636421.943213515,1353716.2948161322,1490297.6377799523,1376091.7684163623
29,2627176.0807038294,2629987.694870505,2631250.141758966,2631405.2467527343,2510298.5646360065,2505642.863611048,2152810.4801437864,2173950.6245562127,2301608.197918374,2305115.5651503964,1610864.6306242845,1634266.5446460284,1422034.7367046813,1480977.3286644456,1437753.9780920215,1604249.4708607278,1631055.9688016898,1418916.0329475563,1473282.4477604674,1433336.8520182355
30,2629930.4507368486,2634339.3847102146,2632567.3323458876,2631633.0967385713,2506905.552123247,2515736.1635460025,2149763.137368207,2169322.185899283,2331711.3029280896,2333052.662065302,1598636.0103901299,1649734.4610082714,1109130.072429971,1444356.9465484833,1373543.571388491,1592894.8263550005,1637475.9750185532,1101804.653009652,1442222.713268611,1366638.8381331465
31,2625286.448053999,2628720.6257636608,2634541.7333039306,2637662.7852337826,2479431.3994586216,2479330.319385805,2100046.173477016,2123495.019454204,2309535.5195980747,2308581.9266316164,1610390.5097143226,1635746.5976731032,1279134.3794723498,1552148.8163017335,1476915.9047132416,1603567.677839895,1627591.240861918,1281017.6827560088,1546559.44534992,1472386.9918997528
32,2630199.2875591405,2633703.731901763,2632988.8670094446,2636561.26525989,2511518.0907770777,2514171.0315094683,2127252.4489079034,2138473.6490649623,2342162.7581261285,2346582.7749093333,1601588.1624968576,1640211.4532683892,1235957.2270714047,1451136.6053273955,1351985.9431967922,1595937.1663943825,1632327.2667006224,1214561.4461104525,1438511.4615707344,1346109.354199332
33,2628639.572523877,2628821.441855328,2630057.2252929593,2629937.34293545,2514347.986820479,2514969.9953641044,1964248.9715092797,1982758.9982351726,2322840.5115491585,2324732.3967903317,1628207.7293027178,1624310.00639458,1353190.8327948723,1458040.8175218608,1390452.8745260413,1615925.8023703098,1614926.8570707713,1347133.5384933124,1447413.895736686,1396319.6302172195
34,2627215.040364224,2628783.237858287,2636729.33528871,2636434.9447243386,2498302.1975469356,2498515.1739444267,2000296.239284732,2017531.7304256302,2346092.6411780333,2339565.8296408392,1626755.000029383,1642828.9130888244,1497540.5424452042,1484988.2160054997,1423232.1619446094,1616885.5749883885,1633138.9161765708,1464577.749148558,1479430.1184391438,1420970.3816973926
35,2632441.477820117,2632089.4802614246,2630768.667528833,2632272.2164150933,2493983.4489173247,2493538.2837738805,1837096.778808754,1854195.8073144332,2329688.745653715,2323398.415056843,1623344.1384282047,1615800.956050773,1450619.188628138,1493907.8276121528,1432594.2248515247,1612420.7704196954,1614223.9142477158,1427446.2343470328,1490723.702897951,1427319.516779222
36,2628838.6745732473,2628555.1389770727,2631848.0276418272,2635628.151511492,2543443.091558297,2548365.401713545,2012494.2718265923,2025797.4774330915,2326093.5251523806,2324240.8240991076,1633875.5681123324,1617637.4399691303,1496914.0459787918,1423264.7711850693,1401222.654583629,1623337.7947432715,1619393.256115704,1482185.9624011882,1425091.300753779,1398621.4894631153
37,2625545.543232764,2626060.0911879344,2631397.3833107143,2631260.788505876,2511208.3747682897,2513929.1275319112,2122449.3228814793,2138248.7804637384,2293403.941591694,2290022.976959004,1625256.5168431553,1633646.3904545042,1354199.887866368,1448174.3563321887,1478557.3156619493,1613028.944090878,1620764.7871572748,1353191.2930239425,1441424.3877608846,1462006.1491996937
38,2631602.321717716,2632396.39926391,2631557.070362177,2635178.2938487427,2497220.696126072,2488732.889767254,2022637.862696161,2036927.712951391,2348361.8187400126,2344264.032431734,1609448.3128794334,1598125.2628319627,1235228.6230214797,1492962.083261572,1335275.1335884135,1602009.464858611,1599448.7642771923,1225017.646839287,1481347.2298053778,1333452.4985279732
39,2629595.572213275,2632287.4453657344,2631147.880036125,2633791.2500347192,2512591.321009014,2516478.4876471106,1989964.9522990352,2007249.1248507688,2304766.543102462,2291255.265376114,1626558.844946289,1628397.7666685805,1311837.7334183678,1432742.281137618,1485905.5294137674,1619732.97907462,1628328.7184521724,1296534.7787857093,1429783.6850449862,1469510.6254780944
40,2627974.968941429,2631633.2361727133,2633386.3304185714,2636794.404982714,2514417.2106888182,2509890.325836697,2105300.071334805,2122840.8224510294,2339290.335595596,2332530.834120712,1621274.1634167335,1631629.424561953,1219707.2648814137,1494806.1608548171,1463326.1026314234,1610370.5921755463,1626517.3525145962,1196217.346458805,1492002.6026133944,1457784.4825422992
41,2628411.53522969,2634203.699662409,2630659.5374224344,2631753.4421640444,2485008.9345532805,2479732.3792937556,1943570.5309011634,1962509.2578612831,2292895.921125776,2289679.3182881726,1590391.865376886,1614728.1720698655,1410151.0287813903,1500935.6626688908,1499455.596999737,1591989.0216818936,1607651.3062677179,1375982.445560158,1500505.2608554931,1493447.5505208
42,2628280.272599648,2632868.2070874777,2630459.89963232,2629653.9043510295,2497193.8899639444,2501466.3276642193,2075522.1217794088,2095837.7525288183,2324512.307194765,2331503.2957079485,1595345.3329706606,1624565.954053457,1483468.6917532498,1495286.997364742,1355546.2586600329,1595424.9735615994,1614783.2861553137,1456052.7675549998,1496424.685859056,1351019.353074347
43,2631753.1958286823,2633889.912874395,2635637.9973739204,2634785.934631826,2502069.4410275733,2505712.0245049875,2024183.0592666732,2046327.5181628107,2331013.806633857,2329092.4514502264,1640162.1588040309,1638197.5974946683,1272773.5338614443,1508175.2885082508,1355665.9786142367,1625759.6168817636,1626213.7965404908,1270205.472614277,1500975.2577866921,1351942.3937996593
44,2625413.816772826,2626452.4341260092,2631189.713271549,2634571.4854915226,2478373.4560837224,2481782.2776805474,2142734.695066956,2168111.347709645,2332076.380297518,2338601.7982574995,1613154.5633816149,1600180.0409666195,1270529.2594956807,1447931.1291185005,1367299.9995520443,1609344.6030541926,1597386.6658156444,1269641.5849853891,1448242.12141347,1360348.1310210319
45,2632924.7167026987,2635105.1486095125,2631153.428577713,2634953.1953404113,2510916.975298126,2513371.14192695,1996253.205057933,2001036.6052859384,2274947.5874296525,2268751.2829343565,1629633.0876335287,1621114.1849238498,1326305.9425672428,1534643.4353708695,1505769.9533723178,1622757.9974634375,1621093.1447466773,1319042.5604249982,1522579.5181076732,1489221.9954882863
46,2631425.2914687027,2636469.6487391787,2633777.9016753864,2633469.417537465,2510571.959418294,2514122.076709392,2140909.9574525584,2150527.6188403945,2272974.7084648665,2270094.216284588,1619528.5009728754,1633700.2489735377,1266253.2859008673,1458295.6415320719,1523981.4113752,1610975.5169010647,1628696.3827123584,1245457.275140778,1448605.0068621337,1514161.6130546725
47,2632544.4368751524,2637281.048915788,2636417.450974167,2637934.162461889,2506207.1281410367,2507828.9716390776,1847385.0469268938,1860072.4618835473,2305772.162318942,2304343.8321669633,1586191.774986505,1653803.73000533,1440731.4962744531,1528931.4773528436,1516405.2033456156,1587073.7389885988,1639321.0054877358,1424427.4490919514,1522930.1675670238,1505151.9975233586
48,2630505.210341444,2630103.3868960696,2631889.7133354335,2630517.516501662,2518712.669687118,2524289.3977433913,2059361.7060229057,2077760.3672581594,2348758.9393741926,2338775.205236413,1642891.9415575997,1640998.009418966,1267282.5203391344,1421186.046409332,1405343.8153988554,1632106.38071514,1628207.3051444185,1243991.7025539342,1419733.7049640263,1395657.6631623835
49,2627539.6642500656,2630900.9094737945,2633581.2617069418,2635390.8118725885,2484315.0732987425,2483504.80201133,1992083.2696680184,2006834.2350685485,2321139.455011736,2310856.064615814,1604418.3733980516,1638623.130135064,1291139.4465831781,1605434.4513412516,1456544.9083316356,1603412.8104745147,1632718.406210282,1268490.6936255293,1593476.3648738726,1454799.6809087882
50,2628315.6642765724,2629142.6273030858,2634657.84909135,2635264.074251497,2498912.814171886,2497533.170074654,1971644.7198142852,1987819.5126683533,2319463.6416586945,2318917.7285159826,1624482.997994111,1642278.8384443852,1336077.691025648,1439304.449688229,1387732.391853876,1619473.4876181695,1628217.69030831,1336267.8012451176,1438233.713989454,1377954.1217511212
