,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,351963.3357697536,349284.9833349145,347673.809019665,353504.0411175994,347673.809019665,350165.56780127896,342503.7215781148,339581.1414411509,351510.5715416755,339581.1414411509
1,2021_0,200409.96517530194,265383.60798367445,200997.02934775178,200970.3487415331,220905.66463264613,200058.0137069811,269020.52981163387,206307.45296278223,200741.89887248297,226633.29805554874
2,2026_0,203623.59145715652,170685.5847043027,234956.02242802855,205637.49884055372,233478.78726916816,203029.2057385307,166331.03452992692,236402.69673318308,204940.76043326655,234726.39330063222
3,2031_0,214668.54529539304,176813.54687368745,221526.3656112088,200977.21728459897,189340.3843305453,214161.03968435855,177824.0961046175,219827.0726304322,200977.28114771395,189111.16616135434
4,2036_0,199775.85458376294,343157.6813646149,209257.1396057119,207869.59633609685,241978.6098492226,199476.70623795912,342765.1538544125,208879.6498423974,207877.69219054462,241009.86034259087
5,2041_0,208870.3735183536,75131.3086143253,216006.20508950704,203611.9444975665,226236.1160732304,210815.60536191848,79509.54459229656,217957.74282655833,205547.1050818824,228480.356221975
6,2016_1,351963.3357697536,344693.61550547456,356319.48479240946,350825.6886827603,373222.0896757586,350165.56780127896,339462.0756917298,355295.71736575075,343848.72531851125,371126.98324064864
7,2021_1,203808.63462104974,173055.91437285117,223091.89764037592,209221.97125835798,194425.28705774705,204047.78707766382,178192.36733343443,223754.61782746314,211891.07282844215,194003.4605817943
8,2026_1,205979.3628070176,186318.41591086006,185865.59896649377,201306.8815232137,192515.83957030295,205318.890400749,182733.23435726296,184492.11254938692,200775.29636937648,193415.10304045383
9,2031_1,217784.78747730303,266535.46951270895,200531.41385613885,218481.33709971947,236976.55380685875,215787.00556293744,271941.350313478,198939.64360981467,216982.20111830794,235653.9819753679
10,2036_1,201540.28775888745,160328.47691420425,196331.800570463,205053.407378034,274845.6753723043,201628.1437219686,165417.74408350614,196091.27545717527,204649.97086554128,274882.9118293331
11,2041_1,205865.1383412712,194125.74553004306,180338.35860183067,202285.7348797036,167284.52015376947,207688.3392309297,199572.6547832011,182837.2656538651,205054.75354619545,167180.09076024816
12,2016_2,347673.809019665,412921.459855225,347673.809019665,347673.809019665,347673.809019665,339581.1414411509,416151.2809241548,339581.1414411509,339581.1414411509,339581.1414411509
13,2021_2,207702.1706714057,239658.3158682119,215619.82508705222,215925.76026485208,251794.92471980499,209950.53309639066,237182.58523148016,221829.38127271523,219064.63215657603,255366.60831133567
14,2026_2,206706.2179594632,132153.11244588278,227869.3944059515,203290.0966509761,200492.77544259917,207692.54741534244,136628.53506388294,226130.25301781722,203224.00440510767,200097.6393699513
15,2031_2,200399.44715612713,132890.3232421431,202234.92668045097,216490.44629331204,211043.19408464126,200472.28197316694,130924.07666087971,200033.87209467927,214570.42097379887,209255.71356218366
16,2036_2,200858.9446422705,167109.01174587573,198553.44206400076,204029.57571911998,194111.50034739217,200905.72444424863,161751.99824559336,197981.3786068202,202542.66631420216,193593.9704675112
17,2041_2,222270.82956450176,119585.39447070667,187182.94186963708,207604.255029188,226516.84151288564,223209.92434520877,131231.69802621746,196986.6928041135,208625.71898878078,228836.1066615189
18,2016_3,349214.5143675108,437360.6180179751,376373.9693388539,351963.3357697536,373222.0896757586,340926.1451815474,436657.00464232423,375394.56711800897,350165.56780127896,371126.98324064864
19,2021_3,205411.9844610609,165226.8808722331,194428.1378648728,204961.55533390737,194425.28705774705,211373.76502912331,164556.1353745845,194129.81298819082,204972.25797856427,194003.4605817943
20,2026_3,213274.68505377293,122930.9572947498,225889.56460782213,201350.37655596947,204457.1713764809,213288.8538343172,124850.69282883611,224583.85442852194,200760.07622303467,204261.10357752346
21,2031_3,203590.27596177423,102707.8144595267,188009.99502156043,204568.08637681842,273765.1768155135,202975.36738696558,104780.46834713194,187049.15782754458,204487.7725324459,271067.10488805344
22,2036_3,199149.25695337445,140171.48647976658,193935.53471323507,211626.4978266155,191970.53426547814,199178.39096689053,136458.7006550254,193502.4242731744,211410.35906086984,191095.6081439211
23,2041_3,210649.42501791264,113968.00306473313,174332.30499133683,200927.88108481767,162566.98354347787,211978.75381896508,125885.85900728092,183708.8848898182,203438.11599563604,165626.86756253385
24,2016_4,349284.9833349145,349284.9833349145,350352.1614545041,349284.9833349145,381317.5720777608,342503.7215781148,342503.7215781148,347242.98766431515,342503.7215781148,378700.8688266957
25,2021_4,201409.84518926704,200439.49658864643,215590.29367370773,204808.51463501484,192734.01026732867,206491.8189923403,205749.92020367685,216137.47477601946,210481.59236302302,193078.4428915675
26,2026_4,209560.89072484823,258777.1326409573,195754.30331285126,210980.5038693093,203103.1728853029,209098.2930789917,258530.76754447914,194496.60273956924,210444.72926185405,202907.10508634546
27,2031_4,209042.94775577448,239124.16780529747,229650.62244905095,214335.92307827243,211326.4130491203,208428.05743705956,241888.9628152809,227144.09883610412,212764.17649639127,211660.7315558121
28,2036_4,210882.36016051724,145101.45445054397,198528.66422582173,202454.06581080807,229293.96218256775,210805.3305387361,137598.83075323424,197923.6174999155,202128.1526214953,228779.29780177938
29,2041_4,200354.22737943975,201041.06202760185,191059.1575037475,206857.0422496649,216732.722094319,203131.25705673033,202322.11737335415,196956.26078543277,208620.3319788809,218293.02954425532
30,2016_5,349284.9833349145,344693.61550547456,350825.6886827603,351892.8668023499,355769.29142166715,342503.7215781148,339462.0756917298,343848.72531851125,348587.9914047116,347155.02702719794
31,2021_5,200439.49658864643,170332.05938472552,217858.76984307333,205565.02515995342,230195.01264449224,205749.92020367685,174877.4084203739,223731.51211248583,205864.43064466456,234115.74552834232
32,2026_5,202399.92155547693,186277.5539433975,202479.89522130787,205911.5092647857,201119.4932947112,199918.01637010844,182692.3723898004,199798.8944567877,205805.0656322077,201577.53830447464
33,2031_5,204594.37528698,325569.0425422937,201721.40805381857,217004.50015319223,225568.75096826354,204594.37553687172,330689.3089707335,202563.877596273,215011.69048570108,223456.70600484157
34,2036_5,220939.60378314834,136224.09962183656,285897.04788383294,201327.52618040427,216472.12611884435,221320.20698859607,133654.53668787662,286663.21308298555,201416.48203768276,216172.03891516654
35,2041_5,209542.24192941116,87297.93544687486,162887.30542260382,206563.8144003957,160923.59871502567,209408.47979199397,94251.61820450108,166750.75087907325,208565.86106054235,168186.5148636492
36,2016_6,349284.9833349145,372042.4982150115,350352.1614545041,350825.6886827603,373222.0896757586,342503.7215781148,358509.288762753,347242.98766431515,343848.72531851125,371126.98324064864
37,2021_6,210543.30735804816,208659.89763813477,200967.4979344073,207705.0214785315,214333.92234264137,213382.773707968,215984.17339648685,200615.54646608647,210076.88550278716,214329.3056745608
38,2026_6,203538.11624424506,231853.09271535501,236717.1845592711,205665.43381014015,202979.93621762047,202941.0650411712,235380.41725700075,236921.21715495703,205027.41058195056,202584.8001449726
39,2031_6,200059.24860537157,97465.78954500175,197370.72343521396,214203.5629504549,187182.50651475033,200059.2488552633,99221.08430466424,195983.47121531257,212631.7598556031,186883.11335151008
40,2036_6,208844.3689769879,140277.60456644336,197397.39964930536,200535.29744712234,222094.4626261265,208769.75432326586,137671.03747563087,196954.02441570585,200558.075965796,221824.65230108312
41,2041_6,199540.72678667444,93907.4352474184,261311.89303461503,211205.99084029414,252152.54653601433,204215.9796061137,102788.75707236587,271930.0358972462,210216.67669395622,255160.1509893658
42,2016_7,347673.809019665,347371.96794031357,348224.00239040743,351892.8668023499,373222.0896757586,339581.1414411509,347123.921914894,347721.8317797038,348587.9914047116,371126.98324064864
43,2021_7,207702.1706714057,170302.52797138103,199933.08705524908,202257.05479208133,218136.65212286322,209950.53309639066,169185.50192367812,199178.8202959588,202554.2922808169,218270.2348427125
44,2026_7,200449.63867536437,255313.98208488562,229923.1852707605,206953.54968582583,208125.2005184363,201348.90214551525,252714.80155797416,229384.3036059501,207498.33644004777,207690.6697851158
45,2031_7,204688.92257076333,213505.61041052188,190977.86522656996,220750.6683484548,186843.25425758594,204761.75738780308,215152.93286583284,190859.40617245398,218752.85086986894,185914.03975134177
46,2036_7,212403.48281013017,136965.28237847288,196707.98029894216,203576.97694009478,192978.79348360407,212349.0139670317,134262.29134852396,196679.0479897829,203407.9601098432,192889.70225784785
47,2041_7,203619.52350611438,87471.79414884698,176450.01326246592,201631.8158669734,218538.91995380633,204636.28498912044,94554.69539209525,178372.49371524327,203976.67782259,227204.58725726794
48,2016_8,351892.8668023499,369062.3047008209,350352.1614545041,351963.3357697536,347673.809019665,348587.9914047116,358390.2230133319,347242.98766431515,350165.56780127896,339581.1414411509
49,2021_8,200557.53290001786,158217.81022525363,212191.62422795992,204961.55533390737,212221.15564130442,200557.5328429249,160949.05371185043,212147.70140533673,204972.25797856427,217839.6079020325
50,2026_8,200908.020524258,151702.6341156499,201925.50511408606,201769.88624286867,229716.92773375782,201807.28399440888,156354.73446851072,200752.65510889635,201186.6761838898,229004.42257784336
51,2031_8,224678.62156983616,130181.96189854981,236420.09775607026,221723.60345106042,226079.50646784462,223097.61457551367,131323.22072555966,233341.00483808183,219650.4343321755,224399.61877700072
52,2036_8,208828.36940108423,252022.21135007887,196072.3088954432,207471.25578012026,193935.8816232498,208646.7771324735,248863.03730914416,195636.08850514333,205832.488000509,193127.02632052734
53,2041_8,203334.51832426555,122262.14132148214,189764.73457370026,203277.67533911575,212883.68186526807,203160.4134944828,125016.46516009714,195454.31461577764,205408.61949530395,218221.1483845391
54,2016_9,347673.809019665,411380.7545073792,347673.809019665,351892.8668023499,355769.29142166715,339581.1414411509,414806.2771837583,339581.1414411509,348587.9914047116,347155.02702719794
55,2021_9,204395.69879349959,187273.10340765808,225730.58478034468,206899.4028275429,199305.75255733344,210297.22633346496,186017.09452289448,231757.6237450514,207496.04585808254,205382.43527255542
56,2026_9,202242.35198044582,156887.1624975678,206715.09333696624,202989.17265125638,233602.02393685057,201249.38995975684,152464.1719293821,203890.70373726843,202989.1535365817,235048.69824200505
57,2031_9,202499.0933388641,164254.95206862723,238411.077813786,216770.5936860957,192558.9177722398,202499.07989620103,166065.1661735711,239951.5660862541,214777.72010687966,192440.60677271095
58,2036_9,214844.3611071163,251523.85120361453,196622.81877812382,203353.67637542525,277936.6923315714,215499.04560020502,248442.66223347426,194272.06399394703,201869.92791772724,277277.03962879383
59,2041_9,208713.05084054486,81843.54442542559,178643.39013424376,207919.65481491835,174583.74900468928,211365.53035224837,91313.01823200226,179198.54761821448,208938.20388236703,177104.94307859865
60,2016_10,351892.8668023499,348912.67328815936,351892.8668023499,349284.9833349145,347673.809019665,348587.9914047116,348468.9256552905,348587.9914047116,342503.7215781148,339581.1414411509
61,2021_10,205565.02515995342,228846.93127819817,223211.69133653273,210543.30735804816,212221.15564130442,205864.43064466456,229216.95219224133,223721.46406439805,213382.773707968,217839.6079020325
62,2026_10,200130.0697008526,154515.25923417744,199098.0530581508,203051.799425765,261393.2968683505,200123.0097460206,149057.432691573,198891.92482962835,202396.03304359358,260342.33833322287
63,2031_10,206942.16063702584,156069.96956272481,265748.5813280338,216493.18468710297,187379.5642445259,206962.25632889307,158059.26695279733,265470.45518587035,214985.04157317872,186261.7881971164
64,2036_10,204675.77969828036,157980.46399290283,194635.903779583,205671.56438076304,192762.6020412225,203253.96580305518,164058.69767791888,193492.09150944187,204069.51980158966,192252.8580996416
65,2041_10,209434.13795195,209753.74025575773,165248.85424397644,206917.81442319037,159847.1106087665,213426.96622761266,217616.39611988573,169202.9634842647,207733.48306997507,169678.0566096984
66,2016_11,350825.6886827603,411380.7545073792,347673.809019665,353504.0411175994,355769.29142166715,343848.72531851125,414806.2771837583,339581.1414411509,351510.5715416755,347155.02702719794
67,2021_11,208251.62265773737,166055.02300385328,212221.15564130442,200970.3487415331,230195.01264449224,211149.17403977874,164332.52315856607,217839.6079020325,200741.89887248297,234115.74552834232
68,2026_11,203522.21413681778,171437.8087527522,203171.01674476545,205637.49884055372,203602.38591808954,202991.2360649377,168704.60280595184,200105.94124873588,204940.76043326655,203632.27249553462
69,2031_11,199943.41888659913,175206.85947218482,283133.9306255321,201067.01314831743,190894.4602905835,199943.41913649085,176163.68991975771,281933.35860959627,201067.0770114324,190529.90961042943
70,2036_11,209052.5649889529,182536.89475959836,196411.0834427347,208438.7995644218,230507.33785250928,208981.12147558894,188018.45163352592,194405.48223820646,208225.39500043954,229990.22695152418
71,2041_11,199551.58962207192,324488.9361200658,160204.2352113827,200439.8912555323,218200.41503938782,204223.92754974798,333292.23360931233,164425.33332264866,205146.62896745995,221000.29193281816
72,2016_12,350352.1614545041,347673.809019665,348224.00239040743,353504.0411175994,347673.809019665,347242.98766431515,339581.1414411509,347721.8317797038,351510.5715416755,339581.1414411509
73,2021_12,204366.1673801551,205821.94949545036,219153.34401751735,202487.29852135957,212221.15564130442,204605.3198367692,211431.77865228488,218817.45329844713,202556.08619813796,217839.6079020325
74,2026_12,209665.7197263371,243825.47515526638,225456.05977622964,203529.99597055264,226321.67364346184,210144.41979291625,241783.3143257534,224632.9836885664,202939.6820811688,222828.77800316777
75,2031_12,203701.9145902297,202183.41849200602,188581.65181288042,214293.35881417338,194290.75122975727,203087.00589603427,206387.07300394538,187737.4000757461,212721.55571932156,192956.5361735275
76,2036_12,200020.30058863448,361285.88408138533,196435.30417312452,203111.28391636064,285038.47695331776,200052.88991428088,357351.1407733731,195698.10624827477,202788.54186740593,287716.10345262865
77,2041_12,204781.3845149578,62109.22616220695,173533.42581534263,208110.3800369259,142450.33601378155,209458.82458425654,65781.10378339843,179064.82213617806,209870.7548739978,147868.14089193335
78,2016_13,350352.1614545041,347673.809019665,347673.809019665,349214.5143675108,381317.5720777608,347242.98766431515,339581.1414411509,339581.1414411509,340926.1451815474,378700.8688266957
79,2021_13,205974.99019434288,270766.0608904783,200997.02934775178,213634.0755645413,203958.1365608813,205922.44426782613,274702.3882602419,206307.45296278223,216831.03248838673,204610.5978308178
80,2026_13,200130.0697008526,170106.4629965164,243502.10014391041,203760.5113620289,185922.74638485422,200123.0097460206,166334.5325618372,241073.0526955771,203819.2074264518,184662.83039393614
81,2031_13,224091.3807830654,227955.31623637618,237930.6833119259,203605.97040651832,214862.8037648774,222626.94414760932,228572.84782582044,238809.72569630892,203063.74612178715,213700.297403525
82,2036_13,201819.74214569654,156019.45676676597,193895.18295420354,201706.60699583573,229717.78814695013,202002.53732369494,154304.7872982174,191882.4269063757,201517.29118275517,229537.8925498166
83,2041_13,206064.65762230856,209667.2462757766,162735.67671219367,206375.3670620494,203921.5230958499,205959.10600677345,219414.65158639557,170851.6150204906,211311.83617157434,206002.5382462509
84,2016_14,349284.9833349145,344693.61550547456,349214.5143675108,353504.0411175994,347673.809019665,342503.7215781148,339462.0756917298,340926.1451815474,351510.5715416755,339581.1414411509
85,2021_14,201409.84518926704,173730.72883047332,223241.22274987723,201699.52203297598,200997.02934775178,206491.8189923403,178867.18179105662,229413.37056109382,201996.75952171156,206307.45296278223
86,2026_14,208624.73251944824,261563.01381695195,208089.86767417155,203267.19276650634,276304.5904170015,208155.04459963576,258749.17045643987,208004.32455331017,202672.80704788052,276315.1792945117
87,2031_14,204744.72896283917,154472.03738093708,223302.4559575028,208332.14798323897,187378.61198307195,204744.72891422932,156404.97420857733,221870.70695372895,207717.24048054198,186260.83590853657
88,2036_14,211179.161155135,161225.74574276656,195655.58969960434,208417.47023746526,191858.3335253395,211108.74022111713,166181.58481607947,194911.24460181227,207078.67770039287,191355.19827152192
89,2041_14,207744.00772162367,192496.88187143972,193547.75957419656,206537.8294300322,234805.9256113427,210264.46015682534,198073.0096102198,199207.394930655,208256.9702033902,242134.4905430675
90,2016_15,350825.6886827603,349284.9833349145,348224.00239040743,351963.3357697536,353641.1323575704,343848.72531851125,342503.7215781148,347721.8317797038,350165.56780127896,347633.8711425866
91,2021_15,206734.6728779109,346456.02717760956,199427.28084486,204778.98322167035,228472.22344270794,209334.98671412375,349492.3922949013,198674.18031791763,204789.68586632726,231991.80726793644
92,2026_15,203651.52642674296,131068.15609018649,222589.3026306204,203545.89807797992,200106.3159787631,203115.8558872147,133015.91105562833,221963.35462201494,202889.51105740233,198298.7165249464
93,2031_15,208423.24507194385,195985.79632541502,195290.30273034578,201198.28908549788,187171.40317248384,207881.0390359614,199311.89537834958,195171.84433032453,201198.28905614433,186193.4518026933
94,2036_15,201426.28638960578,130508.93284376194,250509.21274456513,209281.80054200508,216144.30903850624,201582.58298506864,126271.43361079294,250115.82937237786,209064.24035942508,216042.17397910196
95,2041_15,205810.68330146873,95019.04868033253,175206.994542377,200808.19396643792,165510.544285362,210548.22387946208,105785.02404956694,177543.87925350567,205541.2855485935,173574.09740808693
96,2016_16,350825.6886827603,409941.2663410344,355769.29142166715,353504.0411175994,345545.6499555683,343848.72531851125,416032.21517473366,347155.02702719794,351510.5715416755,340059.98555653956
97,2021_16,206734.6728779109,129715.9096367335,241419.13893804487,202669.87063359658,219182.87543086184,209334.98671412375,127280.88108148803,245647.90046759258,202738.65831037497,224509.3597951429
