,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,355900.4167510566,353222.0643162175,351610.890000968,357441.12209890236,351610.890000968,351414.2001861654,348080.1170270959,343864.87587067764,352954.9055340112,343864.87587067764
1,2021_0,200409.96512808927,266448.5528860072,200997.0293005391,200970.34869432042,220905.64226179325,200409.96508027555,269310.57613060146,200738.8634307247,200971.1548896343,220615.3037073411
2,2026_0,206235.1477013448,171197.84409682892,237400.17603686656,205763.37648132775,233387.4931886064,202882.49336727534,166189.33793610937,238555.50184155686,204849.9596988272,236857.84154753783
3,2031_0,212797.3690442876,173743.9459108248,216964.19416118835,200531.20427144866,188805.3932729245,213277.63084490705,174133.10422182846,218244.7813701517,200214.26316909533,187566.29133144955
4,2036_0,199633.62262212267,345012.61276540946,209566.58119765713,207831.53823703228,243428.39558216356,199289.90651328352,342591.8470538893,209153.54604977855,207849.76259390463,241704.4317867557
5,2041_0,209376.88716217916,76027.1213724832,217132.67230038816,204006.23575206505,226274.92294991607,207977.34135769872,76649.24824691878,215404.48944149795,202545.01033725275,225182.24065783087
6,2016_1,355900.4167510566,345057.9450311713,360250.7186626818,354762.76966406323,377159.17065706156,351414.2001861654,344296.550455129,357013.23576806474,349620.82237494166,371082.9546060806
7,2021_1,203808.63457383707,170837.75257235198,223154.24792699507,209221.97121114528,194509.5924153281,203808.63452602338,170454.63446904934,223941.359103827,209840.0980393778,194251.42654551368
8,2026_1,206055.4713618061,189549.71896774584,183218.32418978182,201432.7591639877,194896.22876923947,205193.3020833964,180584.65242718378,178410.55267445755,200622.76160265473,194593.44499078207
9,2031_1,217338.9093661291,264431.97498713166,202998.81627026552,218035.32408656916,234262.61389236708,215028.6844904332,275429.7363963018,203021.55451984578,215336.6263049891,237673.30440484014
