,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,516453.73369766434,513775.3812628252,509560.1401064084,517994.43904551014,509560.1401064084,518073.4675760673,513904.678325778,509689.43716936116,519386.21300197917,509689.43716936116
1,2021_0,196698.62500218418,263173.8313847349,199248.6991622131,197239.79417978312,217579.47411678603,199627.25468452842,265865.1723787692,203577.02307249303,200578.38889651682,222204.90721882114
2,2026_0,122320.7265886551,99024.1827325956,159772.4102756789,121801.33777215671,156195.7886453401,115145.07255418722,91848.67441345379,151996.01677146237,117226.47943668299,150888.17400135848
3,2031_0,40788.68401966837,37555.48878289904,41339.341043981505,33286.85282664382,29592.076443528902,42471.643003966165,39238.447767196834,46023.11948814347,33286.927273205656,29592.076443528964
4,2036_0,124343.18827641515,280192.59944044147,132807.34425752788,131736.5519826085,165196.5256889987,127525.28627031164,279673.38414689497,136001.74856304054,135201.4237477388,166163.74687820196
5,2041_0,147282.92391147398,51917.94256100212,160709.23967034597,141511.27259035842,172278.4964825264,146835.7292104882,51917.94256100213,157814.28466934845,141231.1546724211,168525.6607272496
6,2016_1,516453.73369766434,489118.9768390194,519839.4609153408,515316.08661067113,528684.745194625,518073.4675760673,489248.27390197205,520851.62099301815,515217.42375168984,530169.8651334522
7,2021_1,200097.29444793198,161741.16626468973,211790.2385607532,205491.416696608,198658.37665130896,203714.46218747064,167103.35841492162,214786.26003336758,209707.99548540715,201377.34443375867
8,2026_1,122096.08761537632,113332.83593564069,115276.45717226411,117370.00659865743,114590.60567694817,117312.23240836653,108626.1064767338,110825.72725944524,112663.33523442315,107108.77238829648
9,2031_1,34593.95575859238,137135.34759034615,35360.37909507676,39982.33302095569,59782.364701816805,34604.34677500683,139628.054797286,35360.379095076816,39992.704043855636,64549.5371259346
10,2036_1,124667.07379155458,106650.35753033415,116972.55764989092,126115.67570045551,205021.684570315,128155.89079764026,108355.96476267948,117253.20963692197,129456.2841186255,199426.8686697799
11,2041_1,141333.0929775446,175084.94616856682,121872.60294684477,137081.07525084016,112031.59929264791,143903.73842529982,173090.0591460694,126045.82972636612,138815.9002230618,112031.17250339614
12,2016_2,509560.1401064084,534998.0589322137,509560.1401064084,509560.1401064084,509560.1401064084,509689.43716936116,537290.55047391,509689.43716936116,509689.43716936116,509689.43716936116
13,2021_2,205953.84048586703,228529.15121952826,202390.96074778427,213225.76811907534,252399.31675112908,209156.0559645617,228983.76305520113,207753.15289801612,217374.68747696572,255234.06181386148
14,2026_2,123283.76419114463,64970.46013170335,147403.62690089786,119760.45088819033,123704.09421359148,118628.12674512836,60109.82667410537,142255.68324303554,114976.74139650664,119378.99000301083
15,2031_2,33512.50742752541,34887.93365098717,33251.59503267899,34795.777687078196,41276.16329923723,33512.61169155485,35519.49097493013,33251.60212997571,34806.2729450916,41284.03342575153
16,2036_2,124290.69556919626,83077.81182550016,122714.67844990568,126832.05469479375,118544.76038484738,128034.6608490064,84422.28288405016,122795.74081679794,129896.0519140613,118716.2458169728
17,2041_2,160079.6649601719,76381.42366450015,128754.14341960216,142992.26209952866,171121.8340571027,158215.9156532119,79478.9696189338,133885.62926174662,142844.00784982555,168581.5194190676
18,2016_3,511100.8454542542,531608.316962739,534440.6916988876,516453.73369766434,528684.745194625,511002.182595273,531608.316962739,535697.8517157809,518073.4675760673,530169.8651334522
19,2021_3,202711.99231528415,158126.7760209513,196679.00308222347,201231.00077215742,198658.37665130896,207708.4470819548,159985.64066558718,200066.10172106393,204848.23198988996,201377.34443375867
20,2026_3,130068.884225768,62386.16375287573,143783.70025121275,117400.32702816477,127172.02052519142,125483.68216444041,58510.497420383006,139196.93805505417,112693.59756925786,120378.13745437587
21,2031_3,32521.897201090513,30056.12924007186,30241.78640587714,36817.968072252675,101051.04641685827,32521.897201090575,30060.6079059368,30241.888122334272,36724.41581761934,101254.37230352184
22,2036_3,123647.65670002982,73294.4176704898,118261.16477841829,133439.7855519612,117581.50783742819,126837.47484900587,73516.59254700049,118578.11932707616,136775.30667268913,117898.36806291124
23,2041_3,148380.90527303203,62830.04568063358,119072.82402380445,138318.4208756089,111191.3403035936,145815.6466693326,69137.0074604857,127319.8064810216,137240.49178322323,111191.3403035936
24,2016_4,513775.3812628252,513775.3812628252,512238.49254124763,513775.3812628252,534648.4569999402,513904.678325778,513904.678325778,513858.2264196506,513904.678325778,535526.0031380419
25,2021_4,197679.29062751707,196728.15641552868,202361.42933443977,201077.96007326487,196495.91788700162,202265.7803597983,201314.6461478099,206065.76143473465,206352.9878627405,200107.45046203246
26,2026_4,128320.66540670067,174372.73393994317,117320.53252744097,127159.86834461013,123032.9560350953,121134.66764637893,170089.15328792643,112613.80306853405,122365.66941174651,118989.77851240673
27,2031_4,32521.897201090513,122980.06254815432,65618.75686750564,35831.14042015173,52394.44652976742,36574.12179819305,120451.80445124325,64084.28717421594,35841.52616936582,54663.39845157042
28,2036_4,135463.28988034427,70300.97753877459,123044.84052543253,125134.64371880186,155766.53699691844,138848.64005512823,70382.03990566685,123125.97073274672,128468.44536730005,151186.43671205957
29,2041_4,134585.81344096895,173852.92320018125,128011.94565836387,142526.11489218648,161562.2228460141,137320.73022564081,177444.47422109422,132718.1054095083,142308.5829731185,161582.027004971
30,2016_5,513775.3812628252,489118.9768390194,515316.08661067113,513779.1978890934,515523.8519117236,513904.678325778,489248.27390197205,515217.42375168984,515170.97184556245,515045.57517395075
