,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,520765.44588889444,515355.92168945604,509560.1401064084,523507.1892639476,509560.1401064084,511975.5279024776,505910.2729788088,499588.1112722857,514489.3113555968,499588.1112722857
1,2021_0,197447.37614392812,292966.2559807781,199739.28448195572,198313.2801073286,225043.07257807112,200781.16611869584,298631.00758007466,203889.0587513352,202057.03511648576,229624.12749438084
2,2026_0,122992.77136902603,98625.74720547571,174206.53247437187,123267.87322254729,170629.9108440331,123795.27936867256,99428.25520512223,175774.17345400044,125997.78513059342,174336.42634133872
3,2031_0,43544.27962586105,40311.08438909172,45683.87235625363,33541.83803516166,29592.076443528964,46279.51440182794,42799.51111327381,50250.17332562769,34686.851196440635,30805.909468017348
4,2036_0,126771.61397841344,356973.55798966065,139035.93471541707,136663.6745661218,184259.62994203574,124334.29269481746,355844.8504418923,136656.14309768216,133730.65303855287,179720.3668066316
5,2041_0,151046.84600674544,53173.858406457526,178792.88983678154,143091.11846980485,198929.58726019313,163031.5001876783,57829.48538630464,188357.45714941807,155844.02483122915,211420.05696407368
6,2016_1,520765.44588889444,516946.9241076133,538698.9972527889,518097.6650645092,541988.628464819,511975.5279024776,507501.275396966,529301.5054656465,508424.056431928,533686.3977100055
7,2021_1,202276.45700245223,164007.49317996626,222581.6443910022,209478.39206744288,199148.96197105158,206230.7761226188,168777.7965947445,227270.54845312698,214346.01793937918,202482.75194581933
8,2026_1,123621.07778555441,113577.67414053204,115791.15267194582,117098.96475350192,113885.8451803184,126459.82025917563,116519.05665785565,118651.659146346,120153.00509747984,114994.6781494748
9,2031_1,35298.49660307168,172145.59195974548,36957.26438191833,42482.99961955608,70431.06812837649,36443.41053217553,180378.37860287647,38033.25915601989,43724.79909506797,75361.05992704585
10,2036_1,127095.49949355287,109078.78323233244,119770.77580165473,129445.8579043094,236049.51315118908,124563.24017495013,105458.392922597,115780.77785243074,126989.68715016694,231345.8778182571
11,2041_1,142687.12602999387,217480.73887176526,123210.57898776617,137081.07525084016,112853.59009269968,158215.03144534086,218986.27345735708,137897.28254680827,150764.8035224637,120401.9871864565
12,2016_2,509560.1401064084,572710.5363142192,509560.1401064084,509560.1401064084,509560.1401064084,499588.1112722857,572563.7700695354,499588.1112722857,499588.1112722857,499588.1112722857
13,2021_2,208691.39873622634,256370.07744756222,209487.17286704277,219796.44162430376,271612.0759064541,212848.28288821888,255551.05011321467,214336.29238834884,224652.6710282229,276729.8908352597
14,2026_2,124833.57762381315,64265.699635073586,157629.31495806115,120452.71674698798,128253.83212744327,128135.63231613983,67244.60323188739,160966.20447437727,123326.18381252952,131468.81705580585
15,2031_2,33842.71083633711,38861.18007464551,34262.47427230493,35567.59250771945,45227.161579844294,35015.33577926154,39535.43772390619,35407.38687738469,36740.21745064388,46372.11544749966
16,2036_2,126719.12127119456,87002.52124243189,125682.86244629117,130495.42279795017,120973.18608684567,124880.36038632241,83473.33378822604,121673.5284087797,127737.29223193655,116374.04986703314
17,2041_2,169757.69598107968,73812.17101467363,128754.14341960216,145031.07827551838,196654.94042295223,177936.54090320304,86477.60519994838,143053.4414139233,156038.78253379575,211488.74292324105
18,2016_3,512301.88348146155,607269.3275178847,550526.1534229197,520765.44588889444,541988.628464819,502101.8947254049,607269.3275178847,542522.342869648,511975.5279024776,533686.3977100055
19,2021_3,205605.28147711957,173766.9477569536,197752.48900976896,203795.8580795397,199148.96197105158,210243.83688741626,172106.29863169312,201496.2440189261,207750.17719970623,202482.75194581933
20,2026_3,134291.26849402895,61953.01251567153,154766.8744498528,117139.39199284505,131721.75843904325,136900.277559952,64973.09756877675,158432.14687477093,120115.49022025293,132797.86884972872
21,2031_3,32521.897201090575,31437.509468170203,30503.666617572566,38249.99169597346,124926.50680089966,33666.81110028718,32419.482030239593,31579.663335643818,39270.16925565887,128335.84389979608
22,2036_3,126246.28195392872,75893.04292438869,120859.79003231718,139098.4695737261,120009.93353942648,123322.68677879835,72016.9874033779,116860.60854091181,136742.12492031357,116273.32052582948
23,2041_3,153031.21000389804,60813.57367592077,119072.82402380445,138544.23370260606,111191.3403035936,161699.07223839607,76787.0556917224,136154.36518264312,149381.64396929042,119028.5440104972
24,2016_4,515355.92168945604,515355.92168945604,514969.6643058468,515355.92168945604,556362.3387044729,505910.2729788088,505910.2729788088,505653.3661959545,505910.2729788088,547452.534148934
25,2021_4,198752.77655506253,197476.9075572726,209457.64145369828,203581.85741358667,196986.50320674427,202902.55082444198,201626.68182665206,213490.77668039262,208352.16082836493,201212.8579740931
26,2026_4,130931.12579296058,194979.32016924012,117134.03508975063,130311.2214244066,127582.69394894708,131647.4377787323,197854.13816809782,120110.1421989945,133063.76788415303,130841.66570300698
27,2031_4,32876.2343507482,154579.62780007467,77418.68055910435,36948.076151817484,59692.92043253691,37790.42401102405,156066.93965492354,78406.5265822959,38092.97690404116,63822.864761996185
28,2036_4,141862.07989013405,72729.4032407729,126274.84446546892,128133.68927321608,171219.6084854941,139510.48856388265,68929.24192802199,122333.01499765487,125556.0165227973,166365.23743794457
29,2041_4,134585.81344096895,217602.15814412068,128011.94565836387,144564.9310681762,178019.28003425847,149008.17155656507,225786.42053758478,140922.11307093562,155646.11240579668,185856.53389741245
30,2016_5,515355.92168945604,516946.9241076133,518097.6650645092,517711.40768089995,523933.85034606245,505910.2729788088,507501.275396966,508424.056431928,508167.1496490737,513354.2477112141
31,2021_5,197476.9075572726,160079.21177429872,219461.54627943147,205819.2821430726,244145.82904603134,201626.68182665206,164228.98604367813,224267.97152187827,209641.85325875756,249724.92812048778
32,2026_5,120440.44408638497,116072.25986246932,119037.39173718427,124194.37334288715,126957.41777703573,121242.9520860315,116909.48357220014,121978.73184606171,126924.29413276927,130852.30588825895
33,2031_5,32876.2343507482,308048.49991340924,42004.60885727693,35266.719706544005,67772.3227630201,37721.50488592902,316224.3624601852,42954.136160998874,36411.732867822975,68933.03880061024
34,2036_5,155757.79028981293,70515.27067136184,246215.9000471826,127375.77188710443,151308.33525596987,151596.98034622372,67585.12333625134,247587.77628159375,124361.67049264761,150851.03992162418
35,2041_5,153739.84417184323,45872.47645599418,107472.7552537343,142922.88468054385,110072.95477586001,164128.0986314017,50789.12575463866,120405.69796885824,158694.82290982857,122663.18185446656
36,2016_6,515355.92168945604,541064.8931020795,514969.6643058468,518097.6650645092,541988.628464819,505910.2729788088,530485.2904672311,505653.3661959545,508424.056431928,533686.3977100055
37,2021_6,211258.10267006734,200531.31684051012,199709.75306861123,207294.9257749437,224452.75006716695,216035.5159674587,206026.27972259326,203043.54304337897,211861.77496132566,228217.82068886494
38,2026_6,120128.06987388029,180035.66212189017,163119.23114488457,123064.05927876527,128145.13680870442,123044.75446407149,188301.96921232785,166941.11760155836,125871.91330338143,131360.121737067
39,2031_6,32521.897201090575,26058.528604607374,30282.819490400474,36372.68596192947,29456.145770791114,33666.81110028718,27025.9380187682,31427.748193673848,37517.59986112609,30601.059670184462
40,2036_6,136416.47426900922,93073.5408700695,124572.36524811396,126350.6660693209,159031.35867077933,133857.2649453445,89084.24103297602,122058.93707742088,123452.20366855916,155170.0909129539
41,2041_6,137396.4237178145,44500.70022996302,259111.15844153278,150397.9741718864,226414.18064630197,149981.18109667435,54358.84525037574,276091.15741123084,162022.61934127047,237136.66009817927
42,2016_7,509560.1401064084,522356.4483070517,524325.2870131352,517711.40768089995,541988.628464819,499588.1112722857,513566.53032063483,515535.36902671837,508167.1496490737,533686.3977100055
43,2021_7,208691.39873622634,160049.68036095423,186216.85902534006,201726.78640601848,230794.65747279118,212848.28288821888,163383.4703357219,189550.64900010778,205771.31810073,234273.5698070261
44,2026_7,118902.83473355598,214673.71434417015,171710.2348487905,125415.03161494555,136880.37504861303,120011.66770271238,221007.5057175368,175324.80392337812,128433.7051100017,140823.3589532502
45,2031_7,34197.04798599474,164946.83260979067,31894.98785190978,41261.23435319843,29454.756908901105,39138.948689998404,168780.54553658658,33039.90175110639,42337.2105481992,30530.75168300268
46,2036_7,142069.8092469218,71788.66763980284,123872.0056778961,128843.83915693883,119744.08663267005,140504.51349200247,68063.73087124738,119866.11249086307,126477.95770965586,115972.80477038564
47,2041_7,139273.3622278664,46313.29269900556,119766.22886142845,136472.36421721702,182344.1763819464,151137.5230599791,51019.45245014998,135937.9015608371,150451.3021657137,196105.150868581
48,2016_8,517711.40768089995,548451.6771032844,514969.6643058468,520765.44588889444,509560.1401064084,508167.1496490737,538398.4545919115,505653.3661959545,511975.5279024776,499588.1112722857
