,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,502367.23749102885,494705.39126786473,489963.76998797245,504110.8585991423,489963.76998797245,502367.23749102885,494705.39126786473,489963.76998797245,504110.8585991423,489963.76998797245
1,2021_0,201402.60998210873,274652.9727067134,205236.66457211043,202423.13204909788,225079.5060643124,201402.60998210873,274652.9727067134,205236.66457211043,202423.13204909788,225079.5060643124
2,2026_0,115314.76070067122,92281.49608529806,154772.8813136893,117993.06634274533,153690.96568538947,115314.76070067122,92281.49608529806,154772.8813136893,117993.06634274533,153690.96568538947
3,2031_0,44553.45421253811,41355.47782561775,44105.115386207566,35135.007687544545,31173.408936709173,44553.45421253811,41355.47782561775,44105.115386207566,35135.007687544545,31173.408936709173
4,2036_0,125749.44475947441,286424.98855105793,137579.87263940633,133028.12020477263,168153.58448936947,125749.44475947441,286424.98855105793,137579.87263940633,133028.12020477263,168153.58448936947
5,2041_0,151492.89016345804,56534.92956894377,163032.2004877611,144724.67399057117,183638.93869081972,151492.89016345804,56534.92956894377,163032.2004877611,144724.67399057117,183638.93869081972
6,2016_1,502367.23749102885,472099.44642948423,507256.60948313045,496449.01237597817,515085.9362195933,502367.23749102885,472099.44642948423,507256.60948313045,496449.01237597817,515085.9362195933
7,2021_1,205877.16282658905,169865.67557701148,217861.21737189748,213790.98195867552,202958.9505979248,205877.16282658905,169865.67557701148,217861.21737189748,213790.98195867552,202958.9505979248
8,2026_1,117876.73315742791,112082.45129423174,111454.4750383094,112808.76051594088,107152.82030927061,117876.73315742791,112082.45129423174,111454.4750383094,112808.76051594088,107152.82030927061
9,2031_1,36639.49880483869,147604.95186399802,36720.109252663984,41689.583965190104,64354.55216046928,36639.49880483869,147604.95186399802,36720.109252663984,41689.583965190104,64354.55216046928
10,2036_1,125950.03171948587,106202.05821622595,118752.94108876126,130352.45839303883,214348.97574420515,125950.03171948587,106202.05821622595,118752.94108876126,130352.45839303883,214348.97574420515
11,2041_1,144705.18222355927,178798.28005460696,123456.21835593195,140107.20067368125,114562.40443526229,144705.18222355927,178798.28005460696,123456.21835593195,140107.20067368125,114562.40443526229
12,2016_2,489963.76998797245,531125.2728444086,489963.76998797245,489963.76998797245,489963.76998797245,489963.76998797245,531125.2728444086,489963.76998797245,489963.76998797245,489963.76998797245
13,2021_2,212854.7283257887,233411.21287510396,210812.9231521232,221733.5900054176,260844.15463147796,212854.7283257887,233411.21287510396,210812.9231521232,221733.5900054176,260844.15463147796
14,2026_2,119599.18698947324,60079.19607428265,146410.676291327,115602.15851088919,120708.47410620494,119599.18698947324,60079.19607428265,146410.676291327,115602.15851088919,120708.47410620494
15,2031_2,34933.353179713886,36788.26907489065,35279.10313941197,36435.963510914065,43382.722295601685,34933.353179713886,36788.26907489065,35279.10313941197,36435.963510914065,43382.722295601685
16,2036_2,127685.19569957767,82450.32351414152,124379.95659803944,130053.23421027913,119785.61118489256,127685.19569957767,82450.32351414152,124379.95659803944,130053.23421027913,119785.61118489256
17,2041_2,166894.05190962317,78011.10170103559,133293.6786565061,146535.40367931037,183126.45980982794,166894.05190962317,78011.10170103559,133293.6786565061,146535.40367931037,183126.45980982794
18,2016_3,491707.3910960859,528837.2100443303,521571.178607599,502367.23749102885,515085.9362195933,491707.3910960859,528837.2100443303,521571.178607599,502367.23749102885,515085.9362195933
19,2021_3,209640.973407259,162562.2528118823,201862.3409515382,207080.25700581525,202958.9505979248,209640.973407259,162562.2528118823,201862.3409515382,207080.25700581525,202958.9505979248
20,2026_3,128518.18202257523,58902.16824660813,142082.52754920293,112780.36576635065,121681.69441576592,128518.18202257523,58902.16824660813,142082.52754920293,112780.36576635065,121681.69441576592
21,2031_3,33869.89469357614,31719.371149150247,32089.88968024662,38229.110152581496,108131.78529333456,33869.89469357614,31719.371149150247,32089.88968024662,38229.110152581496,108131.78529333456
22,2036_3,125161.37336855078,73853.39579073442,120690.85523971428,137534.36320776393,119408.64367832712,125161.37336855078,73853.39579073442,120690.85523971428,137534.36320776393,119408.64367832712
23,2041_3,152647.30656194763,64427.044454202376,121708.00963043663,141285.84865362183,113484.64849002578,152647.30656194763,64427.044454202376,121708.00963043663,141285.84865362183,113484.64849002578
24,2016_4,494705.39126786473,494705.39126786473,497625.61621113657,494705.39126786473,521740.29924695136,494705.39126786473,494705.39126786473,497625.61621113657,494705.39126786473,521740.29924695136
25,2021_4,204140.05492572385,203119.5328587347,209096.00027549724,208614.6077702042,201689.05662619855,204140.05492572385,203119.5328587347,209096.00027549724,208614.6077702042,201689.05662619855
26,2026_4,123463.53836482983,175681.09153212103,112865.5050411504,125082.24982401238,120293.33547379677,123463.53836482983,175681.09153212103,112865.5050411504,125082.24982401238,120293.33547379677
27,2031_4,34113.43255431064,126074.27030819538,67996.71385046157,37410.35999180624,55705.856277125466,34113.43255431064,126074.27030819538,67996.71385046157,37410.35999180624,55705.856277125466
28,2036_4,141261.2346509929,72706.11759487103,124807.63628731773,126859.87628585674,158802.0950839627,141261.2346509929,72706.11759487103,124807.63628731773,126859.87628585674,158802.0950839627
29,2041_4,138208.78801048108,182147.92238172484,132595.01054985833,145929.4204738189,164882.00443001915,138208.78801048108,182147.92238172484,132595.01054985833,145929.4204738189,164882.00443001915
30,2016_5,494705.39126786473,472099.44642948423,496449.01237597817,499369.2373192501,496618.13301533053,494705.39126786473,472099.44642948423,496449.01237597817,499369.2373192501,496618.13301533053
31,2021_5,203119.5328587347,166069.07771823448,220346.55382873086,208106.62264287006,239731.4191675497,203119.5328587347,166069.07771823448,220346.55382873086,208106.62264287006,239731.4191675497
32,2026_5,116450.51523804569,112082.33101413003,117217.6932776572,118730.19228352261,120474.34883878165,116450.51523804569,112082.33101413003,117217.6932776572,118730.19228352261,120474.34883878165
33,2031_5,34113.43255431064,253126.3506006346,41268.37005193658,36637.61801874472,61806.606084036044,34113.43255431064,253126.3506006346,41268.37005193658,36637.61801874472,61806.606084036044
34,2036_5,147183.3850359588,67875.9784930677,221660.25118051446,127638.38424232343,148073.3279529368,147183.3850359588,67875.9784930677,221660.25118051446,127638.38424232343,148073.3279529368
35,2041_5,159550.90993518877,49905.755910928114,109454.52886729548,144726.76328539907,112725.65183907232,159550.90993518877,49905.755910928114,109454.52886729548,144726.76328539907,112725.65183907232
36,2016_6,494705.39126786473,484677.7070161154,497625.61621113657,496449.01237597817,515085.9362195933,494705.39126786473,484677.7070161154,497625.61621113657,496449.01237597817,515085.9362195933
37,2021_6,215212.14945689327,192234.23645965743,203519.74169548447,211758.11867940208,222801.79209012675,215212.14945689327,192234.23645965743,203519.74169548447,211758.11867940208,222801.79209012675
38,2026_6,115276.8256745086,153406.05088620665,149325.30109242373,117934.04000152998,120599.7787874661,115276.8256745086,153406.05088620665,149325.30109242373,117934.04000152998,120599.7787874661
39,2031_6,33869.89469357614,27337.960561564087,32114.99347231185,36971.03808135353,31037.478263971327,33869.89469357614,27337.960561564087,32114.99347231185,36971.03808135353,31037.478263971327
40,2036_6,134958.65550177745,90655.79562952243,123559.39981625509,126920.65177272237,149680.5811113102,134958.65550177745,90655.79562952243,123559.39981625509,126920.65177272237,149680.5811113102
41,2041_6,139502.2706441004,48677.021893403995,231845.64825903354,150158.9513457996,208960.87793517308,139502.2706441004,48677.021893403995,231845.64825903354,150158.9513457996,208960.87793517308
42,2016_7,489963.76998797245,479761.29265264835,500602.24645577226,499369.2373192501,515085.9362195933,489963.76998797245,479761.29265264835,500602.24645577226,499369.2373192501,515085.9362195933
43,2021_7,212854.7283257887,164352.1548416085,190556.6251106825,205735.17708699487,226766.83787774664,212854.7283257887,164352.1548416085,190556.6251106825,205735.17708699487,226766.83787774664
44,2026_7,112169.8098625082,185589.22405588764,153945.20728721246,119268.26693330034,128354.06760310949,112169.8098625082,185589.22405588764,153945.20728721246,119268.26693330034,128354.06760310949
45,2031_7,35176.89104044839,136146.65588594356,33242.98534439535,40674.604954897615,30802.75440138667,35176.89104044839,136146.65588594356,33242.98534439535,40674.604954897615,30802.75440138667
46,2036_7,143254.7651661937,68888.21916685722,121898.55561866105,129714.20737503289,119187.13123378954,143254.7651661937,68888.21916685722,121898.55561866105,129714.20737503289,119187.13123378954
47,2041_7,141375.39423893302,50914.40498496914,120461.42408912902,140796.41773321442,169778.6950590565,141375.39423893302,50914.40498496914,120461.42408912902,140796.41773321442,169778.6950590565
48,2016_8,499369.2373192501,466813.3834576271,497625.61621113657,502367.23749102885,489963.76998797245,499369.2373192501,466813.3834576271,497625.61621113657,502367.23749102885,489963.76998797245
49,2021_8,203519.74169548447,149476.58583801138,204621.44743101686,207080.25700581525,206338.37030764282,203519.74169548447,149476.58583801138,204621.44743101686,207080.25700581525,206338.37030764282
50,2026_8,112773.87955896722,75343.12515378636,120249.08584597366,113206.97815827138,154818.7104737307,112773.87955896722,75343.12515378636,120249.08584597366,113206.97815827138,154818.7104737307
51,2031_8,44673.19476717462,30821.846909827666,67621.75006433061,40795.65182391121,72305.67902467777,44673.19476717462,30821.846909827666,67621.75006433061,40795.65182391121,72305.67902467777
52,2036_8,137127.1373069375,205953.9008535808,123435.1390090646,133332.6462000726,119046.34998474608,137127.1373069375,205953.9008535808,123435.1390090646,133332.6462000726,119046.34998474608
53,2041_8,143496.45910112266,81819.45900183289,132462.89664034237,141330.71414652368,166376.45133163806,143496.45910112266,81819.45900183289,132462.89664034237,141330.71414652368,166376.45133163806
54,2016_9,489963.76998797245,529381.6517362952,489963.76998797245,499369.2373192501,496618.13301533053,489963.76998797245,529381.6517362952,489963.76998797245,499369.2373192501,496618.13301533053
55,2021_9,209711.21741659075,191660.229902133,229483.81489946097,209956.91380990643,203966.7706003842,209711.21741659075,191660.229902133,229483.81489946097,209956.91380990643,203966.7706003842
56,2026_9,116498.59337619328,92289.27303658769,123804.02880107591,115445.76416380524,153384.52237172017,116498.59337619328,92289.27303658769,123804.02880107591,115445.76416380524,153384.52237172017
57,2031_9,34103.229694270776,30513.56305483442,87698.83401744634,36759.613221372645,32226.490847416993,34103.229694270776,30513.56305483442,87698.83401744634,36759.613221372645,32226.490847416993
58,2036_9,142426.3863928432,186575.22481129027,120536.9939344708,128245.56477987247,207967.72156686388,142426.3863928432,186575.22481129027,120536.9939344708,128245.56477987247,207967.72156686388
59,2041_9,156803.89415293123,58156.90690061767,127266.91490468549,147156.17071526978,122650.2530144728,156803.89415293123,58156.90690061767,127266.91490468549,147156.17071526978,122650.2530144728
60,2016_10,499369.2373192501,481504.9137607618,499369.2373192501,494705.39126786473,489963.76998797245,499369.2373192501,481504.9137607618,499369.2373192501,494705.39126786473,489963.76998797245
61,2021_10,208106.62264287006,228726.32482520406,225151.07150062922,215212.14945689327,206338.37030764282,208106.62264287006,228726.32482520406,225151.07150062922,215212.14945689327,206338.37030764282
62,2026_10,112215.63902254961,87865.35400333651,111737.79309070882,114731.78231926491,186176.11951383742,112215.63902254961,87865.35400333651,111737.79309070882,114731.78231926491,186176.11951383742
63,2031_10,42085.52742909146,30712.40390752778,105808.48636600548,39783.10827372406,30940.07393601453,42085.52742909146,30712.40390752778,105808.48636600548,39783.10827372406,30940.07393601453
64,2036_10,131541.52148020835,104009.29877825161,119511.45794769701,131185.07797339183,118772.75527113535,131541.52148020835,104009.29877825161,119511.45794769701,131185.07797339183,118772.75527113535
65,2041_10,151373.06312788796,196699.1028841944,110332.78319923187,146746.57046264628,109539.48774610434,151373.06312788796,196699.1028841944,110332.78319923187,146746.57046264628,109539.48774610434
66,2016_11,496449.01237597817,529381.6517362952,489963.76998797245,504110.8585991423,496618.13301533053,496449.01237597817,529381.6517362952,489963.76998797245,504110.8585991423,496618.13301533053
67,2021_11,212770.45989168633,185298.80996591994,206338.37030764282,202423.13204909788,239731.4191675497,212770.45989168633,185298.80996591994,206338.37030764282,202423.13204909788,239731.4191675497
68,2026_11,115260.90707751895,95669.03319177801,123925.72152505213,117993.06634274533,123612.8335706133,115260.90707751895,95669.03319177801,123925.72152505213,117993.06634274533,123612.8335706133
69,2031_11,33869.89469357614,30992.0693833773,123520.26579588698,35640.54713991007,32089.063367361225,33869.89469357614,30992.0693833773,123520.26579588698,35640.54713991007,32089.063367361225
70,2036_11,134849.8933966809,111120.52241316532,121528.20539266607,133370.641100246,159936.47503152586,134849.8933966809,111120.52241316532,121528.20539266607,133370.641100246,159936.47503152586
71,2041_11,139512.91021972202,321819.7928093233,109594.69200723388,141129.63310306112,165412.2208257637,139512.91021972202,321819.7928093233,109594.69200723388,141129.63310306112,165412.2208257637
72,2016_12,497625.61621113657,489963.76998797245,500602.24645577226,504110.8585991423,489963.76998797245,497625.61621113657,489963.76998797245,500602.24645577226,504110.8585991423,489963.76998797245
73,2021_12,207994.2945399648,209640.973407259,209729.57083250754,204455.9953283713,206338.37030764282,207994.2945399648,209640.973407259,209729.57083250754,204455.9953283713,206338.37030764282
74,2026_12,122386.23094836848,160273.52262044643,148984.6294073828,115365.7625787757,145997.38699889908,122386.23094836848,160273.52262044643,148984.6294073828,115365.7625787757,145997.38699889908
75,2031_12,33869.89469357614,43390.18054519649,31069.73409612216,37476.577533719064,38953.81560076677,33869.89469357614,43390.18054519649,31069.73409612216,37476.577533719064,38953.81560076677
76,2036_12,125180.38674609788,315359.0549231813,119814.68965912743,126798.84321063117,223385.11912051716,125180.38674609788,315359.0549231813,119814.68965912743,126798.84321063117,223385.11912051716
77,2041_12,147163.5411318049,43354.84674234128,118213.2226602682,147540.25193845353,100409.68835546714,147163.5411318049,43354.84674234128,118213.2226602682,147540.25193845353,100409.68835546714
78,2016_13,497625.61621113657,489963.76998797245,489963.76998797245,491707.3910960859,521740.29924695136,497625.61621113657,489963.76998797245,489963.76998797245,491707.3910960859,521740.29924695136
79,2021_13,208106.62264287006,281174.41325523774,205236.66457211043,219291.90044021065,202790.762361731,208106.62264287006,281174.41325523774,205236.66457211043,219291.90044021065,202790.762361731
80,2026_13,112215.63902254961,92327.32524533947,160480.43194535305,116131.28326914326,105810.29052734288,112215.63902254961,92327.32524533947,160480.43194535305,116131.28326914326,105810.29052734288
81,2031_13,47906.50898669981,136426.65204398698,87465.4990167517,34373.654680623666,48779.708634382514,47906.50898669981,136426.65204398698,87465.4990167517,34373.654680623666,48779.708634382514
82,2036_13,130172.00759193354,71055.57123454906,120502.97441276378,127319.63532635137,159433.55796693786,130172.00759193354,71055.57123454906,120502.97441276378,127319.63532635137,159433.55796693786
83,2041_13,144903.22097956616,183413.49125831088,116714.08500144948,147002.31104939012,159403.62862687826,144903.22097956616,183413.49125831088,116714.08500144948,147002.31104939012,159403.62862687826
84,2016_14,494705.39126786473,472099.44642948423,491707.3910960859,504110.8585991423,489963.76998797245,494705.39126786473,472099.44642948423,491707.3910960859,504110.8585991423,489963.76998797245
85,2021_14,204140.05492572385,170543.63056271482,226867.99437725518,203618.04537361913,205236.66457211043,204140.05492572385,170543.63056271482,226867.99437725518,203618.04537361913,205236.66457211043
86,2026_14,122520.27736725567,193854.3796086456,123287.45540686719,114758.76914235977,198802.79802099656,122520.27736725567,193854.3796086456,123287.45540686719,114758.76914235977,198802.79802099656
87,2031_14,34113.43255431064,30625.25714930701,55360.88050640731,38084.680590365184,30940.07393601453,34113.43255431064,30625.25714930701,55360.88050640731,38084.680590365184,30940.07393601453
88,2036_14,141261.2344683518,107183.9805471746,123058.48565465135,134615.34825919903,118559.1564918036,141261.2344683518,107183.9805471746,123058.48565465135,134615.34825919903,118559.1564918036
89,2041_14,149227.86919909672,179234.02055836451,132241.4521125389,148372.58798077845,190616.53199554354,149227.86919909672,179234.02055836451,132241.4521125389,148372.58798077845,190616.53199554354
90,2016_15,496449.01237597817,494705.39126786473,500602.24645577226,502367.23749102885,499594.7632599662,496449.01237597817,494705.39126786473,500602.24645577226,502367.23749102885,499594.7632599662
91,2021_15,210737.59661241295,329961.0176512499,190069.30145254257,206897.68489357823,226098.40681237078,210737.59661241295,329961.0176512499,190069.30145254257,206897.68489357823,226098.40681237078
92,2026_15,115255.73435945588,56737.48812784413,145266.94735645485,115381.68117576535,123954.03493952719,115255.73435945588,56737.48812784413,145266.94735645485,115381.68117576535,123954.03493952719
93,2031_15,34617.19254135816,112788.98333635283,33486.523205129844,35655.90631318491,30802.646455958762,34617.19254135816,112788.98333635283,33486.523205129844,35655.90631318491,30802.646455958762
94,2036_15,126695.0968989253,68947.25699153249,182155.93510453927,133537.19758723245,144737.99728339893,126695.0968989253,68947.25699153249,182155.93510453927,133537.19758723245,144737.99728339893
95,2041_15,147018.6746862526,57161.42262797083,120288.00425706594,141390.2929576004,114263.20309841813,147018.6746862526,57161.42262797083,120288.00425706594,141390.2929576004,114263.20309841813
96,2016_16,496449.01237597817,513260.9492859204,496618.13301533053,504110.8585991423,492940.400232608,496449.01237597817,513260.9492859204,496618.13301533053,504110.8585991423,492940.400232608
97,2021_16,210737.59661241295,141284.51552680874,240833.12490308212,204638.5674406083,211446.4937091335,210737.59661241295,141284.51552680874,240833.12490308212,204638.5674406083,211446.4937091335
98,2026_16,119884.04862794887,91440.84967646212,105918.98584608173,116221.60248554431,115197.7407921378,119884.04862794887,91440.84967646212,105918.98584608173,116221.60248554431,115197.7407921378
99,2031_16,36624.13963156385,132701.06180862975,35955.78092791041,35327.062128409016,106054.64149858615,36624.13963156385,132701.06180862975,35955.78092791041,35327.062128409016,106054.64149858615
100,2036_16,126999.45130362232,72663.92985575453,127508.04417250986,127089.59340708087,148578.83300691834,126999.45130362232,72663.92985575453,127508.04417250986,127089.59340708087,148578.83300691834
101,2041_16,143980.5179273194,67178.2002684872,126743.20188601347,147693.44149021397,111962.2494320561,143980.5179273194,67178.2002684872,126743.20188601347,147693.44149021397,111962.2494320561
102,2016_17,502367.23749102885,491707.3910960859,526481.9205268436,504110.8585991423,489963.76998797245,502367.23749102885,491707.3910960859,526481.9205268436,504110.8585991423,489963.76998797245
103,2021_17,205877.16282658905,329286.81616442173,200419.1247148029,204638.5674406083,260844.15463147796,205877.16282658905,329286.81616442173,200419.1247148029,204638.5674406083,260844.15463147796
104,2026_17,112077.41225056147,106813.32109660615,106383.44738238756,114761.69288231668,109390.40277778731,112077.41225056147,106813.32109660615,106383.44738238756,114761.69288231668,109390.40277778731
105,2031_17,38229.110152581496,25727.254870184246,32080.357314639292,38080.412317850365,31035.981456653404,38229.110152581496,25727.254870184246,32080.357314639292,38080.412317850365,31035.981456653404
