,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,180505.9354514695,177065.10096692867,172323.47968703642,182249.5565595829,172323.47968703642,180505.93555660977,177065.10107435883,172323.47979446658,182249.55666472318,172323.47979446658
1,2021_0,286067.9280674066,344653.09912649525,289923.59798517,285989.75132335117,306961.9683863668,286067.92816392845,344653.09934076754,289923.5980790341,285989.75141987304,306961.9684862156
2,2026_0,289027.4599090583,265955.4455201042,317838.4312351596,292543.443253527,316511.4037771208,286286.71861320373,265360.20661850995,317243.19236676546,286733.6805831047,311729.6831576092
3,2031_0,245657.96697297634,205544.11065099857,253830.68496669483,233789.37771466974,224826.26457911238,252111.6114317873,211361.20209722262,257508.85004744376,242054.55147856066,235691.0994791887
4,2036_0,275435.7845669913,368313.1175859847,284176.7452951226,283238.9876421397,307051.11739914893,243938.27780509906,367716.8701909246,253541.72518947624,250988.81306305,281895.3768841994
5,2041_0,304198.0412282126,182337.22036747448,294378.10330365057,301943.80809804425,304589.2553581342,316550.3021448678,189434.85514021735,309083.30512114667,314207.5074253782,315011.15594861
6,2016_1,180505.9354514695,215639.71944466818,200704.61400296056,178808.7220750421,181123.6575098532,180505.93555660977,215639.71955209834,200704.61411047255,178808.72218247224,181123.65731843116
7,2021_1,289350.08879910567,231882.8088605665,277882.1053663967,294989.466685958,283120.4368739677,289350.08889809524,231882.80895689825,277882.10560361505,294989.46678369323,283120.43730406056
8,2026_1,292684.1065079951,239865.3765873293,281372.64980724856,286616.62452036614,282689.37888247723,287113.95645119087,238525.34821674656,276635.5876456343,280806.86183724634,282094.1400088683
9,2031_1,247499.71364118138,295370.3552355601,240099.83196232186,248367.10827037063,271349.55631458666,255723.9036814469,301019.4923454821,251120.80856346092,257174.82837015035,275220.1643621117
10,2036_1,277151.17119116767,232440.44231865415,261572.23023960282,282329.8699459846,321757.33561276225,245172.93428694285,203712.54963843885,234991.230503805,248232.46392185797,298607.92826793034
11,2041_1,301308.0734703045,284646.6773007078,275304.797865342,298889.23679168645,262857.48973338224,314702.8140606154,297350.74524222093,289038.7996855146,310373.07468627265,272911.2470909362
12,2016_2,172323.47968703642,215420.41465245778,172323.47968703642,172323.47968703642,172323.47968703642,172323.47979446658,215420.41439093585,172323.47979446658,172323.47979446658,172323.47979446658
13,2021_2,296274.16402897204,280928.0600078304,288769.03806537273,302942.80550825666,333090.65656662034,296274.1641242396,280928.06032988644,288769.03816170455,302942.8056059919,333090.6568110067
14,2026_2,294103.54229801736,222491.58691599237,314170.03794435534,290667.96397713874,292655.8805799797,288726.9808753421,218261.46534385526,307139.73784301913,285097.81391574803,287964.0987127113
15,2031_2,232991.64301886235,201562.33737849738,239357.15695176565,246737.99776507626,247790.79106909965,240905.47280906976,202169.36429786892,251267.09751790797,255133.1574333547,259186.4739955703
16,2036_2,274652.3859116706,209511.04806056633,267046.8424619125,277443.4763515633,262647.2296563522,242740.97079037156,210309.7200244712,241806.04255146408,245701.71058130977,237180.58291170796
17,2041_2,317079.611118983,231557.20941011596,293943.2171638629,300850.02158056194,302118.2433378443,327874.24306711234,239288.25975598703,302436.994642299,312210.53431895457,314943.84638778993
18,2016_3,174067.10079514983,280840.55635719677,187608.89989785885,180505.9354514695,181123.6575098532,174067.10090258,280840.55638013675,187608.89970643682,180505.93555660977,181123.65731843116
19,2021_3,292628.433256605,181210.5303662022,280330.88242334785,290136.26360367646,283120.4368739677,292628.43335046904,181210.53067810248,280330.8828534407,290136.2637026718,283120.43730406056
20,2026_3,300906.85064585716,170226.50913477596,314096.28357178974,286588.8367045647,293939.5346323729,295097.0879756155,170226.50916969386,309427.62501924415,281018.6866372702,293434.2345208217
21,2031_3,236376.06868652537,182633.5973045383,229082.32443633763,236257.09346929437,301622.5710056514,244650.78112519483,183884.55763080865,240228.9299582945,244596.09429249098,310656.16038381914
22,2036_3,274002.840774812,200310.4936974597,262071.81781761156,288900.07799654576,254929.6811699643,242282.39143941525,186377.4210245458,238906.70802479176,255069.32566059942,232436.27925148729
23,2041_3,303849.1830466586,221256.35540218418,284825.28546245146,300133.6066960895,263313.06083718507,314424.79696147476,231972.6596833306,293350.2936538192,310504.73652204574,272149.87346506974
24,2016_4,177065.10096692867,177065.10096692867,175764.31417157722,177065.10096692867,191831.46055597527,177065.10107435883,177065.10107435883,175764.31427671752,177065.10107435883,191831.46036692502
25,2021_4,287815.68901070073,287212.2202786056,287624.7458541738,291097.8497423998,276607.42799625586,287815.68910456484,287212.2203724697,287624.74595316325,291097.84983873164,276607.4284242497
26,2026_4,294993.611227396,315592.35984400497,283624.2652102366,297558.9469246618,292581.97855704953,292252.8699317221,314445.9200671654,277927.91478565935,291988.7968680383,287890.1967001879
27,2031_4,239957.42233387913,296429.99240286957,260364.63537590648,245246.33580522778,249576.47171563428,244203.1511682445,296254.6938657787,271402.13485610887,253635.6387373758,258270.99636526892
28,2036_4,288204.0045617071,200591.94379236584,269402.14384431083,277889.8761982173,279611.18374035246,254693.6568271524,191317.9317773847,244789.66656875747,245851.196311174,257506.8518502745
