,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,168919.90320259664,166426.8849896713,164815.71067442183,170232.64862850856,164815.71067442183,168919.9036940941,166139.24451693593,164528.0702016865,170232.64912000604,164528.0702016865
1,2021_0,318084.5028884824,383759.6865327799,318105.6562862046,319057.9010027595,336906.95825782005,318903.2976378768,383902.8570612715,318924.451035599,319876.695752154,337725.7531180607
2,2026_0,273092.2422343936,241899.6111691896,299846.11030960607,272742.0765845054,292908.54583177983,275870.3133185378,244632.69597976908,302707.5320279606,275041.95838376286,294219.30592557805
3,2031_0,253220.33494160915,209901.73072173537,259320.46351302278,242596.2984172672,234836.36848801622,260577.93091866543,217134.0119522153,266585.06192450185,250588.65835994887,244136.4083864142
4,2036_0,277353.7726925407,364893.2727589178,276824.5381356319,286886.55873498216,297664.7179611674,246321.97572005173,362552.68781254,251132.56771641516,251995.5142445331,275998.74113425415
5,2041_0,296953.7362372055,174311.48369388585,295027.2688182991,293673.43915226427,315253.574878378,299797.79416859424,171084.92824672716,295182.39305272844,296974.59969318326,311379.76775701507
6,2016_1,168919.90320259664,199827.17615573123,183015.54501137542,167739.6304155832,169424.83834512442,168919.9036940941,199539.5356829959,183015.54533663555,167451.98994284787,169424.8388366219
7,2021_1,322171.7103914246,283117.4471991826,333682.2543404516,327649.21772183053,317379.8594149185,322990.50514081906,283936.24194857705,334501.04926646897,328615.0411923988,318198.654164313
8,2026_1,273065.9940978125,214695.66515921085,248464.49739540834,268089.9260901597,263693.2368085406,275650.4765454484,216052.73770667042,249646.91882244305,270389.82823719055,266426.3198601316
9,2031_1,258370.80643711597,302520.137433678,249466.12199915416,257952.79719174738,278413.5372143265,266192.73350062274,310970.1502104739,258836.59300475134,266861.6563023716,285974.63730834384
10,2036_1,279505.3537896049,218872.70443349387,261268.19303892643,281955.08415019955,315427.7413152099,247110.19271516212,196345.07089611585,234449.0077384341,248118.73658460268,294746.30417111865
11,2041_1,291901.49781965517,271290.96876186994,269844.04548951815,289210.91326928366,262665.74032419425,295905.1667218764,276824.7748600736,273673.12024560134,295286.74880533706,261675.39036397854
12,2016_2,164815.71067442183,204491.85898423154,164815.71067442183,164815.71067442183,164815.71067442183,164528.0702016865,204491.85947572906,164528.0702016865,164528.0702016865,164528.0702016865
13,2021_2,324812.6373740132,319033.4428624839,334618.29355757346,334284.48697689874,367687.42206701677,325778.46084458154,319033.4374630698,335437.08830696787,335250.310447467,368649.38165496057
14,2026_2,273906.9050284756,204234.38886405705,282586.17880629504,269918.6043722816,263203.85463651083,276639.9880800666,205416.81111313272,283933.1030508062,272503.0868199175,264133.9879487569
15,2031_2,242103.2539947085,194449.71904907457,251045.1335212281,256624.62407530262,258210.45220399724,250066.73985149202,193000.1213991417,261410.03699952815,264939.9906546542,267720.3681688837
16,2036_2,278899.6275676641,210520.97925565494,270501.0453886678,279820.02897079097,255860.4688191439,245603.93622395975,208956.16783481333,240700.4757247788,246600.6183992603,232210.0167610666
17,2041_2,311390.01255816285,225046.63432876035,281439.6042177801,295719.2805635792,310952.0037063586,314533.5716641185,218635.2572337606,283074.05069666397,301332.60607500427,309772.3864928289
18,2016_3,166128.45610033374,277449.3763067263,172348.75808628576,168919.90320259664,169424.83834512442,165840.8156275984,277449.3764197805,172348.75857778324,168919.9036940941,169424.8388366219
19,2021_3,323490.29838614777,231053.38420532938,318353.2575291957,323327.6146875042,317379.8594149185,324309.09313554224,231053.38466966242,319172.0522785901,324146.40943689866,318198.654164313
20,2026_3,279932.9534674636,159339.32904857097,285609.6126925926,268120.2492172683,270779.2220543381,282442.3261167507,159339.32946573544,286539.74600483873,270659.74363235093,273260.0169911405
21,2031_3,244556.20614783702,179580.15170116237,238733.27204089734,244889.77914319313,313034.57303877844,252987.374417732,180831.11213161016,248720.00626950932,252708.27782193272,321102.15867371263
22,2036_3,276271.4223364454,184065.65317225005,263852.5450023692,289087.7263516926,243807.77063447365,244947.18451718803,184193.5185625741,238502.60288770034,254006.32929550877,223392.1039699807
23,2041_3,300156.3472044052,209630.89947074594,271489.1330449119,293013.2242051071,267810.4641551659,303821.7741284757,206783.17417200905,276168.51344005315,297030.65498298826,264950.51877002284
24,2016_4,166426.8849896713,166426.8849896713,167308.7288873472,166426.8849896713,182624.93034863137,166139.24451693593,166139.24451693593,167308.72937884467,166139.24451693593,182624.9306738916
