,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,565608.712190275,563137.3294702024,558922.0883137856,566921.4576161869,558922.0883137856,524199.0202447782,520494.7805738609,515753.15929396864,525511.76567069,515753.15929396864
1,2021_0,232319.51736551942,282933.46720829414,234581.89429020256,233270.65157750782,251126.4386315887,236583.71087009762,274089.6694723354,240096.63704276277,237601.18342343022,258385.03518532307
2,2026_0,83992.58443279007,67280.49894315054,114773.10569130458,86292.08136027215,112618.81654441115,120663.9968970242,99919.08318826344,147306.27354314324,122714.12760270119,143908.15785300804
3,2031_0,79216.80389796445,65680.28146757121,85527.58534313999,69356.03984345077,63456.992230371165,75509.82830103251,70030.22825041514,80577.64832240988,66094.74272202468,56992.27512017445
4,2036_0,170700.80067453836,278461.06768871384,170809.85845304577,179518.32469701805,197758.7689612417,88785.30051549691,244937.5808367325,95756.50513390504,96475.62268815299,127360.04000572
5,2041_0,101062.73602895571,32807.985549671655,107286.36481341287,94619.82498676183,135126.76294774804,108621.03638439857,53251.29818593131,118554.80588843633,103063.75944675089,143906.05023582926
6,2016_1,565608.712190275,540646.361706581,568900.2802701722,564450.0748961144,560612.1134621383,524199.0202447782,506047.9876876835,528851.5641776904,521807.52599977277,533320.2352235564
7,2021_1,236406.72486846164,191494.95188505726,238719.85573685402,241838.50248918028,233556.22606796896,240670.91837303984,189045.13779195317,235639.63616079246,246728.61064698908,228343.41051456388
8,2026_1,85826.0181162725,79655.68677861549,79321.5139992178,81299.64425649382,78527.65384204075,122282.17272177945,112852.97737126284,113100.46683984232,117820.95876185494,114368.91753421778
9,2031_1,73230.6999093737,144362.57708710467,70477.17380232272,76104.71841594558,102741.96588407391,69518.3103389638,153170.68855421236,63936.85774334652,72975.81966898275,97924.59262141805
10,2036_1,172182.4531873443,142928.14234432337,158482.43337718636,174982.40811697865,220677.0070954354,89048.52392621516,68981.04787940677,82803.57701136504,93508.09626513108,150198.5424221342
11,2041_1,94252.07133953889,121200.43263600464,78651.51460851,87857.97207762695,84162.39061539521,102769.77611771354,153287.7890894046,97160.68386128172,100076.24014328602,84596.99191645524
12,2016_2,558922.0883137856,558740.5753432814,558922.0883137856,558922.0883137856,558922.0883137856,515753.15929396864,540365.2256877581,515753.15929396864,515753.15929396864,515753.15929396864
13,2021_2,241286.56296833488,242420.09377946792,238758.02411572565,249505.19448073884,277943.9258654731,246110.33278479948,247469.72020004079,244044.14770196175,254454.41471844356,275583.40853252367
14,2026_2,87561.35155864977,64175.44665886868,108992.82846620998,83520.84739228628,89273.35922521123,124740.89554840462,80347.84738293882,144751.9582641569,120064.78658589853,120751.35197914449
15,2031_2,68576.36305709946,57435.45647297745,68570.11915603666,71913.91400635376,76662.47846372958,64991.4309678894,37769.208095213064,63073.39428365849,67905.10901123157,70041.09649294081
16,2036_2,172069.11439318134,107549.28156833231,163936.9684026942,177047.2731460973,154305.439599115,92146.59832133786,56253.453633737096,86219.3957349942,89941.70317260435,82513.07196906567
17,2041_2,113377.6385444967,42850.55459926496,85398.65166452908,93828.97472588395,132740.61194880202,122685.1283764289,65992.68159522495,95572.82425894638,105057.84166399362,137920.49485644366
18,2016_3,560234.8337396976,536884.7691094467,566140.1000444669,565608.712190275,560612.1134621383,517065.9047198805,527117.4082047881,539374.6019293605,524199.0202447782,533320.2352235564
19,2021_3,238713.31829966433,168034.9618163797,232244.98335527422,237540.342088638,233556.22606796896,244353.5114734646,166153.0692497694,227098.50614321337,241870.43546356165,228343.41051456388
20,2026_3,94548.68491113729,71778.61924153182,108241.29616904589,80791.73608841738,91464.89020452219,131071.86705413194,84467.78681284685,142238.04959347507,117321.44481075865,125899.15669502711
21,2031_3,68203.15219426548,51683.07204126593,64180.26088534874,72314.0306690622,132324.70242383762,64290.94417394169,32495.12359043062,58656.87861474155,68908.22269408088,126015.80643711638
22,2036_3,170162.98199348873,104619.76153484518,157306.12347908193,181957.4194190482,150998.1421988479,88057.13839887462,44635.77105271853,83597.55089462076,99437.01668915087,80334.31114427734
23,2041_3,101032.77587667758,44346.64754581014,83001.09401848154,89431.78227943018,82740.96783726098,112837.47667423272,79736.38643697211,89553.62029836499,102242.4502751206,82176.83579687546
24,2016_4,563137.3294702024,563137.3294702024,561393.4710338583,563137.3294702024,566481.6661296743,520494.7805738609,520494.7805738609,519457.3989648859,520494.7805738609,539772.2747033407
25,2021_4,233270.65157750782,232319.51736551942,238758.02411572565,237357.85908045003,230540.51191512964,238851.73267141223,237834.26011807963,242793.5984539797,242938.94017435444,226968.56592721786
26,2026_4,89946.86463800518,140735.63830810494,80955.19339288166,90844.14023267587,90274.34855475013,126748.18823288525,175091.04203637684,117050.495928583,127344.62889261512,123671.3622057226
27,2031_4,74756.49407139696,128914.89107286026,93964.0053506292,72419.61887465596,88364.05388589959,70224.89700024082,119925.88603502301,90093.66940760083,68684.50171366667,80890.71302345555
28,2036_4,181261.7751372622,96059.34565204683,163369.58908351627,173422.90042492954,173061.61683614555,101819.05348907258,50453.45597276124,87124.69224174322,90740.66882836766,107086.57424961057
29,2041_4,87173.53988240763,128952.36132866066,86208.43199544199,93855.80922973285,132479.07476709195,98478.00367987386,147859.3119370157,95456.54962174856,105575.20763075021,132031.39850471346
30,2016_5,563137.3294702024,540646.361706581,564450.0748961144,562706.2164597702,564791.6409813216,520494.7805738609,506047.9876876835,521807.52599977277,520770.14439079777,522205.19877375296
31,2021_5,232319.51736551942,188082.55883973723,246543.727421041,238895.8013078523,258383.6673712476,237834.26011807963,185632.74474663314,253802.32397477535,243285.0067626718,255920.16580261738
32,2026_5,81416.1363857321,80307.1044560836,81110.90486879095,86933.17426978349,86703.83458034482,118455.64463309941,113783.43834261716,116906.58657291654,123485.57647518012,121102.01861646063
33,2031_5,76012.92835683453,222012.02026115925,72999.6823556038,73091.79517095075,90703.71315855149,70820.01840521341,221534.19885110878,66711.81600161211,69415.02059980185,85646.78741146871
34,2036_5,192526.97253237688,89726.87301390847,241119.43245071633,172244.15170578842,176155.87810377002,108309.55200239366,48060.39828256446,161622.59132531955,88729.33943269528,102012.05715556025
35,2041_5,101414.56193651237,19385.626809582907,72447.15912126128,94654.86944860089,73928.88300386912,112068.03025224105,41994.64208214973,80205.89246057784,103132.66258571617,86961.7311065036
36,2016_6,563137.3294702024,534163.7863494462,561393.4710338583,564450.0748961144,560612.1134621383,520494.7805738609,499076.4659570184,519457.3989648859,521807.52599977277,533320.2352235564
37,2021_6,243111.39354659393,194831.7226134682,234581.89429020256,239975.3202556401,250100.77040935511,247935.1633630586,219451.0576010172,238846.08779478076,244865.42841344897,246631.80865712417
38,2026_6,83152.47730417205,154350.55846159294,113654.0700041707,86085.43602409081,89310.60105762877,120013.3119710695,160605.5069723691,149717.6195985572,122606.75052945192,122501.04100489194
39,2031_6,67491.16747193418,41208.99437553292,65404.75438677705,72106.91284636596,63160.86068690827,63791.88362264404,27171.65583226038,59577.71836213447,68173.72104428119,56939.300652118094
40,2036_6,178598.25799605146,104105.9277859203,163580.0890868276,170942.83224472858,175003.86697061112,96688.26948201987,52578.68897735925,86731.51946147437,90067.02558078016,105896.80987569853
41,2041_6,88238.83259936565,23627.122214895317,183926.60344097737,100340.99482037002,167748.22685255794,99919.63979786311,60235.450446793395,186776.64245386393,108449.64190422953,166521.75764646716
42,2016_7,558922.0883137856,543117.7444266535,563030.7276026363,562706.2164597702,560612.1134621383,515753.15929396864,509752.22735860077,522399.5246979064,520770.14439079777,533320.2352235564
43,2021_7,241286.56296833488,188082.55883973723,220858.51042199734,236627.55953193066,256111.47463084388,246110.33278479948,184382.19549865116,225122.70392657552,240891.3145655101,250986.19491721797
44,2026_7,81344.63478760475,140648.789429434,114374.45767277121,87638.66475583929,95896.96480263132,118739.43663608682,169189.31289797483,145943.8066445694,124183.75907455056,126334.38920325381
45,2031_7,74616.37306516165,129231.44171917242,67889.18750723057,76451.31306030994,61382.11513677641,70403.07019244552,129690.10509163364,63571.458156433844,72740.43242647854,56600.697496972185
46,2036_7,182716.23261189501,90181.50200076708,159828.134806511,173635.51316845568,153834.17026910422,103784.1452503178,48707.33943476499,83873.91994905082,90837.1837719795,82479.41070489053
47,2041_7,88503.8290905731,17637.985003903,78904.61636075002,88358.17206830821,131544.20396717032,100947.78478326136,49406.42476554551,89263.73074247963,100966.24542903747,138614.17186032885
48,2016_8,562706.2164597702,515888.0597422416,561393.4710338583,565608.712190275,558922.0883137856,520770.14439079777,489371.29435073334,519457.3989648859,524199.0202447782,515753.15929396864
49,2021_8,234581.89429020256,151364.2957801524,234670.81661278347,237540.342088638,234670.81661278347,238846.08779478076,171505.4222017067,238706.39095103752,241870.43546356165,239956.9401990195
50,2026_8,81982.3181263623,83651.81108291814,87788.23488795738,81202.69685960928,114298.46949391958,119277.9205067165,100209.64711781136,123838.09258162833,117817.98271419697,145801.1505178022
51,2031_8,84353.7297198261,54053.14714896452,94811.10883993078,76677.13134914008,96949.24984453588,80268.46558986221,32755.92562192438,91462.13876478202,73010.89856083118,92698.07499967363
52,2036_8,178464.68930565566,204702.06877543422,162157.95578684146,180627.7006894596,150131.18855751102,97109.33084391135,144663.18684388042,85226.33680876566,95238.41306463824,81615.41106656469
53,2041_8,94227.37297285162,50558.32732123994,86879.62392628055,88358.17206830821,126015.51772671961,100900.67150684238,82286.44254002935,95611.8820948625,99804.27254263428,133167.25876901526
54,2016_9,558922.0883137856,557427.8299173694,558922.0883137856,562706.2164597702,564791.6409813216,515753.15929396864,539052.4802618461,515753.15929396864,520770.14439079777,522205.19877375296
55,2021_9,238669.10179314477,216020.5470405759,255257.86264105048,240576.5005332045,231566.18013736323,244183.84454570498,191187.6423787638,262641.9096160249,244966.14445902276,238721.7924554167
56,2026_9,81333.14192373629,68768.27708829507,86715.42583185805,84068.83404660874,113582.56404153252,118476.17043003801,98456.5727083515,121468.26968465233,120514.09317908614,145078.4790538387
57,2031_9,71932.88478029097,59871.41762973169,109689.50056429536,72932.19195186699,66260.25794281405,67950.75321551182,64567.988832135015,101514.97601487029,68646.74102587091,60676.274234153454
58,2036_9,184781.27795880174,184241.54692608188,154722.99739662072,176714.9246027342,220183.43349597417,103074.95144617603,148503.0664831314,81887.81936543794,89866.19356179575,153715.64239327353
59,2041_9,100866.34580961976,39437.231844926326,89480.5976200318,94411.83983063449,84994.84217367272,112870.99453844085,57206.89740215119,97159.40897416962,105234.33589784509,91685.38667217197
