,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,566273.5739265928,566533.3629711195,563898.6622413335,566385.2813252974,563898.6622413335,513841.7997499267,512930.03147597314,509768.9506227117,513953.5071486313,509768.9506227117
1,2021_0,230813.97064640783,255985.2984224195,233230.46929688763,231440.37007259464,242923.50148513314,234434.63113878825,248128.89911128083,236726.5394768159,234862.03440504536,247294.87823018667
2,2026_0,76586.56541066211,60944.87094339021,95179.4413729254,77664.98227481631,92802.17742056584,98452.80408666443,78905.52836350963,116862.83723189186,99559.01874839638,114282.33845014144
3,2031_0,79635.10064420724,66098.57821381395,85967.87504231946,73434.66644781374,66835.14037421685,101559.56178229567,92972.84883624798,102497.0726982869,96086.14060044209,85703.04150322657
4,2036_0,152700.2659975865,198143.89723413956,148936.0268805522,158815.29095010174,164032.34892358643,97141.02865466847,188417.676239646,99154.71192894598,102528.06139955134,119972.7014767645
5,2041_0,104851.10054186871,41895.300897124645,105338.84375485496,100595.49288173838,125732.38064847019,126288.83464145397,49605.98282213412,122525.58293554514,122332.67375073416,139623.6746076673
6,2016_1,566273.5739265928,514192.75633120886,555017.3178602719,566645.0703698242,552284.8041194921,513841.7997499267,471565.6502578863,503167.55667922186,513041.73887467774,513522.60970355733
7,2021_1,233538.7756483693,192370.0750543395,228477.7428760882,237152.2706803763,232204.80107465404,236916.21441992387,187604.35767248014,225846.23554034825,240823.34492975203,228282.30537393197
8,2026_1,77419.47079857999,73146.81586217217,70914.93378932343,74389.05223137699,71977.88545436389,99437.66591634555,96707.03641579907,90542.9447479644,96580.57018128423,94660.15409459069
9,2031_1,76754.35736824946,116255.8262753505,73166.89685137212,78049.71188487111,97088.44848671554,98407.7917352825,148595.64362778474,89550.69287849583,100254.96385753904,112139.86812132598
10,2036_1,154027.36362521455,121996.4335833982,142006.8500769487,157937.34119660046,177969.16705309149,97520.60823644373,68552.88765847954,90845.09923729548,98903.77316204557,136972.7940162131
11,2041_1,100362.52442012372,97957.37049795939,86882.3631332168,96867.07427419099,93178.96361208192,122235.85859782847,117018.33913062437,116542.81978755821,120653.72560807432,103209.58060691878
12,2016_2,563898.6622413335,524630.3299956018,563898.6622413335,563898.6622413335,563898.6622413335,509768.9506227117,498404.8057849809,509768.9506227117,509768.9506227117,509768.9506227117
13,2021_2,237700.2484156425,215898.17230992194,231060.18969165123,242257.81768117764,259597.33720507065,241416.19709915132,217672.8568653841,234038.94417126683,245968.29998381727,256981.21316125971
14,2026_2,78723.20342957045,58899.75044342708,92327.07092077195,75912.21939076668,78047.11855211995,100960.21756515185,73542.26175325667,112757.12098478073,97910.75537471168,97039.1433381209
15,2031_2,71757.1210244642,56415.62315416314,70802.04813798208,75069.93544218138,76215.42978169248,94984.32154545543,36338.36224491686,93452.5757554815,97204.2743478814,92437.0498334794
16,2036_2,155329.27078459092,92000.63644855419,145867.0601906931,157397.05629317588,138079.22785980412,97913.3092534167,75646.96492427202,95110.95734474629,97055.56510423702,89638.27018312577
17,2041_2,113586.66670254453,53736.10180491291,95598.48589681284,100566.42480664194,122968.72146629539,133451.52692260948,78928.08504015402,116524.82094943324,122421.04576123552,132001.8185791652
18,2016_3,564010.3696400381,464825.99058862735,555031.2122479826,566273.5739265928,552284.8041194921,509880.6580214163,453323.0035013251,516795.3979555234,513841.7997499267,513522.60970355733
19,2021_3,235063.2335604613,153310.43280237878,230414.70185036105,234286.83041334813,232204.80107465404,238553.83735952037,148521.61721354417,226447.33171550595,237708.45155218334,228282.30537393197
20,2026_3,83169.3846420597,63866.168637444476,90829.26086354328,74110.64897008956,80461.62433689703,105347.6683332872,81256.7360231828,111226.28140795967,96315.31440833416,102277.86833600786
21,2031_3,72158.25532169455,53248.7756381743,67161.13835294794,75041.62603065341,110074.87828298632,95156.39997124483,35175.36065715596,86310.48924630332,97341.0551994146,128093.81424972138
22,2036_3,152020.2379156774,86282.1290211897,140725.0227713527,162529.17792691704,134892.4440379839,95896.64079011083,59483.28024609466,90192.0129545277,104253.43121481071,89224.52076261998
23,2041_3,105827.49626273493,53204.29189142771,92904.54877490191,98199.2639582885,92633.36764802522,126165.31257932151,88612.15917976576,113705.06656375711,120988.88735970337,101238.90599395381
24,2016_4,566533.3629711195,566533.3629711195,563638.8731968068,566533.3629711195,549744.3583526894,512930.03147597314,512930.03147597314,510680.71889666514,512930.03147597314,510751.18337998854
25,2021_4,231440.37007259464,230813.97064640783,231060.18969165123,234165.17507455611,228838.29791144488,235134.78753921567,234464.16255213274,234009.41275792234,237616.37082035132,226027.5068704808
26,2026_4,80571.36061069115,113539.03933882204,74199.66867692446,80780.16192952936,78113.26150379256,102812.5314389974,136757.02632419928,95700.49437882943,103128.0070015983,99929.50550290338
