,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,354391.1497736774,351712.7973388383,350101.6230235888,355931.85512152326,350101.6230235888,357257.4210782606,351767.18525746895,350156.01094221947,358798.1264261064,350156.01094221947
1,2021_0,200409.9650025507,265892.4675544417,200738.86335299927,200690.62508510624,220407.19700467217,200409.96512266903,269204.92379155144,200738.86347311758,200923.65337922648,220377.9755486378
2,2026_0,206287.83241986408,171261.68974612106,237902.17957946943,206123.41134963094,233887.65153467486,204358.32239318575,167667.78639635985,237627.7602547275,206374.60376222242,235820.04957392596
3,2031_0,213601.4431543579,174597.4793971432,218940.18978879708,201216.0633641224,189638.47027744981,213949.49455031456,175478.80237085008,220476.1426842003,200861.8001853683,190102.61083500195
4,2036_0,202131.0655736696,340657.5523848063,210058.5021958811,209753.6595704045,244100.5225241942,201026.79978450784,337494.7994202217,210254.5845984926,208680.7661835503,241225.5261997393
5,2041_0,213444.72183330107,82462.82433125391,219154.33308030583,208483.4254648492,232350.3360747609,211312.5581883228,82236.0929158576,218140.0151884793,205820.3889258993,224454.96439189438
6,2016_1,354391.1497736774,348154.0431354492,359595.4280065342,353253.5026866841,375649.90367968247,357257.4210782606,347062.46201031224,361743.24407465995,353307.8906053147,379530.2423405758
7,2021_1,203808.63444829854,172865.07756349415,222573.18659823434,208942.24760193113,194251.42646778826,203808.63456841683,171629.51100994012,223838.56727291408,210612.5802780241,194246.11671955042
8,2026_1,206401.45049950728,184328.4988376697,185094.22268643865,201792.79403229096,195398.23231184232,206714.09374304683,184513.60726887203,181236.9408279115,202044.1853580176,193115.3152600153
9,2031_1,217918.26387923406,264958.15410970774,201916.80767137435,218653.4073928375,235281.759338931,216005.00136245423,272095.6760870227,204033.1865800245,216472.80004802204,238516.69185257173
10,2036_1,203568.84481879155,165257.34848239823,198825.69879016897,206454.71657047662,277905.5818771421,202689.36742690433,167596.77905789902,196525.41610707875,206805.78606080334,273678.26333637047
11,2041_1,207610.75252930916,205287.3911217907,181696.8229752579,205063.3279960147,170660.7152141992,208981.1301179539,199119.4056017997,183673.34805403397,205638.05628438946,167576.17759534757
