,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,359404.73278350703,353339.4778598383,348005.0668716476,362146.47615856014,348005.0668716476,363176.8075173838,357111.552593715,351502.1672246441,365690.59097050305,351502.1672246441
1,2021_0,200409.96500282688,301794.0957535115,201554.84764788716,201038.08843530057,228586.88841916336,200000.00000070324,304082.1336237079,200328.8983511518,201038.20198037458,227751.86054598333
2,2026_0,204213.74477662364,168123.71494733132,251892.03638127862,207138.1284047057,250157.86746593882,204254.85532662648,166504.8928734686,253915.79239620338,206901.439165824,252054.38343258918
3,2031_0,217771.740324953,178717.0034681318,225897.84272556222,201046.55011315743,190113.1116638975,216966.12020993073,178688.81750397317,225008.3412642493,201388.82563333696,191092.83953513854
4,2036_0,201593.2001096334,417900.9013768167,213602.73694237234,211817.5667103024,258209.01200576752,200968.43408563267,411281.4967628592,213071.53393585398,209445.48754253186,255526.64562136828
5,2041_0,217220.26724888824,84063.95709751098,238095.76653812645,209667.41735380588,261894.12139896155,216377.74649936272,81717.54631699124,234156.37964639597,209172.31422820516,250526.67893141767
6,2016_1,359404.73278350703,377047.9602560821,380107.0247543737,356081.2212348914,387512.9615221656,363176.8075173838,379707.14406030683,383315.557811386,359625.33604683424,392024.1292302413
7,2021_1,205239.04586365417,173986.9958730683,234428.8831123597,213026.29457494285,194251.4264680644,205449.6100050778,172427.02366032466,235929.8707153602,213327.18480371957,193841.46146594078
8,2026_1,207440.15752749142,180972.38803545595,181886.4299446554,201147.79201321388,194289.78662244874,207315.99197585948,181996.0788859406,180489.37801910346,201121.45957877126,194548.68635984298
9,2031_1,218303.86284719984,306181.9383152369,206102.53978354068,220915.5005868107,250535.04474101443,216570.36836593028,310749.4466645326,207352.50241614814,219361.24285413118,250604.60915752107
10,2036_1,203268.13357395865,166654.89679829546,196776.68272400217,207140.93695380763,302821.42101505125,202205.39703202527,167204.92264496675,194217.39742640906,205839.77764028998,298324.15019424947
11,2041_1,209269.14288787942,245305.52432378865,185346.6934250762,205449.0511160599,173352.96019137237,208268.58629937677,237075.8141373071,183261.77942266836,204759.0633669296,168555.14634526614
12,2016_2,348005.0668716476,452450.200139636,348005.0668716476,348005.0668716476,348005.0668716476,351502.1672246441,459355.17087694316,351502.1672246441,351502.1672246441,351502.1672246441
13,2021_2,210514.07178477084,269422.29416536266,223511.08742319955,223114.33840712658,273190.954103305,210104.10678264717,268172.8032764987,223163.65398332188,223472.5897025013,274106.99573049997
14,2026_2,210752.35106656115,140219.61847765534,233534.16460744714,204579.60104738508,203874.65212295458,211083.92188090022,141490.43715496137,232424.27792550033,204399.03357253683,202673.80722223473
15,2031_2,201116.86750665627,136777.68067131302,207562.7708203764,217759.2404825174,219415.2999039454,201424.0779265477,135946.91967165333,208651.490478429,216338.245015973,220041.16065495767
16,2036_2,202110.32851742988,159317.2615846629,198813.85837462632,206159.67323599092,193940.53857502298,202565.06023699447,154252.16138624193,195871.34283212584,203894.52676637124,191587.531715242
17,2041_2,236024.22018308373,132976.94944562943,197080.48449718015,213156.03363902908,261435.89069411176,233287.85372553134,134677.16367689578,199039.8387805498,209586.25944680852,249573.41148911204
18,2016_3,350746.8102467007,511004.794769323,395589.1158854096,359404.73278350703,387512.9615221656,354015.9506777633,515288.44639203895,400147.29805243143,363176.8075173838,392024.1292302413
19,2021_3,208916.06837502614,183803.32099768607,194580.18296343405,206520.66640981485,194251.4264680644,208247.77126663135,182635.06288523518,194580.29650850804,206731.3440640466,193841.46146594078
20,2026_3,217973.4800253517,123704.84469481479,234507.16136474858,201123.4517392354,208096.06570092135,218723.95356003562,126063.51530042749,232775.60007361855,201097.11930479278,207022.37696087026
