,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,517061.30749838986,514382.95506355085,510167.713907134,518374.0529243018,510167.713907134,504035.06190338335,500700.97874431394,496485.7375878972,505347.8073292953,496485.7375878972
1,2021_0,194641.1881094081,261116.3944919588,196933.09644743573,195592.32232139647,215810.47308535158,202890.65354279894,269784.1351690531,205998.54617543827,203562.06427111168,224875.92281335412
2,2026_0,123855.09812086061,100558.5542648011,161306.78180788434,122961.75302822195,157514.90231881838,122159.32932047076,98869.78875533864,160058.79888110806,124058.4087769708,159089.7002282244
3,2031_0,40785.672614653595,37552.477377884265,42441.29033541088,33286.92727320562,29592.076443528927,42339.06754634321,39105.87230957388,47426.14240621308,33286.927273205656,29876.855120507666
4,2036_0,128135.87880988697,282923.2607097411,136199.6014944152,135696.46953349924,168036.28034068743,126430.65179977047,283166.7235622744,133331.3267387461,133825.66949169087,165966.8103319537
5,2041_0,145213.53987316816,51917.94256100212,159060.32045209326,139931.45733433386,172163.1435143985,160308.17731213255,56573.58613685246,171682.19489595926,154984.02147102574,184072.00766168023
6,2016_1,517061.30749838986,489726.5506397449,519839.4609153408,515695.7004894627,529292.3189953505,504035.06190338335,477840.9093206494,507626.20887271635,502013.7241702259,517280.1407554232
7,2021_1,198728.3956123503,160459.43178986426,210712.53082131446,204190.17729193502,196342.7739365316,206977.86104574113,168463.77490197535,218140.25860789677,212777.23987456886,204592.2393699224
8,2026_1,123338.22125607784,115295.22334113024,116595.5708457424,118654.40456205142,116124.97720915364,124465.23329187029,115180.28690902148,117657.51088440695,119881.59218628309,114436.21169969121
9,2031_1,34604.346775006794,136827.82452384825,35360.37909507678,39992.704007005625,60965.97768290002,34599.42372418542,145312.3757787638,35314.00003993264,40069.48188458456,66387.679389409
10,2036_1,128495.90535400333,109078.78323233244,119400.98335188921,130371.59840866286,207048.47670768283,126790.67834388683,106703.58352197,116917.1737487258,127655.47657554912,203747.0062474116
11,2041_1,139542.86410417032,174383.04834928288,119851.97628697666,135362.1653284823,111557.69454619783,156866.71943211125,177597.17828433367,137415.79993714846,151961.1163540378,119935.32347129434
12,2016_2,510167.713907134,535377.6728110053,510167.713907134,510167.713907134,510167.713907134,496485.7375878972,532888.6016980371,496485.7375878972,496485.7375878972,496485.7375878972
13,2021_2,203638.23777108965,228006.88567213548,201109.22627295883,211856.8692834936,250630.31571969468,212505.0238373991,230264.5795122386,209308.60450942346,220443.93186612742,259322.76117029687
14,2026_2,124704.2953009354,66020.76991516197,148883.18997921093,120967.86881880755,125404.83313539602,125766.23533959994,67154.78524188185,149961.2372230458,122143.69628986482,126696.68685890896
15,2031_2,33512.50742752544,35199.00368373304,33251.595010248595,34806.16868106219,41284.033425751484,33584.980054142616,35476.645131318306,33430.98727675405,34878.64220123407,41591.086036913715
16,2036_2,128665.33599008557,86699.09054714706,125313.30370380457,130690.49661726615,120973.18608684567,126180.54787244559,84181.41571178997,122597.23818564463,128035.51917771387,118480.96023435061
17,2041_2,158829.7114534245,72455.76682931895,126737.46104125041,141375.75871952882,171016.64684321903,170396.46377658763,87620.20699830608,144227.02101749257,154984.28351526355,184536.48838657638
18,2016_3,511480.4593330459,531608.316962739,534820.3055776793,517061.30749838986,529292.3189953505,497798.4830138091,529119.2458497707,522808.127337752,504035.06190338335,517280.1407554232
19,2021_3,201064.5204568975,157049.06828151256,195031.53122383682,199862.10193657572,196342.7739365316,209850.24670122445,159147.97188603765,203001.27317355204,207831.84388629094,204592.2393699224
20,2026_3,131229.29948183324,63670.56171626971,145557.95580396176,118684.72499155877,129088.01730572319,132242.36787186586,64767.21746501856,146860.67810956298,119853.45602836293,127557.09019305378
21,2031_3,32521.897201090538,30056.129240071885,30241.787863854424,36724.4158176193,101225.91957698445,32521.897201090575,30056.12924007192,30241.78786385446,36724.41581761934,103520.07560169352
22,2036_3,127596.60484182868,75893.04292438869,120859.79003231718,137681.54489489176,120009.93353942648,124872.22029578913,73205.168537131,118204.8023627766,135809.17083040247,117525.1454217865
23,2041_3,146809.58618839862,60422.47660511961,118739.57057324931,136738.6056195843,110824.53634906988,158409.7193881425,78095.45314582302,136958.00290679673,149874.26984950874,120106.20281394187
