,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,520765.44588889444,514700.1909652256,508904.4093821781,523507.1892639476,508904.4093821781,509805.07738846797,503739.82246479916,497944.0408817515,512318.86084158707,497944.0408817515
1,2021_0,194655.92342239455,291078.6306964754,197763.8160550339,195521.82738579504,223177.9569952878,201266.90717804944,300471.46558421047,203558.81551607707,202429.16210163382,229404.23710326123
2,2026_0,125108.75609674411,100741.73193319378,176289.386152469,125418.57366034966,172712.76452213016,122031.72314243147,98000.8202663826,174926.51254992408,124742.99682755546,173885.33860898507
3,2031_0,43544.279625861025,40311.084389091695,45648.81252252798,33541.838035161636,29592.076443528942,46025.311699084574,42827.335312164214,51559.80813684052,33955.791334901165,30005.930481186104
4,2036_0,125682.31462184073,355878.43795846135,138262.63809480952,135082.66748402486,180806.07284506332,125806.6788155002,358167.2531226191,136777.1945496231,135107.14972255766,180073.65363306084
5,2041_0,148900.74937473706,53173.73454502531,177531.41559043512,141490.87390397006,202747.73892697418,163105.49809397143,61017.37684566566,190964.77672065594,155332.44962536843,218266.7571383371
6,2016_1,520765.44588889444,516291.193383383,538698.9972527889,517441.9343402789,541988.628464819,509805.07738846797,505962.791079354,527508.8965627505,506253.6059179184,532042.3273194715
7,2021_1,199485.00428091866,162032.02475304436,219790.19166946865,207510.0335231341,196357.50924951804,206716.5171819724,167691.70374268954,227492.9630511272,214718.14492452724,202968.49300517293
8,2026_1,125737.06251327247,115693.65886825013,117907.1373996639,119327.60730787432,116094.01448962982,125092.83720465726,115313.56152788513,117527.0400592989,118817.34075151845,113178.46945986502
9,2031_1,35298.49741750952,172631.3192202227,36964.4217351976,42579.91208673976,70393.71901859685,35705.776520571795,185396.2282169575,37353.89279505491,42999.16541416344,76348.47663816059
10,2036_1,125911.26232787868,105792.42405487684,117070.72102153866,128792.85876957038,235442.95788151916,126019.74583601658,105004.25251908677,116225.93931691383,129453.78610479506,234682.1239809348
11,2041_1,140896.89715661958,219119.18038408202,121189.95232789806,135362.1653284823,112340.9095981115,157344.59864061887,222961.80926572438,135727.98562542375,150814.27757801773,123254.61603943986
12,2016_2,508904.4093821781,572710.5363142192,508904.4093821781,508904.4093821781,508904.4093821781,497944.0408817515,571765.4478837864,497944.0408817515,497944.0408817515,497944.0408817515
13,2021_2,206723.0401919176,255534.16194506208,207511.70444012093,217828.08307999498,269821.1710413907,213334.02394757248,257020.14927441676,213575.49854359357,224945.9819068432,277325.98473875184
14,2026_2,127041.74693312457,66205.06505436532,160868.5759107029,122603.41718479035,130369.81685516135,126796.87284117621,65993.1659414191,161105.75083092003,122162.57695149469,129976.73645898506
15,2031_2,33939.34100515995,38716.68745781142,34262.47905202504,35664.22268321801,45227.16157984428,34353.19504281711,39164.81370427376,34784.21845431776,36078.077912281435,45710.821706395545
16,2036_2,126424.16377975274,84550.72442846534,123021.85035681303,129034.88734503309,117666.64428257951,126855.9281514045,83552.7659708649,123422.99007616176,129617.71315062983,116942.90152848104
17,2041_2,167773.98916667516,75025.01947914547,126737.46104125041,143652.98675094204,200766.06646056595,180797.36725634488,86029.24798783209,141860.7113328099,158641.9512808292,217661.1711541368
18,2016_3,511646.15275723126,607269.3275178847,550526.1534229197,520765.44588889444,541988.628464819,500457.82433487073,605944.62520866,540351.8923556383,509805.07738846797,532042.3273194715
19,2021_3,203629.81305019773,171073.03366932628,194961.0362882354,201004.40535800613,196357.50924951804,209721.16347142484,172601.09553579183,201868.37100407417,208122.3041848543,202968.49300517293
20,2026_3,136321.05720787225,64103.71295347391,158127.04712645372,119290.09243064742,133837.74316676133,136648.71032934167,63528.797603178,157836.78272459639,118779.82587429158,130909.21508118523
21,2031_3,32521.897201090553,31465.512904531904,30503.666617572544,38249.99169597344,125850.78836517557,32935.75123874771,31914.817413795958,30917.522599199383,38539.1093941194,129070.76780220364
22,2036_3,124670.9999278826,73091.81350227912,118161.90473690387,138534.880320452,117577.15605165047,125191.46072711216,72515.04590186551,118140.97744555505,138677.3832779876,116842.23625757833
23,2041_3,151621.9209480409,62438.948609832405,118739.57057324931,136943.98913677124,110824.53634906988,164262.66585306052,75200.86963468863,135154.0551634762,150117.63102121864,121994.71545221205
24,2016_4,514700.1909652256,514700.1909652256,514969.6643058468,514700.1909652256,556362.3387044729,503739.82246479916,503739.82246479916,504009.2958054203,503739.82246479916,545808.4637584
25,2021_4,196777.3081281407,195501.43913035077,206666.1887321647,201606.38898666482,194195.05048521067,202458.6935149783,201296.43859139393,213545.96713024908,207908.30351890126,201698.5990334467
26,2026_4,132960.91450680385,196974.3931729991,119284.73552755298,132341.01013824987,129698.67867666516,130918.43021531183,197898.33595215398,118940.10938020193,132721.89866921038,129305.5982804889
27,2031_4,32985.680275694016,155763.27424982603,78342.96212338023,36948.06321846758,59692.920432536885,38887.43119158981,156205.80874876925,78411.08016727182,37377.4238289633,63252.034407396684
28,2036_4,141104.0031083132,70277.62302816176,123810.21698662608,126918.44718753429,170336.75034745963,140808.19727936052,71226.11813995636,124188.93851588682,127337.60847808617,168409.66480399348
29,2041_4,132818.67175400816,218453.125794477,128011.94565836387,142992.59644335366,177652.47607973477,149508.07875640076,228593.90626008375,144884.73467872385,158106.79977814615,189545.64301382526
30,2016_5,514700.1909652256,516291.193383383,517441.9343402789,517711.40768089995,523278.11962183204,503739.82246479916,505962.791079354,506253.6059179184,506523.07925853954,511710.17732067994
31,2021_5,195501.43913035077,158103.74334737685,217596.4306966481,203027.82942153903,242244.57133682945,201296.43859139393,163142.89319162315,224048.08113075866,209935.16413737787,250210.6691798414
32,2026_5,122556.42881410304,118222.96030027169,121153.37646490234,126345.07378068952,130375.05932514569,119640.88378433825,115339.8775980337,120773.2367160912,125678.93177114023,129994.9619847807
33,2031_5,32985.680275694016,309717.87362363783,41878.141386897274,35266.719713219696,67625.52772829465,38887.43119158981,322678.9656562633,43312.866253298685,35680.67420436549,68092.38846961973
34,2036_5,152902.11189606864,67909.9198289013,244066.17453773614,125709.98363711342,149550.8347288304,154224.49751529904,67123.85708559756,249784.5408525029,125931.9279436742,152891.7263863849
35,2041_5,154230.1168354506,45872.47645599418,107472.7552537343,141376.68862110726,112558.76037846567,165945.91694908595,54305.6782537392,117921.85480823941,157988.03585204206,120925.71654185923
36,2016_6,514700.1909652256,540409.1623778491,514969.6643058468,517441.9343402789,541988.628464819,503739.82246479916,528841.2200766971,504009.2958054203,506253.6059179184,532042.3273194715
37,2021_6,209289.74412575856,198653.38704749453,196918.3003470777,205326.56723063494,221771.65018977193,216521.2570268123,205147.11201871588,203529.28410273258,212233.90194647372,228813.91459235706
38,2026_6,122321.99671816833,182189.24121741048,166444.6881114012,125292.70183313765,130261.1215364225,121676.62779058334,189305.37097663095,166059.13518371625,124617.12500034347,129868.04114024622
39,2031_6,32521.897201090553,26058.528604607352,30282.819490400452,36372.68617555249,29456.145770791092,32935.75123874771,26472.382642264518,30696.688332134374,36791.96618022158,29869.999808448258
40,2036_6,135224.35563683326,90199.69737638527,123413.49063461111,124804.21820109223,157463.42948836152,135760.73413676387,89270.92289098,123551.43547745964,125432.90570133948,157370.3486082156
41,2041_6,135798.3162703938,46706.0462952448,259575.90405442697,149032.59870279237,227597.9812154798,148362.2392002091,53005.84387372375,278263.06318387075,165150.5251716861,243973.1404179371
42,2016_7,508904.4093821781,522356.4483070517,524325.2870131352,517711.40768089995,541988.628464819,497944.0408817515,512028.0460030227,513742.7601238222,506523.07925853954,532042.3273194715
43,2021_7,206723.0401919176,157258.22763942063,183425.4063038065,198935.3336844849,228113.5575953961,213334.02394757248,163113.36177827866,189772.43493170434,206257.0591600836,234869.6637105182
44,2026_7,121111.0040428674,216952.7855690162,173860.93528659292,127531.01634266361,140271.86842218434,118195.4590131026,220916.6570730272,174198.9177201162,127152.06262126844,139878.73033496953
45,2031_7,34403.12407976342,166130.47905954198,31894.98785190976,41261.2343531984,29454.756908901083,40304.87499565919,169594.82461678816,32308.84188956692,41668.48674910806,29868.610946558245
