,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,351436.7958854757,348939.97030271107,344724.72914629435,352749.5413113877,344724.72914629435,359682.15937878523,353536.19283376326,349320.9516773465,360994.9048046972,349320.9516773465
1,2021_0,215140.1511572608,285182.5974497801,217432.05949528847,216091.2853692492,237194.12703241027,215838.0396978323,291790.84245523455,221124.5138332396,216789.1739098207,240966.6387076181
2,2026_0,215252.86553865275,174431.2002317836,242759.68328833402,217712.0865056778,241104.90462186988,221081.45250710717,172696.27720566955,246395.1989298921,223107.4722217987,240641.26633947156
3,2031_0,219135.3275769876,182782.74530973868,227369.7100258347,206031.0419389225,198411.36654064004,217320.20476799735,176329.56060429147,219555.201699829,204108.49268168502,196939.81316072182
4,2036_0,213602.2242793659,334241.01793229464,220678.8296166201,221406.5607901438,247096.3497554814,223552.4169949279,328288.5672299614,224452.6733833334,229713.3912312068,249745.11080472893
5,2041_0,238836.52459233286,108171.15918913911,240641.17888484048,233243.28565268888,268192.5514262678,234456.92808948384,107872.74505036042,239109.0447677331,233334.1847036541,259670.2571534971
6,2016_1,351436.7958854757,345842.14905322925,354987.3315330757,350252.71572862304,360501.3705064398,359682.15937878523,351167.5884467567,364427.81390397437,354848.9382596752,373076.7154051187
7,2021_1,219227.358660203,187991.31465594162,227861.04432547683,224673.0735409844,214901.03766424992,219925.24720077452,181870.2256086066,229971.1811432862,227441.65389525064,215142.80465159204
8,2026_1,218011.06694121085,188379.7713904225,202461.4690694741,213178.0663169937,202924.03077351121,223646.06527315694,204792.41295241154,200533.1867926565,218639.87604895906,206490.77216162038
9,2031_1,222818.09602154026,269715.20270703314,217115.5411392949,224022.69040203368,247875.14420699092,220933.2077242513,260229.54613138735,215837.57500686424,221475.75241471312,240627.09572456148
10,2036_1,215215.25528068608,174119.18559314846,205395.9997287678,217696.6921046605,268799.1827703939,225136.68068244032,179900.54744232888,211638.98245489615,228314.66880135683,266427.7995597385
11,2041_1,232350.04624633308,206806.41900238686,216228.80146193027,231127.84292969314,211853.81292398908,227944.96771840422,205794.739336644,223325.7913516471,222036.6933822249,210057.08721414546
