,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,344982.57391127665,340969.86865036975,336754.627493953,346295.31933718856,336754.627493953,355476.01119280147,350745.76502248144,346530.5238660638,356788.7566187134,346530.5238660638
1,2021_0,220491.75305555633,285110.9442458844,224471.05285686546,221442.88726754472,244037.5074926219,216208.6530532654,292388.58062803256,218500.56139129307,217159.787265254,237090.82307761
2,2026_0,213285.3695854976,179506.71710176455,243156.1304591634,212993.8850043957,240255.77230487007,222159.17888833868,170076.17110815799,244735.75201094913,222710.35575999555,241767.69064857106
3,2031_0,219790.82981275895,188266.03772904075,228312.7427206729,207857.68404786062,198133.798071752,219906.2598367104,184002.86331887412,227597.5572591546,207413.63564873894,197176.57760875812
4,2036_0,208950.1460724916,330418.5026300274,217540.387873233,217263.5464880456,247469.7989152652,210796.02185321748,325415.78439616173,218081.27819351916,216887.11523030823,246852.33295567657
5,2041_0,242427.60504875696,108992.65274483789,239372.0909814947,236755.43289618686,268845.49712189153,245166.37832840878,119976.4601839484,245159.88871219638,242912.36025129698,266678.4141930307
6,2016_1,344982.57391127665,337872.04740088794,348913.4634589151,342282.61407628166,354047.1485322406,355476.01119280147,347647.94377299957,360240.8978526859,352058.51044839335,368388.79658354714
7,2021_1,224578.96055849854,195016.01367392752,224048.8298202945,230570.3643176943,215272.80094753386,220295.86055620763,185060.08278404395,230319.25002711604,226807.94760768593,216372.3544447486
8,2026_1,213292.86543992872,183034.31041161556,202885.01189847963,208429.65724153115,204957.2616568239,222988.9904757035,200053.45714387804,202013.37254201688,218319.46349877087,207429.31129262655
9,2031_1,224815.09186023756,274865.0448957689,215535.69050895597,225305.63585194957,245956.11727434723,224398.09139291206,267614.34121186426,213817.2576551342,224080.3269483226,245786.58404164022
