,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,352939.78268422687,345277.93646106275,340536.3151811704,354683.4037923403,340536.3151811704,352939.78268422687,345277.93646106275,340536.3151811704,354683.4037923403,340536.3151811704
1,2021_0,197829.58849329923,268986.8380537416,200000.00003282592,198595.40123663057,220373.94197390488,197829.58849329923,268986.8380537416,200000.00003282592,198595.40123663057,220373.94197390488
2,2026_0,196445.66908792232,165140.5464251001,238394.64241768426,199159.38284451698,236794.17199296353,196445.66908792232,165140.5464251001,238394.64241768426,199159.38284451698,236794.17199296353
3,2031_0,211860.46237182463,173530.08364213925,215604.45892670527,198327.1429111556,187590.17219846815,211860.46237182463,173530.08364213925,215604.45892670527,198327.1429111556,187590.17219846815
4,2036_0,198274.90087130183,340664.0561800712,211503.03463286892,205848.93570672788,243529.35461789713,198274.90087130183,340664.0561800712,211503.03463286892,205848.93570672788,243529.35461789713
5,2041_0,207916.5510879572,78056.74292748148,210903.93547948333,201555.0939820836,227100.55252070897,207916.5510879572,78056.74292748148,210903.93547948333,201555.0939820836,227100.55252070897
6,2016_1,352939.78268422687,342803.8239445027,360038.33329194115,347021.55756917613,372082.1569806682,352939.78268422687,342803.8239445027,360038.33329194115,347021.55756917613,372082.1569806682
7,2021_1,202004.31401757948,172351.2129622363,221445.8155460567,209917.8447327322,191825.17168433347,202004.31401757948,172351.2129622363,221445.8155460567,209917.8447327322,191825.17168433347
8,2026_1,199308.5829415795,175677.34222002444,177660.86239804132,194387.4319146281,190192.90677217985,199308.5829415795,175677.34222002444,177660.86239804132,194387.4319146281,190192.90677217985
9,2031_1,213591.61589833925,274130.2764626225,202642.7334196665,214597.0000636278,235621.12146280264,213591.61589833925,274130.2764626225,202642.7334196665,214597.0000636278,235621.12146280264
10,2036_1,199654.41078276685,164868.14582998445,198727.67294286983,205395.6463940879,283256.0567175879,199654.41078276685,164868.14582998445,198727.67294286983,205395.6463940879,283256.0567175879
11,2041_1,201387.17314144922,199810.91884885306,173838.51118425888,196754.5691584749,162905.2061237399,201387.17314144922,199810.91884885306,173838.51118425888,196754.5691584749,162905.2061237399
12,2016_2,340536.3151811704,417505.0720318913,340536.3151811704,340536.3151811704,340536.3151811704,340536.3151811704,417505.0720318913,340536.3151811704,340536.3151811704,340536.3151811704
13,2021_2,207618.06378650415,235457.3971879664,217687.63085464214,217896.1759362589,253196.42817347302,207618.06378650415,235457.3971879664,217687.63085464214,217896.1759362589,253196.42817347302
14,2026_2,203139.83494445457,140516.59643349596,215573.1413989593,197162.8674503735,194179.5520041542,203139.83494445457,140516.59643349596,215573.1413989593,197162.8674503735,194179.5520041542
15,2031_2,198410.1094410936,129733.95021322173,205045.1453411755,213169.8112580019,213574.30591705555,198410.1094410936,129733.95021322173,205045.1453411755,213169.8112580019,213574.30591705555
16,2036_2,200742.52379673155,156477.18706893787,199031.73740314302,204736.68850636785,196239.42570991244,200742.52379673155,156477.18706893787,199031.73740314302,204736.68850636785,196239.42570991244
17,2041_2,222445.57411433477,125101.73360777102,189371.69459570767,203155.47334267883,228183.53515179045,222445.57411433477,125101.73360777102,189371.69459570767,203155.47334267883,228183.53515179045
18,2016_3,342279.9362892839,437706.4347119111,378567.39936867385,352939.78268422687,372082.1569806682,342279.9362892839,437706.4347119111,378567.39936867385,352939.78268422687,372082.1569806682
19,2021_3,205831.70621653934,164196.90687792428,192137.49576476405,203224.3793149089,191825.17168433347,205831.70621653934,164196.90687792428,192137.49576476405,203224.3793149089,191825.17168433347
20,2026_3,209621.5942143316,121871.83746566199,214801.13962330244,194359.03716503788,195435.9018537299,209621.5942143316,121871.83746566199,214801.13962330244,194359.03716503788,195435.9018537299
21,2031_3,200894.47260956446,108666.5972765987,191794.01372425543,201550.38564327214,277717.7627321207,200894.47260956446,108666.5972765987,191794.01372425543,201550.38564327214,277717.7627321207
22,2036_3,198096.5179242635,132254.5611449138,195817.09222256785,212127.15690280448,193983.0898278535,198096.5179242635,132254.5611449138,195817.09222256785,212127.15690280448,193983.0898278535
23,2041_3,209103.3321754996,115847.36495590558,171742.06103123457,197840.57676734187,163237.61642982526,209103.3321754996,115847.36495590558,171742.06103123457,197840.57676734187,163237.61642982526
24,2016_4,345277.93646106275,345277.93646106275,348198.16140433465,345277.93646106275,380868.29060471343,345277.93646106275,345277.93646106275,348198.16140433465,345277.93646106275,380868.29060471343
25,2021_4,200584.0045550176,199546.5113699252,215970.70797801617,204758.73007929785,190217.55041708364,200584.0045550176,199546.5113699252,215970.70797801617,204758.73007929785,190217.55041708364
26,2026_4,204627.32671620738,250460.60985814003,181899.74821329492,206547.03660145676,194297.16122127912,204627.32671620738,250460.60985814003,181899.74821329492,206547.03660145676,194297.16122127912
27,2031_4,202857.24094023448,248505.3697597885,232338.14121526384,210545.19421029318,213850.3985022109,202857.24094023448,248505.3697597885,232338.14121526384,210545.19421029318,213850.3985022109
28,2036_4,212869.74882927112,132935.77334017865,199571.05741666508,200672.73406766175,234163.33431940357,212869.74882927112,132935.77334017865,199571.05741666508,200672.73406766175,234163.33431940357
29,2041_4,194467.3398332342,207158.79445016538,188631.28961989906,202607.67746208256,213693.31519957603,194467.3398332342,207158.79445016538,188631.28961989906,202607.67746208256,213693.31519957603
30,2016_5,345277.93646106275,342803.8239445027,347021.55756917613,349941.7825124481,349322.44880521565,345277.93646106275,342803.8239445027,347021.55756917613,349941.7825124481,349322.44880521565
31,2021_5,199546.5113699252,168851.30189557828,217215.9201662392,204297.3554521504,231214.86496514422,199546.5113699252,168851.30189557828,217215.9201662392,204297.3554521504,231214.86496514422
32,2026_5,197957.87301405263,175421.2223938347,198206.4960590921,199992.43094733424,201136.41767699402,197957.87301405263,175421.2223938347,198206.4960590921,199992.43094733424,201136.41767699402
33,2031_5,199999.99998748535,340227.0690349292,200695.71766058667,213493.3286110344,227693.8612137442,199999.99998748535,340227.0690349292,200695.71766058667,213493.3286110344,227693.8612137442
34,2036_5,219150.92925914496,129095.9937207418,292641.0881584457,201426.9231541609,220639.35331393854,219150.92925914496,129095.9937207418,292641.0881584457,201426.9231541609,220639.35331393854
35,2041_5,213428.1151167435,91348.893321257,157671.80061672867,201635.9523194683,161616.64894417656,213428.1151167435,91348.893321257,157671.80061672867,201635.9523194683,161616.64894417656
36,2016_6,345277.93646106275,357739.6776894113,348198.16140433465,347021.55756917613,372082.1569806682,345277.93646106275,357739.6776894113,348198.16140433465,347021.55756917613,372082.1569806682
37,2021_6,211339.30064788368,210473.6225311248,198283.07715619996,207930.38786693476,212199.11362541237,211339.30064788368,210473.6225311248,198283.07715619996,207930.38786693476,212199.11362541237
38,2026_6,197243.9513194712,235965.70682478498,231402.68205603564,199259.18297535687,193835.4314290092,197243.9513194712,235965.70682478498,231402.68205603564,199259.18297535687,193835.4314290092
39,2031_6,197189.95114069432,102737.37067008487,195612.14261009122,210170.90752468203,190741.92436025565,197189.95114069432,102737.37067008487,195612.14261009122,210170.90752468203,190741.92436025565
40,2036_6,209199.16915475926,132906.95812567617,196613.85685365097,200577.82364438166,225916.1507630041,209199.16915475926,132906.95812567617,196613.85685365097,200577.82364438166,225916.1507630041
41,2041_6,194988.8880214303,95210.31684899391,273266.1354360777,206835.44128996943,253060.12682835147,194988.8880214303,95210.31684899391,273266.1354360777,206835.44128996943,253060.12682835147
42,2016_7,340536.3151811704,350465.6701676669,351252.19966789614,349941.7825124481,372082.1569806682,340536.3151811704,350465.6701676669,351252.19966789614,349941.7825124481,372082.1569806682
43,2021_7,207618.06378650415,167134.3790189523,197439.59550021178,200181.42569247333,216143.53754120963,207618.06378650415,167134.3790189523,197439.59550021178,200181.42569247333,216143.53754120963
44,2026_7,195878.1210614294,247213.91515224671,223066.2787097942,201841.12791324576,201753.92593288963,195878.1210614294,247213.91515224671,223066.2787097942,201841.12791324576,201753.92593288963
45,2031_7,199850.5641700206,220802.0912347601,193737.6772099583,217161.58419655738,190495.76153784886,199850.5641700206,220802.0912347601,193737.6772099583,217161.58419655738,190495.76153784886
46,2036_7,215494.5268031005,129727.19964698632,196894.10134461004,204685.2943638937,196112.22626118874,215494.5268031005,129727.19964698632,196894.10134461004,204685.2943638937,196112.22626118874
47,2041_7,198041.85515189052,90653.71478614863,170665.61064399345,197055.35673680852,218976.95084378097,198041.85515189052,90653.71478614863,170665.61064399345,197055.35673680852,218976.95084378097
48,2016_8,349941.7825124481,360007.18645274366,348198.16140433465,352939.78268422687,340536.3151811704,349941.7825124481,360007.18645274366,348198.16140433465,352939.78268422687,340536.3151811704
49,2021_8,198011.3967144389,158223.94607210736,211795.98245373595,203224.3793149089,213512.90533036191,198011.3967144389,158223.94607210736,211795.98245373595,203224.3793149089,213512.90533036191
50,2026_8,196323.3642858332,148269.02940977967,188859.848018863,194785.59252779218,223669.41226768895,196323.3642858332,148269.02940977967,188859.848018863,194785.59252779218,223669.41226768895
51,2031_8,217689.19924397924,134942.01644002929,238486.26169104112,217530.7186145715,229580.94041005478,217689.19924397924,134942.01644002929,238486.26169104112,217530.7186145715,229580.94041005478
