,EF_YEAR,EF_AVG_NPV_unsolved_LL,EF_AVG_NPV_unsolved_LH,EF_AVG_NPV_unsolved_ML,EF_AVG_NPV_unsolved_HL,EF_AVG_NPV_unsolved_MM,EF_min_NPV_unsolved_LL,EF_min_NPV_unsolved_LH,EF_min_NPV_unsolved_ML,EF_min_NPV_unsolved_HL,EF_min_NPV_unsolved_MM
0,2016_0,537102.4235307589,533089.7182698522,528874.4771134354,538415.1689566708,528874.4771134354,512687.35509087483,509353.2719318054,505138.0307753886,514000.1005167868,505138.0307753886
1,2021_0,197606.7029543231,256969.49482263697,201586.00275563216,198557.83716631145,219517.68030027288,231540.97314298534,279747.4173890823,233832.881481013,232492.10735497373,252248.66235827658
2,2026_0,121555.52187210572,97580.2076435825,151147.17827970133,123954.74054147446,150478.92306642781,134629.4917111051,107254.56045453815,162950.87812672858,134278.0048323468,157734.62891259478
3,2031_0,42542.93028570777,39309.73504893844,46847.84741235545,33268.11879988904,29592.076443528964,43242.61930255347,38205.41300475497,43681.071961864945,35521.20274842432,30005.930481186104
4,2036_0,140449.05382269926,273887.05074497894,142137.70491460434,148266.9376374799,168759.73123598762,162172.4540827275,264845.51844575524,156970.28202877328,169551.8871002514,173964.9809581508
5,2041_0,125447.95669463494,50092.48899508983,137999.31764358826,119551.44909770596,166018.82256781074,165613.50939466304,80254.52548828967,177154.25355335584,163167.44775898458,201925.46896916538
6,2016_1,537102.4235307589,506920.22187907813,539256.8532635653,534402.4636957641,536117.7151376936,512687.35509087483,484671.7246850087,516581.30277046387,510666.0173577174,522977.15124721616
7,2021_1,201693.91045726527,168502.6420025942,207613.78328098258,207685.314216461,198794.90773466585,235628.18064592752,196564.39477095005,234096.57464045496,241707.28295843088,226285.99086170306
8,2026_1,124296.49305924602,110704.89767465528,116240.93873900778,119355.68813507451,113146.63058793507,134771.7137918816,124618.96394548628,123399.7671593765,129876.03476814227,126945.78132484655
9,2031_1,34585.538301690205,130688.4411174311,35360.379095076816,39833.953682850115,64203.549098481046,36838.62225022549,126558.7731966825,35774.233132733956,41465.12090265078,60353.07405110229
10,2036_1,141360.52148004857,112215.08334889071,125596.0646868888,142780.19073829948,196681.30920936508,163287.4656081488,122788.8135771093,139317.93165857013,164200.93596327398,194033.9099077614
11,2041_1,118902.19601300315,160121.21714376844,109192.59126047755,114848.21945461532,111057.57982601377,161802.32867142698,177119.24190678995,163517.97179676816,156988.41814933158,150150.46443640362
12,2016_2,528874.4771134354,541716.2292449493,528874.4771134354,528874.4771134354,528874.4771134354,505138.0307753886,536029.1806473,505138.0307753886,505138.0307753886,505138.0307753886
13,2021_2,207133.3746956156,222741.679938813,206094.7889539262,215352.00620801962,246936.10955830826,241155.34343758548,236318.21200958555,238009.01130653603,249373.97494998944,274220.41003743163
14,2026_2,125662.68924414717,68714.63778565066,147608.6509014713,121960.97847210361,124513.19649507236,136135.32431400378,71341.3795567719,158057.603774489,132585.56998372343,131119.1828468739
15,2031_2,33278.090913338485,35199.00368373308,33232.78653693201,34571.75216687523,40930.09669179371,34908.94421328643,35648.3081929971,34620.19498672528,36202.60546682317,40743.265395871385
16,2036_2,140615.93990721414,84697.57187965547,132207.8769551926,141363.35514054273,126964.25203576387,162241.8621994559,92483.51952430635,149545.53048652987,161595.52552767517,135796.0442097949
17,2041_2,139072.6353227572,72455.76682931895,109402.17156231042,120956.76063351773,162186.35529056133,180041.93930352887,117710.18025710247,150133.46752309616,164195.99991906132,192859.41656549054
18,2016_3,530187.2225393472,533789.2734499438,541645.7017200221,537102.4235307589,536117.7151376936,506450.77620130044,531940.9343827047,528505.1378295447,512687.35509087483,522977.15124721616
19,2021_3,205717.42676509396,159126.8179294079,197483.66502197113,202827.4641992478,198794.90773466585,237964.30549047477,167087.60201353545,224974.74814900834,236761.88697015293,226285.99086170306
20,2026_3,132196.98654279643,61082.587188465084,143665.38541702103,119385.94999978597,125072.75638960704,143184.68829755508,67998.31574372207,153902.8358764588,129861.0732134705,139058.01809243523
21,2031_3,32521.897201090575,30131.895187678398,30222.97939053784,36800.18176522582,98568.18870572976,33909.30565088384,30581.19969694242,30636.545341040503,39053.450056710404,95478.5910326469
22,2036_3,139149.1984395075,76359.05682262186,128364.96788272011,150313.5291143266,120767.3208955726,161242.52377584396,84976.09630231632,139838.00564905684,171330.89807159646,122865.69144067491
23,2041_3,126844.33657271635,60945.3746038851,112572.5261337756,115539.96426585068,110089.29138307789,168576.76212503316,112030.10466384384,150245.60588217867,159221.8283724509,141017.30078256826
24,2016_4,533089.7182698522,533089.7182698522,532887.1823743423,533089.7182698522,541266.6019530529,509353.2719318054,509353.2719318054,508472.1139344581,509353.2719318054,529449.0835144438
25,2021_4,200274.7600429374,199323.62583094905,204377.86607730025,204361.96754587963,197420.06314731983,232521.63876831825,231570.50455632986,237979.4798931915,236608.84627126044,225016.09688997688
26,2026_4,127530.16023786197,173742.77390725017,118233.80259319117,129334.97333619051,124084.02147908823,141268.56754074764,184811.73428384983,129179.07480642744,140474.63153271237,133977.00083321484
27,2031_4,37719.338206534194,115151.07805630416,61617.99994516258,35607.38152273626,54566.93953266076,35518.30513382845,116904.12518833551,63921.527048262615,37173.41778499928,51138.78409834731
28,2036_4,150983.14918704535,78904.51051366936,133770.028671284,141375.5790076988,148002.00824973665,172309.79155452712,87019.24097665708,147337.62098363801,163192.20211194508,151941.6304763486
29,2041_4,112522.5465716625,156396.82210282094,109726.67602513547,119955.96680508053,160225.71090925427,156087.07943805552,163078.73606222103,153161.34321115326,163913.3133069501,184592.7723775905
30,2016_5,533089.7182698522,506920.22187907813,534402.4636957641,534199.9278002542,534023.3639287947,509353.2719318054,484671.7246850087,510666.0173577174,509784.85936036997,511609.96304261626
31,2021_5,199323.62583094905,165090.24895727413,214934.96908972514,204182.92341846213,227629.58742632155,231570.50455632986,193152.00172563002,247665.95114772886,238117.34618936726,254534.73518844182
32,2026_5,118181.5715461592,110483.49355854986,119362.37396283798,124684.85670929654,125318.56640946415,132159.15610703678,126996.30893574463,128791.96452285521,135008.02348121788,132498.09427087771
33,2031_5,38751.36756652272,223356.27504848395,39624.85685160494,34561.780053425784,56701.69987733867,37670.95510046526,220132.49825545025,41579.2808858772,36815.04834491038,56439.66635245894
34,2036_5,160540.08599038288,67325.18832380968,207170.9819868888,141324.17849838806,143124.66209509535,178342.15290021405,69513.55766351428,209786.54596713567,162870.6023663157,148135.18270479754
35,2041_5,126737.23009864238,43935.85752105528,102548.63408446297,119649.59029444263,102414.45520179789,171297.31080738458,63329.26254105024,143708.12465343956,162673.59997152936,149686.10878082708
36,2016_6,533089.7182698522,518045.0255879251,532887.1823743423,534402.4636957641,536117.7151376936,509353.2719318054,498147.2887802884,508472.1139344581,510666.0173577174,522977.15124721616
37,2021_6,208958.2052738747,186432.28964970208,199869.0798790062,205822.13198292087,216726.58527930657,242980.17401584453,213419.07884658888,233803.35006766848,239844.10072489077,244701.77173896664
38,2026_6,121712.03676785345,137516.98067992635,152998.51479629235,123837.17972600099,124404.50117633352,132232.38340092124,147089.83124398245,162324.67339190125,134205.56991730555,133841.7688783014
